,股票,价,涨,市值.亿,占总股本,占流通,变更,机构数,北上,市值.亿,PE,近3月,近1年,近3年,行业
'85,688111.金山办公,'309.66,'-0.08%,'161,13.09%,13.09%,'-20.95%,'245,3.71%,'1434,'89.98,'-0.23%,51.50%,'-2.12%,软件开发
'86,300759.康龙化成,'29.44,'-1.24%,'71,13.08%,16.37%,'-27.19%,'61,2.91%,'530,'43.7,22.96%,25.92%,'-33.46%,医疗服务
'87,002884.凌霄泵业,'16.52,'+0.36%,'10,12.95%,16.96%,'-31.02%,'28,0.94%,'59,'13.56,'-0.34%,'-29.31%,14.28%,通用设备
'88,000933.神火股份,'18.31,'+3.04%,'58,12.94%,12.98%,'-41.62%,'140,1.74%,'400,'10.47,'-1.54%,3.51%,30.08%,有色金属
'89,002078.太阳纸业,'14.40,'+1.12%,'54,12.88%,12.96%,'-25.81%,'92,1.70%,'398,'12.57,'-0.98%,'-4.77%,34.20%,造纸印刷
'90,002028.思源电气,'77.30,'-0.59%,'74,12.86%,16.51%,'-36.15%,'172,19.90%,'605,'30.66,1.48%,'-10.56%,110.00%,电网设备
'91,603208.江山欧派,'14.97,'+0.67%,'5,12.86%,12.86%,'-11.94%,'6,'-,'27,'90.81,0.07%,'-34.13%,'-57.87%,装修建材
'92,002179.中航光电,'38.87,'+1.22%,'118,12.77%,13.11%,'-29.57%,'186,0.97%,'813,'25.66,'-7.42%,'-22.72%,'-29.99%,电子元件
'93,688377.迪威尔,'31.09,'+10.44%,'3,12.71%,12.71%,'-42.24%,'14,'-,'61,'78.32,55.20%,140.16%,'-29.1%,专用设备
'94,601899.紫金矿业,'20.16,'+1.46%,'611,12.68%,16.39%,'-6.35%,'1041,7.72%,'5358,'15.16,9.97%,12.84%,145.62%,有色金属
'95,600276.恒瑞医药,'61.58,'-1.16%,'418,12.55%,12.55%,'-19.41%,'577,8.39%,'4087,'61.92,12.51%,12.37%,36.61%,化学制药
'96,603885.吉祥航空,'12.43,'-0.56%,'38,12.47%,12.47%,'-27.78%,'87,1.17%,'271,'39.18,'-8.85%,'-10.53%,'-29.26%,航空机场
'97,300059.东方财富,'23.63,0.00%,'399,12.45%,14.71%,'-5.66%,'315,3.06%,'3734,'37.29,0.56%,100.08%,64.23%,互联网服务
'98,688083.中望软件,'68.79,'+3.23%,'11,12.38%,12.38%,'-44.81%,'40,0.43%,'117,亏损,'-4.15%,30.25%,'-47.26%,软件开发
'99,688062.迈威生物-U,'36.14,'+1.75%,'14,12.23%,23.94%,'-54.61%,'36,1.19%,'144,亏损,93.06%,29.97%,122.67%,生物制品
'100,600079.人福医药,'21.86,'-0.32%,'42,12.21%,12.91%,'-33.35%,'123,2.67%,'357,'29.6,2.63%,'-18.48%,6.12%,化学制药
