,股票,价,涨,市值.亿,占总股本,占流通,变更,机构数,北上,市值.亿,PE,近3月,近1年,近3年,行业
'1,300502.新易盛,'186.40,'+2.17%,'310,33.61%,38.03%,'-2.75%,'717,5.10%,'1813,'44.5,111.47%,164.28%,1246.68%,通信设备
'2,688012.中微公司,'196.06,'+0.45%,'290,28.48%,28.48%,'-22.33%,'280,9.18%,'1228,'86.24,0.31%,27.97%,66.21%,半导体
'3,688008.澜起科技,'90.94,'+6.79%,'204,26.67%,26.67%,'-24.26%,'202,10.07%,'1041,'67.99,10.88%,48.98%,43.23%,半导体
'4,300308.中际旭创,'210.52,'-0.19%,'455,26.19%,26.31%,'-8.69%,'872,3.72%,'2344,'41.5,110.90%,81.34%,892.05%,通信设备
'5,688099.晶晨股份,'73.90,'+1.72%,'77,26.13%,26.13%,'-30.07%,'66,3.36%,'311,'38.99,'-2.99%,13.75%,14.58%,半导体
'6,688617.惠泰医疗,'281.00,'-0.66%,'98,24.68%,24.68%,'+15.65%,'107,3.20%,'396,'57.68,'-3.53%,'-11.83%,68.69%,医疗器械
'7,300661.圣邦股份,'77.20,'+1.98%,'109,24.37%,25.42%,'-32.54%,'106,5.64%,'468,'107.61,'-2.53%,13.81%,'-25.88%,半导体
'8,002850.科达利,'116.68,'+2.03%,'62,23.55%,33.05%,'-32.05%,'68,2.43%,'313,'20.83,'-11.09%,16.70%,2.04%,电池
'9,300274.阳光电源,'76.90,'+1.98%,'474,22.97%,29.95%,'-5.94%,'750,4.20%,'1563,'12.73,11.75%,'-25.54%,'-30.44%,光伏设备
'10,300395.菲利华,'76.50,'-1.86%,'50,22.37%,22.75%,'-31.50%,'97,0.93%,'407,'131.31,64.95%,119.11%,13.65%,非金属材料
'11,688169.石头科技,'178.46,'-0.36%,'113,22.02%,22.02%,'+0.60%,'229,3.91%,'462,'30.41,10.62%,'-18.6%,90.58%,家电行业
'12,002463.沪电股份,'52.58,0.00%,'169,22.02%,22.03%,'-29.97%,'493,6.41%,'1011,'36.19,61.86%,37.17%,380.47%,电子元件
'13,688120.华海清科,'109.10,'+0.09%,'83,21.69%,30.21%,'+8.67%,'141,1.56%,'386,'43.0,'-0.95%,'-2.22%,17.26%,半导体
'14,688212.澳华内镜,'50.80,'+1.09%,'14,21.58%,31.31%,'-39.32%,'49,0.36%,'68,亏损,5.95%,'-1.85%,'-40.43%,医疗器械
'15,300347.泰格医药,'66.00,'-1.34%,'126,21.17%,32.28%,'-30.00%,'142,3.15%,'576,'88.05,47.79%,8.37%,'-36.72%,医疗服务
'16,300218.安利股份,'19.70,'+2.50%,'8,20.78%,20.85%,'-28.22%,'26,'-,'42,'20.97,28.05%,9.25%,82.29%,塑料制品
'17,600089.特变电工,'13.40,'+0.37%,'152,20.56%,20.56%,'-13.15%,'65,4.40%,'677,'19.37,9.82%,'-16.28%,'-21.49%,电网设备
'18,688050.爱博医疗,'77.45,'+0.81%,'39,20.44%,20.44%,'-26.28%,'62,2.99%,'150,'39.69,'-4.41%,'-25.74%,'-48.72%,医疗器械
'19,603986.兆易创新,'118.28,'+0.24%,'117,19.94%,19.98%,'-34.78%,'163,6.12%,'785,'73.37,'-9.04%,45.81%,24.84%,半导体
'20,688266.泽璟制药-U,'111.76,'-0.79%,'30,19.86%,19.86%,'-29.65%,'95,0.83%,'296,亏损,18.25%,68.80%,148.42%,化学制药
'21,688019.安集科技,'149.46,'-0.29%,'35,19.57%,19.57%,'-33.49%,'76,7.58%,'252,'43.25,3.24%,51.30%,37.61%,电子化学品
'22,688256.寒武纪-U,'694.34,'-0.09%,'236,19.55%,19.55%,'-16.54%,'298,3.75%,'2905,亏损,'-2.81%,163.87%,942.10%,半导体
'23,300014.亿纬锂能,'44.26,'+0.20%,'191,19.14%,21.04%,'-23.48%,'230,3.97%,'904,'27.56,'-7.9%,6.60%,'-61.03%,电池
'24,601058.赛轮轮胎,'13.29,'+0.45%,'101,19.07%,19.07%,'-31.08%,'251,4.31%,'437,'10.97,0.66%,'-20.16%,39.86%,橡胶制品
'25,002387.维信诺,'9.63,'+0.42%,'20,18.66%,18.73%,'-11.01%,'5,0.59%,'134,亏损,0.15%,5.25%,41.10%,光学光电子
'26,300285.国瓷材料,'18.74,'+0.70%,'37,18.62%,23.09%,'-24.54%,'36,5.61%,'186,'31.63,4.32%,'-4.37%,'-34.82%,化学制品
'27,002273.水晶光电,'20.97,'+0.72%,'48,18.40%,18.85%,'-48.63%,'122,4.12%,'290,'29.16,'-1.66%,'-0.07%,61.07%,光学光电子
'28,002475.立讯精密,'36.21,'-0.71%,'574,18.32%,18.36%,'-9.70%,'1125,4.73%,'2645,'22.19,5.10%,'-29.56%,9.84%,消费电子
'29,002541.鸿路钢构,'18.10,'+1.12%,'19,18.09%,25.16%,'-27.42%,'33,0.70%,'124,'24.28,'-12.53%,31.65%,'-56.89%,水泥建材
'30,688630.芯碁微装,'119.50,'-0.83%,'15,17.77%,17.77%,'-38.70%,'32,0.63%,'157,'96.65,58.22%,103.11%,40.96%,专用设备
'31,002422.科伦药业,'37.57,'+0.05%,'88,17.25%,21.11%,'-21.80%,'208,2.50%,'600,'24.25,7.90%,'-5.23%,52.77%,化学制药
'32,688002.睿创微纳,'70.77,'+8.03%,'30,17.03%,17.03%,'-29.58%,'51,2.88%,'323,'61.25,15.93%,154.35%,39.82%,半导体
'33,688072.拓荆科技,'166.39,'-0.99%,'68,17.01%,30.78%,'-30.18%,'103,2.44%,'465,'211.47,2.81%,9.05%,18.33%,半导体
'34,300037.新宙邦,'34.69,'+2.79%,'52,16.98%,23.43%,'-31.68%,'99,0.78%,'252,'25.53,2.45%,'-24.02%,'-19.94%,电池
'35,300002.神州泰岳,'13.49,'-1.25%,'41,16.93%,18.25%,'-19.29%,'116,2.87%,'269,'24.74,17.64%,27.70%,195.12%,游戏
'36,688596.正帆科技,'35.35,'+1.03%,'17,16.74%,16.74%,'-45.27%,'62,0.56%,'103,'20.83,'-7.92%,10.54%,'-30.59%,专用设备
'37,688608.恒玄科技,'228.69,'-1.23%,'43,16.73%,16.73%,'-36.89%,'132,4.04%,'385,'68.46,'-26.03%,95.61%,167.31%,半导体
'38,000528.柳工,'10.97,'+0.18%,'41,16.69%,22.90%,'-32.43%,'131,3.27%,'222,'17.16,6.17%,'-6.28%,81.27%,工程机械
'39,000423.东阿阿胶,'51.30,'-0.68%,'66,16.59%,16.59%,'-27.45%,'94,9.35%,'333,'21.75,'-9.58%,'-21.39%,38.69%,中药
'40,300298.三诺生物,'20.95,'-0.57%,'28,16.45%,20.39%,'-27.55%,'26,3.96%,'118,'41.58,'-7.85%,'-40.55%,'-52.68%,医疗器械
'41,300705.九典制药,'17.66,'-2.97%,'16,16.15%,21.95%,'-40.47%,'64,1.41%,'91,'18.5,12.05%,'-41.55%,'-10.85%,化学制药
'42,603179.新泉股份,'48.45,'+4.87%,'38,16.08%,16.08%,'-32.23%,'45,3.41%,'236,'24.18,3.83%,0.69%,2.55%,汽车零部件
'43,300394.天孚通信,'103.03,'-0.17%,'89,16.06%,16.10%,'-25.92%,'264,2.31%,'802,'58.26,86.02%,75.36%,590.19%,通信设备
'44,300476.胜宏科技,'197.65,'+4.32%,'55,15.95%,16.09%,'-31.92%,'168,3.21%,'1635,'87.94,129.62%,547.55%,1265.11%,电子元件
'45,603596.伯特利,'50.99,'+6.05%,'47,15.89%,15.92%,'-37.61%,'109,6.34%,'309,'26.05,'-15.87%,6.69%,'-35.09%,汽车零部件
'46,603997.继峰股份,'11.87,'+0.51%,'28,15.88%,17.24%,'-36.48%,'41,0.88%,'151,亏损,'-13.01%,'-21.34%,'-22.67%,汽车零部件
'47,605266.健之佳,'21.95,'-0.86%,'6,15.80%,17.59%,'-33.49%,'12,'-,'34,'32.36,5.54%,'-16.34%,'-53.96%,医药商业
'48,688122.西部超导,'55.36,'+0.16%,'47,15.53%,15.53%,'-33.14%,'74,2.51%,'360,'47.22,8.18%,29.60%,'-37.54%,有色金属
'49,600426.华鲁恒升,'23.68,'+0.42%,'86,15.51%,15.57%,'-37.80%,'175,3.60%,'503,'14.35,9.75%,'-16.54%,'-19.89%,化学原料
'50,600763.通策医疗,'45.09,'-0.31%,'41,15.45%,15.45%,'+23.02%,'51,1.74%,'202,'39.66,5.58%,'-17.36%,'-63.53%,医疗服务
'51,603129.春风动力,'244.01,'+7.59%,'38,15.32%,15.32%,'-39.01%,'79,3.88%,'372,'23.56,36.28%,57.47%,68.94%,交运设备
'52,600559.老白干酒,'16.84,'-0.06%,'32,15.24%,15.41%,'-30.92%,'48,0.50%,'154,'20.41,'-7.32%,'-26.06%,'-31.35%,酿酒行业
'53,688687.凯因科技,'35.90,'+0.84%,'7,15.01%,15.01%,'-37.56%,'19,'-,'61,'43.76,37.41%,56.96%,80.75%,生物制品
'54,688279.峰岹科技,'188.40,'-0.45%,'19,14.94%,24.70%,'-29.37%,'51,3.58%,'215,'113.38,'-24.98%,60.95%,125.73%,半导体
'55,688037.芯源微,'114.65,'-0.22%,'25,14.86%,14.86%,'-11.27%,'74,1.25%,'231,'300.0,12.61%,65.18%,'-12.2%,半导体
'56,688041.海光信息,'137.34,'-3.59%,'352,14.76%,38.68%,'+3.22%,'330,3.15%,'3192,'152.87,'-8.98%,53.33%,197.20%,半导体
'57,002371.北方华创,'331.58,'+0.94%,'287,14.73%,14.74%,'-24.20%,'568,10.19%,'2370,'39.07,'-2.58%,18.52%,58.74%,半导体
'58,300763.锦浪科技,'58.87,'+0.05%,'49,14.72%,18.29%,'-16.13%,'83,1.25%,'234,'30.16,1.97%,'-22.83%,'-81.83%,光伏设备
'59,002025.航天电器,'52.30,'-0.06%,'38,14.70%,14.84%,'-48.20%,'83,0.19%,'238,'169.41,1.10%,'-14.38%,'-43.26%,电子元件
'60,603606.东方电缆,'48.27,'-0.29%,'56,14.68%,14.68%,'-31.40%,'193,6.09%,'332,'33.53,'-8.37%,'-25.71%,'-46.55%,电网设备
'61,300750.宁德时代,'265.00,'-0.26%,'1616,14.57%,16.44%,'+4.46%,'1811,13.78%,'12114,'23.24,'-3.14%,19.02%,17.26%,电池
'62,688658.悦康药业,'32.59,'+2.90%,'13,14.45%,14.45%,'-40.34%,'24,0.70%,'147,亏损,120.44%,44.42%,55.36%,化学制药
'63,688408.中信博,'50.55,'-0.49%,'25,14.43%,14.44%,'-13.21%,'115,4.59%,'111,'19.79,'-2.28%,'-44.91%,'-48.87%,光伏设备
'64,603259.药明康德,'93.58,'+0.31%,'220,14.41%,16.62%,'-22.47%,'191,12.13%,'2688,'24.09,52.35%,116.21%,10.54%,医疗服务
'65,600060.海信视像,'22.51,'-1.96%,'42,14.35%,14.47%,'-41.59%,'59,4.35%,'294,'15.53,'-11.42%,18.19%,76.36%,家电行业
'66,600584.长电科技,'34.96,'+0.63%,'90,14.31%,14.31%,'-35.13%,'150,5.65%,'626,'38.31,'-1.8%,'-11.37%,37.62%,半导体
'67,688114.华大智造,'68.15,'+0.58%,'30,14.16%,27.64%,'-19.59%,'22,0.72%,'284,亏损,'-21.48%,53.38%,'-63.15%,医疗器械
'68,300567.精测电子,'59.26,'+0.87%,'25,14.14%,19.13%,'-34.71%,'24,0.63%,'164,亏损,'-7.61%,'-15.84%,4.49%,仪器仪表
'69,002180.纳思达,'24.13,'+0.63%,'60,14.05%,15.20%,'-31.23%,'79,1.95%,'341,'203.68,2.73%,'-27.27%,'-68.56%,计算机设备
'70,300012.华测检测,'12.36,'+0.08%,'35,13.89%,16.32%,'-14.64%,'34,15.96%,'208,'23.81,3.45%,'-6.81%,'-47.49%,专业服务
'71,002149.西部材料,'20.19,'-9.95%,'10,13.77%,13.77%,'-44.07%,'10,0.78%,'109,'109.37,12.03%,49.78%,31.96%,小金属
'72,000568.泸州老窖,'127.58,'+0.45%,'303,13.76%,13.81%,'-25.86%,'247,2.22%,'1870,'13.91,'-6.73%,'-12.45%,'-33.57%,酿酒行业
'73,300049.福瑞股份,'45.75,'+4.50%,'18,13.70%,15.60%,'-47.71%,'45,0.61%,'116,'109.3,31.52%,'-15.81%,81.35%,医疗器械
'74,603998.方盛制药,'11.03,'-2.82%,'7,13.62%,13.63%,'-50.69%,'21,'-,'48,'23.06,12.65%,'-29.98%,31.40%,中药
'75,688361.中科飞测,'85.99,'-2.08%,'27,13.61%,17.84%,'-18.06%,'44,0.35%,'277,亏损,5.25%,47.13%,14.33%,半导体
'76,688777.中控技术,'49.07,'+2.29%,'54,13.53%,13.73%,'-28.41%,'61,5.33%,'388,'38.97,'-1.62%,'-1.14%,'-32.55%,软件开发
'77,688536.思瑞浦,'149.04,'+2.89%,'18,13.50%,13.50%,'-36.98%,'15,0.70%,'198,亏损,'-4.2%,67.25%,'-54.14%,半导体
'78,002517.恺英网络,'19.76,'+2.76%,'34,13.44%,15.11%,'-28.70%,'96,5.16%,'411,'24.29,11.11%,91.30%,191.94%,游戏
'79,688599.天合光能,'15.72,'-0.25%,'66,13.43%,13.43%,'-31.55%,'39,6.91%,'343,亏损,5.53%,'-32.91%,'-88.62%,光伏设备
'80,688301.奕瑞科技,'87.28,'+2.47%,'24,13.41%,13.41%,'-39.96%,'29,0.58%,'175,'41.19,'-7.03%,2.88%,'-62.68%,医疗器械
'81,300855.图南股份,'27.31,'+1.22%,'14,13.36%,18.03%,'-46.12%,'27,0.92%,'107,'49.27,15.22%,'-2.78%,'-39.96%,有色金属
'82,002223.鱼跃医疗,'35.08,'-0.28%,'51,13.24%,14.14%,'-40.58%,'77,1.97%,'353,'26.03,'-4.97%,'-11.74%,'-9.28%,医疗器械
'83,000596.古井贡酒,'139.47,'-0.39%,'141,13.17%,17.04%,'-26.91%,'114,1.26%,'740,'12.94,'-18.25%,'-38.78%,'-40.12%,酿酒行业
'84,300858.科拓生物,'19.52,'-3.98%,'6,13.11%,17.83%,'+8.20%,'10,'-,'54,'63.97,43.00%,16.39%,6.42%,食品饮料
