,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
,,,,市值.亿,占总股本,占流通,变更,机构数,,,,近3月,近1年,近3年,
'1,688099.晶晨股份,'73.90,'+1.72%,'93,37.38%,37.38%,'+85.55%,'482,3.36%,'311,'38.99,'-2.99%,13.75%,14.58%,半导体
'2,688012.中微公司,'196.06,'+0.45%,'322,36.66%,36.66%,'+30.36%,'1102,9.18%,'1228,'86.24,0.31%,27.97%,66.21%,半导体
'3,300661.圣邦股份,'77.20,'+1.98%,'141,36.22%,37.78%,'+62.54%,'634,5.64%,'468,'107.61,'-2.53%,13.81%,'-25.88%,半导体
'4,002273.水晶光电,'20.97,'+0.72%,'85,35.82%,36.69%,'+209.88%,'709,4.12%,'290,'29.16,'-1.66%,'-0.07%,61.07%,光学光电子
'5,688212.澳华内镜,'50.80,'+1.09%,'19,35.56%,51.59%,'+78.33%,'209,0.36%,'68,亏损,5.95%,'-1.85%,'-40.43%,医疗器械
'6,002850.科达利,'116.68,'+2.03%,'71,34.68%,48.67%,'+57.17%,'415,2.43%,'313,'20.83,'-11.09%,16.7%,2.04%,电池
'7,300502.新易盛,'186.40,'+2.17%,'259,34.56%,39.11%,'+45.04%,'1264,5.10%,'1813,'44.5,111.47%,164.28%,1246.68%,通信设备
'8,688008.澜起科技,'90.94,'+6.79%,'223,34.15%,34.15%,'+52.78%,'728,10.07%,'1041,'67.99,10.88%,48.98%,43.23%,半导体
'9,300395.菲利华,'76.50,'-1.86%,'52,32.66%,33.21%,'+170.09%,'394,0.93%,'407,'131.31,64.95%,119.11%,13.65%,非金属材料
'10,002463.沪电股份,'52.58,0.00%,'220,31.47%,31.49%,'+44.81%,'1301,6.41%,'1011,'36.19,61.86%,37.17%,380.47%,电子元件
'11,603477.巨星农牧,'21.07,'+1.40%,'46,31.25%,31.25%,'+32.48%,'302,0.50%,'107,'14.13,'-0.93%,'-6.01%,'-7.9%,农牧饲渔
'12,688617.惠泰医疗,'281.00,'-0.66%,'77,31.07%,31.07%,'+26.79%,'430,3.20%,'396,'57.68,'-3.53%,'-11.83%,68.69%,医疗器械
'13,688596.正帆科技,'35.35,'+1.03%,'29,30.70%,30.70%,'+31.68%,'295,0.56%,'103,'20.83,'-7.92%,10.54%,'-30.59%,专用设备
'14,603986.兆易创新,'118.28,'+0.24%,'195,30.53%,30.61%,'+93.54%,'998,6.12%,'785,'73.37,'-9.04%,45.81%,24.84%,半导体
'15,688169.石头科技,'178.46,'-0.36%,'157,30.48%,30.48%,'+70.46%,'949,3.91%,'462,'30.41,10.62%,'-18.6%,90.58%,家电行业
'16,300347.泰格医药,'66.00,'-1.34%,'128,30.25%,46.11%,'+110.94%,'589,3.15%,'576,'88.05,47.79%,8.37%,'-36.72%,医疗服务
'17,688120.华海清科,'109.10,'+0.09%,'90,29.73%,41.40%,'+52.48%,'485,1.56%,'386,'43.0,'-0.95%,'-2.22%,17.26%,半导体
'18,300181.佐力药业,'19.13,'-2.05%,'31,29.58%,34.51%,'+331.32%,'472,0.61%,'137,'25.12,21.11%,31.27%,85.62%,中药
'19,688019.安集科技,'149.46,'-0.29%,'48,29.54%,29.54%,'+175.99%,'376,7.58%,'252,'43.25,3.24%,51.3%,37.61%,电子化学品
'20,688630.芯碁微装,'119.50,'-0.83%,'24,28.99%,28.99%,'+42.63%,'196,0.63%,'157,'96.65,58.22%,103.11%,40.96%,专用设备
'21,300218.安利股份,'19.70,'+2.50%,'9,28.96%,29.05%,'+39.89%,'136,'-,'42,'20.97,28.05%,9.25%,82.29%,塑料制品
'22,300308.中际旭创,'210.52,'-0.19%,'443,28.68%,28.82%,'+83.72%,'1680,3.72%,'2344,'41.5,110.9%,81.34%,892.05%,通信设备
'23,002025.航天电器,'52.30,'-0.06%,'60,28.38%,28.65%,'+203.67%,'454,0.19%,'238,'169.41,1.1%,'-14.38%,'-43.26%,电子元件
'24,688266.泽璟制药-U,'111.76,'-0.79%,'33,28.23%,28.23%,'+242.11%,'319,0.83%,'296,亏损,18.25%,68.8%,148.42%,化学制药
'25,000526.学大教育,'54.50,'-1.85%,'21,28.17%,29.21%,'+82.61%,'298,2.14%,'68,'38.19,0.65%,'-23.99%,248.5%,教育
'26,688050.爱博医疗,'77.45,'+0.81%,'38,27.73%,27.73%,'+250.64%,'304,2.99%,'150,'39.69,'-4.41%,'-25.74%,'-48.72%,医疗器械
'27,601058.赛轮轮胎,'13.29,'+0.45%,'127,27.68%,27.68%,'+23.97%,'991,4.31%,'437,'10.97,0.66%,'-20.16%,39.86%,橡胶制品
'28,603998.方盛制药,'11.03,'-2.82%,'12,27.59%,27.92%,'+118.71%,'142,'-,'48,'23.06,12.65%,'-29.98%,31.4%,中药
'29,688239.航宇科技,'38.06,'-1.07%,'14,27.58%,38.90%,'+73.89%,'219,0.75%,'73,'47.92,17.12%,44.27%,'-54.88%,航天航空
'30,300705.九典制药,'17.66,'-2.97%,'36,27.30%,45.15%,'+95.92%,'343,1.41%,'91,'18.5,12.05%,'-41.55%,'-10.85%,化学制药
'31,688639.华恒生物,'36.91,'-0.59%,'33,27.08%,27.11%,'+33.44%,'250,0.33%,'92,'65.0,28.26%,'-3.08%,'-57.32%,化学制品
'32,688062.迈威生物-U,'36.14,'+1.75%,'31,26.94%,52.73%,'+53.73%,'297,1.19%,'144,亏损,93.06%,29.97%,122.67%,生物制品
'33,688378.奥来德,'18.23,'+1.05%,'13,26.69%,27.61%,'+178.67%,'225,0.75%,'45,亏损,12.54%,19.01%,'-1.77%,专用设备
'34,600285.羚锐制药,'23.10,'-0.52%,'36,26.56%,26.75%,'+163.48%,'378,1.73%,'131,'19.71,'-3.8%,'-24.4%,65.98%,中药
'35,688608.恒玄科技,'228.69,'-1.23%,'38,26.52%,26.52%,'+370.38%,'381,4.04%,'385,'68.46,'-26.03%,95.61%,167.31%,半导体
'36,300049.福瑞股份,'45.75,'+4.50%,'35,26.49%,29.84%,'+57.88%,'311,0.61%,'116,'109.3,31.52%,'-15.81%,81.35%,医疗器械
'37,688390.固德威,'43.98,'+0.94%,'36,26.42%,26.42%,'+326.08%,'252,1.40%,'107,亏损,'-0.47%,'-28.96%,'-88.87%,光伏设备
'38,688076.ST诺泰,'46.70,'-5.18%,'44,26.09%,26.09%,'+96.34%,'370,0.55%,'148,'29.88,19.19%,'-15.08%,193.98%,化学制药
'39,603596.伯特利,'50.99,'+6.05%,'60,25.46%,25.52%,'+224.40%,'497,6.34%,'309,'26.05,'-15.87%,6.69%,'-35.09%,汽车零部件
'40,688333.铂力特,'67.15,'-1.06%,'33,25.28%,25.28%,'+202.06%,'187,1.28%,'182,'300.0,'-2.39%,27.39%,'-28.19%,通用设备
'41,603129.春风动力,'244.01,'+7.59%,'54,25.11%,25.11%,'+81.45%,'376,3.88%,'372,'23.56,36.28%,57.47%,68.94%,交运设备
'42,300014.亿纬锂能,'44.26,'+0.20%,'204,25.01%,27.49%,'+41.47%,'758,3.97%,'904,'27.56,'-7.9%,6.6%,'-61.03%,电池
'43,600426.华鲁恒升,'23.68,'+0.42%,'141,24.93%,25.03%,'+62.18%,'830,3.60%,'503,'14.35,9.75%,'-16.54%,'-19.89%,化学原料
'44,002541.鸿路钢构,'18.10,'+1.12%,'29,24.93%,34.66%,'+136.81%,'183,0.70%,'124,'24.28,'-12.53%,31.65%,'-56.89%,水泥建材
'45,300037.新宙邦,'34.69,'+2.79%,'53,24.85%,34.53%,'+87.42%,'474,0.78%,'252,'25.53,2.45%,'-24.02%,'-19.94%,电池
'46,002567.唐人神,'4.85,'+0.21%,'19,24.82%,24.85%,'+101.36%,'191,0.76%,'69,'17.11,'-4.73%,'-27.5%,'-43.78%,农牧饲渔
'47,300855.图南股份,'27.31,'+1.22%,'26,24.80%,34.82%,'+76.99%,'179,0.92%,'107,'49.27,15.22%,'-2.78%,'-39.96%,有色金属
'48,000528.柳工,'10.97,'+0.18%,'55,24.77%,34.03%,'+234.53%,'466,3.27%,'222,'17.16,6.17%,'-6.28%,81.27%,工程机械
'49,300285.国瓷材料,'18.74,'+0.70%,'44,24.67%,30.60%,'+50.79%,'255,5.61%,'186,'31.63,4.32%,'-4.37%,'-34.82%,化学制品
'50,002922.伊戈尔,'17.41,'-0.23%,'21,24.64%,26.12%,'+999.00%,'303,0.31%,'69,'30.6,5.08%,'-32.61%,'-10.46%,电子元件
'51,688408.中信博,'50.55,'-0.49%,'31,24.64%,24.65%,'+148.74%,'479,4.59%,'111,'19.79,'-2.28%,'-44.91%,'-48.87%,光伏设备
'52,300633.开立医疗,'32.32,'-1.13%,'42,24.63%,24.63%,'+96.25%,'341,1.31%,'141,'300.0,'-4.2%,'-16.67%,'-49.15%,医疗器械
'53,002149.西部材料,'20.19,'-9.95%,'17,24.62%,24.62%,'+67.33%,'143,0.78%,'109,'109.37,12.03%,49.78%,31.96%,小金属
'54,688766.普冉股份,'68.80,'+2.38%,'25,24.58%,42.39%,'+519.85%,'338,0.32%,'102,'44.95,4.44%,25.77%,44.8%,半导体
'55,600060.海信视像,'22.51,'-1.96%,'79,24.57%,24.88%,'+41.12%,'442,4.35%,'294,'15.53,'-11.42%,18.19%,76.36%,家电行业
'56,300274.阳光电源,'76.90,'+1.98%,'314,24.42%,31.84%,'+79.54%,'1316,4.20%,'1563,'12.73,11.75%,'-25.54%,'-30.44%,光伏设备
