,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
,,,,市值.亿,占总股本,占流通,变更,机构数,,,,近3月,近1年,近3年,
'39,300567.精测电子,'59.26,'+0.87%,'28,14.98%,20.72%,'-43.70%,'33,0.63%,'164,亏损,'-7.61%,'-15.84%,4.49%,仪器仪表
'40,300274.阳光电源,'76.90,'+1.98%,'215,14.93%,19.47%,'-33.91%,'354,4.20%,'1563,'12.73,11.75%,'-25.54%,'-30.44%,光伏设备
'41,688256.寒武纪-U,'694.34,'-0.09%,'386,14.85%,14.85%,'-36.04%,'383,3.75%,'2905,亏损,'-2.81%,163.87%,942.1%,半导体
'42,688677.海泰新光,'44.90,'+0.90%,'7,14.68%,14.68%,'-24.73%,'22,1.17%,'54,'38.74,21.34%,34.16%,'-62.4%,医疗器械
'43,601058.赛轮轮胎,'13.29,'+0.45%,'69,14.58%,14.58%,'-27.97%,'141,4.31%,'437,'10.97,0.66%,'-20.16%,39.86%,橡胶制品
'44,300662.科锐国际,'32.85,'-0.42%,'10,14.39%,14.43%,'-16.64%,'49,0.27%,'65,'40.0,3.35%,123.63%,'-21.17%,专业服务
'45,000423.东阿阿胶,'51.30,'-0.68%,'56,14.35%,14.35%,'-35.15%,'121,9.35%,'333,'21.75,'-9.58%,'-21.39%,38.69%,中药
'46,300476.胜宏科技,'197.65,'+4.32%,'100,14.35%,14.47%,'-30.77%,'243,3.21%,'1635,'87.94,129.62%,547.55%,1265.11%,电子元件
'47,300533.冰川网络,'37.91,'+2.46%,'8,14.13%,20.11%,'-8.24%,'17,3.30%,'87,'26.67,50.56%,148.82%,107.6%,游戏
'48,688019.安集科技,'149.46,'-0.29%,'31,14.10%,14.10%,'-52.20%,'96,7.58%,'252,'43.25,3.24%,51.3%,37.61%,电子化学品
'49,688010.福光股份,'36.49,'+1.39%,'8,13.86%,13.86%,'-9.54%,'28,0.29%,'59,亏损,'-4.18%,130.67%,61.66%,光学光电子
'50,300285.国瓷材料,'18.74,'+0.70%,'25,13.61%,16.88%,'-33.31%,'22,5.61%,'186,'31.63,4.32%,'-4.37%,'-34.82%,化学制品
'51,300693.盛弘股份,'33.34,'+0.03%,'15,13.58%,15.90%,'+26.64%,'53,3.06%,'104,'24.51,1.32%,41.85%,'-26.61%,电源设备
'52,688114.华大智造,'68.15,'+0.58%,'44,13.58%,26.56%,'-26.33%,'52,0.72%,'284,亏损,'-21.48%,53.38%,'-63.15%,医疗器械
'53,300759.康龙化成,'29.44,'-1.24%,'64,13.47%,16.87%,'-38.95%,'72,2.91%,'530,'43.7,22.96%,25.92%,'-33.46%,医疗服务
'54,688596.正帆科技,'35.35,'+1.03%,'15,13.45%,13.45%,'-50.44%,'59,0.56%,'103,'20.83,'-7.92%,10.54%,'-30.59%,专用设备
'55,688023.安恒信息,'59.39,'+0.35%,'7,13.43%,13.46%,'-17.98%,'8,0.85%,'61,亏损,17.33%,73.02%,'-74.25%,软件开发
'56,000568.泸州老窖,'127.58,'+0.45%,'256,13.41%,13.43%,'-21.19%,'246,2.22%,'1870,'13.91,'-6.73%,'-12.45%,'-33.57%,酿酒行业
