,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
'41,600563.法拉电子,'111.41,'+1.81%,'65,24.38%,24.38%,'+163.99%,'572,7.06%,'251,'23.23,3.21%,6.82%,'-46.29%,电子元件
'42,600079.人福医药,'21.86,'-0.32%,'92,24.11%,25.51%,'+97.53%,'599,2.67%,'357,'29.6,2.63%,'-18.48%,6.12%,化学制药
'43,688062.迈威生物-U,'36.14,'+1.75%,'19,23.92%,46.82%,'+95.59%,'180,1.19%,'144,亏损,93.06%,29.97%,122.67%,生物制品
'44,603179.新泉股份,'48.45,'+4.87%,'49,23.74%,23.74%,'+47.66%,'399,3.41%,'236,'24.18,3.83%,0.69%,2.55%,汽车零部件
'45,002422.科伦药业,'37.57,'+0.05%,'113,23.55%,28.81%,'+36.53%,'689,2.50%,'600,'24.25,7.9%,'-5.23%,52.77%,化学制药
'46,603259.药明康德,'93.58,'+0.31%,'372,23.42%,27.05%,'+61.16%,'994,12.13%,'2688,'24.09,52.35%,116.21%,10.54%,医疗服务
'47,300633.开立医疗,'32.32,'-1.13%,'30,23.42%,23.42%,'+111.42%,'331,1.31%,'141,'300.0,'-4.2%,'-16.67%,'-49.15%,医疗器械
'48,600089.特变电工,'13.40,'+0.37%,'150,23.23%,23.23%,'+13.00%,'383,4.40%,'677,'19.37,9.82%,'-16.28%,'-21.49%,电网设备
'49,688256.寒武纪-U,'694.34,'-0.09%,'638,23.22%,23.22%,'+18.79%,'1158,3.75%,'2905,亏损,'-2.81%,163.87%,942.1%,半导体
'50,301030.仕净科技,'18.62,'+1.03%,'11,23.14%,27.31%,'+115.61%,'94,1.27%,'37,亏损,'-4.37%,'-48.02%,'-43.34%,专用设备
'51,000528.柳工,'10.97,'+0.18%,'55,23.07%,31.46%,'+40.67%,'498,3.27%,'222,'17.16,6.17%,'-6.28%,81.27%,工程机械
'52,300181.佐力药业,'19.13,'-2.05%,'25,22.88%,26.70%,'+236.62%,'356,0.61%,'137,'25.12,21.11%,31.27%,85.62%,中药
'53,001283.豪鹏科技,'79.12,'-2.32%,'11,22.78%,32.34%,'+156.25%,'149,'-,'65,'64.34,46.43%,102.92%,36.01%,电池
'54,603596.伯特利,'50.99,'+6.05%,'61,22.62%,22.67%,'+42.39%,'591,6.34%,'309,'26.05,'-15.87%,6.69%,'-35.09%,汽车零部件
'55,688085.三友医疗,'19.62,'-1.01%,'12,22.62%,22.62%,'+252.29%,'137,0.31%,'65,'300.0,10.55%,5.73%,'-24.88%,医疗器械
'56,300274.阳光电源,'76.90,'+1.98%,'346,22.59%,29.46%,'-1.64%,'1283,4.20%,'1563,'12.73,11.75%,'-25.54%,'-30.44%,光伏设备
'57,300705.九典制药,'17.66,'-2.97%,'20,22.58%,30.55%,'+42.62%,'318,1.41%,'91,'18.5,12.05%,'-41.55%,'-10.85%,化学制药
'58,688518.联赢激光,'22.32,'-0.80%,'12,22.56%,22.56%,'+217.71%,'183,1.04%,'76,'51.59,30.71%,59.06%,'-49.33%,专用设备
'59,300014.亿纬锂能,'44.26,'+0.20%,'214,22.43%,24.65%,'+17.20%,'829,3.97%,'904,'27.56,'-7.9%,6.6%,'-61.03%,电池
'60,300298.三诺生物,'20.95,'-0.57%,'33,22.42%,27.78%,'+36.25%,'200,3.96%,'118,'41.58,'-7.85%,'-40.55%,'-52.68%,医疗器械
'61,603606.东方电缆,'48.27,'-0.29%,'81,22.29%,22.29%,'+51.89%,'755,6.09%,'332,'33.53,'-8.37%,'-25.71%,'-46.55%,电网设备
'62,688213.思特威-W,'99.46,'-0.77%,'69,22.26%,27.73%,'+98.48%,'478,1.59%,'400,'71.24,3.02%,86.04%,154.23%,半导体
'63,688372.伟测科技,'60.92,'+0.64%,'15,22.12%,31.99%,'+495.11%,'301,0.82%,'91,'71.95,8.22%,68.46%,'-7.45%,半导体
'64,000423.东阿阿胶,'51.30,'-0.68%,'89,22.12%,22.12%,'+33.37%,'586,9.35%,'333,'21.75,'-9.58%,'-21.39%,38.69%,中药
'65,300759.康龙化成,'29.44,'-1.24%,'101,22.07%,27.65%,'+67.75%,'470,2.91%,'530,'43.7,22.96%,25.92%,'-33.46%,医疗服务
'66,002738.中矿资源,'35.72,'-0.28%,'57,22.06%,22.38%,'+140.73%,'494,2.27%,'258,'61.98,13.12%,'-1.93%,'-55.32%,能源金属
'67,605305.中际联合,'37.34,'-1.99%,'13,22.05%,22.05%,'+215.14%,'350,1.49%,'79,'25.53,37.5%,37.87%,28.63%,风电设备
'68,688122.西部超导,'55.36,'+0.16%,'61,21.91%,21.91%,'+41.01%,'523,2.51%,'360,'47.22,8.18%,29.6%,'-37.54%,有色金属
'69,688279.峰岹科技,'188.40,'-0.45%,'32,21.76%,35.99%,'+45.72%,'210,3.58%,'215,'113.38,'-24.98%,60.95%,125.73%,半导体
'70,001301.尚太科技,'52.00,'+2.02%,'39,21.52%,35.10%,'+144.85%,'407,2.75%,'133,'14.57,'-5.16%,'-3.81%,'-2.31%,非金属材料
'71,300203.聚光科技,'20.33,'-0.24%,'14,21.11%,21.13%,'+103.63%,'165,4.24%,'91,'68.74,'-4.86%,59.81%,'-56.44%,环保行业
'72,300218.安利股份,'19.70,'+2.50%,'7,21.05%,21.12%,'+1.29%,'89,'-,'42,'20.97,28.05%,9.25%,82.29%,塑料制品
'73,688498.源杰科技,'218.70,'+0.49%,'24,21.03%,29.89%,'+434.38%,'248,1.17%,'188,亏损,55.9%,139.77%,152.18%,半导体
'74,002475.立讯精密,'36.21,'-0.71%,'619,21.00%,21.05%,'+14.81%,'2293,4.73%,'2645,'22.19,5.1%,'-29.56%,9.84%,消费电子
'75,603998.方盛制药,'11.03,'-2.82%,'10,20.95%,20.97%,'+53.82%,'212,'-,'48,'23.06,12.65%,'-29.98%,31.4%,中药
'76,300476.胜宏科技,'197.65,'+4.32%,'75,20.73%,20.91%,'+29.95%,'720,3.21%,'1635,'87.94,129.62%,547.55%,1265.11%,电子元件
'77,688521.芯原股份,'101.88,'-0.10%,'54,20.71%,20.82%,'+80.23%,'312,1.11%,'536,亏损,15.29%,252.26%,85.94%,半导体
'78,002821.凯莱英,'109.78,'-0.55%,'58,20.69%,23.16%,'+75.02%,'324,3.80%,'398,'44.2,34.24%,53.07%,'-34.94%,医疗服务
'79,688599.天合光能,'15.72,'-0.25%,'87,20.68%,20.68%,'+54.06%,'414,6.91%,'343,亏损,5.53%,'-32.91%,'-88.62%,光伏设备
'80,600422.昆药集团,'14.61,'-0.95%,'25,20.59%,20.59%,'+86.40%,'188,1.26%,'111,'29.23,'-10.97%,'-18.42%,'-20.54%,中药
'81,002517.恺英网络,'19.76,'+2.76%,'60,20.53%,23.08%,'+52.73%,'723,5.16%,'411,'24.29,11.11%,91.3%,191.94%,游戏
'82,300285.国瓷材料,'18.74,'+0.70%,'35,20.41%,25.32%,'+9.66%,'272,5.61%,'186,'31.63,4.32%,'-4.37%,'-34.82%,化学制品
'83,600426.华鲁恒升,'23.68,'+0.42%,'94,20.39%,20.46%,'+31.46%,'645,3.60%,'503,'14.35,9.75%,'-16.54%,'-19.89%,化学原料
'84,688687.凯因科技,'35.90,'+0.84%,'8,20.35%,20.35%,'+35.63%,'111,'-,'61,'43.76,37.41%,56.96%,80.75%,生物制品
'85,603885.吉祥航空,'12.43,'-0.56%,'61,20.32%,20.32%,'+61.80%,'435,1.17%,'271,'39.18,'-8.85%,'-10.53%,'-29.26%,航空机场
'86,301358.湖南裕能,'31.36,'+0.97%,'69,20.25%,39.99%,'+254.78%,'602,0.50%,'236,'46.95,'-2.88%,'-16.57%,'-52.38%,电池
'87,601058.赛轮轮胎,'13.29,'+0.45%,'95,20.24%,20.24%,'+6.13%,'592,4.31%,'437,'10.97,0.66%,'-20.16%,39.86%,橡胶制品
'88,301031.中熔电气,'85.90,'-0.74%,'14,20.22%,30.87%,'+250.47%,'279,0.93%,'85,'39.27,'-4.11%,43.64%,'-37.74%,电网设备
'89,002028.思源电气,'77.30,'-0.59%,'114,20.17%,25.90%,'+56.85%,'662,19.90%,'605,'30.66,1.48%,'-10.56%,110.0%,电网设备
'90,688068.热景生物,'250.80,'+10.97%,'12,20.14%,20.14%,'+999.00%,'141,0.20%,'233,亏损,142.36%,876.72%,255.41%,医疗器械
'91,300394.天孚通信,'103.03,'-0.17%,'101,19.90%,19.95%,'+23.91%,'843,2.31%,'802,'58.26,86.02%,75.36%,590.19%,通信设备
'92,688083.中望软件,'68.79,'+3.23%,'21,19.88%,19.88%,'+60.61%,'241,0.43%,'117,亏损,'-4.15%,30.25%,'-47.26%,软件开发
'93,300910.瑞丰新材,'57.14,'+2.11%,'28,19.83%,28.33%,'+76.94%,'224,1.34%,'166,'23.09,'-5.82%,18.46%,'-34.51%,化学制品
'94,688239.航宇科技,'38.06,'-1.07%,'11,19.78%,19.93%,'+99.98%,'159,0.75%,'73,'47.92,17.12%,44.27%,'-54.88%,航天航空
'95,002078.太阳纸业,'14.40,'+1.12%,'82,19.76%,19.89%,'+53.43%,'611,1.70%,'398,'12.57,'-0.98%,'-4.77%,34.2%,造纸印刷
'96,688111.金山办公,'309.66,'-0.08%,'261,19.71%,19.71%,'+50.56%,'1051,3.71%,'1434,'89.98,'-0.23%,51.5%,'-2.12%,软件开发
'97,603345.安井食品,'73.82,'-0.42%,'47,19.64%,19.64%,'+67.46%,'440,4.07%,'246,'19.18,'-10.79%,'-22.48%,'-60.08%,食品饮料
'98,002171.楚江新材,'9.31,'+1.97%,'24,19.56%,19.68%,'+999.00%,'180,0.66%,'140,'54.47,0.86%,40.43%,17.47%,有色金属
'99,688677.海泰新光,'44.90,'+0.90%,'9,19.50%,19.50%,'+202.97%,'112,1.17%,'54,'38.74,21.34%,34.16%,'-62.4%,医疗器械
'100,300570.太辰光,'117.47,'-2.20%,'32,19.45%,22.98%,'+999.00%,'402,3.44%,'273,'90.41,50.52%,313.81%,606.94%,通信设备
