,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
,,,,市值.亿,占总股本,占流通,变更,机构数,,,,近3月,近1年,近3年,
'1,300502.新易盛,'186.40,'+2.17%,'296,36.10%,40.61%,'+7.42%,'1390,5.10%,'1813,'44.5,111.47%,164.28%,1246.68%,通信设备
'2,688266.泽璟制药-U,'111.76,'-0.79%,'57,34.59%,34.59%,'+74.19%,'393,0.83%,'296,亏损,18.25%,68.8%,148.42%,化学制药
'3,300661.圣邦股份,'77.20,'+1.98%,'133,34.41%,35.89%,'+41.21%,'597,5.64%,'468,'107.61,'-2.53%,13.81%,'-25.88%,半导体
'4,002850.科达利,'116.68,'+2.03%,'89,33.57%,47.06%,'+42.80%,'545,2.43%,'313,'20.83,'-11.09%,16.7%,2.04%,电池
'5,688012.中微公司,'196.06,'+0.45%,'388,33.00%,33.00%,'+16.09%,'881,9.18%,'1228,'86.24,0.31%,27.97%,66.21%,半导体
'6,688608.恒玄科技,'228.69,'-1.23%,'128,32.75%,32.75%,'+96.11%,'721,4.04%,'385,'68.46,'-26.03%,95.61%,167.31%,半导体
'7,688212.澳华内镜,'50.80,'+1.09%,'18,32.60%,32.60%,'+51.07%,'247,0.36%,'68,亏损,5.95%,'-1.85%,'-40.43%,医疗器械
'8,688099.晶晨股份,'73.90,'+1.72%,'92,32.07%,32.07%,'+25.21%,'510,3.36%,'311,'38.99,'-2.99%,13.75%,14.58%,半导体
'9,300395.菲利华,'76.50,'-1.86%,'61,31.07%,31.60%,'+39.53%,'584,0.93%,'407,'131.31,64.95%,119.11%,13.65%,非金属材料
'10,688617.惠泰医疗,'281.00,'-0.66%,'112,30.89%,30.89%,'+25.24%,'478,3.20%,'396,'57.68,'-3.53%,'-11.83%,68.69%,医疗器械
'11,688169.石头科技,'178.46,'-0.36%,'123,30.28%,30.28%,'+37.65%,'706,3.91%,'462,'30.41,10.62%,'-18.6%,90.58%,家电行业
'12,603997.继峰股份,'11.87,'+0.51%,'43,29.81%,29.81%,'+87.68%,'217,0.88%,'151,亏损,'-13.01%,'-21.34%,'-22.67%,汽车零部件
'13,688008.澜起科技,'90.94,'+6.79%,'231,29.68%,29.68%,'+14.30%,'700,10.07%,'1041,'67.99,10.88%,48.98%,43.23%,半导体
'14,688019.安集科技,'149.46,'-0.29%,'53,29.50%,29.50%,'+50.71%,'563,7.58%,'252,'43.25,3.24%,51.3%,37.61%,电子化学品
'15,688050.爱博医疗,'77.45,'+0.81%,'51,29.35%,29.35%,'+43.57%,'351,2.99%,'150,'39.69,'-4.41%,'-25.74%,'-48.72%,医疗器械
'16,603986.兆易创新,'118.28,'+0.24%,'208,29.31%,29.36%,'+46.57%,'956,6.12%,'785,'73.37,'-9.04%,45.81%,24.84%,半导体
'17,688002.睿创微纳,'70.77,'+8.03%,'61,28.71%,28.71%,'+71.00%,'464,2.88%,'323,'61.25,15.93%,154.35%,39.82%,半导体
'18,300347.泰格医药,'66.00,'-1.34%,'134,28.49%,43.22%,'+34.54%,'628,3.15%,'576,'88.05,47.79%,8.37%,'-36.72%,医疗服务
'19,688361.中科飞测,'85.99,'-2.08%,'79,28.08%,36.80%,'+106.29%,'499,0.35%,'277,亏损,5.25%,47.13%,14.33%,半导体
'20,002149.西部材料,'20.19,'-9.95%,'24,28.05%,28.06%,'+103.77%,'157,0.78%,'109,'109.37,12.03%,49.78%,31.96%,小金属
'21,688037.芯源微,'114.65,'-0.22%,'47,27.73%,27.73%,'+87.64%,'273,1.25%,'231,'300.0,12.61%,65.18%,'-12.2%,半导体
'22,002463.沪电股份,'52.58,0.00%,'210,27.59%,27.60%,'+25.49%,'1221,6.41%,'1011,'36.19,61.86%,37.17%,380.47%,电子元件
'23,002025.航天电器,'52.30,'-0.06%,'61,27.43%,27.69%,'+86.57%,'465,0.19%,'238,'169.41,1.1%,'-14.38%,'-43.26%,电子元件
'24,300037.新宙邦,'34.69,'+2.79%,'77,27.35%,37.76%,'+61.11%,'554,0.78%,'252,'25.53,2.45%,'-24.02%,'-19.94%,电池
'25,688596.正帆科技,'35.35,'+1.03%,'28,27.32%,27.32%,'+64.46%,'341,0.56%,'103,'20.83,'-7.92%,10.54%,'-30.59%,专用设备
'26,300567.精测电子,'59.26,'+0.87%,'48,27.14%,36.70%,'+92.51%,'327,0.63%,'164,亏损,'-7.61%,'-15.84%,4.49%,仪器仪表
'27,300679.电连技术,'48.92,'+0.51%,'68,27.05%,32.04%,'+167.52%,'594,3.20%,'207,'35.62,4.32%,25.85%,13.46%,消费电子
'28,688052.纳芯微,'179.90,'+0.98%,'50,26.80%,40.92%,'+376.30%,'339,0.52%,'256,亏损,'-4.09%,76.89%,'-34.6%,半导体
'29,688120.华海清科,'109.10,'+0.09%,'103,26.60%,37.04%,'+22.61%,'569,1.56%,'386,'43.0,'-0.95%,'-2.22%,17.26%,半导体
'30,688408.中信博,'50.55,'-0.49%,'42,26.51%,28.63%,'+108.97%,'470,4.59%,'111,'19.79,'-2.28%,'-44.91%,'-48.87%,光伏设备
'31,300827.上能电气,'23.55,'+1.07%,'42,26.32%,36.39%,'+258.28%,'431,0.89%,'117,'25.94,3.95%,'-33.17%,'-38.49%,光伏设备
'32,603129.春风动力,'244.01,'+7.59%,'61,25.82%,25.82%,'+68.59%,'536,3.88%,'372,'23.56,36.28%,57.47%,68.94%,交运设备
'33,688205.德科立,'65.79,'-2.08%,'28,25.59%,45.58%,'+688.34%,'213,0.56%,'104,'156.2,25.21%,151.23%,79.62%,光学光电子
'34,002541.鸿路钢构,'18.10,'+1.12%,'32,25.46%,35.41%,'+40.76%,'174,0.70%,'124,'24.28,'-12.53%,31.65%,'-56.89%,水泥建材
'35,688072.拓荆科技,'166.39,'-0.99%,'107,24.99%,45.21%,'+46.89%,'467,2.44%,'465,'211.47,2.81%,9.05%,18.33%,半导体
'36,002138.顺络电子,'28.90,'-1.30%,'63,24.92%,26.56%,'+112.04%,'605,6.23%,'236,'26.36,0.63%,'-7.26%,26.33%,电子元件
'37,002928.华夏航空,'8.50,0.00%,'25,24.83%,24.83%,'+114.72%,'261,0.60%,'109,'62.79,4.93%,23.96%,'-38.13%,航空机场
'38,600285.羚锐制药,'23.10,'-0.52%,'31,24.82%,24.82%,'+114.47%,'317,1.73%,'131,'19.71,'-3.8%,'-24.4%,65.98%,中药
'39,300308.中际旭创,'210.52,'-0.19%,'342,24.68%,24.80%,'-5.74%,'1400,3.72%,'2344,'41.5,110.9%,81.34%,892.05%,通信设备
'40,688301.奕瑞科技,'87.28,'+2.47%,'33,24.42%,24.42%,'+88.53%,'270,0.58%,'175,'41.19,'-7.03%,2.88%,'-62.68%,医疗器械
