,股票,价,涨,市值.亿,占总股本,占流通,变更,机构数,北上,市值.亿,PE,近3月,近1年,近3年,行业
'39,300347.泰格医药,'66.00,'-1.34%,'57,12.34%,18.77%,'-25.28%,'95,3.15%,'576,'88.05,47.79%,8.37%,'-36.72%,医疗服务
'40,603950.长源东谷,'23.92,'+0.38%,'10,12.14%,12.16%,'+59.89%,'37,0.29%,'78,'30.94,'-13.68%,80.62%,131.98%,汽车零部件
'41,300548.长芯博创,'93.82,'-1.66%,'24,12.11%,13.12%,'+144.71%,'88,2.14%,'278,'191.54,78.93%,424.33%,302.03%,通信设备
'42,002025.航天电器,'52.30,'-0.06%,'28,11.90%,11.94%,'-6.85%,'53,0.19%,'238,'169.41,1.10%,'-14.38%,'-43.26%,电子元件
'43,002138.顺络电子,'28.90,'-1.30%,'27,11.89%,12.67%,'-2.58%,'66,6.23%,'236,'26.36,0.63%,'-7.26%,26.33%,电子元件
'44,600060.海信视像,'22.51,'-1.96%,'36,11.88%,11.97%,'+16.59%,'69,4.35%,'294,'15.53,'-11.42%,18.19%,76.36%,家电行业
'45,603009.北特科技,'42.49,'+4.58%,'17,11.84%,11.84%,'+50.43%,'17,0.45%,'144,'235.99,'-9.94%,134.04%,531.94%,汽车零部件
'46,688498.源杰科技,'218.70,'+0.49%,'20,11.83%,16.90%,'+131.01%,'87,1.17%,'188,亏损,55.90%,139.77%,152.18%,半导体
'47,000880.潍柴重机,'43.32,'+1.19%,'15,11.80%,24.11%,'+60.76%,'55,0.60%,'142,'86.88,12.26%,377.17%,313.27%,通用设备
'48,688377.迪威尔,'31.09,'+10.44%,'5,11.63%,11.63%,'+3.89%,'21,'-,'61,'78.32,55.20%,140.16%,'-29.1%,专用设备
'49,603067.振华股份,'16.35,'+3.48%,'13,11.58%,11.58%,'+31.93%,'66,1.15%,'116,'22.84,3.39%,79.70%,52.97%,化学原料
'50,003010.若羽臣,'48.90,'+0.89%,'16,11.46%,15.59%,'+43.51%,'73,0.23%,'106,'88.96,26.08%,447.81%,447.20%,互联网服务
'51,688636.智明达,'40.63,'+2.39%,'6,11.39%,11.39%,'+129.54%,'30,'-,'68,'138.84,37.74%,199.87%,'-20.93%,互联网服务
'52,601899.紫金矿业,'20.16,'+1.46%,'590,11.38%,14.69%,'-1.83%,'1221,7.72%,'5358,'15.16,9.97%,12.84%,145.62%,有色金属
'53,688271.联影医疗,'129.15,'+0.47%,'119,11.30%,15.69%,'+15.63%,'117,2.67%,'1064,'97.77,'-10.97%,'-0.91%,'-49.93%,医疗器械
'54,688041.海光信息,'137.34,'-3.59%,'363,11.05%,28.98%,'-4.81%,'407,3.15%,'3192,'152.87,'-8.98%,53.33%,197.20%,半导体
'55,603997.继峰股份,'11.87,'+0.51%,'18,10.96%,10.96%,'-34.16%,'41,0.88%,'151,亏损,'-13.01%,'-21.34%,'-22.67%,汽车零部件
'56,002683.广东宏大,'38.05,'+4.10%,'28,10.91%,12.73%,'+25.97%,'65,0.79%,'278,'31.73,16.51%,61.24%,27.28%,采掘行业
'57,603119.浙江荣泰,'65.09,'+4.08%,'18,10.76%,19.20%,'+13.60%,'47,0.41%,'237,'105.51,37.95%,339.11%,130.30%,非金属材料
'58,603063.禾望电气,'39.21,'-0.25%,'17,10.75%,10.75%,'+46.13%,'80,2.97%,'178,'42.16,20.79%,198.91%,22.66%,风电设备
'59,688205.德科立,'65.79,'-2.08%,'11,10.68%,18.92%,'+84.36%,'45,0.56%,'104,'156.2,25.21%,151.23%,79.62%,光学光电子
'60,002318.久立特材,'22.33,'+0.90%,'24,10.58%,10.82%,'-11.78%,'66,4.57%,'216,'13.73,'-12.46%,'-6.92%,26.90%,钢铁行业
'61,688123.聚辰股份,'75.42,'+1.49%,'13,10.52%,10.52%,'-14.44%,'32,3.76%,'119,'42.79,'-4.69%,37.58%,'-16.95%,半导体
'62,301550.斯菱股份,'105.08,'+10.36%,'15,10.47%,17.14%,'+38.59%,'23,0.37%,'152,'82.45,'-0.11%,235.71%,142.75%,汽车零部件
'63,000568.泸州老窖,'127.58,'+0.45%,'175,10.46%,10.48%,'-21.98%,'126,2.22%,'1870,'13.91,'-6.73%,'-12.45%,'-33.57%,酿酒行业
'64,688279.峰岹科技,'188.40,'-0.45%,'18,10.36%,17.14%,'-31.27%,'39,3.58%,'215,'113.38,'-24.98%,60.95%,125.73%,半导体
'65,000333.美的集团,'71.70,'+0.45%,'568,10.27%,11.40%,'-2.61%,'1148,14.64%,'5478,'13.96,'-7.26%,'-12.2%,83.07%,家电行业
'66,002371.北方华创,'331.58,'+0.94%,'241,10.18%,10.19%,'-16.88%,'488,10.19%,'2370,'39.07,'-2.58%,18.52%,58.74%,半导体
'67,002155.湖南黄金,'18.72,'+1.30%,'28,10.16%,10.16%,'+17.54%,'67,1.81%,'289,'27.87,2.87%,37.50%,64.32%,贵金属
'68,600862.中航高科,'26.99,'+1.43%,'37,10.12%,10.12%,'+13.85%,'79,0.29%,'376,'33.04,10.78%,19.41%,'-11.1%,航天航空
'69,300475.香农芯创,'35.10,'+2.06%,'17,10.08%,10.48%,'+158.22%,'21,0.80%,'159,'60.19,3.35%,6.97%,88.32%,电子元件
'70,688469.芯联集成-U,'5.17,0.00%,'34,10.06%,16.05%,'+33.91%,'21,0.48%,'365,亏损,3.16%,19.57%,'-29.79%,半导体
'71,600285.羚锐制药,'23.10,'-0.52%,'13,10.06%,10.08%,'+37.77%,'30,1.73%,'131,'19.71,'-3.8%,'-24.4%,65.98%,中药
'72,688111.金山办公,'309.66,'-0.08%,'130,10.05%,10.05%,'-21.74%,'240,3.71%,'1434,'89.98,'-0.23%,51.50%,'-2.12%,软件开发
'73,603885.吉祥航空,'12.43,'-0.56%,'30,9.99%,9.99%,'-9.70%,'66,1.17%,'271,'39.18,'-8.85%,'-10.53%,'-29.26%,航空机场
'74,002558.巨人网络,'28.03,'+0.65%,'45,9.98%,9.98%,'+21.54%,'104,4.76%,'539,'34.09,90.30%,187.15%,258.50%,游戏
'75,300680.隆盛科技,'42.49,'+1.92%,'9,9.98%,13.37%,'-12.21%,'23,0.20%,'95,'50.84,'-9.01%,132.30%,34.58%,汽车零部件
'76,002294.信立泰,'48.80,'+0.06%,'53,9.97%,9.97%,'+83.00%,'79,1.37%,'544,'96.94,23.02%,28.59%,52.58%,化学制药
'77,603809.豪能股份,'16.12,'+1.45%,'13,9.97%,9.97%,'+483.09%,'52,0.48%,'139,'40.81,2.01%,168.22%,145.66%,汽车零部件
'78,601058.赛轮轮胎,'13.29,'+0.45%,'43,9.96%,9.96%,'-31.72%,'93,4.31%,'437,'10.97,0.66%,'-20.16%,39.86%,橡胶制品
'79,002078.太阳纸业,'14.40,'+1.12%,'37,9.96%,10.07%,'-16.47%,'82,1.70%,'398,'12.57,'-0.98%,'-4.77%,34.20%,造纸印刷
'80,002487.大金重工,'31.40,'-4.33%,'21,9.96%,10.07%,'-15.98%,'97,3.04%,'209,'33.03,11.41%,37.70%,'-41.0%,风电设备
'81,603181.皇马科技,'15.05,'+0.07%,'7,9.89%,9.89%,'+6.06%,'15,0.43%,'89,'22.45,16.86%,41.49%,1.05%,塑料制品
'82,002345.潮宏基,'16.44,'+6.20%,'13,9.83%,10.07%,'+223.38%,'87,7.36%,'138,'55.77,60.89%,221.39%,294.45%,珠宝首饰
'83,000596.古井贡酒,'139.47,'-0.39%,'69,9.80%,12.68%,'-13.49%,'41,1.26%,'740,'12.94,'-18.25%,'-38.78%,'-40.12%,酿酒行业
'84,688658.悦康药业,'32.59,'+2.90%,'8,9.74%,9.74%,'+69.33%,'24,0.70%,'147,亏损,120.44%,44.42%,55.36%,化学制药
'85,002847.盐津铺子,'70.72,'+0.06%,'21,9.72%,10.79%,'+44.32%,'58,3.32%,'193,'32.87,'-24.36%,53.69%,56.04%,食品饮料
'86,300124.汇川技术,'65.86,'+1.62%,'169,9.69%,10.94%,'-11.65%,'273,17.60%,'1747,'39.01,'-10.88%,26.95%,'-18.65%,电子元件
'87,600079.人福医药,'21.86,'-0.32%,'33,9.65%,10.21%,'-19.05%,'99,2.67%,'357,'29.6,2.63%,'-18.48%,6.12%,化学制药
'88,600809.山西汾酒,'182.10,'+0.45%,'207,9.63%,9.63%,'-19.90%,'137,4.02%,'2222,'17.57,'-16.08%,'-13.99%,'-35.3%,酿酒行业
'89,300953.震裕科技,'110.96,'+3.41%,'17,9.59%,13.34%,'+28.42%,'22,0.73%,'186,'72.08,'-3.96%,178.00%,49.60%,电池
'90,301188.力诺药包,'22.45,'+0.27%,'5,9.58%,9.58%,'-10.20%,'14,'-,'54,'75.91,18.16%,69.92%,38.62%,玻璃玻纤
'91,301000.肇民科技,'48.13,'+4.79%,'11,9.57%,10.14%,'+29.47%,'13,0.13%,'111,'83.36,'-15.05%,242.73%,322.27%,塑料制品
'92,603606.东方电缆,'48.27,'-0.29%,'34,9.50%,9.50%,'+1.48%,'150,6.09%,'332,'33.53,'-8.37%,'-25.71%,'-46.55%,电网设备
'93,002149.西部材料,'20.19,'-9.95%,'9,9.49%,9.49%,'-48.64%,'34,0.78%,'109,'109.37,12.03%,49.78%,31.96%,小金属
'94,002475.立讯精密,'36.21,'-0.71%,'235,9.36%,9.38%,'-39.22%,'569,4.73%,'2645,'22.19,5.10%,'-29.56%,9.84%,消费电子
'95,688120.华海清科,'109.10,'+0.09%,'37,9.34%,9.34%,'-38.74%,'93,1.56%,'386,'43.0,'-0.95%,'-2.22%,17.26%,半导体
'96,002027.分众传媒,'7.80,'-2.62%,'98,9.33%,9.33%,'-7.96%,'223,5.03%,'1157,'24.56,2.77%,17.07%,68.96%,文化传媒
'97,600276.恒瑞医药,'61.58,'-1.16%,'321,9.32%,9.69%,'-15.35%,'565,8.39%,'4087,'61.92,12.51%,12.37%,36.61%,化学制药
'98,688212.澳华内镜,'50.80,'+1.09%,'6,9.18%,9.18%,'-22.96%,'29,0.36%,'68,亏损,5.95%,'-1.85%,'-40.43%,医疗器械
'99,688698.伟创电气,'57.21,'+5.38%,'9,9.12%,9.12%,'+3.60%,'15,0.49%,'122,'50.57,12.29%,113.49%,150.34%,专用设备
'100,603596.伯特利,'50.99,'+6.05%,'29,9.09%,9.09%,'-21.38%,'115,6.34%,'309,'26.05,'-15.87%,6.69%,'-35.09%,汽车零部件
