排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'70,300487.蓝晓科技,'51.20,22.02%,21.01%,查看ROE详情,9.86%,'33.73,'6.31,1.41%,'259.72,'+8.23%,塑料制品
'71,600436.片仔癀,'201.51,21.99%,20.29%,查看ROE详情,3.19%,'39.75,'7.97,1.47%,'1215.74,'-5.21%,中药
'72,002920.德赛西威,'105.95,21.99%,23.70%,查看ROE详情,1.41%,'27.67,'5.61,1.16%,'573.32,'-2.60%,汽车零部件
'73,000596.古井贡酒,'139.47,21.96%,23.11%,查看ROE详情,1.26%,'12.94,'2.80,4.29%,'572.08,'-16.02%,酿酒行业
'74,603088.宁波精达,'9.25,21.95%,18.49%,查看ROE详情,'-,'33.19,'5.70,2.73%,'46.47,'+5.18%,通用设备
'75,603288.海天味业,'38.35,21.92%,20.94%,查看ROE详情,3.52%,'35.31,'6.78,2.24%,'2132.49,'-14.79%,食品饮料
'76,002555.三七互娱,'17.40,21.87%,19.53%,查看ROE详情,6.01%,'15.13,'2.83,5.83%,'380.06,'+15.67%,游戏
'77,002475.立讯精密,'36.21,21.69%,21.20%,查看ROE详情,4.73%,'22.19,'3.65,0.55%,'2644.81,'-10.66%,消费电子
'78,603613.国联股份,'24.03,21.56%,18.91%,查看ROE详情,1.14%,'12.65,'2.14,0.27%,'173.15,'-9.34%,互联网服务
'79,002372.伟星新材,'10.79,21.54%,16.73%,查看ROE详情,3.23%,'19.24,'3.29,5.58%,'171.14,'-10.86%,装修建材
'80,300705.九典制药,'17.66,21.39%,21.55%,查看ROE详情,1.41%,'18.50,'3.44,1.71%,'91.04,'+0.34%,化学制药
'81,600845.宝信软件,'25.18,21.18%,17.67%,查看ROE详情,3.11%,'35.71,'6.03,2.38%,'543.88,'-11.89%,互联网服务
'82,002318.久立特材,'22.33,21.15%,20.03%,查看ROE详情,4.57%,'13.73,'2.66,4.38%,'216.25,'-0.77%,钢铁行业
'83,000848.承德露露,'8.77,21.00%,18.24%,查看ROE详情,1.79%,'14.83,'2.56,3.40%,'92.94,'+0.63%,食品饮料
'84,002056.横店东磁,'15.82,20.96%,19.96%,查看ROE详情,3.04%,'14.30,'2.44,2.87%,'256.53,'+26.19%,光伏设备
'85,600938.中国海油,'26.01,20.87%,18.09%,查看ROE详情,1.99%,'9.44,'1.58,4.93%,'777.70,'-9.85%,石油行业
'86,000333.美的集团,'71.70,20.86%,20.86%,查看ROE详情,14.64%,'13.96,'2.38,4.91%,'5013.70,'-0.07%,家电行业
'87,300009.安科生物,'11.09,20.79%,17.34%,查看ROE详情,1.24%,'30.18,'4.72,2.17%,'192.84,'+32.22%,生物制品
'88,002463.沪电股份,'52.58,20.73%,24.65%,查看ROE详情,6.41%,'36.19,'7.99,0.95%,'1011.49,'+34.76%,电子元件
'89,603279.景津装备,'15.80,20.72%,17.88%,查看ROE详情,3.81%,'11.66,'1.97,6.71%,'91.08,'-9.41%,通用设备
'90,603568.伟明环保,'19.20,20.71%,21.09%,查看ROE详情,1.31%,'12.47,'2.33,2.50%,'327.28,'-9.03%,环保行业
'91,603298.杭叉集团,'21.70,20.62%,21.25%,查看ROE详情,4.11%,'13.92,'2.68,2.30%,'284.23,'+24.52%,工程机械
'92,002043.兔宝宝,'10.08,20.56%,18.81%,查看ROE详情,0.76%,'16.90,'2.66,5.95%,'83.87,'-12.46%,装修建材
'93,603170.宝立食品,'12.78,20.44%,16.21%,查看ROE详情,2.01%,'23.26,'3.57,3.13%,'51.12,'-14.46%,食品饮料
'94,002595.豪迈科技,'57.27,20.32%,21.97%,查看ROE详情,3.29%,'22.20,'4.29,1.39%,'446.96,'+14.89%,专用设备
'95,600660.福耀玻璃,'55.56,20.31%,23.06%,查看ROE详情,18.64%,'18.32,'3.84,3.24%,'1112.86,'-8.12%,玻璃玻纤
'96,300415.伊之密,'21.70,20.22%,21.67%,查看ROE详情,2.80%,'16.41,'3.21,2.35%,'99.52,'+10.82%,专用设备
'97,603565.中谷物流,'10.27,20.11%,17.56%,查看ROE详情,0.92%,'17.16,'1.86,7.69%,'215.68,'+13.39%,物流行业
'98,600760.中航沈飞,'64.72,20.07%,18.64%,查看ROE详情,1.28%,'59.66,'10.47,0.60%,'1834.87,'+28.68%,航天航空
'99,002648.卫星化学,'19.03,20.03%,22.68%,查看ROE详情,4.46%,'9.56,'2.01,2.64%,'638.36,'+4.33%,化学原料
'100,600976.健民集团,'41.69,19.89%,15.24%,查看ROE详情,3.86%,'20.24,'2.51,2.16%,'63.95,'+2.17%,中药
'101,300124.汇川技术,'65.86,19.86%,17.48%,查看ROE详情,17.60%,'39.01,'5.91,0.63%,'1746.86,'+13.14%,电子元件
'102,603259.药明康德,'93.58,19.80%,24.03%,查看ROE详情,12.13%,'24.09,'4.49,1.43%,'2325.59,'+73.71%,医疗服务
'103,601168.西部矿业,'17.47,19.74%,19.66%,查看ROE详情,4.92%,'13.41,'2.51,5.72%,'416.31,'+15.73%,有色金属
'104,601156.东航物流,'14.39,19.67%,15.51%,查看ROE详情,1.07%,'9.09,'1.27,4.70%,'228.45,'-12.78%,物流行业
'105,000915.华特达因,'34.74,19.62%,16.95%,查看ROE详情,3.15%,'16.05,'2.64,7.18%,'81.62,'+31.39%,化学制药
'106,688697.纽威数控,'16.29,19.59%,18.24%,查看ROE详情,0.06%,'27.76,'4.14,2.63%,'74.50,'+41.55%,通用设备
'107,002833.弘亚数控,'16.85,19.52%,17.51%,查看ROE详情,2.00%,'14.51,'2.35,4.26%,'69.70,'+2.58%,专用设备
'108,688625.呈和科技,'32.52,19.46%,19.62%,查看ROE详情,0.12%,'24.51,'4.42,1.32%,'61.24,'+20.26%,化学制品
'109,603338.浙江鼎力,'50.32,19.40%,17.88%,查看ROE详情,6.77%,'15.06,'2.44,1.99%,'254.79,'-20.22%,工程机械
'110,605099.共创草坪,'31.21,19.38%,19.81%,查看ROE详情,1.16%,'23.11,'4.30,2.05%,'125.35,'+51.63%,家用轻工
'111,300770.新媒股份,'41.41,19.20%,17.71%,查看ROE详情,1.08%,'13.96,'2.54,6.91%,'95.11,'+4.39%,文化传媒
'112,603596.伯特利,'50.99,19.09%,19.93%,查看ROE详情,6.34%,'26.05,'4.53,0.69%,'309.26,'+15.14%,汽车零部件
'113,600729.重庆百货,'28.86,19.07%,17.90%,查看ROE详情,2.83%,'10.36,'1.60,4.72%,'127.12,'+3.50%,商业百货
'114,603277.银都股份,'17.09,19.02%,19.35%,查看ROE详情,0.72%,'23.22,'3.51,4.05%,'104.88,'+9.25%,通用设备
'115,002884.凌霄泵业,'16.52,18.77%,19.02%,查看ROE详情,0.94%,'13.56,'2.43,6.08%,'58.87,'-3.90%,通用设备
'116,688100.威胜信息,'34.91,18.68%,21.00%,查看ROE详情,0.38%,'26.67,'5.17,1.49%,'171.65,'-2.13%,通信设备
'117,603551.奥普科技,'11.51,18.67%,18.89%,查看ROE详情,'-,'15.82,'3.09,7.46%,'44.91,'+13.25%,家电行业
'118,002050.三花智控,'27.65,18.61%,17.44%,查看ROE详情,4.72%,'34.33,'5.60,1.30%,'1004.76,'+18.71%,家电行业
'119,603439.贵州三力,'13.39,18.58%,16.70%,查看ROE详情,0.21%,'21.93,'3.49,2.54%,'54.87,'+5.97%,中药
'120,600750.江中药业,'22.06,18.55%,19.55%,查看ROE详情,1.44%,'18.77,'3.38,5.42%,'140.08,'+0.25%,中药
'121,003013.地铁设计,'14.85,18.52%,16.54%,查看ROE详情,0.11%,'13.75,'2.16,3.23%,'60.68,'+1.56%,工程咨询服务
'122,603100.川仪股份,'20.59,18.51%,17.41%,查看ROE详情,0.68%,'17.31,'2.39,2.79%,'105.67,'-1.79%,仪器仪表
'123,002572.索菲亚,'13.82,18.51%,16.74%,查看ROE详情,4.11%,'12.29,'1.79,7.20%,'133.67,'-13.88%,装修建材
'124,003006.百亚股份,'26.00,18.43%,20.56%,查看ROE详情,3.46%,'38.56,'6.97,2.14%,'110.12,'+10.36%,美容护理
'125,300638.广和通,'29.78,18.42%,16.95%,查看ROE详情,0.62%,'49.57,'5.92,1.21%,'220.83,'+49.74%,通信设备
'126,605090.九丰能源,'28.62,18.37%,18.77%,查看ROE详情,0.63%,'14.05,'1.93,4.17%,'190.58,'+3.41%,燃气
'127,601100.恒立液压,'80.11,18.16%,16.06%,查看ROE详情,7.65%,'45.11,'6.55,0.87%,'1074.13,'+53.33%,工程机械
'128,002014.永新股份,'11.69,18.05%,19.25%,查看ROE详情,0.54%,'16.17,'2.67,5.30%,'71.60,'+12.34%,包装材料
'129,300880.迦南智能,'20.57,18.02%,17.54%,查看ROE详情,'-,'22.94,'3.67,2.21%,'39.79,'-5.29%,电网设备
'130,603899.晨光股份,'31.87,18.01%,15.34%,查看ROE详情,3.13%,'24.72,'3.19,3.15%,'293.51,'+9.06%,家用轻工
'131,600885.宏发股份,'24.57,17.99%,18.76%,查看ROE详情,20.32%,'21.67,'3.61,1.50%,'358.66,'+9.88%,电网设备
'132,603505.金石资源,'15.93,17.96%,15.69%,查看ROE详情,0.52%,'50.17,'8.06,0.68%,'134.08,'-5.94%,采掘行业
'133,300015.爱尔眼科,'12.82,17.95%,17.85%,查看ROE详情,2.07%,'36.17,'5.49,1.24%,'1199.25,'-1.99%,医疗服务
'134,002615.哈尔斯,'8.53,17.88%,18.56%,查看ROE详情,'-,'13.46,'2.28,2.98%,'39.12,'+10.85%,家用轻工
'135,001323.慕思股份,'32.49,17.75%,15.92%,查看ROE详情,0.21%,'18.09,'2.76,5.46%,'128.22,'-11.28%,家用轻工
'136,300453.三鑫医疗,'8.78,17.75%,17.23%,查看ROE详情,'-,'21.89,'3.38,3.35%,'46.75,'+20.66%,医疗器械
'137,002088.鲁阳节能,'11.09,17.73%,15.66%,查看ROE详情,0.48%,'12.37,'1.94,7.17%,'57.26,'-7.14%,装修建材
'138,300360.炬华科技,'16.03,17.72%,18.52%,查看ROE详情,2.99%,'12.58,'1.99,3.75%,'82.22,'-1.93%,电网设备
'139,002415.海康威视,'29.28,17.68%,16.51%,查看ROE详情,0.44%,'22.45,'3.45,2.39%,'2708.10,'-2.26%,计算机设备
'140,000807.云铝股份,'16.10,17.58%,15.02%,查看ROE详情,5.67%,'13.16,'1.88,2.58%,'551.75,'+20.39%,有色金属
'141,300969.恒帅股份,'86.19,17.49%,15.36%,查看ROE详情,0.13%,'55.10,'7.43,0.33%,'98.41,'+48.49%,汽车零部件
'142,603611.诺力股份,'26.00,17.25%,16.03%,查看ROE详情,2.18%,'16.23,'2.17,3.45%,'66.98,'+51.00%,工程机械
'143,601717.中创智领,'17.39,17.19%,18.16%,查看ROE详情,5.04%,'8.47,'1.38,6.44%,'268.18,'+42.96%,汽车零部件
'144,603589.口子窖,'33.53,17.12%,15.63%,查看ROE详情,1.45%,'12.30,'1.80,3.89%,'200.55,'-11.24%,酿酒行业
'145,002895.川恒股份,'25.03,17.03%,16.75%,查看ROE详情,0.73%,'15.16,'2.36,4.38%,'150.58,'+7.09%,化学原料
'146,000739.普洛药业,'15.82,17.00%,15.40%,查看ROE详情,2.58%,'19.59,'2.66,2.24%,'186.28,'-0.21%,化学制药
'147,601918.新集能源,'6.63,16.98%,15.36%,查看ROE详情,0.47%,'7.33,'1.06,2.26%,'171.75,'-7.66%,煤炭行业
'148,600989.宝丰能源,'15.74,16.97%,17.21%,查看ROE详情,2.76%,'14.62,'2.54,1.78%,'1154.27,'-4.05%,化学原料
'149,601838.成都银行,'18.93,16.92%,15.96%,查看ROE详情,5.83%,'6.18,'0.91,4.71%,'802.34,'+15.94%,银行
'150,600690.海尔智家,'25.23,16.91%,17.29%,查看ROE详情,7.19%,'12.78,'2.01,3.82%,'1578.01,'-8.18%,家电行业
'151,300627.华测导航,'37.73,16.91%,18.22%,查看ROE详情,0.77%,'53.52,'7.83,0.97%,'289.21,'+27.76%,通信设备
'152,002262.恩华药业,'23.31,16.80%,16.86%,查看ROE详情,0.75%,'19.90,'3.14,1.52%,'240.63,'-2.69%,化学制药
'153,603676.卫信康,'12.89,16.62%,16.23%,查看ROE详情,'-,'25.61,'3.82,2.65%,'56.09,'+31.62%,化学制药
'154,603393.新天然气,'29.22,16.51%,15.21%,查看ROE详情,0.74%,'10.13,'1.45,3.08%,'123.87,'-3.47%,燃气
'155,002003.伟星股份,'10.95,16.39%,16.23%,查看ROE详情,2.41%,'18.02,'2.87,4.56%,'128.11,'-20.69%,纺织服装
'156,603201.常润股份,'17.12,16.23%,15.61%,查看ROE详情,'-,'14.03,'1.93,2.34%,'32.53,'+24.23%,汽车零部件
'157,300776.帝尔激光,'67.10,16.15%,16.32%,查看ROE详情,0.76%,'34.68,'4.96,0.59%,'181.02,'+6.31%,光伏设备
'158,000999.华润三九,'31.87,16.03%,15.77%,查看ROE详情,2.61%,'17.85,'2.54,3.16%,'536.94,'-5.86%,中药
'159,603040.新坐标,'49.78,15.98%,16.97%,查看ROE详情,'-,'32.65,'4.75,1.81%,'67.94,'+121.44%,汽车零部件
'160,601138.工业富联,'34.30,15.93%,16.04%,查看ROE详情,2.47%,'28.33,'4.33,1.87%,'6811.80,'+62.66%,消费电子
'161,603606.东方电缆,'48.27,15.91%,15.11%,查看ROE详情,6.09%,'33.53,'4.55,0.93%,'331.96,'-7.29%,电网设备
'162,600406.国电南瑞,'21.96,15.89%,15.75%,查看ROE详情,13.56%,'23.68,'3.52,2.60%,'1763.85,'-11.23%,电网设备
'163,002130.沃尔核材,'23.10,15.82%,16.87%,查看ROE详情,0.69%,'33.71,'5.07,0.59%,'292.17,'-7.97%,非金属材料
'164,600710.苏美达,'10.85,15.70%,15.76%,查看ROE详情,4.33%,'13.06,'1.81,3.40%,'141.78,'+21.28%,贸易行业
