序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'33,SH603799.华友钴业,'25,'42.82,'+0.85%,8.79%,'16.36,'1.89,1.17%,13.31%,'728.60,'+48.51%,能源金属
'36,SH688012.中微公司,'25,'196.06,'+0.45%,9.18%,'86.24,'6.09,0.15%,8.82%,'1227.62,'+3.82%,半导体
'48,SH688110.东芯股份,'25,'61.00,'+0.21%,0.40%,'-1.00,'8.55,0.00%,'-1.00%,'269.77,'+144.98%,半导体
'52,SZ000568.泸州老窖,'25,'127.58,'+0.45%,2.22%,'13.91,'3.73,1.07%,27.99%,'1869.53,'+3.10%,酿酒行业
'55,SH603329.上海雅仕,'25,'12.30,'-0.08%,'-,'66.68,'2.25,0.19%,4.30%,'25.39,'+24.30%,物流行业
'56,SZ002468.申通快递,'25,'16.10,'-1.11%,2.82%,'23.49,'2.53,0.41%,11.54%,'249.21,'+59.88%,物流行业
'64,SZ002916.深南电路,'25,'134.84,'-0.78%,2.14%,'47.95,'6.00,0.85%,13.88%,'906.10,'+42.22%,电子元件
'65,SZ002847.盐津铺子,'25,'70.72,'+0.06%,3.32%,'32.87,'10.01,2.27%,36.96%,'192.80,'+14.41%,食品饮料
'28,SH600901.江苏金租,'24,'5.93,'-1.33%,1.31%,'11.65,'1.38,4.55%,13.71%,'343.49,'+18.70%,多元金融
'46,SH601689.拓普集团,'24,'48.02,'+2.04%,5.07%,'31.86,'3.68,1.08%,14.38%,'834.51,'-0.93%,汽车零部件
'63,SZ000895.双汇发展,'24,'24.95,'-0.12%,1.81%,'18.70,'3.89,5.64%,21.88%,'865.47,'-1.12%,食品饮料
'72,SZ002028.思源电气,'24,'77.30,'-0.59%,19.90%,'30.66,'4.70,0.64%,18.02%,'605.29,'+7.05%,电网设备
'73,SZ002652.扬子新材,'24,'3.98,'-0.99%,'-,'-1.00,'7.87,0.00%,2.61%,'20.58,'+41.13%,装修建材
'77,SZ300693.盛弘股份,'24,'33.34,'+0.03%,3.06%,'24.51,'5.51,1.50%,25.29%,'104.25,'+25.64%,电源设备
'29,SH600160.巨化股份,'23,'27.56,'+0.73%,3.15%,'30.95,'4.00,0.83%,14.03%,'744.05,'+15.26%,化学制品
