,股票,价,涨,ROE,股息,扣非PE,PB,市值(亿),今年来,行业
'1,002052.同洲电子,'10.43,'+1.16%,234.38%,'-,'22.81,'26.73,'77.58,'+67.68%,家电行业
'2,603363.傲农生物,'3.73,'-0.80%,134.13%,'-,'-,'3.32,'97.09,'+5.37%,农牧饲渔
'3,000953.河化股份,0.00,0.00%,76.90%,'-,'300.00,'20.00,'29.36,'+43.47%,化学制药
'4,600671.天目药业,'14.71,'-2.19%,70.83%,'-,'73.50,'31.17,'17.91,'+67.54%,中药
'5,300641.正丹股份,'23.38,'-0.21%,57.04%,2.99%,'8.20,'3.81,'124.81,'-4.68%,化学制品
'6,600132.重庆啤酒,'55.36,'+0.02%,53.44%,4.34%,'21.56,'16.17,'267.93,'-10.71%,酿酒行业
'7,300502.新易盛,'186.40,'+2.17%,51.96%,0.18%,'44.50,'18.26,'1813.03,'+126.69%,通信设备
'8,002668.TCL智家,'10.48,0.00%,50.37%,'-,'10.64,'4.17,'113.61,'-20.12%,家电行业
'9,605499.东鹏饮料,'298.03,'-2.23%,50.26%,1.48%,'40.51,'17.74,'1549.79,'+20.99%,食品饮料
'10,300972.万辰集团,'147.56,'+1.22%,45.95%,0.39%,'58.55,'20.66,'273.51,'+84.39%,农牧饲渔
'11,600149.廊坊发展,'5.63,0.00%,45.18%,'-,'161.18,'8.95,'21.40,'+37.99%,电力行业
'12,002247.聚力文化,'2.81,'+1.08%,44.72%,'-,'70.07,'3.77,'23.65,'+10.20%,装修装饰
'13,002395.双象股份,'18.66,'-0.05%,44.15%,0.80%,'32.93,'3.51,'50.07,'+13.99%,塑料制品
'14,301004.嘉益股份,'69.18,'+0.01%,43.75%,3.10%,'13.19,'4.73,'100.61,'-13.72%,家用轻工
'15,605117.德业股份,'52.33,'+0.15%,40.42%,5.18%,'15.81,'4.61,'473.30,'-10.87%,光伏设备
'16,002629.仁智股份,'7.53,'-3.09%,39.37%,'-,'193.16,'61.50,'33.11,'+77.18%,采掘行业
'17,000007.全新好,'7.15,'-1.38%,37.44%,'-,'267.78,'13.87,'25.12,'+1.71%,房地产服务
'18,601127.赛力斯,'128.70,'+0.74%,37.25%,0.99%,'35.92,'9.09,'2102.14,'-2.78%,汽车整车
'19,688278.特宝生物,'86.74,'-1.88%,37.06%,0.71%,'40.60,'12.83,'352.86,'+19.22%,生物制品
'20,002847.盐津铺子,'70.72,'+0.06%,36.96%,2.27%,'32.87,'10.01,'192.80,'+14.41%,食品饮料
'21,300441.鲍斯股份,'8.39,'+0.24%,36.66%,5.38%,'19.44,'2.12,'53.94,'-0.14%,通用设备
'22,603202.天有为,'103.50,'-0.76%,36.22%,2.41%,'14.94,'5.28,'165.60,'+13.51%,汽车零部件
'23,300274.阳光电源,'76.90,'+1.98%,36.17%,1.43%,'12.73,'3.83,'1563.41,'+5.92%,光伏设备
'24,002714.牧原股份,'46.77,'+1.10%,36.00%,3.05%,'9.85,'3.31,'2527.08,'+23.33%,农牧饲渔
'25,300394.天孚通信,'103.03,'-0.17%,35.83%,0.69%,'58.26,'18.50,'802.29,'+58.76%,通信设备
'26,001221.C悍高,'45.83,'-6.11%,35.76%,'-,'35.08,'10.49,'195.24,'+197.02%,家用轻工
'27,600519.贵州茅台,'1423.88,'-0.27%,35.74%,3.62%,'20.09,'6.92,'17886.75,'-4.74%,酿酒行业
'28,600809.山西汾酒,'182.10,'+0.45%,34.84%,3.33%,'17.57,'5.79,'2221.55,'+2.34%,酿酒行业
'29,301317.鑫磊股份,'37.73,'-1.18%,34.77%,0.79%,'300.00,'4.16,'60.02,'+91.33%,通用设备
'30,300927.江天化学,'27.56,'+0.22%,34.38%,0.33%,'141.86,'4.12,'39.70,'+67.86%,化学原料
'31,603929.亚翔集成,'37.53,'-0.13%,34.24%,2.66%,'14.31,'4.41,'80.07,'+40.23%,装修装饰
'32,605333.沪光股份,'35.44,'+1.14%,33.47%,0.65%,'23.72,'6.68,'154.79,'+9.51%,汽车零部件
'33,300498.温氏股份,'17.53,0.00%,33.25%,2.00%,'9.30,'2.71,'1166.43,'+7.48%,农牧饲渔
'34,002032.苏泊尔,'51.23,'-0.33%,33.07%,5.47%,'19.73,'5.95,'411.90,'+1.08%,家电行业
'35,603605.珀莱雅,'82.39,'-0.12%,31.86%,1.44%,'20.30,'5.63,'326.47,'-1.32%,美容护理
'36,300308.中际旭创,'210.52,'-0.19%,31.55%,0.24%,'41.50,'11.31,'2343.57,'+71.13%,通信设备
'37,601336.新华保险,'68.00,'+0.59%,31.26%,2.04%,'7.78,'2.66,'1418.10,'+36.82%,保险
'38,688578.艾力斯,'99.41,'-0.36%,30.82%,0.65%,'30.73,'7.94,'447.35,'+66.64%,化学制药
'39,300492.华图山鼎,'64.25,'+0.64%,30.71%,0.29%,'147.23,'32.93,'125.56,'+23.98%,工程咨询服务
'40,000523.红棉股份,'3.30,'-0.60%,30.31%,'-,'78.22,'3.22,'60.94,'+8.20%,食品饮料
'41,688617.惠泰医疗,'281.00,'-0.66%,30.14%,0.43%,'57.68,'14.67,'396.25,'+9.91%,医疗器械
'42,300760.迈瑞医疗,'228.31,'+0.12%,29.79%,3.37%,'25.28,'7.16,'2764.73,'-9.69%,医疗器械
'43,002124.天邦食品,'3.04,'-0.65%,29.64%,'-,'8.35,'1.79,'67.99,'+8.96%,农牧饲渔
'44,600609.金杯汽车,'5.10,'+0.39%,29.54%,'-,'24.99,'4.52,'66.53,'-29.17%,汽车零部件
