,股票,价,涨,ROE,股息,扣非PE,PB,市值(亿),今年来,行业
'45,300926.博俊科技,'26.90,'+0.49%,29.54%,0.54%,'17.50,'4.41,'116.26,'+22.95%,汽车零部件
'46,688775.影石创新,'167.73,'+0.51%,29.50%,'-,'71.74,'20.03,'672.60,'+254.83%,消费电子
'47,600066.宇通客车,'25.65,'-1.65%,29.34%,5.85%,'16.04,'4.01,'567.88,'+1.02%,汽车整车
'48,300533.冰川网络,'37.91,'+2.46%,29.27%,'-,'26.67,'5.96,'86.75,'+91.85%,游戏
'49,600329.达仁堂,'40.90,'+1.59%,29.15%,3.13%,'42.21,'3.83,'233.17,'+38.00%,中药
'50,300628.亿联网络,'34.05,'+0.09%,29.02%,5.57%,'17.61,'4.53,'430.85,'-8.46%,通信设备
'51,301611.珂玛科技,'54.68,'+0.17%,29.01%,0.37%,'69.51,'14.80,'238.01,'-7.09%,非金属材料
'52,300033.同花顺,'292.70,'-0.19%,28.92%,1.02%,'88.65,'24.33,'1576.62,'+2.85%,软件开发
'53,603699.纽威股份,'33.24,'+1.71%,28.55%,4.56%,'21.43,'5.55,'255.47,'+55.34%,通用设备
'54,002027.分众传媒,'7.80,'-2.62%,28.45%,1.25%,'24.56,'6.36,'1156.82,'+10.95%,文化传媒
'55,000568.泸州老窖,'127.58,'+0.45%,27.99%,1.07%,'13.91,'3.73,'1869.53,'+3.10%,酿酒行业
'56,689009.九号公司-WD,'65.46,'+0.38%,27.90%,1.72%,'26.28,'6.95,'470.95,'+40.40%,交运设备
'57,605098.行动教育,'36.51,'+0.41%,27.65%,6.14%,'18.25,'4.40,'43.54,'+5.71%,教育
'58,300724.捷佳伟创,'66.80,'-1.66%,27.39%,1.77%,'8.91,'2.00,'236.20,'+8.09%,光伏设备
'59,601899.紫金矿业,'20.16,'+1.46%,27.38%,1.88%,'15.16,'3.67,'4150.69,'+35.27%,有色金属
'60,600779.水井坊,'41.95,'+0.24%,27.24%,2.19%,'15.18,'3.81,'204.51,'-21.62%,酿酒行业
'61,000526.学大教育,'54.50,'-1.85%,26.87%,'-,'38.19,'7.93,'67.67,'+29.58%,教育
'62,603195.公牛集团,'47.60,'-0.38%,26.74%,3.60%,'22.78,'5.10,'860.89,'-1.95%,家用轻工
'63,603129.春风动力,'244.01,'+7.59%,26.73%,1.58%,'23.56,'5.52,'372.30,'+58.75%,交运设备
'64,002517.恺英网络,'19.76,'+2.76%,26.62%,1.04%,'24.29,'5.67,'410.84,'+46.04%,游戏
'65,688516.奥特维,'35.60,'+1.83%,26.23%,6.90%,'10.98,'2.66,'112.37,'-13.77%,光伏设备
'66,600211.西藏药业,'42.12,'-4.01%,25.97%,4.65%,'15.48,'3.31,'135.76,'+17.14%,生物制品
'67,300866.安克创新,'131.43,'+5.80%,25.95%,1.68%,'33.03,'7.10,'664.60,'+36.66%,消费电子
'68,001389.广合科技,'63.24,'-0.25%,25.89%,0.76%,'35.43,'8.10,'269.60,'+26.97%,电子元件
'69,300573.兴齐眼药,'62.44,'-0.64%,25.82%,1.70%,'34.39,'8.84,'154.18,'+26.87%,化学制药
'70,300693.盛弘股份,'33.34,'+0.03%,25.29%,1.50%,'24.51,'5.51,'104.25,'+25.64%,电源设备
'71,000651.格力电器,'46.90,'+0.39%,25.25%,2.14%,'8.36,'1.83,'2616.98,'+5.43%,家电行业
'72,603198.迎驾贡酒,'41.16,'+0.10%,25.15%,3.64%,'13.28,'3.09,'329.28,'-20.82%,酿酒行业
'73,000911.广农糖业,'7.56,'-0.79%,25.08%,'-,'-,'23.28,'30.50,'+5.00%,食品饮料
'74,002355.兴民智通,'6.51,'+0.46%,24.98%,'-,'-,'2.91,'40.21,'+2.20%,汽车零部件
'75,603025.大豪科技,'14.29,'+1.20%,24.85%,2.43%,'25.95,'6.24,'159.57,'-3.76%,专用设备
'76,603477.巨星农牧,'21.07,'+1.40%,24.81%,0.82%,'14.13,'3.16,'107.47,'+19.63%,农牧饲渔
'77,300896.爱美客,'183.89,'-0.03%,24.78%,2.07%,'31.90,'6.75,'556.59,'+3.00%,美容护理
'78,002463.沪电股份,'52.58,0.00%,24.65%,0.95%,'36.19,'7.99,'1011.49,'+34.76%,电子元件
'79,002001.新和成,'22.26,'+0.14%,24.43%,3.15%,'9.97,'2.23,'683.22,'+4.55%,化学制药
'80,603355.莱克电气,'23.55,'+0.04%,24.19%,6.37%,'12.18,'2.61,'135.05,'+3.97%,家电行业
'81,601919.中远海控,'15.63,'+1.10%,24.18%,9.96%,'4.49,'0.99,'1970.93,'+7.69%,航运港口
'82,002251.步步高,'4.71,'-1.26%,24.04%,'-,'-,'1.60,'128.25,'+19.24%,商业百货
'83,603259.药明康德,'93.58,'+0.31%,24.03%,1.43%,'24.09,'4.49,'2325.59,'+73.71%,医疗服务
'84,600285.羚锐制药,'23.10,'-0.52%,23.98%,3.90%,'19.71,'3.96,'131.00,'+8.34%,中药
'85,002594.比亚迪,'104.35,'-0.49%,23.82%,1.26%,'23.09,'4.10,'5697.88,'+12.07%,汽车整车
'86,300750.宁德时代,'265.00,'-0.26%,23.77%,2.18%,'23.24,'4.11,'11699.82,'+2.10%,电池
'87,600988.赤峰黄金,'24.74,'+0.41%,23.74%,0.65%,'23.70,'4.32,'411.65,'+59.49%,贵金属
'88,002920.德赛西威,'105.95,'+2.56%,23.70%,1.16%,'27.67,'5.61,'573.32,'-2.60%,汽车零部件
'89,603529.爱玛科技,'35.63,'+0.71%,23.63%,2.57%,'16.01,'3.21,'309.65,'-11.70%,交运设备
'90,001400.江顺科技,'60.37,'+1.86%,23.54%,'-,'23.96,'4.73,'35.56,'+61.59%,通用设备
'91,601225.陕西煤业,'21.43,'+5.62%,23.53%,6.29%,'10.20,'2.15,'2077.64,'-2.07%,煤炭行业
'92,600096.云天化,'24.56,'+1.32%,23.52%,5.74%,'8.91,'1.89,'447.73,'+16.89%,化肥行业
'93,300209.有棵树,'5.29,'-1.12%,23.43%,'-,'-,'5.38,'49.68,'-2.22%,互联网服务
'94,688019.安集科技,'149.46,'-0.29%,23.34%,0.23%,'43.25,'8.75,'251.82,'+39.73%,电子化学品
'95,300857.协创数据,'78.57,'-0.32%,23.32%,0.26%,'40.45,'8.03,'272.81,'+3.19%,消费电子
'96,601702.华峰铝业,'16.40,'+1.80%,23.27%,1.83%,'13.64,'2.82,'163.76,'-8.78%,有色金属
'97,603855.华荣股份,'21.64,'+1.12%,23.11%,4.62%,'15.68,'3.26,'73.04,'+11.95%,专用设备
'98,000596.古井贡酒,'139.47,'-0.39%,23.11%,4.29%,'12.94,'2.80,'572.08,'-16.02%,酿酒行业
'99,300910.瑞丰新材,'57.14,'+2.11%,23.09%,2.14%,'23.09,'4.66,'165.61,'+22.53%,化学制品
'100,301015.百洋医药,'23.77,'+2.86%,23.06%,3.30%,'20.56,'4.94,'121.47,'+2.43%,医药商业
'101,600660.福耀玻璃,'55.56,'-0.41%,23.06%,3.24%,'18.32,'3.84,'1112.86,'-8.12%,玻璃玻纤
'102,300100.双林股份,'47.90,'+6.28%,22.93%,0.31%,'66.76,'9.16,'257.79,'+142.63%,汽车零部件
'103,002690.美亚光电,'17.37,'+1.05%,22.88%,4.07%,'23.84,'5.17,'151.66,'+22.09%,专用设备
'104,601628.中国人寿,'41.52,'+0.65%,22.73%,1.57%,'10.18,'2.20,'8645.93,'+0.17%,保险
'105,600662.外服控股,'5.80,0.00%,22.72%,2.24%,'28.62,'2.51,'132.44,'+14.40%,专业服务
'106,301609.山大电力,'48.33,'+0.27%,22.69%,'-,'63.60,'12.40,'78.51,'+229.67%,电网设备
'107,002648.卫星化学,'19.03,'+0.42%,22.68%,2.64%,'9.56,'2.01,'638.36,'+4.33%,化学原料
'108,301590.优优绿能,'155.39,'-0.24%,22.59%,0.77%,'28.04,'6.02,'65.42,'+74.79%,电源设备
'109,000921.海信家电,'25.40,'-0.16%,22.59%,3.99%,'12.95,'2.20,'235.39,'-12.11%,家电行业
'110,603993.洛阳钼业,'9.51,'+1.39%,22.55%,2.70%,'13.60,'2.72,'1660.53,'+47.60%,小金属
'111,002311.海大集团,'58.37,'+0.78%,22.53%,1.90%,'18.67,'3.95,'963.64,'+21.26%,农牧饲渔
'112,300979.华利集团,'52.28,'-0.70%,22.52%,4.37%,'16.36,'3.39,'614.43,'-30.61%,纺织服装
'113,300827.上能电气,'23.55,'+1.07%,22.41%,0.37%,'25.94,'5.20,'117.05,'-24.78%,光伏设备
'114,000858.五粮液,'122.16,'+0.17%,22.39%,4.71%,'14.54,'3.20,'4733.62,'-8.71%,酿酒行业
'115,000426.兴业银锡,'19.02,'+1.71%,22.37%,0.36%,'19.71,'4.01,'332.04,'+71.04%,有色金属
'116,603619.中曼石油,'19.32,'+1.20%,22.31%,3.78%,'12.01,'2.10,'89.32,'+1.32%,采掘行业
'117,603871.嘉友国际,'11.61,'-1.19%,22.27%,4.31%,'13.13,'2.71,'158.83,'-13.61%,物流行业
'118,603369.今世缘,'39.45,'-0.33%,22.08%,3.04%,'14.08,'2.88,'491.86,'-10.32%,酿酒行业
'119,002595.豪迈科技,'57.27,'+2.51%,21.97%,1.39%,'22.20,'4.29,'446.96,'+14.89%,专用设备
'120,301061.匠心家居,'98.00,'+4.18%,21.94%,0.82%,'29.77,'5.43,'204.68,'+107.49%,家电行业
'121,000895.双汇发展,'24.95,'-0.12%,21.88%,5.64%,'18.70,'3.89,'865.47,'-1.12%,食品饮料
'122,300881.盛德鑫泰,'37.18,'-1.09%,21.86%,2.66%,'18.62,'3.76,'41.35,'+24.99%,钢铁行业
'123,600961.株冶集团,'11.82,'+0.51%,21.81%,'-,'14.42,'2.81,'126.81,'+50.19%,有色金属
'124,301636.泽润新能,'56.55,'+0.62%,21.74%,'-,'29.49,'5.76,'35.89,'+71.05%,光伏设备
'125,000995.皇台酒业,'14.52,'+0.41%,21.73%,'-,'190.49,'16.47,'25.65,'-12.00%,酿酒行业
'126,688036.传音控股,'85.61,'+1.30%,21.72%,3.50%,'27.65,'4.70,'976.25,'-8.01%,消费电子
'127,300832.新产业,'55.70,'+1.64%,21.68%,2.37%,'24.77,'4.78,'430.57,'-19.59%,医疗器械
'128,300415.伊之密,'21.70,'+2.17%,21.67%,2.35%,'16.41,'3.21,'99.52,'+10.82%,专用设备
'129,300705.九典制药,'17.66,'-2.97%,21.55%,1.71%,'18.50,'3.44,'91.04,'+0.34%,化学制药
'130,601058.赛轮轮胎,'13.29,'+0.45%,21.55%,2.86%,'10.97,'2.13,'436.99,'-5.49%,橡胶制品
'131,600550.保变电气,'8.82,'+0.68%,21.45%,'-,'139.98,'25.77,'162.42,'+12.36%,电网设备
'132,300893.松原安全,'25.00,'+0.04%,21.43%,0.57%,'31.05,'5.59,'79.20,'+20.64%,汽车零部件
'133,300529.健帆生物,'23.33,'-0.85%,21.42%,3.40%,'27.16,'5.32,'187.91,'-17.62%,医疗器械
'134,603893.瑞芯微,'163.20,'+0.74%,21.38%,0.67%,'100.93,'18.25,'686.63,'+49.14%,半导体
'135,000408.藏格矿业,'50.00,'+2.46%,21.37%,0.54%,'24.90,'4.87,'766.27,'+80.31%,化肥行业
'136,600610.中毅达,'13.42,'-1.32%,21.35%,'-,'300.00,'100.00,'95.40,'+217.26%,化学原料
'137,688313.仕佳光子,'57.15,'-0.03%,21.30%,0.10%,'100.76,'18.85,'262.21,'+249.25%,通信设备
'138,603298.杭叉集团,'21.70,'+1.73%,21.25%,2.30%,'13.92,'2.68,'284.23,'+24.52%,工程机械
'139,002475.立讯精密,'36.21,'-0.71%,21.20%,0.55%,'22.19,'3.65,'2644.81,'-10.66%,消费电子
'140,603568.伟明环保,'19.20,'-0.05%,21.09%,2.50%,'12.47,'2.33,'327.28,'-9.03%,环保行业
'141,300476.胜宏科技,'197.65,'+4.32%,21.07%,0.16%,'87.94,'16.46,'1634.54,'+371.51%,电子元件
'142,300487.蓝晓科技,'51.20,'+0.08%,21.01%,1.41%,'33.73,'6.31,'259.72,'+8.23%,塑料制品
'143,688100.威胜信息,'34.91,'+0.06%,21.00%,1.49%,'26.67,'5.17,'171.65,'-2.13%,通信设备
'144,603288.海天味业,'38.35,'-0.13%,20.94%,2.24%,'35.31,'6.78,'2132.49,'-14.79%,食品饮料
'145,002315.焦点科技,'54.17,'-0.99%,20.92%,2.01%,'36.65,'7.15,'173.56,'+31.98%,互联网服务
'146,301560.众捷汽车,'36.26,'+0.64%,20.92%,'-,'43.48,'8.98,'43.81,'+119.76%,汽车零部件
'147,000525.红太阳,'7.01,'-0.43%,20.91%,'-,'-,'3.16,'91.38,'+17.42%,农药兽药
'148,000333.美的集团,'71.70,'+0.45%,20.86%,4.91%,'13.96,'2.38,'5013.70,'-0.07%,家电行业
'149,002371.北方华创,'331.58,'+0.94%,20.86%,0.24%,'39.07,'7.26,'2370.47,'+14.76%,半导体
'150,002970.锐明技术,'46.88,'+1.58%,20.81%,2.16%,'27.35,'4.53,'82.33,'-0.17%,计算机设备
'151,600563.法拉电子,'111.41,'+1.81%,20.79%,1.80%,'23.23,'4.52,'250.67,'-4.52%,电子元件
'152,301606.绿联科技,'49.58,'-0.52%,20.77%,1.20%,'42.59,'6.76,'206.79,'+32.76%,消费电子
'153,000680.山推股份,'9.96,'+0.91%,20.67%,0.91%,'14.14,'2.69,'148.06,'+3.65%,工程机械
'154,003006.百亚股份,'26.00,'+1.44%,20.56%,2.14%,'38.56,'6.97,'110.12,'+10.36%,美容护理
'155,603400.华之杰,'63.00,'+4.13%,20.55%,'-,'39.32,'8.09,'63.00,'+216.90%,通用设备
'156,300002.神州泰岳,'13.49,'-1.25%,20.54%,0.73%,'24.74,'3.70,'268.72,'+17.29%,游戏
'157,002158.汉钟精机,'17.35,'+0.35%,20.48%,3.35%,'11.62,'2.14,'92.45,'-3.21%,通用设备
'158,002172.澳洋健康,'4.25,'-0.23%,20.40%,'-,'146.47,'21.32,'32.62,'+35.78%,医疗服务
'159,002011.盾安环境,'12.15,'+2.53%,20.40%,'-,'13.44,'2.21,'126.25,'+12.40%,家电行业
'160,300570.太辰光,'117.47,'-2.20%,20.38%,0.67%,'90.41,'16.70,'272.80,'+63.01%,通信设备
'161,688208.道通科技,'36.55,'+2.52%,20.36%,1.66%,'39.99,'6.51,'244.95,'+40.00%,计算机设备
'162,600436.片仔癀,'201.51,'-0.03%,20.29%,1.47%,'39.75,'7.97,'1215.74,'-5.21%,中药
'163,603979.金诚信,'49.46,'-0.10%,20.28%,0.91%,'18.05,'3.27,'308.52,'+37.65%,采掘行业
'164,601600.中国铝业,'7.53,'+0.67%,20.15%,1.09%,'9.76,'1.76,'994.84,'+2.45%,有色金属
'165,601567.三星医疗,'22.79,'+0.31%,20.09%,3.92%,'14.01,'2.54,'320.26,'-22.97%,电网设备
'166,605296.神农集团,'32.28,'+1.35%,20.07%,'-,'18.42,'3.41,'169.42,'+16.53%,农牧饲渔
'167,002749.国光股份,'15.49,'-0.26%,20.05%,5.82%,'19.45,'3.54,'72.43,'+13.56%,农药兽药
'168,002318.久立特材,'22.33,'+0.90%,20.03%,4.38%,'13.73,'2.66,'216.25,'-0.77%,钢铁行业
'169,003000.劲仔食品,'12.74,'+0.08%,20.00%,3.14%,'22.44,'3.85,'57.40,'-4.90%,食品饮料
'170,002056.横店东磁,'15.82,'+0.32%,19.96%,2.87%,'14.30,'2.44,'256.53,'+26.19%,光伏设备
'171,603596.伯特利,'50.99,'+6.05%,19.93%,0.69%,'26.05,'4.53,'309.26,'+15.14%,汽车零部件
'172,002607.中公教育,'3.01,'+1.35%,19.92%,'-,'300.00,'23.96,'183.17,'-11.47%,教育
'173,002946.新乳业,'16.99,0.00%,19.88%,1.68%,'23.62,'4.47,'146.23,'+19.02%,食品饮料
'174,001390.古麒绒材,'24.28,'-0.21%,19.88%,'-,'28.52,'5.11,'48.66,'+100.99%,纺织服装
'175,600873.梅花生物,'11.12,'-0.71%,19.84%,5.41%,'10.70,'2.05,'317.23,'+15.26%,化学制品
'176,605099.共创草坪,'31.21,'-1.14%,19.81%,2.05%,'23.11,'4.30,'125.35,'+51.63%,家用轻工
'177,603444.吉比特,'384.78,'+3.88%,19.72%,2.60%,'29.06,'5.35,'277.20,'+78.42%,游戏
'178,601168.西部矿业,'17.47,'+0.58%,19.66%,5.72%,'13.41,'2.51,'416.31,'+15.73%,有色金属
'179,688625.呈和科技,'32.52,'+0.62%,19.62%,1.32%,'24.51,'4.42,'61.24,'+20.26%,化学制品
'180,300515.三德科技,'25.78,'-0.96%,19.60%,1.15%,'37.55,'6.41,'53.56,'+119.38%,仪器仪表
'181,300604.长川科技,'44.46,'+0.95%,19.58%,0.23%,'49.33,'7.34,'277.66,'+0.97%,半导体
'182,600750.江中药业,'22.06,'-0.50%,19.55%,5.42%,'18.77,'3.38,'140.08,'+0.25%,中药
'183,002555.三七互娱,'17.40,'+1.28%,19.53%,5.83%,'15.13,'2.83,'380.06,'+15.67%,游戏
'184,301031.中熔电气,'85.90,'-0.74%,19.50%,0.58%,'39.27,'6.90,'85.09,'+22.74%,电网设备
'185,603283.赛腾股份,'39.39,'-2.23%,19.38%,1.02%,'22.24,'3.42,'109.74,'-19.64%,专用设备
'186,300967.晓鸣股份,'20.28,0.00%,19.36%,0.99%,'25.69,'4.43,'38.04,'+74.41%,农牧饲渔
'187,603277.银都股份,'17.09,'+1.12%,19.35%,4.05%,'23.22,'3.51,'104.88,'+9.25%,通用设备
'188,002270.华明装备,'18.35,'+2.63%,19.30%,3.05%,'26.12,'4.79,'160.25,'+10.46%,电网设备
'189,002997.瑞鹄模具,'40.91,'+2.15%,19.30%,0.75%,'21.59,'3.59,'83.83,'+19.07%,汽车零部件
'190,600375.汉马科技,'7.12,'+2.74%,19.29%,'-,'-,'3.45,'114.14,'+29.22%,汽车整车
'191,300761.立华股份,'20.18,'+1.41%,19.28%,2.48%,'10.07,'1.79,'166.62,'+6.48%,农牧饲渔
'192,002564.天沃科技,'8.61,0.00%,19.25%,'-,'300.00,'47.06,'73.95,'+93.48%,专业服务
'193,002014.永新股份,'11.69,0.00%,19.25%,5.30%,'16.17,'2.67,'71.60,'+12.34%,包装材料
'194,300577.开润股份,'20.90,'+0.38%,19.20%,1.62%,'16.85,'2.26,'49.92,'-15.12%,纺织服装
'195,688726.拉普拉斯,'47.69,'+1.34%,19.19%,0.78%,'31.93,'5.09,'193.30,'+6.98%,光伏设备
'196,002991.甘源食品,'56.79,'+1.10%,19.16%,9.00%,'17.24,'2.96,'52.36,'-37.61%,食品饮料
'197,603173.福斯达,'43.72,'+0.71%,19.08%,1.14%,'23.69,'4.01,'69.95,'+92.39%,通用设备
'198,603337.杰克股份,'43.06,'+2.72%,19.02%,1.88%,'25.04,'4.27,'205.15,'+43.17%,专用设备
'199,002884.凌霄泵业,'16.52,'+0.36%,19.02%,6.08%,'13.56,'2.43,'58.87,'-3.90%,通用设备
'200,300251.光线传媒,'20.82,'-0.86%,18.97%,0.95%,'33.69,'5.72,'616.06,'+123.01%,文化传媒
'201,603236.移远通信,'84.68,'+0.20%,18.95%,0.81%,'32.51,'5.22,'221.57,'+24.46%,通信设备
'202,603613.国联股份,'24.03,'-0.54%,18.91%,0.27%,'12.65,'2.14,'173.15,'-9.34%,互联网服务
'203,603551.奥普科技,'11.51,'-0.35%,18.89%,7.46%,'15.82,'3.09,'44.91,'+13.25%,家电行业
'204,603049.中策橡胶,'45.38,'+0.07%,18.84%,2.86%,'11.72,'2.13,'396.84,'+0.41%,橡胶制品
'205,002043.兔宝宝,'10.08,0.00%,18.81%,5.95%,'16.90,'2.66,'83.87,'-12.46%,装修建材
'206,605090.九丰能源,'28.62,'+0.21%,18.77%,4.17%,'14.05,'1.93,'190.58,'+3.41%,燃气
'207,600885.宏发股份,'24.57,'+0.20%,18.76%,1.50%,'21.67,'3.61,'358.66,'+9.88%,电网设备
'208,601882.海天精工,'20.13,'+2.49%,18.73%,1.79%,'23.37,'3.75,'105.08,'-6.45%,通用设备
'209,600760.中航沈飞,'64.72,'+2.99%,18.64%,0.60%,'59.66,'10.47,'1834.87,'+28.68%,航天航空
'210,002615.哈尔斯,'8.53,'+1.67%,18.56%,2.98%,'13.46,'2.28,'39.12,'+10.85%,家用轻工
'211,000048.京基智农,'16.00,'+0.82%,18.54%,2.21%,'9.95,'1.91,'84.16,'-9.06%,农牧饲渔
'212,300360.炬华科技,'16.03,'+0.25%,18.52%,3.75%,'12.58,'1.99,'82.22,'-1.93%,电网设备
'213,603088.宁波精达,'9.25,'+2.21%,18.49%,2.73%,'33.19,'5.70,'46.47,'+5.18%,通用设备
'214,301662.宏工科技,'101.95,'-1.21%,18.43%,0.97%,'43.48,'7.97,'82.56,'+288.13%,专用设备
'215,000975.山金国际,'18.79,'+1.40%,18.36%,1.97%,'21.29,'3.76,'514.53,'+24.56%,贵金属
'216,002112.三变科技,'13.28,'-0.45%,18.36%,0.47%,'35.17,'5.81,'39.24,'+19.22%,电网设备
'217,688018.乐鑫科技,'160.00,0.00%,18.36%,0.27%,'71.76,'11.15,'250.72,'+2.82%,半导体
'218,301187.欧圣电气,'31.72,'+2.55%,18.32%,2.71%,'30.17,'5.35,'78.85,'+32.63%,家电行业
'219,002947.恒铭达,'34.22,'+0.82%,18.31%,1.77%,'18.02,'2.66,'86.96,'+4.58%,消费电子
'220,300181.佐力药业,'19.13,'-2.05%,18.27%,3.07%,'25.12,'4.39,'136.98,'+29.16%,中药
'221,002836.新宏泽,'9.85,'-0.51%,18.26%,2.53%,'34.95,'5.88,'22.81,'+37.50%,造纸印刷
'222,301275.汉朔科技,'57.54,'+0.95%,18.25%,0.27%,'35.95,'6.19,'240.77,'+109.80%,通信设备
'223,688697.纽威数控,'16.29,'+12.19%,18.24%,2.63%,'27.76,'4.14,'74.50,'+41.55%,通用设备
'224,000848.承德露露,'8.77,'-0.68%,18.24%,3.40%,'14.83,'2.56,'92.94,'+0.63%,食品饮料
'225,300627.华测导航,'37.73,'+1.97%,18.22%,0.97%,'53.52,'7.83,'289.21,'+27.76%,通信设备
'226,002532.天山铝业,'9.20,'+0.33%,18.20%,4.36%,'9.19,'1.53,'426.58,'+19.79%,有色金属
'227,300795.米奥会展,'15.62,'+0.32%,18.18%,3.21%,'43.39,'7.93,'46.54,'+2.89%,文化传媒
