序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,6月内涨,市值.亿,今年来,行业
'55,600809.山西汾酒,'182.10,'+0.45%,'36,4.02%,'17.57,'5.79,3.33%,34.84%,'-2.48%,'2221.55,'+2.34%,酿酒行业
'56,000596.古井贡酒,'139.47,'-0.39%,'36,1.26%,'12.94,'2.80,4.29%,23.11%,'-10.39%,'572.08,'-16.02%,酿酒行业
'57,688208.道通科技,'36.55,'+2.52%,'36,6.46%,'39.99,'6.51,1.66%,20.36%,'+25.73%,'244.95,'+40.00%,计算机设备
'58,000528.柳工,'10.97,'+0.18%,'35,3.27%,'17.16,'1.24,2.48%,8.49%,'+4.68%,'221.97,'-6.52%,工程机械
'59,601601.中国太保,'37.40,'-0.40%,'35,3.19%,'8.41,'1.36,2.89%,16.43%,'+21.11%,'2560.05,'+12.97%,保险
'60,000425.徐工机械,'8.44,'+1.56%,'35,4.54%,'15.50,'1.59,2.17%,10.73%,'+1.09%,'976.73,'+8.69%,工程机械
'61,001979.招商蛇口,'8.78,0.00%,'35,1.59%,'31.27,'0.73,2.21%,3.64%,'-4.15%,'795.54,'-12.35%,房地产开发
'62,688012.中微公司,'196.06,'+0.45%,'35,9.18%,'86.24,'6.09,0.15%,8.82%,'-4.25%,'1227.62,'+3.82%,半导体
'63,600104.上汽集团,'17.53,'-2.23%,'34,2.97%,亏损,'0.69,0.50%,0.68%,'-0.40%,'2029.15,'-15.14%,汽车整车
'64,601898.中煤能源,'12.45,'+2.55%,'34,0.72%,'9.09,'1.06,6.23%,11.99%,'+18.23%,'1139.42,'+2.22%,煤炭行业
'65,002847.盐津铺子,'70.72,'+0.06%,'34,3.32%,'32.87,'10.01,2.27%,36.96%,'+41.70%,'192.80,'+14.41%,食品饮料
'66,603899.晨光股份,'31.87,'-1.12%,'34,3.13%,'24.72,'3.19,3.15%,15.34%,'+17.43%,'293.51,'+9.06%,家用轻工
'67,600938.中国海油,'26.01,'-0.08%,'34,1.99%,'9.44,'1.58,4.93%,18.09%,'+0.35%,'777.70,'-9.85%,石油行业
'68,003006.百亚股份,'26.00,'+1.44%,'34,3.46%,'38.56,'6.97,2.14%,20.56%,'+13.96%,'110.12,'+10.36%,美容护理
'69,002244.滨江集团,'9.64,'-0.41%,'34,1.65%,'10.99,'1.06,0.93%,10.52%,'-0.51%,'301.19,'+11.96%,房地产开发
'70,600060.海信视像,'22.51,'-1.96%,'34,4.35%,'15.53,'1.45,3.58%,11.86%,'-3.56%,'293.75,'+12.89%,家电行业
'71,600048.保利发展,'8.01,'-0.37%,'33,4.30%,'23.79,'0.48,5.12%,2.37%,'-2.32%,'958.83,'-9.59%,房地产开发
'72,601155.新城控股,'14.89,'-0.40%,'33,0.77%,'38.19,'0.55,0.00%,1.37%,'+20.86%,'335.86,'+24.50%,房地产开发
'73,002078.太阳纸业,'14.40,'+1.12%,'33,1.70%,'12.57,'1.35,2.11%,10.72%,'+3.64%,'397.94,'-0.97%,造纸印刷
'74,601888.中国中免,'64.86,'-0.03%,'33,4.23%,'35.49,'2.36,1.62%,6.89%,'+9.14%,'1266.38,'-1.51%,旅游酒店
'75,603369.今世缘,'39.45,'-0.33%,'33,2.75%,'14.08,'2.88,3.04%,22.08%,'-15.29%,'491.86,'-10.32%,酿酒行业
'76,002003.伟星股份,'10.95,'-0.09%,'33,2.41%,'18.02,'2.87,4.56%,16.23%,'-14.84%,'128.11,'-20.69%,纺织服装
'77,002271.东方雨虹,'12.55,'+0.56%,'33,15.58%,亏损,'1.31,12.32%,'-1.00%,'+7.31%,'298.11,'+3.72%,装修建材
'78,300783.三只松鼠,'25.48,'-0.66%,'33,0.93%,'47.16,'3.35,0.97%,11.47%,'-6.86%,'103.03,'-30.31%,食品饮料
'79,002714.牧原股份,'46.77,'+1.10%,'33,2.72%,'9.85,'3.31,3.05%,36.00%,'+27.02%,'2527.08,'+23.33%,农牧饲渔
'80,603444.吉比特,'384.78,'+3.88%,'32,9.68%,'29.06,'5.35,2.60%,19.72%,'+66.71%,'277.20,'+78.42%,游戏
'81,300888.稳健医疗,'40.72,'+0.67%,'32,0.70%,'34.59,'2.06,1.62%,6.63%,'+9.24%,'235.55,'-2.73%,美容护理
'82,603486.科沃斯,'88.95,'+1.43%,'32,1.65%,'65.09,'6.59,0.51%,13.47%,'+56.91%,'511.29,'+90.85%,家电行业
'83,601318.中国平安,'59.06,'-0.14%,'32,5.94%,'9.69,'1.14,4.32%,12.68%,'+19.68%,'6356.43,'+15.43%,保险
'84,002352.顺丰控股,'46.42,'-0.39%,'32,7.25%,'24.93,'2.51,3.94%,11.32%,'+11.80%,'2247.37,'+16.27%,物流行业
'85,603986.兆易创新,'118.28,'+0.24%,'32,6.12%,'73.37,'4.68,0.29%,7.05%,'-7.62%,'785.45,'+11.06%,半导体
'86,600872.中炬高新,'18.93,0.00%,'32,6.02%,'24.01,'2.54,2.22%,15.69%,'-4.35%,'147.46,'-12.08%,食品饮料
'87,002507.涪陵榨菜,'13.17,'+0.15%,'32,0.67%,'20.77,'1.69,3.19%,9.15%,'+2.65%,'151.74,'-3.84%,食品饮料
'88,600702.舍得酒业,'52.42,'+0.23%,'31,0.41%,'88.35,'2.46,0.82%,1.92%,'-3.59%,'174.62,'-19.86%,酿酒行业
'89,600882.妙可蓝多,'27.36,'+1.82%,'31,0.59%,'173.02,'3.12,0.00%,3.50%,'+54.58%,'140.10,'+52.85%,食品饮料
'90,603697.有友食品,'12.56,'-1.02%,'31,'-,'39.94,'2.94,3.74%,8.88%,'+40.49%,'53.72,'+25.38%,食品饮料
'91,002126.银轮股份,'30.85,'+7.42%,'31,1.22%,'33.68,'3.70,0.42%,13.12%,'+4.93%,'239.75,'+65.57%,汽车零部件
'92,601138.工业富联,'34.30,'-2.14%,'31,2.47%,'28.33,'4.33,1.87%,16.04%,'+51.64%,'6811.80,'+62.66%,消费电子
'93,603501.豪威集团,'121.22,'-0.21%,'31,13.37%,'44.19,'5.85,0.46%,15.70%,'-20.77%,'1475.52,'+16.31%,半导体
'94,300416.苏试试验,'16.57,'+1.35%,'31,1.72%,'36.59,'3.17,0.92%,9.42%,'+32.39%,'83.15,'+42.42%,专业服务
'95,600486.扬农化工,'66.22,'+0.24%,'31,4.02%,'23.02,'2.44,1.03%,11.45%,'+27.42%,'268.46,'+15.66%,农药兽药
'96,688475.萤石网络,'35.22,'+0.46%,'31,0.30%,'54.96,'5.02,0.99%,9.72%,'-11.99%,'277.36,'+17.95%,家电行业
'97,002311.海大集团,'58.37,'+0.78%,'30,3.78%,'18.67,'3.95,1.90%,22.53%,'+20.49%,'963.64,'+21.26%,农牧饲渔
'98,601668.中国建筑,'5.66,'-0.18%,'30,3.88%,'5.61,'0.49,4.80%,10.06%,'+7.81%,'2338.73,'-1.26%,工程建设
'99,603606.东方电缆,'48.27,'-0.29%,'30,6.09%,'33.53,'4.55,0.93%,15.11%,'+5.60%,'331.96,'-7.29%,电网设备
'100,688696.极米科技,'110.13,'+0.41%,'30,6.55%,'55.31,'2.58,0.27%,5.60%,'-9.25%,'77.09,'+12.35%,家电行业
