排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'25,000858.五粮液,'122.16,24.45%,22.39%,查看ROE详情,3.08%,'14.54,'3.20,4.71%,'4733.62,'-8.71%,酿酒行业
'26,002690.美亚光电,'17.37,24.01%,22.88%,查看ROE详情,5.87%,'23.84,'5.17,4.07%,'151.66,'+22.09%,专用设备
'27,000651.格力电器,'46.90,23.83%,25.25%,查看ROE详情,6.82%,'8.36,'1.83,2.14%,'2616.98,'+5.43%,家电行业
'28,002372.伟星新材,'10.79,23.62%,16.73%,查看ROE详情,3.23%,'19.24,'3.29,5.58%,'171.14,'-10.86%,装修建材
'29,601100.恒立液压,'80.11,23.37%,16.06%,查看ROE详情,7.65%,'45.11,'6.55,0.87%,'1074.13,'+53.33%,工程机械
'30,002043.兔宝宝,'10.08,23.27%,18.81%,查看ROE详情,0.76%,'16.90,'2.66,5.95%,'83.87,'-12.46%,装修建材
'31,603369.今世缘,'39.45,23.25%,22.08%,查看ROE详情,2.75%,'14.08,'2.88,3.04%,'491.86,'-10.32%,酿酒行业
'32,002475.立讯精密,'36.21,23.16%,21.20%,查看ROE详情,4.73%,'22.19,'3.65,0.55%,'2644.81,'-10.66%,消费电子
'33,600436.片仔癀,'201.51,23.12%,20.29%,查看ROE详情,3.19%,'39.75,'7.97,1.47%,'1215.74,'-5.21%,中药
'34,600563.法拉电子,'111.41,22.99%,20.79%,查看ROE详情,7.06%,'23.23,'4.52,1.80%,'250.67,'-4.52%,电子元件
'35,603129.春风动力,'244.01,22.90%,26.73%,查看ROE详情,3.88%,'23.56,'5.52,1.58%,'372.30,'+58.75%,交运设备
'36,603360.百傲化学,'20.69,22.76%,16.60%,查看ROE详情,0.34%,'53.34,'7.94,2.07%,'146.12,'+33.06%,农药兽药
'37,300832.新产业,'55.70,22.09%,21.68%,查看ROE详情,2.83%,'24.77,'4.78,2.37%,'430.57,'-19.59%,医疗器械
'38,603568.伟明环保,'19.20,22.03%,21.09%,查看ROE详情,1.31%,'12.47,'2.33,2.50%,'327.28,'-9.03%,环保行业
'39,000333.美的集团,'71.70,21.97%,20.86%,查看ROE详情,14.64%,'13.96,'2.38,4.91%,'5013.70,'-0.07%,家电行业
'40,603855.华荣股份,'21.64,21.82%,23.11%,查看ROE详情,3.20%,'15.68,'3.26,4.62%,'73.04,'+11.95%,专用设备
'41,300415.伊之密,'21.70,21.76%,21.67%,查看ROE详情,2.80%,'16.41,'3.21,2.35%,'99.52,'+10.82%,专用设备
'42,000848.承德露露,'8.77,21.60%,18.24%,查看ROE详情,1.79%,'14.83,'2.56,3.40%,'92.94,'+0.63%,食品饮料
'43,300124.汇川技术,'65.86,21.36%,17.48%,查看ROE详情,17.60%,'39.01,'5.91,0.63%,'1746.86,'+13.14%,电子元件
'44,002158.汉钟精机,'17.35,21.20%,20.48%,查看ROE详情,0.77%,'11.62,'2.14,3.35%,'92.45,'-3.21%,通用设备
'45,603606.东方电缆,'48.27,21.17%,15.11%,查看ROE详情,6.09%,'33.53,'4.55,0.93%,'331.96,'-7.29%,电网设备
'46,002833.弘亚数控,'16.85,21.11%,17.51%,查看ROE详情,2.00%,'14.51,'2.35,4.26%,'69.70,'+2.58%,专用设备
'47,002415.海康威视,'29.28,21.09%,16.51%,查看ROE详情,0.44%,'22.45,'3.45,2.39%,'2708.10,'-2.26%,计算机设备
'48,300724.捷佳伟创,'66.80,20.94%,27.39%,查看ROE详情,2.41%,'8.91,'2.00,1.77%,'236.20,'+8.09%,光伏设备
'49,603899.晨光股份,'31.87,20.90%,15.34%,查看ROE详情,3.13%,'24.72,'3.19,3.15%,'293.51,'+9.06%,家用轻工
'50,600845.宝信软件,'25.18,20.86%,17.67%,查看ROE详情,3.11%,'35.71,'6.03,2.38%,'543.88,'-11.89%,互联网服务
'51,000596.古井贡酒,'139.47,20.78%,23.11%,查看ROE详情,1.26%,'12.94,'2.80,4.29%,'572.08,'-16.02%,酿酒行业
'52,300770.新媒股份,'41.41,20.74%,17.71%,查看ROE详情,1.08%,'13.96,'2.54,6.91%,'95.11,'+4.39%,文化传媒
'53,002463.沪电股份,'52.58,20.36%,24.65%,查看ROE详情,6.41%,'36.19,'7.99,0.95%,'1011.49,'+34.76%,电子元件
'54,603279.景津装备,'15.80,20.25%,17.88%,查看ROE详情,3.81%,'11.66,'1.97,6.71%,'91.08,'-9.41%,通用设备
'55,002884.凌霄泵业,'16.52,19.97%,19.02%,查看ROE详情,0.94%,'13.56,'2.43,6.08%,'58.87,'-3.90%,通用设备
'56,002318.久立特材,'22.33,19.90%,20.03%,查看ROE详情,4.57%,'13.73,'2.66,4.38%,'216.25,'-0.77%,钢铁行业
'57,002056.横店东磁,'15.82,19.89%,19.96%,查看ROE详情,3.04%,'14.30,'2.44,2.87%,'256.53,'+26.19%,光伏设备
'58,603298.杭叉集团,'21.70,19.65%,21.25%,查看ROE详情,4.11%,'13.92,'2.68,2.30%,'284.23,'+24.52%,工程机械
'59,002595.豪迈科技,'57.27,19.54%,21.97%,查看ROE详情,3.29%,'22.20,'4.29,1.39%,'446.96,'+14.89%,专用设备
'60,300638.广和通,'29.78,19.39%,16.95%,查看ROE详情,0.62%,'49.57,'5.92,1.21%,'220.83,'+49.74%,通信设备
'61,603505.金石资源,'15.93,19.23%,15.69%,查看ROE详情,0.52%,'50.17,'8.06,0.68%,'134.08,'-5.94%,采掘行业
'62,603338.浙江鼎力,'50.32,19.15%,17.88%,查看ROE详情,6.77%,'15.06,'2.44,1.99%,'254.79,'-20.22%,工程机械
'63,300015.爱尔眼科,'12.82,18.98%,17.85%,查看ROE详情,2.07%,'36.17,'5.49,1.24%,'1199.25,'-1.99%,医疗服务
'64,000915.华特达因,'34.74,18.73%,16.95%,查看ROE详情,3.15%,'16.05,'2.64,7.18%,'81.62,'+31.39%,化学制药
'65,600760.中航沈飞,'64.72,18.62%,18.64%,查看ROE详情,1.28%,'59.66,'10.47,0.60%,'1834.87,'+28.68%,航天航空
'66,600989.宝丰能源,'15.74,18.61%,17.21%,查看ROE详情,2.76%,'14.62,'2.54,1.78%,'1154.27,'-4.05%,化学原料
'67,603596.伯特利,'50.99,18.56%,19.93%,查看ROE详情,6.34%,'26.05,'4.53,0.69%,'309.26,'+15.14%,汽车零部件
'68,603589.口子窖,'33.53,18.11%,15.63%,查看ROE详情,1.45%,'12.30,'1.80,3.89%,'200.55,'-11.24%,酿酒行业
'69,002088.鲁阳节能,'11.09,18.07%,15.66%,查看ROE详情,0.48%,'12.37,'1.94,7.17%,'57.26,'-7.14%,装修建材
'70,000739.普洛药业,'15.82,18.04%,15.40%,查看ROE详情,2.58%,'19.59,'2.66,2.24%,'186.28,'-0.21%,化学制药
'71,600729.重庆百货,'28.86,17.88%,17.90%,查看ROE详情,2.83%,'10.36,'1.60,4.72%,'127.12,'+3.50%,商业百货
'72,300776.帝尔激光,'67.10,17.68%,16.32%,查看ROE详情,0.76%,'34.68,'4.96,0.59%,'181.02,'+6.31%,光伏设备
'73,600885.宏发股份,'24.57,17.58%,18.76%,查看ROE详情,20.32%,'21.67,'3.61,1.50%,'358.66,'+9.88%,电网设备
'74,002050.三花智控,'27.65,17.57%,17.44%,查看ROE详情,4.72%,'34.33,'5.60,1.30%,'1004.76,'+18.71%,家电行业
'75,300453.三鑫医疗,'8.78,17.55%,17.23%,查看ROE详情,'-,'21.89,'3.38,3.35%,'46.75,'+20.66%,医疗器械
'76,300627.华测导航,'37.73,17.43%,18.22%,查看ROE详情,0.77%,'53.52,'7.83,0.97%,'289.21,'+27.76%,通信设备
'77,002262.恩华药业,'23.31,17.27%,16.86%,查看ROE详情,0.75%,'19.90,'3.14,1.52%,'240.63,'-2.69%,化学制药
'78,002014.永新股份,'11.69,17.22%,19.25%,查看ROE详情,0.54%,'16.17,'2.67,5.30%,'71.60,'+12.34%,包装材料
'79,600690.海尔智家,'25.23,16.82%,17.29%,查看ROE详情,7.19%,'12.78,'2.01,3.82%,'1578.01,'-8.18%,家电行业
'80,601138.工业富联,'34.30,16.62%,16.04%,查看ROE详情,2.47%,'28.33,'4.33,1.87%,'6811.80,'+62.66%,消费电子
'81,002003.伟星股份,'10.95,16.47%,16.23%,查看ROE详情,2.41%,'18.02,'2.87,4.56%,'128.11,'-20.69%,纺织服装
'82,600406.国电南瑞,'21.96,15.70%,15.75%,查看ROE详情,13.56%,'23.68,'3.52,2.60%,'1763.85,'-11.23%,电网设备
