排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'1,600132.重庆啤酒,'55.36,76.27%,53.44%,查看ROE详情,6.24%,'21.56,'16.17,4.34%,'267.93,'-10.71%,酿酒行业
'2,600961.株冶集团,'11.82,54.44%,21.81%,查看ROE详情,0.71%,'14.42,'2.81,'-,'126.81,'+50.19%,有色金属
'3,600809.山西汾酒,'182.10,39.84%,34.84%,查看ROE详情,4.02%,'17.57,'5.79,3.33%,'2221.55,'+2.34%,酿酒行业
'4,600779.水井坊,'41.95,35.37%,27.24%,查看ROE详情,2.24%,'15.18,'3.81,2.19%,'204.51,'-21.62%,酿酒行业
'5,600519.贵州茅台,'1423.88,34.01%,35.74%,查看ROE详情,5.80%,'20.09,'6.92,3.62%,'17886.75,'-4.74%,酿酒行业
'6,300760.迈瑞医疗,'228.31,32.58%,29.79%,查看ROE详情,10.84%,'25.28,'7.16,3.37%,'2764.73,'-9.69%,医疗器械
'7,002847.盐津铺子,'70.72,32.24%,36.96%,查看ROE详情,3.32%,'32.87,'10.01,2.27%,'192.80,'+14.41%,食品饮料
'8,002032.苏泊尔,'51.23,31.06%,33.07%,查看ROE详情,4.34%,'19.73,'5.95,5.47%,'411.90,'+1.08%,家电行业
'9,000568.泸州老窖,'127.58,31.01%,27.99%,查看ROE详情,2.22%,'13.91,'3.73,1.07%,'1869.53,'+3.10%,酿酒行业
'10,688516.奥特维,'35.60,30.85%,26.23%,查看ROE详情,1.15%,'10.98,'2.66,6.90%,'112.37,'-13.77%,光伏设备
'11,603195.公牛集团,'47.60,28.46%,26.74%,查看ROE详情,2.97%,'22.78,'5.10,3.60%,'860.89,'-1.95%,家用轻工
'12,300628.亿联网络,'34.05,28.40%,29.02%,查看ROE详情,3.14%,'17.61,'4.53,5.57%,'430.85,'-8.46%,通信设备
'13,600803.新奥股份,'18.85,27.85%,17.77%,查看ROE详情,3.88%,'15.36,'2.36,5.46%,'583.80,'-8.29%,燃气
'14,300033.同花顺,'292.70,27.79%,28.92%,查看ROE详情,2.29%,'88.65,'24.33,1.02%,'1576.62,'+2.85%,软件开发
'15,603444.吉比特,'384.78,27.66%,19.72%,查看ROE详情,9.68%,'29.06,'5.35,2.60%,'277.20,'+78.42%,游戏
'16,603605.珀莱雅,'82.39,27.16%,31.86%,查看ROE详情,11.99%,'20.30,'5.63,1.44%,'326.47,'-1.32%,美容护理
'17,002027.分众传媒,'7.80,27.01%,28.45%,查看ROE详情,5.03%,'24.56,'6.36,1.25%,'1156.82,'+10.95%,文化传媒
'18,688036.传音控股,'85.61,26.66%,21.72%,查看ROE详情,2.82%,'27.65,'4.70,3.50%,'976.25,'-8.01%,消费电子
'19,002555.三七互娱,'17.40,26.60%,19.53%,查看ROE详情,6.01%,'15.13,'2.83,5.83%,'380.06,'+15.67%,游戏
'20,601225.陕西煤业,'21.43,26.39%,23.53%,查看ROE详情,2.48%,'10.20,'2.15,6.29%,'2077.64,'-2.07%,煤炭行业
'21,603198.迎驾贡酒,'41.16,25.70%,25.15%,查看ROE详情,1.12%,'13.28,'3.09,3.64%,'329.28,'-20.82%,酿酒行业
'22,603288.海天味业,'38.35,25.55%,20.94%,查看ROE详情,3.52%,'35.31,'6.78,2.24%,'2132.49,'-14.79%,食品饮料
'23,300394.天孚通信,'103.03,25.53%,35.83%,查看ROE详情,2.31%,'58.26,'18.50,0.69%,'802.29,'+58.76%,通信设备
'24,000895.双汇发展,'24.95,24.62%,21.88%,查看ROE详情,1.81%,'18.70,'3.89,5.64%,'865.47,'-1.12%,食品饮料
