序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'70,SZ300308.中际旭创,'2039,'210.52,'-0.19%,3.72%,'41.50,'11.31,0.24%,31.55%,'2343.57,'+71.13%,通信设备
'71,SH600031.三一重工,'1984,'20.02,'+1.93%,11.80%,'26.55,'2.27,1.80%,9.51%,'1696.57,'+23.92%,工程机械
'72,SZ002049.紫光国微,'1967,'76.90,'+3.95%,1.98%,'78.58,'5.02,0.28%,8.11%,'628.55,'+19.85%,半导体
'73,SZ002466.天齐锂业,'1951,'38.16,'+0.24%,4.39%,'-1.00,'1.50,3.55%,'-1.00%,'562.33,'+15.64%,能源金属
'74,SZ002555.三七互娱,'1937,'17.40,'+1.28%,6.01%,'15.13,'2.83,5.83%,19.53%,'380.06,'+15.67%,游戏
'75,SZ000977.浪潮信息,'1907,'55.29,'+0.18%,3.18%,'39.41,'4.01,0.29%,12.70%,'812.47,'+6.92%,计算机设备
'77,SZ002241.歌尔股份,'1869,'23.03,'-0.17%,3.03%,'33.42,'2.39,1.29%,8.55%,'805.49,'-10.15%,消费电子
'76,SZ000423.东阿阿胶,'1868,'51.30,'-0.68%,9.35%,'21.75,'3.10,4.68%,14.99%,'332.61,'-16.29%,中药
'78,SH600332.白云山,'1840,'26.71,'-0.85%,2.88%,'19.76,'1.15,3.00%,7.24%,'375.51,'-4.57%,中药
'79,SH600188.兖矿能源,'1838,'13.31,'+2.54%,1.84%,'10.31,'1.56,5.79%,16.24%,'793.54,'-2.00%,煤炭行业
'80,SH600089.特变电工,'1812,'13.40,'+0.37%,4.40%,'19.37,'0.98,1.87%,5.52%,'677.07,'+7.32%,电网设备
'81,SH603501.豪威集团,'1810,'121.22,'-0.21%,13.37%,'44.19,'5.85,0.46%,15.70%,'1475.52,'+16.31%,半导体
'82,SH600600.青岛啤酒,'1794,'67.90,0.00%,3.29%,'22.92,'3.01,3.24%,14.90%,'481.50,'-13.43%,酿酒行业
'83,SH600406.国电南瑞,'1757,'21.96,'+0.18%,13.56%,'23.68,'3.52,2.60%,15.75%,'1763.85,'-11.23%,电网设备
'84,SH601138.工业富联,'1737,'34.30,'-2.14%,2.47%,'28.33,'4.33,1.87%,16.04%,'6811.80,'+62.66%,消费电子
'85,SH601668.中国建筑,'1735,'5.66,'-0.18%,3.88%,'5.61,'0.49,4.80%,10.06%,'2338.73,'-1.26%,工程建设
'87,SZ002352.顺丰控股,'1719,'46.42,'-0.39%,7.25%,'24.93,'2.51,3.94%,11.32%,'2247.37,'+16.27%,物流行业
'86,SZ000725.京东方Ａ,'1715,'4.06,'+0.49%,5.57%,'32.91,'1.14,1.24%,4.53%,'1483.53,'-6.34%,光学光电子
'89,SH600763.通策医疗,'1648,'45.09,'-0.31%,1.74%,'39.66,'4.79,1.00%,12.51%,'201.68,'+2.67%,医疗服务
'88,SH601127.赛力斯,'1641,'128.70,'+0.74%,3.36%,'35.92,'9.09,0.99%,37.25%,'2102.14,'-2.78%,汽车整车
'90,SZ002821.凯莱英,'1638,'109.78,'-0.55%,3.80%,'44.20,'2.32,1.00%,5.72%,'367.64,'+46.15%,医疗服务
'91,SH601728.中国电信,'1634,'7.35,'-0.81%,0.72%,'22.14,'1.46,3.53%,7.29%,'5705.79,'+3.01%,通信服务
'92,SZ002557.洽洽食品,'1629,'22.72,'-0.96%,3.95%,'19.04,'2.05,5.67%,12.08%,'116.04,'-17.40%,食品饮料
'93,SH600329.达仁堂,'1605,'40.90,'+1.59%,0.78%,'42.21,'3.83,3.13%,29.15%,'233.17,'+38.00%,中药
'94,SZ002460.赣锋锂业,'1593,'35.97,'+0.20%,4.35%,'-1.00,'1.75,0.42%,'-1.00%,'579.28,'+3.20%,能源金属
'95,SH600150.中国船舶,'1582,'38.51,'+10.00%,3.58%,'44.73,'3.31,0.65%,8.63%,'1722.33,'+7.97%,船舶制造
'96,SZ002223.鱼跃医疗,'1581,'35.08,'-0.28%,1.97%,'26.03,'2.69,2.27%,13.87%,'352.67,'-2.81%,医疗器械
'97,SH600298.安琪酵母,'1556,'35.20,'+0.83%,4.25%,'25.21,'2.73,1.56%,12.87%,'305.58,'-0.86%,食品饮料
'98,SZ300146.汤臣倍健,'1538,'11.86,'-0.34%,0.73%,'62.13,'1.76,3.03%,3.16%,'202.40,'+1.59%,食品饮料
'99,SH600050.中国联通,'1526,'5.34,'-0.74%,4.20%,'24.79,'1.00,2.99%,5.58%,'1669.52,'+1.75%,通信服务
'100,SZ002050.三花智控,'1524,'27.65,'+2.71%,4.72%,'34.33,'5.60,1.30%,17.44%,'1004.76,'+18.71%,家电行业
