序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'56,SZ002507.涪陵榨菜,'2367,'13.17,'+0.15%,0.67%,'20.77,'1.69,3.19%,9.15%,'151.74,'-3.84%,食品饮料
'57,SH600566.济川药业,'2263,'26.78,'-0.59%,1.43%,'12.78,'1.63,7.80%,14.50%,'246.83,'-0.77%,中药
'58,SH600585.海螺水泥,'2239,'23.37,'-0.04%,4.83%,'16.17,'0.65,3.04%,4.25%,'934.73,'+1.51%,水泥建材
'59,SZ300896.爱美客,'2211,'183.89,'-0.03%,2.31%,'31.90,'6.75,2.07%,24.78%,'556.59,'+3.00%,美容护理
'60,SH603019.中科曙光,'2194,'68.92,'-0.45%,3.02%,'70.91,'4.99,0.39%,10.03%,'1008.38,'-4.29%,计算机设备
'61,SH601328.交通银行,'2183,'7.72,'-0.64%,2.62%,'7.32,'0.59,3.61%,8.24%,'4118.77,'+4.54%,银行
'62,SH601006.大秦铁路,'2178,'6.52,'-0.31%,2.68%,'15.35,'0.79,3.94%,5.40%,'1313.60,'-1.78%,物流行业
'63,SH601857.中国石油,'2150,'8.64,'+0.58%,0.53%,'9.08,'1.01,5.44%,10.85%,'13990.07,'-0.58%,石油行业
'64,SH601985.中国核电,'2140,'9.18,'+0.11%,2.53%,'21.81,'1.66,1.94%,8.53%,'1888.14,'-10.45%,电力行业
'65,SZ000999.华润三九,'2137,'31.87,'-0.90%,2.61%,'17.85,'2.54,3.16%,15.77%,'536.94,'-5.86%,中药
'66,SH600028.中国石化,'2094,'5.71,0.00%,0.91%,'16.07,'0.83,5.01%,5.42%,'5551.96,'-12.46%,石油行业
'67,SH600009.上海机场,'2090,'32.23,'-0.34%,3.39%,'52.09,'1.90,0.31%,4.97%,'802.04,'-5.62%,航空机场
'68,SH601166.兴业银行,'2076,'22.98,'-0.48%,3.53%,'6.38,'0.54,4.61%,8.89%,'4863.22,'+25.53%,银行
'69,SH603986.兆易创新,'2063,'118.28,'+0.24%,6.12%,'73.37,'4.68,0.29%,7.05%,'785.45,'+11.06%,半导体
