排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'37,SH600970.中材国际,'9.12,'-0.22%,'0.81,'8.00,11.09%,2.35%,'1.11,4.93%,14.51%,'241,'+1.13%,工程建设
'38,SH600483.福能股份,'9.59,'+0.21%,'0.82,'8.83,10.93%,0.68%,'1.02,3.23%,12.43%,'267,'-0.70%,电力行业
'39,SH603613.国联股份,'24.03,'-0.54%,'0.82,'12.27,15.41%,1.14%,'2.14,0.27%,18.91%,'173,'-9.34%,互联网服务
'40,SH603889.新澳股份,'6.13,'+0.99%,'0.82,'10.33,13.04%,0.34%,'1.27,4.89%,12.77%,'45,'-8.05%,纺织服装
'41,SZ002648.卫星化学,'19.03,'+0.42%,'0.82,'9.65,11.61%,4.46%,'2.01,2.64%,22.68%,'638,'+4.33%,化学原料
'42,SH601319.中国人保,'8.44,'+0.48%,'0.84,'7.98,9.52%,0.99%,'1.34,0.75%,17.81%,'2996,'+11.79%,保险
'43,SH601958.金钼股份,'12.95,'+1.09%,'0.84,'13.80,16.71%,2.76%,'2.36,3.09%,17.97%,'418,'+28.73%,小金属
'44,SH600531.豫光金铅,'8.73,'+0.11%,'0.88,'10.98,13.69%,3.13%,'1.66,2.58%,16.15%,'95,'+39.89%,有色金属
'45,SZ002752.昇兴股份,'5.77,'+0.35%,'0.88,'14.24,17.17%,0.74%,'1.60,1.74%,11.75%,'56,'-7.51%,包装材料
'46,SH601702.华峰铝业,'16.40,'+1.80%,'0.89,'13.31,15.32%,0.47%,'2.82,1.83%,23.27%,'164,'-8.78%,有色金属
'47,SZ002984.森麒麟,'19.40,0.00%,'0.89,'9.83,11.35%,0.67%,'1.45,2.57%,15.67%,'201,'-20.11%,橡胶制品
'48,SH603871.嘉友国际,'11.61,'-1.19%,'0.90,'12.90,14.63%,0.55%,'2.71,4.31%,22.27%,'159,'-13.61%,物流行业
'49,SH600888.新疆众和,'7.15,'+0.42%,'0.91,'9.23,12.43%,0.89%,'0.89,3.78%,10.13%,'100,'+4.77%,有色金属
'50,SH601117.中国化学,'8.02,'+0.25%,'0.91,'8.28,9.30%,4.82%,'0.77,2.22%,9.65%,'490,'-3.26%,工程建设
'51,SZ000885.城发环境,'14.12,'-0.28%,'0.91,'7.63,8.69%,0.85%,'1.04,2.51%,14.46%,'91,'+10.61%,环保行业
'52,SZ000897.津滨发展,'2.34,'+1.30%,'0.91,'10.84,11.90%,'-,'1.16,4.11%,11.30%,'37,'+2.74%,房地产开发
'53,SZ001872.招商港口,'20.36,'+0.30%,'0.91,'11.11,13.05%,0.46%,'0.81,3.65%,7.46%,'471,'+3.11%,航运港口
'54,SZ002158.汉钟精机,'17.35,'+0.35%,'0.91,'11.09,12.78%,0.77%,'2.14,3.35%,20.48%,'92,'-3.21%,通用设备
'55,SZ000544.中原环保,'8.60,'+0.12%,'0.92,'8.60,10.16%,0.53%,'0.82,3.03%,10.47%,'84,'+1.67%,公用事业
'56,SH603299.苏盐井神,'10.79,'+0.94%,'0.93,'11.99,14.59%,0.40%,'1.35,4.11%,11.71%,'84,'+1.43%,化学原料
'57,SH605117.德业股份,'52.33,'+0.15%,'0.93,'14.64,16.96%,3.57%,'4.61,5.18%,40.42%,'473,'-10.87%,光伏设备
'58,SZ000921.海信家电,'25.40,'-0.16%,'0.95,'10.34,13.64%,3.05%,'2.20,3.99%,22.59%,'235,'-12.11%,家电行业
'59,SH603227.雪峰科技,'8.46,'+0.71%,'0.96,'14.90,16.03%,0.62%,'1.82,2.36%,12.68%,'91,'-0.41%,化学制品
'60,SZ000807.云铝股份,'16.10,'+1.19%,'0.96,'13.07,13.66%,5.67%,'1.88,2.58%,15.02%,'552,'+20.39%,有色金属
'61,SZ002588.史丹利,'9.22,'-0.11%,'0.96,'12.14,14.33%,1.94%,'1.49,2.82%,13.00%,'106,'+28.64%,化肥行业
'62,SH601975.招商南油,'2.90,'+1.40%,'0.97,'9.07,10.25%,1.34%,'1.25,0.00%,14.87%,'139,'-7.35%,航运港口
'63,SZ000596.古井贡酒,'139.47,'-0.39%,'0.97,'12.80,13.37%,1.26%,'2.80,4.29%,23.11%,'572,'-16.02%,酿酒行业
'64,SZ300926.博俊科技,'26.90,'+0.49%,'0.97,'17.57,17.96%,0.33%,'4.41,0.54%,29.54%,'116,'+22.95%,汽车零部件
'65,SH600039.四川路桥,'8.34,'-0.95%,'0.98,'10.05,11.59%,1.32%,'1.46,4.96%,14.95%,'726,'+19.54%,工程建设
'66,SH600269.赣粤高速,'5.15,'-0.19%,'0.99,'9.14,10.95%,1.98%,'0.63,3.30%,7.08%,'120,'-5.17%,铁路公路
'67,SH600873.梅花生物,'11.12,'-0.71%,'0.99,'10.55,10.85%,2.82%,'2.05,5.41%,19.84%,'317,'+15.26%,化学制品
'68,SZ002116.中国海诚,'10.50,'-0.57%,'0.99,'15.11,16.48%,0.30%,'1.90,2.93%,13.14%,'49,'+8.43%,工程咨询服务
'69,SH601567.三星医疗,'22.79,'+0.31%,'1.00,'13.43,14.04%,3.40%,'2.54,3.92%,20.09%,'320,'-22.97%,电网设备
'70,SZ002128.电投能源,'20.50,'+1.08%,'1.00,'9.17,9.62%,1.28%,'1.25,4.19%,14.30%,'455,'+9.11%,煤炭行业
'71,SZ300360.炬华科技,'16.03,'+0.25%,'1.00,'11.30,12.61%,2.99%,'1.99,3.75%,18.52%,'82,'-1.93%,电网设备
'72,SH600461.洪城环境,'9.34,'-1.06%,'1.01,'10.01,10.21%,0.63%,'1.23,4.97%,12.95%,'120,'-1.44%,公用事业
'73,SH600737.中粮糖业,'10.04,'+0.30%,'1.01,'14.81,14.59%,0.71%,'1.84,1.99%,12.44%,'215,'-1.67%,食品饮料
'74,SH600216.浙江医药,'15.77,'-0.57%,'1.02,'10.39,10.25%,7.41%,'1.37,2.35%,14.03%,'152,'+1.85%,化学制药
