序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'16,603605.珀莱雅,'82.39,'-0.12%,11.99%,'39.34,'-3.13%,'-8.52%,'-10.61%,'-11.59%,'20.30,1.44%,'326.47,'-1.32%,美容护理
'17,600031.三一重工,'20.02,'+1.93%,11.80%,'179.49,'+1.53%,'+4.56%,'+2.79%,'+4.26%,'26.55,1.80%,'1696.57,'+23.92%,工程机械
'18,002410.广联达,'13.89,'+2.58%,11.61%,'25.72,'-2.30%,'+3.91%,'-3.79%,'-0.87%,'114.98,1.11%,'223.67,'+19.41%,软件开发
'19,300760.迈瑞医疗,'228.31,'+0.12%,10.84%,'295.32,'-0.25%,'-1.15%,'-2.42%,'+2.24%,'25.28,3.37%,'2764.73,'-9.69%,医疗器械
'20,600066.宇通客车,'25.65,'-1.65%,10.72%,'58.98,'-2.54%,'-5.85%,'-0.83%,'+8.70%,'16.04,5.85%,'567.88,'+1.02%,汽车整车
'21,600094.大名城,'3.11,'-0.32%,10.67%,'7.17,'+0.25%,'+0.98%,'+6.80%,'+6.08%,'-,1.01%,'67.37,'-14.56%,房地产开发
'22,600887.伊利股份,'27.57,'+0.07%,10.60%,'187.02,'+0.37%,'-0.07%,'-5.23%,'-7.30%,'25.23,4.43%,'1743.90,'-4.80%,食品饮料
'23,000786.北新建材,'26.40,'+1.23%,10.49%,'46.91,'-1.02%,'-2.59%,'-1.40%,'+0.61%,'12.29,3.32%,'440.62,'-10.17%,装修建材
'24,002803.吉宏股份,'16.66,'-0.36%,10.27%,'5.63,'+0.23%,'+4.30%,'+9.75%,'+9.67%,'42.17,2.02%,'64.33,'+32.79%,文化传媒
'25,002371.北方华创,'331.58,'+0.94%,10.19%,'240.80,'+1.26%,'+2.94%,'+5.87%,'+5.41%,'39.07,0.24%,'2370.47,'+14.76%,半导体
'26,600176.中国巨石,'12.38,'-0.08%,10.10%,'46.11,'+0.03%,'+0.14%,'-2.61%,'+0.16%,'20.96,1.94%,'495.59,'+10.89%,玻璃玻纤
'27,688008.澜起科技,'90.94,'+6.79%,10.07%,'94.51,'+2.41%,'+2.44%,'+4.04%,'+7.35%,'67.99,0.43%,'1041.07,'+34.60%,半导体
'28,605499.东鹏饮料,'298.03,'-2.23%,9.90%,'161.62,'+2.69%,'+4.91%,'+7.98%,'+9.64%,'40.51,1.48%,'1549.79,'+20.99%,食品饮料
'29,300487.蓝晓科技,'51.20,'+0.08%,9.86%,'25.17,'+0.20%,'+1.16%,'+2.26%,'+7.97%,'33.73,1.41%,'259.72,'+8.23%,塑料制品
'30,603444.吉比特,'384.78,'+3.88%,9.68%,'21.06,'+0.75%,'+4.77%,'-0.51%,'+1.22%,'29.06,2.60%,'277.20,'+78.42%,游戏
'31,002508.老板电器,'19.45,'+0.05%,9.62%,'17.28,'-2.88%,'+0.25%,'+2.73%,'+0.72%,'12.97,5.14%,'183.70,'-6.86%,家电行业
'32,300470.中密控股,'38.56,'+1.21%,9.38%,'7.18,'+0.33%,'-2.30%,'-2.91%,'+1.15%,'21.13,2.63%,'79.23,'+3.70%,通用设备
'33,000423.东阿阿胶,'51.30,'-0.68%,9.35%,'31.50,'-0.26%,'-1.80%,'-0.94%,'+0.14%,'21.75,4.68%,'332.61,'-16.29%,中药
'34,688012.中微公司,'196.06,'+0.45%,9.18%,'104.77,'+1.68%,'+3.88%,'+4.38%,'+3.66%,'86.24,0.15%,'1227.62,'+3.82%,半导体
'35,600754.锦江酒店,'22.30,'-0.40%,8.98%,'18.41,'-0.10%,'+6.69%,'+4.24%,'+4.73%,'47.25,2.24%,'203.25,'-15.56%,旅游酒店
'36,300866.安克创新,'131.43,'+5.80%,8.93%,'53.90,'-0.38%,'-0.21%,'+4.33%,'+6.05%,'33.03,1.68%,'664.60,'+36.66%,消费电子
'37,000338.潍柴动力,'15.24,'-0.13%,8.92%,'92.93,'+0.36%,'+1.73%,'+0.77%,'+3.43%,'12.47,4.72%,'1033.50,'+13.69%,汽车零部件
'38,002362.汉王科技,'26.62,'-1.41%,8.90%,'4.88,'+0.73%,'+7.00%,'+8.74%,%,'-,'-,'66.00,'+17.48%,软件开发
'39,603799.华友钴业,'42.82,'+0.85%,8.79%,'55.35,'+4.22%,'+5.10%,'+3.32%,'+4.69%,'16.36,1.17%,'728.60,'+48.51%,能源金属
'40,002837.英维克,'43.10,'+5.12%,8.49%,'24.44,'-2.89%,'-2.99%,'+2.18%,'+7.31%,'95.19,0.38%,'397.16,'+39.55%,专用设备
'41,300450.先导智能,'26.35,'+2.81%,8.47%,'32.95,'+1.24%,'+1.33%,'-11.57%,'-16.20%,'237.46,0.22%,'401.41,'+31.91%,电池
'42,601799.星宇股份,'123.59,'+1.35%,8.45%,'30.18,'+1.31%,'+1.96%,'+5.84%,'+4.17%,'24.49,1.21%,'353.07,'-6.54%,汽车零部件
'43,600276.恒瑞医药,'61.58,'-1.16%,8.39%,'277.73,'+2.24%,'+2.31%,'+2.69%,'+0.63%,'61.92,0.32%,'3928.19,'+34.64%,化学制药
'44,603882.金域医学,'30.66,'-0.23%,8.28%,'10.96,'+1.13%,'-2.77%,'-3.85%,'-7.12%,'-,2.87%,'142.03,'+13.85%,医疗服务
'45,603699.纽威股份,'33.24,'+1.71%,8.19%,'19.61,'+1.40%,'+5.31%,'+6.39%,'+8.17%,'21.43,4.56%,'255.47,'+55.34%,通用设备
'46,300685.艾德生物,'23.65,'-0.55%,8.09%,'6.82,'-0.86%,'-1.73%,'-7.25%,'-7.63%,'32.57,1.26%,'93.11,'+5.24%,医疗器械
'47,603713.密尔克卫,'54.30,'+0.15%,8.00%,'6.74,'+0.05%,'-0.62%,'-5.27%,'+0.29%,'15.50,1.31%,'85.86,'+7.50%,物流行业
'48,601901.方正证券,'8.18,'+0.49%,7.95%,'51.78,'+1.04%,'-1.20%,'-7.12%,'-8.03%,'20.94,1.31%,'673.39,'-1.10%,证券
'49,603233.大参林,'17.63,'-0.96%,7.94%,'14.74,'+1.09%,'+5.14%,'+5.49%,'+5.04%,'21.28,3.52%,'200.78,'+19.39%,医药商业
'50,002396.星网锐捷,'27.96,'+2.46%,7.75%,'10.24,'+1.37%,'+5.01%,'+3.71%,'+5.13%,'41.42,0.92%,'160.63,'+49.14%,通信设备
'51,601899.紫金矿业,'20.16,'+1.46%,7.72%,'309.86,'+1.11%,0.00%,'-0.66%,'+0.25%,'15.16,1.88%,'4150.69,'+35.27%,有色金属
'52,601100.恒立液压,'80.11,'+3.46%,7.65%,'73.89,'-0.02%,'-4.09%,'-5.95%,'-2.34%,'45.11,0.87%,'1074.13,'+53.33%,工程机械
'53,688019.安集科技,'149.46,'-0.29%,7.58%,'19.31,'-1.91%,'+2.51%,'+4.83%,'+4.26%,'43.25,0.23%,'251.82,'+39.73%,电子化学品
'54,601688.华泰证券,'20.38,'+2.41%,7.52%,'97.87,'+0.28%,'+3.72%,'+3.85%,'+4.47%,'17.67,2.85%,'1489.42,'+15.86%,证券
'55,600216.浙江医药,'15.77,'-0.57%,7.41%,'10.54,'+3.63%,'+5.67%,'+5.71%,'+4.47%,'10.41,2.35%,'151.65,'+1.85%,化学制药
'56,002345.潮宏基,'16.44,'+6.20%,7.36%,'9.57,'+0.69%,'+4.28%,'+6.93%,'+7.36%,'55.77,2.26%,'137.54,'+187.09%,珠宝首饰
'57,002035.华帝股份,'6.50,'+1.25%,7.30%,'3.89,'-1.57%,'-2.76%,'+1.66%,'+6.25%,'12.32,4.67%,'54.42,'-7.30%,家电行业
'58,002352.顺丰控股,'46.42,'-0.39%,7.25%,'170.59,'+0.25%,'+2.42%,'+1.94%,'+1.64%,'24.93,3.94%,'2247.37,'+16.27%,物流行业
'59,600499.科达制造,'11.21,'+0.27%,7.25%,'13.64,'+1.26%,'+5.82%,'+5.74%,'+5.18%,'22.21,1.78%,'214.99,'+46.52%,专用设备
'60,600690.海尔智家,'25.23,'+0.80%,7.19%,'111.45,'-2.10%,'-3.35%,'-3.54%,'-4.14%,'12.78,3.82%,'1578.01,'-8.18%,家电行业
'61,002594.比亚迪,'104.35,'-0.49%,7.07%,'424.85,'+0.15%,'+2.43%,'+2.50%,'+3.16%,'23.09,1.26%,'5697.88,'+12.07%,汽车整车
'62,600563.法拉电子,'111.41,'+1.81%,7.06%,'17.32,'-1.06%,'+2.33%,'-3.57%,'+2.08%,'23.23,1.80%,'250.67,'-4.52%,电子元件
'63,600570.恒生电子,'34.88,'-0.43%,7.03%,'44.58,'-0.79%,'+0.85%,'-9.15%,'-5.48%,'80.19,0.29%,'659.85,'+25.07%,软件开发
'64,002891.中宠股份,'57.44,'-2.18%,7.01%,'13.20,'+2.42%,'+3.97%,'+3.18%,'+3.52%,'39.92,0.66%,'178.73,'+61.28%,农牧饲渔
'65,600268.国电南自,'9.28,'+0.43%,6.99%,'5.56,'+0.31%,'+6.08%,'+6.79%,'+6.99%,'25.07,1.51%,'94.27,'+40.65%,电网设备
'66,600352.浙江龙盛,'10.61,0.00%,6.92%,'22.87,'+0.64%,'+2.96%,'+4.38%,'+5.75%,'18.68,4.24%,'345.18,'+5.66%,化学制品
'67,688599.天合光能,'15.72,'-0.25%,6.91%,'21.87,'-0.59%,'+4.72%,'+2.69%,'+5.09%,'-,4.03%,'342.60,'-18.55%,光伏设备
'68,600183.生益科技,'40.32,'-0.32%,6.86%,'50.25,'-0.68%,'+0.62%,'+1.80%,'+3.41%,'52.98,1.49%,'979.48,'+71.45%,电子元件
'69,000651.格力电器,'46.90,'+0.39%,6.82%,'171.56,'+0.27%,'-3.63%,'-3.58%,'-2.83%,'8.36,2.14%,'2616.98,'+5.43%,家电行业
'70,603338.浙江鼎力,'50.32,'+0.46%,6.77%,'16.26,'+2.55%,'-1.82%,'-3.35%,'-1.25%,'15.06,1.99%,'254.79,'-20.22%,工程机械
'71,002459.晶澳科技,'11.21,'+0.09%,6.69%,'22.09,'-0.46%,'+3.63%,'+2.22%,'+4.42%,'-,'-,'370.68,'-18.47%,光伏设备
'72,600351.亚宝药业,'7.75,'-3.25%,6.63%,'2.82,'+0.70%,'+3.11%,'+6.17%,'+6.53%,'25.53,3.87%,'54.25,'+33.58%,中药
'73,600036.招商银行,'45.12,'-0.29%,6.62%,'627.51,'-0.16%,'+0.59%,'-0.35%,'-1.39%,'7.73,4.43%,'9307.78,'+19.78%,银行
'74,688188.柏楚电子,'137.61,'+1.18%,6.56%,'24.92,'-0.34%,'-1.22%,'+3.11%,'+2.90%,'45.18,1.49%,'396.86,'+0.26%,软件开发
'75,688696.极米科技,'110.13,'+0.41%,6.55%,'5.24,'+0.88%,'+6.26%,'+5.81%,'+6.30%,'55.31,0.27%,'77.09,'+12.35%,家电行业
'76,688200.华峰测控,'143.72,'+0.52%,6.53%,'12.75,'+2.99%,'+0.17%,'+2.07%,'+2.58%,'54.25,0.68%,'194.79,'+38.21%,半导体
'77,688208.道通科技,'36.55,'+2.52%,6.46%,'13.24,'+0.70%,'+5.06%,'+5.46%,'+4.97%,'39.99,1.66%,'244.95,'+40.00%,计算机设备
'78,600219.南山铝业,'4.05,'+0.75%,6.45%,'28.70,'+0.09%,'-2.41%,'+1.40%,'+1.41%,'8.15,4.21%,'470.35,'+6.16%,有色金属
'79,600415.小商品城,'19.64,'-1.36%,6.41%,'72.70,'+3.55%,'+4.43%,'+5.13%,'+5.13%,'34.88,1.68%,'1076.99,'+49.07%,商业百货
'80,002463.沪电股份,'52.58,0.00%,6.41%,'52.52,'+2.45%,'+1.90%,'-1.66%,'-1.38%,'36.19,0.95%,'1011.49,'+34.76%,电子元件
'81,601555.东吴证券,'9.68,'+1.47%,6.39%,'27.77,'+1.09%,'+3.70%,'+3.96%,'+4.80%,'16.65,3.22%,'480.97,'+27.73%,证券
'82,300206.理邦仪器,'13.21,'-0.08%,6.38%,'4.44,'-1.35%,'+3.12%,'-2.68%,'+1.78%,'44.96,1.57%,'76.63,'+20.31%,医疗器械
'83,002563.森马服饰,'5.55,'+2.02%,6.37%,'9.03,'-0.42%,'-1.82%,'+0.15%,'+2.05%,'15.60,6.43%,'146.56,'-16.04%,纺织服装
'84,300408.三环集团,'34.57,0.00%,6.37%,'40.75,'-1.21%,'+0.13%,'+2.30%,'+1.54%,'33.08,1.10%,'662.53,'-9.17%,电子元件
'85,603236.移远通信,'84.68,'+0.20%,6.36%,'14.27,'+0.60%,'+3.61%,'+4.12%,'+2.41%,'32.51,0.81%,'221.57,'+24.46%,通信设备
'86,603596.伯特利,'50.99,'+6.05%,6.34%,'20.27,'-0.46%,'-1.94%,'+3.40%,'+5.65%,'26.05,0.69%,'309.26,'+15.14%,汽车零部件
'87,600132.重庆啤酒,'55.36,'+0.02%,6.24%,'16.63,'+0.32%,'+0.13%,'-0.30%,'-2.98%,'21.56,4.34%,'267.93,'-10.71%,酿酒行业
'88,002001.新和成,'22.26,'+0.14%,6.24%,'40.82,'+0.65%,'+2.05%,'+4.07%,'+3.14%,'9.97,3.15%,'683.22,'+4.55%,化学制药
'89,002138.顺络电子,'28.90,'-1.30%,6.23%,'14.13,'-1.00%,'-3.12%,'-0.34%,'-0.52%,'26.36,2.05%,'236.09,'-6.33%,电子元件
'90,600900.长江电力,'27.97,'-0.46%,6.19%,'456.18,'+0.17%,'-1.66%,'-0.54%,'-2.31%,'20.27,3.37%,'6843.76,'-2.27%,电力行业
'91,600522.中天科技,'14.14,'-0.77%,6.17%,'30.47,'+0.35%,'-4.04%,'-2.33%,'-0.27%,'18.23,2.12%,'482.59,'+0.84%,通信设备
'92,601877.正泰电器,'22.90,'-0.13%,6.13%,'29.89,'+0.75%,'+2.05%,'+2.25%,'+2.17%,'13.18,2.62%,'492.11,'+0.48%,电网设备
'93,603986.兆易创新,'118.28,'+0.24%,6.12%,'51.42,'+0.01%,'+1.87%,'+1.81%,'+1.52%,'73.37,0.29%,'785.45,'+11.06%,半导体
'94,600312.平高电气,'15.92,'+1.40%,6.12%,'12.77,'-5.80%,'-4.42%,'+3.39%,'+5.90%,'19.28,1.82%,'216.02,'-16.32%,电网设备
'95,603606.东方电缆,'48.27,'-0.29%,6.09%,'21.66,'+1.21%,'+0.40%,'+1.94%,'+0.35%,'33.53,0.93%,'331.96,'-7.29%,电网设备
'96,600872.中炬高新,'18.93,0.00%,6.02%,'8.90,'-0.30%,'-0.07%,'+1.02%,'+1.46%,'24.01,2.22%,'147.46,'-12.08%,食品饮料
'97,002555.三七互娱,'17.40,'+1.28%,6.01%,'22.97,'+2.81%,'-0.25%,'-2.00%,'-1.45%,'15.13,5.83%,'380.06,'+15.67%,游戏
'98,002624.完美世界,'15.91,'+3.38%,5.99%,'17.63,'+2.71%,'+4.94%,'-3.16%,'+2.80%,'-,1.49%,'298.56,'+56.46%,游戏
'99,601318.中国平安,'59.06,'-0.14%,5.94%,'354.55,'-0.29%,'+0.57%,'-0.63%,'+0.11%,'9.69,4.32%,'6356.43,'+15.43%,保险
'100,002690.美亚光电,'17.37,'+1.05%,5.87%,'8.73,'+0.93%,'-1.71%,'-7.45%,'-5.76%,'23.84,4.07%,'151.66,'+22.09%,专用设备
'101,601838.成都银行,'18.93,'-0.37%,5.83%,'49.63,'+1.04%,'+1.03%,'+1.30%,'-1.27%,'6.18,4.71%,'802.34,'+15.94%,银行
'102,600519.贵州茅台,'1423.88,'-0.27%,5.80%,'1027.06,'-0.55%,'-0.86%,'-1.20%,'-1.42%,'20.09,3.62%,'17886.75,'-4.74%,酿酒行业
'103,600609.金杯汽车,'5.10,'+0.39%,5.78%,'3.99,'-0.82%,'+4.82%,'+5.62%,%,'24.99,'-,'66.53,'-29.17%,汽车零部件
'104,000807.云铝股份,'16.10,'+1.19%,5.67%,'31.45,'-0.45%,'+0.45%,'-4.37%,'+0.73%,'13.16,2.58%,'551.75,'+20.39%,有色金属
'105,600584.长电科技,'34.96,'+0.63%,5.65%,'34.08,'+0.76%,'+0.50%,'+2.34%,'+2.58%,'38.31,0.34%,'625.58,'-14.12%,半导体
'106,300661.圣邦股份,'77.20,'+1.98%,5.64%,'25.36,'+2.42%,'+1.21%,'+1.36%,'+0.42%,'107.61,0.20%,'467.75,'+22.99%,半导体
'107,601012.隆基绿能,'15.94,'+0.13%,5.62%,'63.94,'-0.08%,'+0.83%,'-6.47%,'-7.48%,'-,1.07%,'1207.94,'+1.46%,光伏设备
'108,603323.苏农银行,'5.42,'-0.73%,5.62%,'6.36,'+0.21%,'+0.95%,'+5.04%,%,'5.74,3.02%,'109.40,'+16.06%,银行
'109,300285.国瓷材料,'18.74,'+0.70%,5.61%,'9.70,'-0.14%,'-4.48%,'-12.20%,'-13.58%,'31.63,0.81%,'185.55,'+10.98%,化学制品
'110,002353.杰瑞股份,'40.27,'+0.05%,5.58%,'19.99,'+0.55%,'-5.04%,'-7.77%,'-9.76%,'16.46,2.01%,'412.10,'+11.10%,专用设备
'111,000725.京东方Ａ,'4.06,'+0.49%,5.57%,'81.66,'-2.91%,'-2.59%,'-3.25%,'+1.72%,'32.91,1.24%,'1483.53,'-6.34%,光学光电子
'112,000728.国元证券,'8.63,'+0.12%,5.38%,'18.53,'+1.79%,'+4.05%,'+3.94%,'+3.50%,'15.63,1.86%,'376.16,'+5.33%,证券
'113,300294.博雅生物,'27.09,'-0.26%,5.36%,'7.03,'-0.16%,'+0.28%,'+1.33%,'+2.44%,'49.53,1.18%,'136.95,'-9.99%,生物制品
'114,688777.中控技术,'49.07,'+2.29%,5.33%,'18.94,'-1.03%,'-0.39%,'-0.48%,'+4.82%,'38.97,1.45%,'388.24,'+0.35%,软件开发
'115,600919.江苏银行,'11.69,'-0.60%,5.33%,'116.89,'+0.47%,'-0.09%,'+0.56%,'+1.10%,'6.67,4.45%,'2145.27,'+25.03%,银行
'116,688789.宏华数科,'72.90,'+0.15%,5.20%,'6.82,'+0.91%,'+3.90%,'+5.09%,%,'31.98,1.10%,'130.82,'+10.73%,专用设备
'117,603766.隆鑫通用,'12.71,'+4.87%,5.19%,'13.59,'-0.66%,'+0.04%,'+3.16%,'+4.44%,'19.59,3.15%,'261.01,'+43.71%,交运设备
'118,600988.赤峰黄金,'24.74,'+0.41%,5.16%,'21.36,'-3.87%,'-1.54%,'+3.61%,'+3.57%,'23.70,0.65%,'411.65,'+59.49%,贵金属
'119,002517.恺英网络,'19.76,'+2.76%,5.16%,'21.27,'+0.20%,'+1.58%,'-3.18%,'-2.94%,'24.29,1.04%,'410.84,'+46.04%,游戏
'120,300502.新易盛,'186.40,'+2.17%,5.10%,'64.24,'+3.19%,'+0.51%,'+3.32%,'+1.25%,'44.50,0.18%,'1813.03,'+126.69%,通信设备
'121,601689.拓普集团,'48.02,'+2.04%,5.07%,'41.66,'-0.01%,'+1.41%,'-0.72%,'+2.75%,'31.86,1.08%,'834.51,'-0.93%,汽车零部件
'122,601717.中创智领,'17.39,0.00%,5.04%,'12.92,'+0.41%,'+0.12%,'+2.33%,'+2.01%,'8.47,6.44%,'268.18,'+42.96%,汽车零部件
'123,002027.分众传媒,'7.80,'-2.62%,5.03%,'52.99,'-1.94%,'-3.40%,'-13.90%,'-8.48%,'24.56,1.25%,'1156.82,'+10.95%,文化传媒
'124,301080.百普赛斯,'54.01,'-2.12%,4.99%,'4.28,'+3.13%,'+2.51%,'+3.74%,'+4.90%,'72.94,0.91%,'92.62,'+73.20%,医疗服务
'125,300624.万兴科技,'85.00,'+3.65%,4.98%,'5.98,'+0.89%,'+3.74%,'+4.13%,'+0.81%,'-,'-,'158.56,'+34.60%,软件开发
'126,601168.西部矿业,'17.47,'+0.58%,4.92%,'19.48,'-0.51%,'-3.05%,'-1.16%,'+3.27%,'13.41,5.72%,'416.31,'+15.73%,有色金属
'127,300207.欣旺达,'21.73,'+0.74%,4.91%,'18.19,'-0.32%,'+1.60%,'+0.64%,'+0.04%,'25.07,0.70%,'398.14,'-1.81%,电池
'128,600315.上海家化,'22.42,'+0.36%,4.88%,'6.91,'+2.24%,'+3.37%,'+4.38%,'+3.73%,'-,1.17%,'150.71,'+32.58%,美容护理
'129,600496.精工钢构,'3.35,'+0.60%,4.86%,'3.10,'+1.65%,'+4.42%,'+4.70%,'+4.80%,'14.34,2.39%,'66.67,'+13.96%,水泥建材
'130,002483.润邦股份,'7.03,'+3.23%,4.85%,'2.69,'+0.54%,'+3.95%,'+3.22%,%,'13.14,4.41%,'60.37,'+41.71%,专用设备
'131,600585.海螺水泥,'23.37,'-0.04%,4.83%,'41.46,'+0.03%,'+1.29%,'+0.95%,'-2.89%,'16.17,3.04%,'934.73,'+1.51%,水泥建材
'132,601117.中国化学,'8.02,'+0.25%,4.82%,'22.59,'+0.99%,'+1.36%,'+2.59%,'+3.07%,'8.48,2.22%,'489.92,'-3.26%,工程建设
'133,600123.兰花科创,'6.94,'+1.31%,4.81%,'4.62,'-0.53%,'-0.33%,'+1.67%,'+4.78%,'16.94,2.16%,'102.24,'-17.10%,煤炭行业
'134,600030.中信证券,'29.16,'-0.07%,4.79%,'161.38,'+0.24%,'+0.94%,'+0.68%,'+0.39%,'18.71,2.45%,'3557.66,'-0.03%,证券
'135,000719.中原传媒,'13.16,'-0.08%,4.79%,'6.08,'+1.64%,'+3.93%,'-0.31%,'+4.78%,'10.18,4.56%,'134.76,'+21.42%,文化传媒
'136,601098.中南传媒,'12.99,'+0.08%,4.78%,'11.27,'+0.11%,'+1.22%,'-1.37%,'-2.71%,'13.88,4.23%,'233.30,'-10.52%,文化传媒
'137,002558.巨人网络,'28.03,'+0.65%,4.76%,'21.69,'+0.59%,'+3.41%,'+2.13%,'+3.31%,'34.09,1.02%,'538.83,'+123.07%,游戏
'138,002249.大洋电机,'6.98,'+3.71%,4.75%,'7.63,'+0.44%,'+1.56%,'+3.16%,'+2.86%,'17.85,2.81%,'164.30,'+21.30%,电机
'139,600699.均胜电子,'19.23,'+1.21%,4.74%,'11.64,'+0.75%,'+2.28%,'+1.74%,'+2.96%,'20.80,1.36%,'268.39,'+24.44%,汽车零部件
'140,002475.立讯精密,'36.21,'-0.71%,4.73%,'119.03,'-1.58%,'-2.81%,'-3.17%,'-3.05%,'22.19,0.55%,'2644.81,'-10.66%,消费电子
'141,002050.三花智控,'27.65,'+2.71%,4.72%,'46.50,'-0.44%,'-6.78%,'-11.63%,'-15.64%,'34.33,1.30%,'1004.76,'+18.71%,家电行业
'142,603308.应流股份,'27.55,'+3.61%,4.72%,'7.40,'-1.51%,'+3.80%,'+4.20%,'+4.69%,'67.53,0.25%,'187.07,'+96.05%,通用设备
'143,002048.宁波华翔,'21.98,'+9.57%,4.71%,'7.05,'+1.23%,'+2.63%,'-1.36%,'+0.92%,'17.06,2.34%,'163.25,'+78.57%,汽车零部件
'144,002745.木林森,'8.68,'+0.12%,4.70%,'5.49,'+1.00%,'+0.37%,'+1.88%,'+0.80%,'44.43,4.73%,'128.68,'+0.17%,光学光电子
'145,000988.华工科技,'51.02,'-0.16%,4.65%,'21.99,'+0.82%,'+2.04%,'+1.60%,'+2.31%,'52.38,0.40%,'513.81,'+18.37%,电子元件
'146,600418.江淮汽车,'47.90,'-0.87%,4.61%,'40.35,'+1.88%,'+1.75%,'+2.98%,'+4.52%,'-,0.04%,'1046.14,'+27.73%,汽车整车
'147,600258.首旅酒店,'13.86,0.00%,4.60%,'7.26,'+0.93%,'+3.53%,'+3.05%,'+2.42%,'20.77,2.60%,'154.76,'-3.01%,旅游酒店
'148,688408.中信博,'50.55,'-0.49%,4.59%,'4.69,'+2.70%,'+3.05%,'+3.38%,%,'19.79,1.98%,'110.74,'-28.29%,光伏设备
'149,002318.久立特材,'22.33,'+0.90%,4.57%,'10.44,'+0.19%,'-0.92%,'+1.97%,'+2.11%,'13.73,4.38%,'216.25,'-0.77%,钢铁行业
'150,601229.上海银行,'10.50,'+0.10%,4.57%,'68.94,'+0.26%,'+0.81%,'+1.40%,'+1.09%,'6.28,4.76%,'1491.94,'+17.17%,银行
'151,300458.全志科技,'40.75,'+2.28%,4.56%,'14.94,'-1.02%,'+3.72%,'+3.75%,'+3.05%,'212.59,0.48%,'328.80,'+37.36%,半导体
'152,000100.TCL科技,'4.48,'+0.45%,4.55%,'36.98,'+0.21%,'+0.99%,'+0.16%,'+1.87%,'74.37,1.12%,'881.54,'-9.96%,光学光电子
'153,000425.徐工机械,'8.44,'+1.56%,4.54%,'41.50,'+0.14%,'+1.88%,'+0.85%,'+0.64%,'15.50,2.17%,'976.73,'+8.69%,工程机械
'154,600694.大商股份,'19.47,'-0.76%,4.50%,'2.90,'-0.05%,'+0.48%,'+3.81%,'+4.18%,'12.18,4.67%,'67.71,'-15.22%,商业百货
'155,600114.东睦股份,'26.44,'+5.13%,4.48%,'5.61,'+3.07%,'+3.53%,'+3.30%,'+4.47%,'36.16,1.13%,'162.97,'+65.95%,通用设备
'156,002419.天虹股份,'5.72,'-0.35%,4.47%,'2.80,'+0.22%,'+2.76%,'+3.21%,'+3.36%,'300.00,1.05%,'67.09,'-1.31%,商业百货
