序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'1,600885.宏发股份,'24.57,'+0.20%,20.32%,'66.18,'-1.43%,'-2.19%,'-1.50%,'-0.03%,'21.67,1.50%,'358.66,'+9.88%,电网设备
'2,002028.思源电气,'77.30,'-0.59%,19.90%,'112.96,'-0.24%,'+5.10%,'+13.15%,'+16.32%,'30.66,0.64%,'605.29,'+7.05%,电网设备
'3,603939.益丰药房,'24.50,'+0.20%,19.58%,'58.09,'-2.92%,'+0.40%,'+2.92%,'+2.81%,'19.34,2.65%,'297.04,'+3.22%,医药商业
'4,600660.福耀玻璃,'55.56,'-0.41%,18.64%,'212.83,'+0.80%,'-4.67%,'+0.84%,'+4.63%,'18.32,3.24%,'1112.86,'-8.12%,玻璃玻纤
'5,002472.双环传动,'36.35,'+5.06%,17.92%,'50.88,'+1.31%,'+6.44%,'+12.75%,'+12.82%,'27.67,0.65%,'293.31,'+19.56%,汽车零部件
'6,300124.汇川技术,'65.86,'+1.62%,17.60%,'306.38,'-1.55%,'-3.63%,'-5.76%,'-3.60%,'39.01,0.63%,'1746.86,'+13.14%,电子元件
'7,002270.华明装备,'18.35,'+2.63%,17.44%,'26.17,'+6.14%,'+3.42%,'+15.64%,%,'26.12,3.05%,'160.25,'+10.46%,电网设备
'8,300012.华测检测,'12.36,'+0.08%,15.96%,'31.39,'+0.47%,'+4.05%,'+3.54%,'+0.59%,'23.81,0.81%,'207.83,'+0.34%,专业服务
'9,002271.东方雨虹,'12.55,'+0.56%,15.58%,'39.94,'+1.22%,'+7.37%,'+4.49%,'+2.26%,'-,12.32%,'298.11,'+3.72%,装修建材
'10,000333.美的集团,'71.70,'+0.45%,14.64%,'741.57,'-1.65%,'-3.75%,'-5.08%,'-3.22%,'13.96,4.91%,'5013.70,'-0.07%,家电行业
'11,300750.宁德时代,'265.00,'-0.26%,13.78%,'1530.78,'+1.18%,'+2.79%,'+4.47%,'+6.92%,'23.24,2.18%,'11699.82,'+2.10%,电池
'12,600406.国电南瑞,'21.96,'+0.18%,13.56%,'244.11,'-0.34%,'-1.04%,'-3.90%,'-3.59%,'23.68,2.60%,'1763.85,'-11.23%,电网设备
'13,603501.豪威集团,'121.22,'-0.21%,13.37%,'207.70,'+0.78%,'-2.01%,'+3.44%,'+6.14%,'44.19,0.46%,'1475.52,'+16.31%,半导体
'14,600096.云天化,'24.56,'+1.32%,12.59%,'50.44,'+2.48%,'+6.74%,'+10.57%,'+12.21%,'8.91,5.74%,'447.73,'+16.89%,化肥行业
'15,603259.药明康德,'93.58,'+0.31%,12.13%,'209.72,'+2.31%,'+8.10%,'+4.51%,'+4.26%,'24.09,1.43%,'2325.59,'+73.71%,医疗服务
