序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'25,SH603299.苏盐井神,'17,'10.79,'+0.94%,0.40%,'13.54,'1.35,4.11%,11.71%,'84.34,'+1.43%,化学原料
'26,SH603296.华勤技术,'17,'80.22,'+0.19%,1.22%,'31.63,'3.48,1.12%,14.14%,'814.84,'+14.51%,消费电子
'35,SH603150.万朗磁塑,'17,'42.00,'+7.89%,'-,'25.63,'2.20,0.40%,9.30%,'35.90,'+59.26%,塑料制品
'38,SH603119.浙江荣泰,'17,'65.09,'+4.08%,0.41%,'105.51,'12.54,0.30%,13.55%,'236.76,'+192.08%,非金属材料
'59,SH601231.环旭电子,'17,'16.32,'+2.97%,2.02%,'24.82,'1.96,1.41%,9.30%,'358.43,'+0.44%,消费电子
'63,SH601177.杭齿前进,'17,'19.79,'+10.01%,0.34%,'38.62,'3.02,0.30%,9.52%,'80.74,'+139.80%,通用设备
'67,SH600988.赤峰黄金,'17,'24.74,'+0.41%,5.16%,'23.70,'4.32,0.65%,23.74%,'411.65,'+59.49%,贵金属
'81,SH600399.抚顺特钢,'17,'5.69,'+1.25%,1.72%,'-1.00,'1.80,0.32%,'-1.00%,'112.21,'-1.55%,钢铁行业
'83,SH600362.江西铜业,'17,'23.52,'+2.57%,3.31%,'9.09,'1.02,2.98%,9.48%,'488.10,'+17.30%,有色金属
'91,SH600216.浙江医药,'17,'15.77,'-0.57%,7.41%,'10.41,'1.37,2.35%,14.03%,'151.65,'+1.85%,化学制药
'95,SH600170.上海建工,'17,'2.41,'-0.82%,2.08%,'67.10,'0.47,2.49%,3.74%,'214.15,'-6.85%,工程建设
'39,SH603063.禾望电气,'16,'39.21,'-0.25%,2.97%,'42.16,'3.85,0.31%,11.37%,'178.24,'+97.24%,风电设备
'51,SH600808.马钢股份,'16,'4.08,'+9.97%,0.65%,'-1.00,'1.36,0.00%,'-1.00%,'244.36,'+32.04%,钢铁行业
'53,SH600698.湖南天雁,'16,'13.08,'+10.01%,0.04%,'-1.00,'18.15,0.00%,0.57%,'109.69,'+189.38%,汽车零部件
'84,SH600329.达仁堂,'16,'40.90,'+1.59%,0.78%,'42.21,'3.83,3.13%,29.15%,'233.17,'+38.00%,中药
'97,SH600160.巨化股份,'16,'27.56,'+0.73%,3.15%,'30.95,'4.00,0.83%,14.03%,'744.05,'+15.26%,化学制品
'98,SH600150.中国船舶,'16,'38.51,'+10.00%,3.58%,'44.73,'3.31,0.65%,8.63%,'1722.33,'+7.97%,船舶制造
'28,SH601717.中创智领,'15,'17.39,0.00%,5.04%,'8.47,'1.38,6.44%,18.16%,'268.18,'+42.96%,汽车零部件
'36,SH603130.云中马,'15,'38.84,'+10.00%,'-,'76.02,'3.99,0.59%,6.47%,'53.41,'+76.03%,纺织服装
'41,SH603001.奥康国际,'15,'9.87,'+10.03%,'-,'-1.00,'1.52,1.52%,'-1.00%,'39.58,'+42.92%,纺织服装
'50,SH600809.山西汾酒,'15,'182.10,'+0.45%,4.02%,'17.57,'5.79,3.33%,34.84%,'2221.55,'+2.34%,酿酒行业
'69,SH600674.川投能源,'15,'15.55,'-0.19%,2.64%,'16.22,'1.74,2.57%,11.17%,'758.00,'-7.57%,电力行业
'46,SH600901.江苏金租,'14,'5.93,'-1.33%,1.31%,'11.65,'1.38,4.55%,13.71%,'343.49,'+18.70%,多元金融
'73,SH600585.海螺水泥,'14,'23.37,'-0.04%,4.83%,'16.17,'0.65,3.04%,4.25%,'934.73,'+1.51%,水泥建材
'88,SH600302.标准股份,'14,'7.60,'+9.99%,'-,'-1.00,'4.08,0.00%,'-1.00%,'26.30,'+58.00%,专用设备
'90,SH600219.南山铝业,'14,'4.05,'+0.75%,6.45%,'8.15,'0.91,4.21%,11.42%,'470.35,'+6.16%,有色金属
'24,SH603310.巍华新材,'13,'20.57,'+10.00%,'-,'40.65,'1.78,3.40%,6.01%,'71.04,'+13.24%,化学原料
'29,SH601689.拓普集团,'13,'48.02,'+2.04%,5.07%,'31.86,'3.68,1.08%,14.38%,'834.51,'-0.93%,汽车零部件
'30,SH600566.济川药业,'13,'26.78,'-0.59%,1.43%,'12.78,'1.63,7.80%,14.50%,'246.83,'-0.77%,中药
