序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'40,SZ002475.立讯精密,'83,'36.21,'-0.71%,4.73%,'22.19,'3.65,0.55%,21.20%,'2644.81,'-10.66%,消费电子
'47,SH600031.三一重工,'83,'20.02,'+1.93%,11.80%,'26.55,'2.27,1.80%,9.51%,'1696.57,'+23.92%,工程机械
'42,SH600188.兖矿能源,'82,'13.31,'+2.54%,1.84%,'10.31,'1.56,5.79%,16.24%,'793.54,'-2.00%,煤炭行业
'46,SH601628.中国人寿,'81,'41.52,'+0.65%,0.38%,'10.18,'2.20,1.57%,22.73%,'8645.93,'+0.17%,保险
'45,SH603195.公牛集团,'80,'47.60,'-0.38%,2.97%,'22.78,'5.10,3.60%,26.74%,'860.89,'-1.95%,家用轻工
'49,SH603855.华荣股份,'79,'21.64,'+1.12%,3.20%,'15.68,'3.26,4.62%,23.11%,'73.04,'+11.95%,专用设备
'55,SH601138.工业富联,'79,'34.30,'-2.14%,2.47%,'28.33,'4.33,1.87%,16.04%,'6811.80,'+62.66%,消费电子
'56,SZ002074.国轩高科,'79,'29.25,'+0.34%,2.94%,'197.46,'2.03,0.34%,4.91%,'526.29,'+38.28%,电池
'58,SZ002466.天齐锂业,'79,'38.16,'+0.24%,4.39%,'-1.00,'1.50,3.55%,'-1.00%,'562.33,'+15.64%,能源金属
'59,SH600096.云天化,'79,'24.56,'+1.32%,12.59%,'8.91,'1.89,5.74%,23.52%,'447.73,'+16.89%,化肥行业
'50,SH601985.中国核电,'76,'9.18,'+0.11%,2.53%,'21.81,'1.66,1.94%,8.53%,'1888.14,'-10.45%,电力行业
'60,SZ002311.海大集团,'76,'58.37,'+0.78%,3.78%,'18.67,'3.95,1.90%,22.53%,'963.64,'+21.26%,农牧饲渔
'64,SZ000915.华特达因,'76,'34.74,'-0.26%,3.15%,'16.05,'2.64,7.18%,16.95%,'81.62,'+31.39%,化学制药
'63,SH603369.今世缘,'75,'39.45,'-0.33%,2.75%,'14.08,'2.88,3.04%,22.08%,'491.86,'-10.32%,酿酒行业
'52,SH688008.澜起科技,'74,'90.94,'+6.79%,10.07%,'67.99,'8.70,0.43%,15.46%,'1041.07,'+34.60%,半导体
'57,SZ000999.华润三九,'74,'31.87,'-0.90%,2.61%,'17.85,'2.54,3.16%,15.77%,'536.94,'-5.86%,中药
'62,SZ002415.海康威视,'73,'29.28,'-0.17%,0.44%,'22.45,'3.45,2.39%,16.51%,'2708.10,'-2.26%,计算机设备
'54,SZ000596.古井贡酒,'72,'139.47,'-0.39%,1.26%,'12.94,'2.80,4.29%,23.11%,'572.08,'-16.02%,酿酒行业
'53,SH600132.重庆啤酒,'71,'55.36,'+0.02%,6.24%,'21.56,'16.17,4.34%,53.44%,'267.93,'-10.71%,酿酒行业
'51,SH601012.隆基绿能,'70,'15.94,'+0.13%,5.62%,'-1.00,'2.03,1.07%,'-1.00%,'1207.94,'+1.46%,光伏设备
'61,SZ300015.爱尔眼科,'70,'12.82,'-0.31%,2.07%,'36.17,'5.49,1.24%,17.85%,'1199.25,'-1.99%,医疗服务
'76,SH603568.伟明环保,'69,'19.20,'-0.05%,1.31%,'12.47,'2.33,2.50%,21.09%,'327.28,'-9.03%,环保行业
'80,SZ002028.思源电气,'69,'77.30,'-0.59%,19.90%,'30.66,'4.70,0.64%,18.02%,'605.29,'+7.05%,电网设备
'83,SZ002304.洋河股份,'69,'68.80,'+0.06%,1.36%,'23.53,'2.00,6.76%,7.76%,'1035.83,'-12.15%,酿酒行业
'85,SZ002001.新和成,'69,'22.26,'+0.14%,6.24%,'9.97,'2.23,3.15%,24.43%,'683.22,'+4.55%,化学制药
'91,SZ300759.康龙化成,'69,'29.44,'-1.24%,2.91%,'43.70,'3.77,0.67%,13.98%,'440.19,'+15.49%,医疗服务
