序	代码	股票	价	涨	控盘度	股东数.人	更新日	北上持股	扣非PE	PB	股息	A股市值	今年来	行业
113	2890	弘宇股份	14.1	1.29%	7823	7,940	4.18	-	189.51	3.95	0.19%	23.65	43.28%	专用设备
114	603216	梦天家居	13.21	0.30%	7782	12,850	3.31	-	63.44	1.64	1.51%	29.42	23.49%	装修装饰
115	301128	强瑞技术	62.33	6.99%	7780	12,852	7.18	-	59.87	6.82	0.74%	60.26	54.44%	专用设备
116	301042	安联锐视	41.28	2.51%	7741	8,643	7.3	-	45.59	2.69	2.48%	28.08	14.70%	计算机设备
117	301051	信濠光电	24.22	4.40%	7731	9,622	3.31	0.15%	-	2.13	0.18%	47.11	7.66%	消费电子
118	603170	宝立食品	12.78	-0.23%	7710	10,927	3.31	2.01%	23.26	3.57	3.13%	51.12	-14.46%	食品饮料
119	300893	松原安全	25	0.04%	7615	6,660	7.31	0.24%	31.05	5.59	0.57%	79.2	20.64%	汽车零部件
120	300321	同大股份	31.06	3.19%	7579	6,131	5.31	-	300	4.25	0.14%	26.73	51.29%	化学制品
121	301092	争光股份	34.14	3.46%	7572	11,167	7.31	-	48.87	2.32	0.79%	44.4	47.47%	化学制品
122	603909	建发合诚	10.68	2.59%	7510	7,617	3.31	-	31.7	2.54	1.12%	27.84	18.14%	工程咨询服务
123	300935	盈建科	27.47	1.36%	7484	9,346	7.1	-	-	2.62	-	21.53	10.28%	软件开发
124	300989	蕾奥规划	16.87	0.36%	7475	9,869	7.31	-	-	3.6	-	35.46	6.44%	工程咨询服务
125	301019	宁波色母	17.62	-0.06%	7475	10,761	7.31	-	34.19	2.63	3.40%	29.62	6.47%	塑料制品
126	301258	富士莱	35.46	-1.39%	7475	13,377	7.31	-	-	1.73	0.25%	32.96	50.56%	化学制药
127	301040	中环海陆	28.2	-1.54%	7468	8,320	3.31	-	-	3.31	-	28.64	127.60%	风电设备
128	300577	开润股份	20.9	0.38%	7460	10,468	7.31	0.13%	16.85	2.26	1.62%	49.92	-15.12%	纺织服装
129	301117	佳缘科技	35.72	19.99%	7456	10,613	3.31	-	300	2.95	0.05%	38.45	63.39%	软件开发
130	300535	达威股份	18.7	-0.05%	7423	10,614	7.31	-	66.24	2.12	0.37%	19.61	43.51%	化学制品
131	300649	杭州园林	16.79	-0.53%	7386	11,864	6.2	-	-	4.56	0.30%	22.35	57.44%	工程咨询服务
132	301289	国缆检测	51.8	0.58%	7381	10,420	3.31	-	49.78	4.03	0.80%	40.17	6.92%	专业服务
133	300779	惠城环保	175.87	2.17%	7350	11,160	6.3	0.48%	-	25.29	0.06%	337.48	80.29%	环保行业
134	301049	超越科技	24.36	-0.16%	7346	8,163	7.31	-	-	3.51	-	23	1.50%	环保行业
135	300955	嘉亨家化	20.81	-1.14%	7330	10,400	7.31	-	-	2.32	1.33%	21.22	33.71%	美容护理
136	300980	祥源新材	25.22	3.28%	7321	11,819	7.18	-	220.47	2.41	0.74%	33.75	10.91%	塑料制品
137	300910	瑞丰新材	57.14	2.11%	7302	9,281	3.31	1.34%	23.09	4.66	2.14%	165.61	22.53%	化学制品
138	300844	山水比德	44.06	1.05%	7282	4,997	7.31	-	-	5.16	-	39.46	96.57%	工程咨询服务
139	300854	中兰环保	17.84	3.60%	7208	8,813	7.31	-	300	1.75	0.70%	17.23	47.01%	环保行业
140	300536	农尚环境	10.21	0.29%	7175	11,285	7.18	-	-	5.77	-	29.86	78.18%	工程建设
141	301080	百普赛斯	54.01	-2.12%	7173	10,597	3.31	4.99%	72.94	3.53	0.91%	92.62	73.20%	医疗服务
142	300932	三友联众	12.37	0.16%	7165	10,059	3.31	-	64.62	2.26	1.26%	39.53	20.27%	电网设备
143	605289	罗曼股份	38.43	1.69%	7157	8,965	3.31	-	-	3.28	0.66%	41.89	53.35%	装修装饰
144	300572	安车检测	31.21	19.99%	7141	12,880	3.31	-	-	4	-	71.47	72.72%	专业服务
145	301182	凯旺科技	37.49	0.27%	7113	14,057	7.31	-	-	4.63	-	35.83	7.54%	消费电子
146	1230	劲旅环境	23.35	0.43%	7102	14,080	3.31	-	21.92	1.65	1.38%	31.04	42.94%	环保行业
147	603097	江苏华辰	23.02	0.66%	7095	14,093	3.31	-	45.25	3.62	0.87%	37.85	-1.28%	电网设备
148	301122	采纳股份	23.72	-0.34%	7093	7,988	7.31	-	160.54	1.6	1.05%	29.09	18.69%	医疗器械
149	2653	海思科	54.2	2.17%	7060	9,069	3.31	0.73%	300	14.43	0.78%	594.12	64.24%	化学制药
150	301187	欧圣电气	31.72	2.55%	7053	14,177	6.3	0.10%	30.17	5.35	2.71%	78.85	32.63%	家电行业
151	603201	常润股份	17.12	1.72%	7052	10,741	3.31	-	14.03	1.93	2.34%	32.53	24.23%	汽车零部件
152	603356	华菱精工	14.14	0.78%	7024	10,233	3.31	-	-	4.35	-	18.85	10.64%	专用设备
153	301100	风光股份	19.4	0.73%	7004	14,276	5.3	-	-	1.89	0.39%	38.52	16.87%	化学制品
154	301023	江南奕帆	45.76	4.67%	6967	10,362	7.31	-	35.35	4.08	2.45%	34.18	36.68%	电机
155	301159	三维天地	38.46	0.60%	6954	10,567	3.31	-	-	4.7	0.26%	29.57	15.25%	软件开发
156	300851	交大思诺	29.45	0.86%	6951	8,707	7.31	-	65.32	1.96	1.47%	25.38	12.98%	交运设备
157	2853	皮阿诺	13.08	0.46%	6932	9,882	3.31	-	-	2.55	1.57%	23.82	19.23%	装修建材
158	301268	铭利达	21.46	-0.19%	6922	11,553	7.31	0.45%	-	4.65	1.16%	86.09	29.43%	通用设备
159	1218	丽臣实业	19.37	0.15%	6881	14,531	7.31	-	25.86	1.12	2.64%	25.18	15.63%	化学制品
160	301180	万祥科技	16.2	0.37%	6879	14,535	7.31	0.62%	-	4.93	0.15%	64.56	4.72%	消费电子
161	301041	金百泽	27.5	1.36%	6863	12,873	3.31	-	120.18	4.33	0.37%	28.94	15.00%	电子元件
162	300736	百邦科技	11.95	1.53%	6860	11,664	3.31	-	-	16.59	-	14.98	24.09%	通信服务
163	301213	观想科技	76.65	3.16%	6854	8,724	3.31	-	-	7.57	0.13%	59.44	77.72%	软件开发
164	1316	润贝航科	35.08	0.98%	6852	12,897	7.2	-	40.88	3.27	0.75%	40	70.73%	贸易行业
165	300717	华信新材	20.02	-2.06%	6825	7,544	3.31	-	38.56	2.92	0.98%	21.01	45.29%	塑料制品
166	301228	实朴检测	28.09	-3.31%	6824	7,228	7.31	-	-	4.89	-	34.86	112.32%	专业服务
167	2992	宝明科技	63.28	-0.68%	6819	9,017	3.31	1.01%	-	16.2	-	115.23	1.09%	光学光电子
168	603665	康隆达	27.18	4.82%	6803	7,351	3.31	-	-	6.02	-	43.79	92.49%	纺织服装
169	300949	奥雅股份	41.92	0.65%	6783	8,246	7.31	-	-	3.66	-	25.13	-12.12%	工程咨询服务
170	2718	友邦吊顶	17.91	1.24%	6740	7,931	3.31	-	-	2.56	-	23.25	46.44%	装修建材
171	301119	正强股份	40.29	1.28%	6728	6,661	3.31	-	41.9	3.89	2.56%	41.37	33.46%	汽车零部件
172	603059	倍加洁	44.97	10.00%	6718	4,531	3.31	-	-	4.49	0.44%	45.17	92.76%	美容护理
173	2778	中晟高科	18.28	-0.27%	6711	9,716	3.31	-	-	7.46	-	22.87	4.70%	石油行业
174	300818	耐普矿机	23.28	0.82%	6709	12,235	7.31	-	52.35	2.21	0.70%	38.97	-13.99%	专用设备
175	605259	绿田机械	27.62	0.66%	6689	6,950	3.31	-	22.74	2.72	2.17%	47.64	87.81%	通用设备
176	301190	善水科技	25.29	-0.32%	6689	14,948	3.31	-	94.54	2.84	0.59%	54.45	61.16%	化学制品
177	603041	美思德	12.75	0.55%	6654	8,884	3.31	-	65.83	1.56	0.94%	23.35	20.45%	化学制品
178	301278	快可电子	36.09	1.66%	6654	11,473	7.31	-	58.94	2.5	1.44%	31.87	4.92%	光伏设备
179	300662	科锐国际	32.85	-0.42%	6651	10,448	7.31	0.27%	40	3.19	0.48%	64.93	56.81%	专业服务
180	603608	天创时尚	6.6	1.85%	6649	9,598	3.31	-	-	2.66	-	27.7	77.42%	纺织服装
