序	代码	股票	价	涨	股东数.人	百分位	北上持股	扣非PE	PB	股息	市值.亿	今年来	行业
93	000751	锌业股份	3.39	+0.59%	124,575	0.00%	0.96%	110.03	1.50	0.90%	54	+20.64%	有色金属
94	000828	东莞控股	11.23	-0.44%	26,699	0.00%	1.13%	13.90	1.15	4.26%	116	+8.35%	铁路公路
95	000931	中关村	5.61	-2.09%	70,713	0.00%	-	105.03	2.68	-	43	+17.86%	化学制药
96	001210	金房能源	15.21	-1.43%	11,933	0.00%	-	25.62	1.67	1.13%	23	+31.46%	公用事业
97	001212	中旗新材	41.29	+1.98%	9,416	0.00%	-	300.00	4.39	0.17%	76	+146.80%	装修装饰
98	001213	中铁特货	4.27	-0.70%	70,222	0.00%	0.33%	36.76	0.99	1.43%	189	+3.94%	物流行业
99	001216	华瓷股份	14.48	+0.14%	13,999	0.00%	-	19.55	2.14	2.65%	38	+17.05%	装修建材
100	001226	拓山重工	36.30	+0.17%	5,071	0.00%	-	238.49	3.65	1.09%	27	+34.70%	工程机械
101	001227	兰州银行	2.47	-0.80%	98,611	0.00%	2.20%	7.88	0.40	4.09%	141	+4.58%	银行
102	001230	劲旅环境	23.35	+0.43%	14,080	0.00%	-	21.15	1.59	1.43%	30	+42.94%	环保行业
103	001266	宏英智能	30.06	+0.87%	11,814	0.00%	-	163.81	3.00	1.04%	30	+31.36%	仪器仪表
104	001313	粤海饲料	7.97	+0.25%	18,068	0.00%	0.30%	-	2.16	0.64%	55	-8.81%	农牧饲渔
105	002259	升达林业	4.11	+0.73%	14,296	0.00%	-	50.56	11.30	-	30	+72.69%	燃气
106	002490	山东墨龙	6.50	+1.72%	24,735	0.00%	0.47%	-	9.75	-	33	+133.81%	专用设备
107	002748	世龙实业	9.95	-0.30%	8,744	0.00%	-	34.60	1.69	1.55%	23	+23.17%	化学原料
108	002772	众兴菌业	8.29	-0.24%	31,566	0.00%	-	29.76	0.96	3.66%	32	+16.44%	农牧饲渔
109	002774	快意电梯	10.59	+0.28%	16,145	0.00%	-	41.59	2.83	3.36%	36	+59.84%	专用设备
110	002807	江阴银行	4.76	-0.83%	45,205	0.00%	3.35%	5.76	0.61	4.28%	115	+14.61%	银行
111	002853	皮阿诺	13.08	+0.46%	9,882	0.00%	-	-	2.51	1.59%	23	+19.23%	装修建材
112	002926	华西证券	10.08	+0.50%	82,253	0.00%	1.37%	29.88	1.11	0.84%	264	+22.30%	证券
113	002939	长城证券	8.92	+0.23%	68,148	0.00%	1.92%	19.40	1.16	2.78%	355	+9.91%	证券
114	002948	青岛银行	5.11	+0.99%	50,877	0.00%	1.83%	6.45	0.62	3.33%	170	+35.89%	银行
115	002950	奥美医疗	9.49	-0.94%	39,155	0.00%	1.96%	17.76	1.69	0.64%	59	+9.46%	医疗器械
116	002958	青农商行	3.55	-0.56%	81,487	0.00%	2.77%	7.14	0.47	3.44%	194	+20.50%	银行
117	002963	豪尔赛	13.71	+0.29%	14,671	0.00%	-	-	1.53	1.48%	20	+19.58%	装修装饰
118	002973	侨银股份	14.44	+5.63%	13,116	0.00%	-	19.68	2.21	0.74%	55	+37.50%	环保行业
119	002989	中天精装	31.63	-0.69%	10,345	0.00%	0.27%	-	4.15	-	63	+43.25%	装修装饰
120	002992	宝明科技	63.28	-0.68%	9,017	0.00%	1.01%	-	15.27	-	109	+1.09%	光学光电子
121	003017	大洋生物	32.15	-5.41%	8,959	0.00%	-	36.98	2.57	0.91%	28	+74.77%	化学原料
122	003018	金富科技	12.39	-0.16%	14,148	0.00%	-	21.93	1.95	2.50%	31	+37.39%	塑料制品
123	003036	泰坦股份	21.80	+2.54%	9,961	0.00%	-	100.23	3.02	0.61%	44	+80.58%	专用设备
124	300583	赛托生物	18.48	-1.70%	10,002	0.00%	-	-	2.01	0.05%	36	-5.42%	化学制药
125	300599	雄塑科技	8.69	+0.58%	14,081	0.00%	-	-	1.52	-	30	+20.36%	装修建材
126	300614	百川畅银	14.86	-0.34%	9,862	0.00%	-	-	1.89	-	24	+56.75%	环保行业
127	300625	三雄极光	12.53	-1.57%	18,037	0.00%	-	-	1.68	2.42%	35	+10.22%	家电行业
128	300689	澄天伟业	60.71	+7.04%	4,651	0.00%	-	300.00	7.89	0.09%	54	+137.89%	通信设备
129	300828	锐新科技	18.09	+0.39%	12,000	0.00%	-	55.90	3.77	1.74%	29	+9.75%	有色金属
130	300834	星辉环材	23.78	+2.63%	22,945	0.00%	-	56.46	1.49	1.13%	44	+21.65%	化学原料
131	300836	佰奥智能	41.81	+0.36%	4,678	0.00%	-	209.47	7.12	0.50%	39	+44.53%	专用设备
132	300838	浙江力诺	15.81	+1.35%	8,718	0.00%	-	128.33	2.11	0.98%	21	+26.19%	仪器仪表
133	300844	山水比德	44.06	+1.05%	4,611	0.00%	-	-	5.04	-	38	+96.57%	工程咨询服务
134	300868	杰美特	31.35	-1.42%	13,739	0.00%	-	-	2.56	0.15%	39	+15.92%	电子元件
135	300876	蒙泰高新	29.32	-0.07%	5,546	0.00%	-	-	3.52	-	28	+7.01%	化纤行业
136	300888	稳健医疗	40.72	+0.67%	21,410	0.00%	0.70%	34.30	2.05	1.63%	234	-2.73%	美容护理
137	300901	中胤时尚	17.58	0.00%	9,000	0.00%	-	-	4.32	-	42	+48.23%	纺织服装
138	300906	日月明	35.66	+19.99%	8,742	0.00%	-	51.19	2.49	1.75%	23	+39.85%	交运设备
139	300922	天秦装备	32.04	+6.30%	13,426	0.00%	-	121.42	5.00	0.61%	46	+125.08%	塑料制品
140	300929	华骐环保	11.80	+1.11%	7,426	0.00%	-	-	1.85	0.18%	15	+42.68%	环保行业
141	300931	通用电梯	8.72	-2.13%	11,324	0.00%	-	-	3.23	-	20	+32.72%	专用设备
142	300948	冠中生态	11.87	0.00%	9,679	0.00%	-	-	2.01	-	16	+26.14%	环保行业
143	300966	共同药业	24.89	-7.30%	12,864	0.00%	-	-	3.33	0.06%	31	+54.31%	化学制药
144	300970	华绿生物	15.44	+0.26%	10,189	0.00%	-	-	1.22	1.29%	18	+29.75%	农牧饲渔
145	301024	霍普股份	46.42	-0.21%	4,955	0.00%	-	-	6.77	-	29	+95.04%	工程建设
146	301027	华蓝集团	20.32	-0.97%	8,810	0.00%	-	-	3.24	0.06%	30	+26.53%	工程咨询服务
147	301035	润丰股份	65.68	+1.03%	5,591	0.00%	0.85%	31.30	2.57	0.93%	178	+35.83%	农药兽药
148	301037	保立佳	14.50	-0.75%	4,897	0.00%	-	-	3.22	-	20	+40.64%	化学制品
149	301040	中环海陆	28.20	-1.54%	8,320	0.00%	-	-	3.11	-	27	+127.60%	风电设备
150	301043	绿岛风	36.29	+0.64%	5,135	0.00%	-	29.72	2.73	2.46%	24	+30.61%	专用设备
151	301048	金鹰重工	11.29	0.00%	16,848	0.00%	0.22%	34.09	2.17	0.57%	58	+21.18%	交运设备
152	301060	兰卫医学	10.80	-0.46%	24,149	0.00%	-	-	2.62	1.85%	43	+21.06%	医疗器械
153	301075	多瑞医药	36.70	-0.46%	7,408	0.00%	-	-	4.45	-	29	+104.23%	化学制药
154	301080	百普赛斯	54.01	-2.12%	10,597	0.00%	4.99%	72.43	3.51	0.91%	92	+73.20%	医疗服务
155	301088	戎美股份	14.83	+0.34%	19,070	0.00%	-	65.27	1.27	3.31%	33	+13.48%	纺织服装
156	301090	华润材料	8.06	+1.00%	24,696	0.00%	0.23%	-	1.83	0.49%	118	+16.14%	化学原料
157	301093	华兰股份	26.61	-0.41%	15,439	0.00%	-	89.13	1.94	0.58%	44	+46.25%	医疗器械
158	301100	风光股份	19.40	+0.73%	14,276	0.00%	-	-	1.80	0.41%	37	+16.87%	化学制品
159	301103	何氏眼科	23.37	-0.59%	9,399	0.00%	-	-	1.93	0.64%	37	+16.97%	医疗服务
160	301109	军信股份	14.15	+0.28%	22,589	0.00%	0.13%	19.73	1.40	4.65%	109	+23.62%	环保行业
161	301136	招标股份	12.86	+0.31%	14,840	0.00%	-	-	2.41	-	35	+8.61%	工程咨询服务
162	301148	嘉戎技术	25.23	-0.04%	10,525	0.00%	-	98.92	1.66	1.55%	29	+40.60%	环保行业
163	301156	美农生物	20.06	-1.33%	7,290	0.00%	-	64.38	3.85	1.59%	28	+61.07%	农牧饲渔
164	301167	建研设计	17.58	+0.74%	9,312	0.00%	-	138.35	2.03	0.35%	19	+39.10%	工程咨询服务
165	301178	天亿马	53.62	+2.23%	9,667	0.00%	-	-	4.48	0.20%	34	+91.84%	软件开发
166	301183	东田微	63.63	-1.99%	14,496	0.00%	-	78.47	6.00	0.19%	53	+18.56%	光学光电子
167	301186	超达装备	46.47	-0.26%	7,194	0.00%	-	38.29	2.38	1.10%	36	+17.83%	汽车零部件
168	301188	力诺药包	22.45	+0.27%	9,487	0.00%	-	76.11	3.41	0.44%	54	+50.20%	玻璃玻纤
169	301189	奥尼电子	28.66	+0.39%	17,699	0.00%	-	-	1.51	-	32	+19.17%	通信设备
170	301191	菲菱科思	91.12	+0.03%	9,455	0.00%	0.29%	83.15	3.57	1.12%	62	+3.12%	通信设备
171	301199	迈赫股份	27.76	+1.13%	12,006	0.00%	-	71.37	2.52	0.28%	47	+32.89%	专用设备
172	301200	大族数控	88.00	+5.39%	20,791	0.00%	0.13%	119.96	5.96	0.54%	314	+145.75%	专用设备
173	301213	观想科技	76.65	+3.16%	8,724	0.00%	-	-	6.93	0.15%	54	+77.72%	软件开发
174	301215	中汽股份	6.41	+1.91%	28,296	0.00%	0.41%	52.55	2.83	1.25%	82	+8.68%	汽车服务
175	301237	和顺科技	39.19	-3.19%	9,446	0.00%	-	-	2.46	0.24%	33	+63.92%	塑料制品
176	302132	中航成飞	88.82	+4.76%	77,036	0.00%	0.07%	300.00	11.24	0.77%	2203	+24.67%	航天航空
177	000571	新大洲A	4.74	-1.25%	44,406	0.50%	-	-	19.28	-	38	+35.04%	煤炭行业
178	000548	湖南投资	5.59	-0.89%	45,404	0.60%	-	44.19	1.34	0.91%	28	+9.56%	铁路公路
179	600192	长城电工	11.49	+3.14%	30,083	0.72%	-	-	3.83	-	44	+99.13%	电网设备
180	002956	西麦食品	21.19	-0.05%	11,646	0.75%	-	36.85	2.87	2.07%	45	+29.33%	食品饮料
181	603699	纽威股份	33.24	+1.71%	12,544	0.78%	8.19%	18.93	4.90	5.16%	226	+55.34%	通用设备
182	600649	城投控股	4.41	-0.23%	68,280	0.89%	0.61%	84.11	0.53	0.92%	111	-0.03%	房地产开发
183	600639	浦东金桥	10.42	-0.86%	64,319	0.97%	0.59%	53.70	0.84	5.29%	92	-3.24%	房地产开发
184	300564	筑博设计	17.17	-2.28%	7,800	1.00%	-	-	2.26	2.79%	29	+43.99%	工程咨询服务
185	600234	科新发展	9.28	0.00%	7,538	1.10%	-	138.00	5.01	-	24	+67.21%	房地产开发
186	600015	华夏银行	8.08	0.00%	78,813	1.16%	3.22%	4.72	0.35	5.11%	1262	+6.13%	银行
187	000544	中原环保	8.60	+0.12%	24,874	1.25%	0.53%	9.16	0.80	3.10%	82	+1.67%	公用事业
188	601618	中国中冶	3.03	+0.33%	318,085	1.39%	2.40%	15.38	0.43	1.87%	536	-6.48%	工程建设
189	601999	出版传媒	7.38	-0.27%	24,116	1.47%	-	40.20	1.53	0.85%	40	+17.70%	文化传媒
190	601118	海南橡胶	4.93	+0.61%	82,445	1.69%	0.59%	-	2.15	0.22%	210	-8.67%	橡胶制品
191	300022	吉峰科技	8.77	-1.57%	19,493	1.69%	-	-	7.73	-	42	+63.31%	工程机械
192	600808	马钢股份	4.08	+9.97%	135,680	1.75%	0.65%	-	1.15	-	205	+32.04%	钢铁行业
193	002379	宏创控股	15.39	+1.79%	19,660	1.79%	4.39%	-	8.67	-	165	+71.57%	有色金属
194	002653	海思科	54.20	+2.17%	9,069	1.85%	0.73%	300.00	14.66	0.77%	603	+64.24%	化学制药
195	300999	金龙鱼	30.18	-0.56%	118,419	1.89%	0.46%	103.20	1.73	0.37%	1642	-7.12%	食品饮料
196	601718	际华集团	4.36	+0.69%	109,318	1.97%	0.40%	-	1.47	0.71%	185	+53.52%	纺织服装
197	002052	同洲电子	10.43	+1.16%	25,752	2.01%	-	22.83	26.76	-	78	+67.68%	家电行业
198	600012	皖通高速	16.27	+0.99%	15,889	2.04%	0.66%	15.78	2.23	3.82%	184	-4.36%	铁路公路
199	603159	上海亚虹	19.95	+0.25%	7,774	2.04%	-	125.53	5.11	0.35%	26	+29.05%	专用设备
200	600569	安阳钢铁	2.40	+0.42%	87,817	2.08%	1.02%	-	2.53	-	68	+29.03%	钢铁行业
