序	代码	股票	价	涨	股东数.人	百分位	北上持股	扣非PE	PB	股息	市值.亿	今年来	行业
1	600035	楚天高速	4.32	-0.23%	44,395	0.00%	1.77%	9.73	0.78	3.96%	69	-2.38%	铁路公路
2	600051	宁波联合	7.73	0.00%	22,768	0.00%	-	38.39	0.69	1.59%	23	+20.16%	综合行业
3	600052	东望时代	4.58	-1.51%	29,380	0.00%	-	-	1.47	1.13%	37	+1.33%	公用事业
4	600287	江苏舜天	5.75	+0.17%	17,698	0.00%	-	127.17	1.16	-	25	+36.90%	商业百货
5	600350	山东高速	9.77	+0.31%	30,484	0.00%	1.18%	16.38	1.11	4.17%	487	-0.86%	铁路公路
6	600688	上海石化	2.87	+0.35%	80,124	0.00%	0.98%	194.24	1.21	0.70%	209	-4.32%	石油行业
7	600901	江苏金租	5.93	-1.33%	53,183	0.00%	1.31%	11.35	1.34	4.67%	335	+18.70%	多元金融
8	600905	三峡能源	4.31	-0.23%	548,248	0.00%	3.01%	21.54	1.38	1.81%	1232	-1.37%	电力行业
9	600906	财达证券	7.26	+0.41%	83,805	0.00%	0.85%	33.49	1.92	1.40%	231	+2.25%	证券
10	600908	无锡银行	6.15	-0.49%	38,262	0.00%	1.56%	5.99	0.56	3.64%	133	+7.69%	银行
11	600918	中泰证券	6.83	+0.15%	111,882	0.00%	1.48%	50.05	1.08	0.52%	465	+4.37%	证券
12	600927	永安期货	15.47	0.00%	33,924	0.00%	0.77%	44.00	1.73	0.79%	222	+17.87%	多元金融
13	600928	西安银行	3.90	+0.26%	54,146	0.00%	2.00%	6.61	0.51	2.60%	171	+10.64%	银行
14	600955	维远股份	14.30	+1.27%	35,709	0.00%	0.30%	-	0.93	0.21%	78	-6.14%	化学原料
15	601003	柳钢股份	6.21	+1.64%	38,688	0.00%	0.70%	-	1.85	-	159	+125.00%	钢铁行业
16	601077	渝农商行	6.91	0.00%	137,910	0.00%	4.28%	6.69	0.57	4.54%	593	+19.81%	银行
17	601089	福元医药	28.05	-2.54%	22,753	0.00%	1.15%	27.81	3.47	1.88%	127	+80.63%	化学制药
18	601163	三角轮胎	14.08	+0.50%	41,850	0.00%	1.54%	15.24	0.82	3.80%	112	-3.07%	橡胶制品
19	601169	北京银行	6.52	-0.46%	140,289	0.00%	4.46%	5.33	0.38	4.94%	1370	+11.25%	银行
20	601187	厦门银行	7.10	0.00%	45,118	0.00%	2.96%	7.24	0.57	4.52%	181	+28.87%	银行
21	601229	上海银行	10.50	+0.10%	90,450	0.00%	4.57%	6.14	0.56	4.87%	1459	+17.17%	银行
22	601236	红塔证券	9.08	+0.22%	84,337	0.00%	0.81%	44.42	1.68	1.70%	417	+8.43%	证券
23	601279	英利汽车	4.10	+0.24%	32,821	0.00%	0.35%	-	1.50	0.25%	63	+7.29%	汽车零部件
24	601326	秦港股份	3.27	0.00%	52,167	0.00%	0.96%	12.22	0.92	2.62%	154	+0.18%	航运港口
25	601368	绿城水务	4.97	-0.80%	28,000	0.00%	-	92.86	0.92	0.60%	44	+5.07%	公用事业
26	601518	吉林高速	2.73	-0.73%	42,844	0.00%	0.03%	10.09	0.93	3.16%	51	+1.35%	铁路公路
27	601568	北元集团	4.20	0.00%	65,862	0.00%	0.51%	62.65	1.43	2.37%	168	+2.42%	化学原料
28	601577	长沙银行	10.21	+0.20%	31,824	0.00%	3.61%	5.06	0.50	4.22%	400	+19.70%	银行
29	601588	北辰实业	1.77	0.00%	125,028	0.00%	0.95%	-	0.63	1.14%	47	-4.84%	房地产服务
30	601665	齐鲁银行	6.24	-0.32%	41,061	0.00%	2.54%	6.05	0.64	4.20%	307	+16.75%	银行
31	601702	华峰铝业	16.40	+1.80%	14,385	0.00%	0.47%	13.09	2.71	1.91%	157	-8.78%	有色金属
32	601818	光大银行	4.12	0.00%	148,345	0.00%	2.89%	5.69	0.41	4.67%	1879	+11.71%	银行
33	601825	沪农商行	9.33	-0.53%	84,710	0.00%	1.83%	7.15	0.70	4.76%	875	+11.75%	银行
34	601827	三峰环境	8.64	-0.12%	30,375	0.00%	0.72%	12.30	1.23	2.77%	143	+0.70%	环保行业
35	601860	紫金银行	3.01	-0.66%	64,725	0.00%	2.53%	6.66	0.55	3.36%	109	+9.42%	银行
36	601866	XD中远海	2.51	+0.80%	262,705	0.00%	0.79%	19.92	1.06	1.55%	241	-3.11%	航运港口
37	601868	中国能建	2.54	-1.17%	343,692	0.00%	2.64%	15.77	0.91	0.49%	833	+11.54%	工程建设
38	601916	浙商银行	3.44	-0.58%	218,258	0.00%	3.05%	6.08	0.46	4.62%	728	+23.45%	银行
39	601963	重庆银行	10.33	-0.48%	36,974	0.00%	2.94%	6.79	0.56	4.14%	190	+15.95%	银行
40	601997	贵阳银行	6.46	-0.92%	66,448	0.00%	4.23%	4.66	0.35	4.55%	233	+13.00%	银行
41	601998	中信银行	8.38	-0.59%	123,064	0.00%	0.91%	6.67	0.56	4.25%	3338	+22.41%	银行
42	603023	威帝股份	4.23	+3.17%	14,622	0.00%	-	300.00	2.83	-	22	+54.38%	汽车零部件
43	603059	倍加洁	44.97	+10.00%	4,531	0.00%	-	-	3.37	0.59%	34	+92.76%	美容护理
44	603067	振华股份	16.35	+3.48%	18,587	0.00%	1.15%	20.50	3.18	0.93%	104	+82.46%	化学原料
45	603071	物产环能	13.53	+0.52%	21,977	0.00%	0.64%	12.35	1.31	4.49%	75	+9.86%	贸易行业
46	603080	新疆火炬	20.19	+3.80%	15,774	0.00%	-	16.37	1.69	2.98%	27	+29.81%	燃气
47	603116	红蜻蜓	6.90	+2.37%	18,310	0.00%	-	-	1.40	3.65%	39	+29.47%	纺织服装
48	603122	合富中国	7.26	-0.82%	33,527	0.00%	-	214.69	2.47	1.80%	29	+5.52%	医药商业
49	603150	万朗磁塑	42.00	+7.89%	9,284	0.00%	-	21.30	1.83	0.49%	30	+59.26%	塑料制品
50	603176	汇通集团	7.03	+2.78%	20,615	0.00%	-	49.02	2.67	0.36%	30	+58.73%	工程建设
51	603191	望变电气	14.70	-1.67%	28,528	0.00%	0.49%	191.14	2.00	0.34%	49	+17.24%	电网设备
52	603216	梦天家居	13.21	+0.30%	12,850	0.00%	-	61.85	1.60	1.55%	29	+23.49%	装修装饰
53	603230	内蒙新华	13.45	-0.66%	17,012	0.00%	0.40%	16.36	1.62	3.60%	47	+10.38%	文化传媒
54	603235	天新药业	28.81	-0.96%	14,471	0.00%	0.12%	18.49	2.63	2.34%	127	+15.50%	食品饮料
55	603299	苏盐井神	10.79	+0.94%	28,319	0.00%	0.40%	13.39	1.34	4.15%	83	+1.43%	化学原料
56	603329	上海雅仕	12.30	-0.08%	10,760	0.00%	-	65.76	2.22	0.19%	25	+24.30%	物流行业
57	603351	威尔药业	31.25	-1.91%	5,012	0.00%	-	30.49	2.41	1.29%	42	+29.04%	化学制药
58	603385	惠达卫浴	7.16	-0.42%	15,042	0.00%	-	51.01	0.71	1.56%	27	+14.47%	装修装饰
59	603408	建霖家居	11.75	-0.51%	10,250	0.00%	1.39%	11.41	1.53	6.26%	52	-1.94%	装修装饰
60	603529	爱玛科技	35.63	+0.71%	11,128	0.00%	2.08%	15.67	3.14	2.63%	303	-11.70%	交运设备
61	603530	神马电力	29.85	+2.05%	13,222	0.00%	1.62%	40.63	6.74	1.60%	125	+22.88%	电网设备
62	603608	天创时尚	6.60	+1.85%	9,598	0.00%	-	-	2.52	-	26	+77.42%	纺织服装
63	603630	拉芳家化	22.24	-1.85%	16,987	0.00%	-	203.08	2.59	0.63%	50	+62.04%	美容护理
64	603648	畅联股份	11.26	-5.46%	19,476	0.00%	-	35.35	2.26	2.99%	42	+9.75%	物流行业
65	603697	有友食品	12.56	-1.02%	16,419	0.00%	-	38.73	2.85	3.86%	52	+25.38%	食品饮料
66	603698	航天工程	18.32	+2.52%	23,742	0.00%	0.86%	46.24	2.68	0.63%	92	+18.46%	专业服务
67	603727	博迈科	14.22	+0.42%	17,425	0.00%	-	116.04	1.23	1.81%	39	+26.10%	采掘行业
68	603790	雅运股份	19.29	-0.31%	7,204	0.00%	-	67.93	2.78	0.67%	34	+76.19%	化学制品
69	603800	洪田股份	37.57	+10.01%	8,655	0.00%	0.98%	229.86	8.31	0.32%	66	+49.30%	专用设备
70	603815	交建股份	8.21	+3.92%	21,466	0.00%	-	38.01	2.05	0.83%	48	+47.01%	工程建设
71	603822	嘉澳环保	61.58	+3.48%	5,492	0.00%	-	-	8.12	-	46	+26.29%	化学制品
72	603836	海程邦达	13.98	+0.14%	12,644	0.00%	-	57.13	1.57	1.09%	28	+16.22%	物流行业
73	603880	南卫股份	6.88	+0.44%	9,737	0.00%	-	-	7.15	-	19	+58.16%	医疗器械
74	603895	天永智能	29.73	+0.07%	5,580	0.00%	-	-	16.61	-	31	+44.88%	专用设备
75	603929	亚翔集成	37.53	-0.13%	11,304	0.00%	3.60%	13.92	4.29	2.74%	78	+40.23%	装修装饰
76	603983	丸美生物	40.51	+1.25%	12,693	0.00%	1.21%	43.54	4.41	1.94%	155	+26.96%	美容护理
77	605003	众望布艺	22.43	+0.22%	4,813	0.00%	-	34.69	1.63	1.90%	24	+21.04%	纺织服装
78	605005	合兴股份	18.79	+0.27%	9,542	0.00%	0.26%	28.76	3.64	1.10%	73	+16.58%	汽车零部件
79	605009	豪悦护理	39.87	+0.83%	15,430	0.00%	2.14%	21.36	2.41	3.21%	82	+41.05%	美容护理
80	605050	福然德	17.69	+0.23%	11,637	0.00%	0.40%	29.62	2.01	1.99%	87	+87.69%	物流行业
81	605122	四方新材	14.12	-0.63%	12,615	0.00%	-	-	1.19	-	24	+32.83%	水泥建材
82	605169	洪通燃气	13.96	+10.01%	13,707	0.00%	-	17.18	1.65	2.20%	32	+40.43%	燃气
83	605196	华通线缆	20.31	+10.02%	13,982	0.00%	0.13%	33.81	2.75	0.37%	88	+74.48%	电网设备
84	605287	德才股份	15.94	+1.72%	9,769	0.00%	-	-	1.38	0.77%	22	+31.19%	装修装饰
85	605288	凯迪股份	54.66	+2.17%	6,473	0.00%	-	48.20	1.61	0.73%	36	+62.14%	专用设备
86	605318	法狮龙	28.61	+2.77%	3,767	0.00%	-	-	5.10	1.09%	35	+40.43%	装修装饰
87	605365	立达信	14.89	+0.13%	14,118	0.00%	1.39%	21.35	1.94	2.83%	75	-2.45%	家电行业
88	605566	福莱蒽特	23.09	-1.03%	10,711	0.00%	-	224.29	1.59	0.42%	32	+28.90%	化学制品
89	605567	春雪食品	11.15	+1.00%	14,552	0.00%	-	104.52	1.96	0.94%	21	+25.19%	食品饮料
90	605580	恒盛能源	17.01	+3.85%	10,926	0.00%	-	40.78	4.41	2.26%	43	+56.97%	电力行业
91	000029	深深房Ａ	20.20	+0.65%	38,651	0.00%	0.56%	-	5.30	-	168	+34.13%	房地产开发
92	000166	申万宏源	5.34	0.00%	234,677	0.00%	1.72%	23.16	1.24	1.39%	1188	-0.19%	证券
