序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,3周内涨,市值.亿,今年来,行业
'52,600104.上汽集团,'17.53,'-2.23%,'3,2.97%,亏损,'0.69,0.50%,0.68%,'-1.68%,'2029.15,'-15.14%,汽车整车
'53,688636.智明达,'40.63,'+2.39%,'3,'-,'138.84,'6.04,0.23%,5.09%,'+18.73%,'68.14,'+116.16%,互联网服务
'54,002624.完美世界,'15.91,'+3.38%,'3,5.99%,亏损,'4.22,1.49%,'-1.00%,'+5.70%,'298.56,'+56.46%,游戏
'55,002262.恩华药业,'23.31,'-1.56%,'3,0.75%,'19.90,'3.14,1.52%,16.86%,'+4.36%,'240.63,'-2.69%,化学制药
'56,301061.匠心家居,'98.00,'+4.18%,'3,1.44%,'29.77,'5.43,0.82%,21.94%,'+4.01%,'204.68,'+107.49%,家电行业
'57,603071.物产环能,'13.53,'+0.52%,'3,0.64%,'12.50,'1.33,4.43%,11.81%,'+0.07%,'75.49,'+9.86%,贸易行业
'58,002533.金杯电工,'10.94,'-0.27%,'3,2.19%,'15.40,'1.96,4.10%,14.83%,'+9.70%,'80.51,'+14.00%,电网设备
'59,688072.拓荆科技,'166.39,'-0.99%,'3,2.44%,'211.47,'8.98,0.16%,10.83%,'+6.29%,'465.44,'+8.48%,半导体
'60,601127.赛力斯,'128.70,'+0.74%,'3,3.36%,'35.92,'9.09,0.99%,37.25%,'-1.30%,'2102.14,'-2.78%,汽车整车
'61,000408.藏格矿业,'50.00,'+2.46%,'3,1.98%,'24.90,'4.87,0.54%,21.37%,'+13.70%,'766.27,'+80.31%,化肥行业
'62,600882.妙可蓝多,'27.36,'+1.82%,'3,0.59%,'173.02,'3.12,0.00%,3.50%,'-3.66%,'140.10,'+52.85%,食品饮料
'63,601933.永辉超市,'4.74,0.00%,'3,1.14%,亏损,'9.43,0.00%,'-1.00%,'-0.63%,'430.16,'-25.24%,商业百货
'64,300708.聚灿光电,'12.81,'+1.34%,'3,1.45%,'44.25,'3.12,1.26%,7.41%,'-2.77%,'85.97,'+3.80%,光学光电子
'65,300925.法本信息,'23.84,'+1.66%,'3,0.95%,'82.63,'4.67,0.28%,6.02%,'-7.09%,'100.53,'+7.32%,软件开发
'66,600028.中国石化,'5.71,0.00%,'3,0.91%,'16.07,'0.83,5.01%,5.42%,'-0.35%,'5551.96,'-12.46%,石油行业
'67,002948.青岛银行,'5.11,'+0.99%,'3,1.83%,'6.79,'0.66,3.16%,10.37%,'+1.61%,'178.54,'+35.89%,银行
'68,601155.新城控股,'14.89,'-0.40%,'3,0.77%,'38.19,'0.55,0.00%,1.37%,'+4.56%,'335.86,'+24.50%,房地产开发
'69,002463.沪电股份,'52.58,0.00%,'3,6.41%,'36.19,'7.99,0.95%,24.65%,'-1.00%,'1011.49,'+34.76%,电子元件
'70,603416.信捷电气,'58.60,'+7.11%,'3,2.04%,'44.72,'3.93,1.48%,10.23%,'+0.39%,'92.08,'+42.10%,专用设备
'71,300502.新易盛,'186.40,'+2.17%,'3,5.10%,'44.50,'18.26,0.18%,51.96%,'-0.57%,'1813.03,'+126.69%,通信设备
'72,002997.瑞鹄模具,'40.91,'+2.15%,'3,0.25%,'21.59,'3.59,0.75%,19.30%,'+1.96%,'83.83,'+19.07%,汽车零部件
'73,600926.杭州银行,'16.36,'-0.43%,'3,4.28%,'6.72,'0.81,3.58%,13.61%,'-1.33%,'1185.94,'+13.83%,银行
'74,300685.艾德生物,'23.65,'-0.55%,'3,8.09%,'32.57,'4.94,1.26%,16.44%,'+1.41%,'93.11,'+5.24%,医疗器械
'75,600989.宝丰能源,'15.74,'+0.77%,'3,2.76%,'14.62,'2.54,1.78%,17.21%,'+0.83%,'1154.27,'-4.05%,化学原料
'76,300866.安克创新,'131.43,'+5.80%,'3,8.93%,'33.03,'7.10,1.68%,25.95%,'+1.07%,'664.60,'+36.66%,消费电子
'77,000415.渤海租赁,'3.48,'-0.85%,'2,2.81%,'87.86,'0.69,0.00%,3.82%,'-1.96%,'217.08,'-7.69%,多元金融
'78,600066.宇通客车,'25.65,'-1.65%,'2,10.72%,'16.04,'4.01,5.85%,29.34%,'-0.58%,'567.88,'+1.02%,汽车整车
'79,601333.广深铁路,'2.97,'-0.67%,'2,0.51%,'23.42,'0.76,2.36%,3.59%,0.00%,'167.87,'-13.41%,铁路公路
'80,600428.中远海特,'6.76,'+0.30%,'2,1.52%,'13.84,'1.13,2.87%,10.86%,'+2.42%,'185.49,'-7.40%,航运港口
'81,688248.南网科技,'34.13,'+1.67%,'2,0.27%,'52.94,'6.33,0.79%,12.91%,'+0.29%,'192.73,'+6.79%,电网设备
'82,600480.凌云股份,'13.04,'+4.99%,'2,1.44%,'29.77,'2.05,2.36%,8.62%,'+6.36%,'159.40,'+60.15%,汽车零部件
'83,300926.博俊科技,'26.90,'+0.49%,'2,0.33%,'17.50,'4.41,0.54%,29.54%,'-5.41%,'116.26,'+22.95%,汽车零部件
'84,300973.立高食品,'45.74,'+3.27%,'2,3.48%,'27.55,'2.86,1.58%,10.91%,'-4.36%,'75.00,'+18.38%,食品饮料
'85,605333.沪光股份,'35.44,'+1.14%,'2,0.34%,'23.72,'6.68,0.65%,33.47%,'+17.66%,'154.79,'+9.51%,汽车零部件
'86,600886.国投电力,'15.58,'-0.19%,'2,1.63%,'19.08,'1.75,2.96%,10.12%,'+5.77%,'1247.10,'-6.26%,电力行业
'87,601665.齐鲁银行,'6.24,'-0.32%,'2,2.54%,'6.26,'0.66,4.06%,11.31%,'+2.97%,'317.45,'+16.75%,银行
'88,688778.厦钨新能,'52.17,'+4.09%,'2,0.74%,'57.79,'2.97,0.64%,5.70%,'+13.17%,'263.30,'+38.08%,电池
'89,688480.赛恩斯,'42.62,'+2.80%,'2,'-,'34.43,'3.71,1.48%,11.33%,'+7.00%,'40.63,'+60.08%,环保行业
'90,603119.浙江荣泰,'65.09,'+4.08%,'2,0.41%,'105.51,'12.54,0.30%,13.55%,'+21.64%,'236.76,'+192.08%,非金属材料
'91,002536.飞龙股份,'19.59,'+9.99%,'2,0.58%,'26.06,'3.03,2.25%,10.77%,'+12.79%,'102.37,'+72.78%,汽车零部件
'92,300454.深信服,'109.39,'+0.40%,'2,3.18%,'141.21,'5.11,0.06%,5.04%,'+14.57%,'459.68,'+90.70%,软件开发
'93,688507.索辰科技,'114.40,'+13.94%,'2,0.15%,'235.88,'3.59,0.22%,1.66%,'+46.69%,'101.94,'+109.66%,软件开发
'94,600309.万华化学,'61.08,'+0.15%,'2,4.33%,'15.58,'1.94,2.05%,12.54%,'+10.75%,'1912.09,'-13.25%,化学制品
'95,601816.京沪高铁,'5.46,'+0.18%,'2,3.54%,'20.93,'1.31,2.16%,6.34%,'-1.09%,'2671.34,'-9.48%,铁路公路
'96,688799.华纳药厂,'52.01,'-1.94%,'2,'-,'52.63,'3.69,2.06%,8.00%,'-6.31%,'68.30,'+75.90%,化学制药
'97,600588.用友网络,'15.60,'-0.70%,'2,4.10%,亏损,'7.11,0.00%,'-1.00%,'+9.17%,'533.05,'+45.39%,软件开发
'98,603225.新凤鸣,'12.38,'+1.81%,'2,0.75%,'18.98,'1.08,1.82%,6.54%,'+11.03%,'188.75,'+13.38%,化纤行业
'99,002180.纳思达,'24.13,'+0.63%,'2,1.95%,'203.68,'3.36,0.00%,5.62%,'-7.23%,'341.23,'-14.34%,计算机设备
'100,002765.蓝黛科技,'13.09,'+1.16%,'2,0.15%,'94.11,'3.35,0.39%,5.71%,'-1.22%,'84.39,'+53.02%,光学光电子
