序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
1	21298	中欧北证50	8月5日	1.9703	1.9703	0.23%	-1.86%	1.39%	7.41%	29.80%	127.70%	---	---	33.42%	97.03%	124.54%
2	21299	中欧北证50	8月5日	1.9642	1.9642	0.23%	-1.86%	1.37%	7.34%	29.64%	127.10%	---	---	33.22%	96.42%	123.97%
3	18128	博时北证50	8月5日	1.6715	1.6715	0.23%	-1.87%	1.38%	8.15%	33.49%	123.94%	82.26%	---	37.45%	67.15%	120.84%
4	18129	博时北证50	8月5日	1.6547	1.6547	0.23%	-1.88%	1.34%	8.03%	33.22%	123.04%	80.82%	---	37.13%	65.47%	119.95%
5	17512	广发北证50	8月5日	1.6963	1.6963	0.23%	-1.90%	1.37%	8.29%	35.07%	122.90%	87.81%	---	39.05%	69.63%	119.84%
6	17513	广发北证50	8月5日	1.6833	1.6833	0.23%	-1.91%	1.34%	8.20%	34.87%	122.22%	86.68%	---	38.79%	68.33%	119.18%
7	21030	汇添富国证港	8月5日	2.1235	2.1235	4.13%	-1.41%	18.88%	51.12%	95.01%	121.87%	---	---	93.40%	112.35%	114.65%
8	21031	汇添富国证港	8月5日	2.1182	2.1182	4.13%	-1.41%	18.87%	51.05%	94.83%	121.43%	---	---	93.18%	111.82%	114.24%
9	19670	广发中证香港	8月5日	1.5279	1.5279	4.21%	-1.20%	20.21%	52.65%	94.41%	120.35%	---	---	93.04%	52.79%	113.33%
10	19671	广发中证香港	8月5日	1.5198	1.5198	4.21%	-1.21%	20.18%	52.53%	94.12%	119.69%	---	---	92.70%	51.98%	112.68%
11	16970	华夏恒生生物	8月5日	1.3399	1.3399	3.59%	-1.22%	18.98%	43.87%	83.67%	113.02%	47.94%	---	85.15%	33.99%	106.36%
12	16971	华夏恒生生物	8月5日	1.3291	1.3291	3.58%	-1.23%	18.94%	43.75%	83.40%	112.38%	47.04%	---	84.80%	32.91%	105.71%
13	20634	汇添富恒生生	8月5日	1.8768	1.8768	3.52%	-1.08%	18.72%	43.42%	82.82%	112.09%	---	---	84.29%	87.68%	105.52%
14	20635	汇添富恒生生	8月5日	1.8712	1.8712	3.52%	-1.08%	18.70%	43.34%	82.63%	111.67%	---	---	84.06%	87.12%	105.11%
15	18078	南方恒生生物	8月5日	1.4536	1.4536	3.58%	-1.27%	18.93%	43.20%	83.10%	107.95%	46.19%	---	84.21%	45.36%	101.47%
16	17515	易方达北证5	8月5日	1.4592	1.4592	0.23%	-1.86%	1.41%	8.13%	33.18%	107.86%	69.46%	---	37.00%	45.92%	104.94%
17	20110	富国恒生港股	8月5日	1.6039	1.6039	3.74%	-1.03%	19.82%	47.66%	81.09%	107.57%	---	---	84.25%	60.39%	101.42%
18	18079	南方恒生生物	8月5日	1.4443	1.4443	3.58%	-1.27%	18.91%	43.09%	82.82%	107.34%	45.35%	---	83.87%	44.43%	100.88%
19	17516	易方达北证5	8月5日	1.4479	1.4479	0.23%	-1.86%	1.39%	8.04%	32.98%	107.23%	68.44%	---	36.75%	44.79%	104.33%
20	20111	富国恒生港股	8月5日	1.5985	1.5985	3.74%	-1.03%	19.80%	47.59%	80.93%	107.17%	---	---	84.03%	59.85%	101.04%
21	19993	创金合信北证	8月5日	1.624	1.624	0.28%	-1.45%	0.86%	5.83%	31.42%	105.65%	---	---	35.43%	62.40%	102.82%
22	19994	创金合信北证	8月5日	1.6163	1.6163	0.29%	-1.46%	0.83%	5.74%	31.23%	105.04%	---	---	35.19%	61.63%	102.21%
23	17519	汇添富北证5	8月5日	1.4196	1.4196	0.23%	-1.86%	1.39%	7.62%	32.47%	100.20%	61.91%	---	36.36%	41.96%	97.41%
24	17520	汇添富北证5	8月5日	1.405	1.405	0.23%	-1.87%	1.36%	7.50%	32.21%	99.40%	60.61%	---	36.02%	40.50%	96.64%
25	14424	博时恒生医疗	8月5日	1.0832	1.0832	3.34%	-1.05%	17.82%	39.28%	74.12%	98.10%	34.19%	20.18%	74.79%	8.32%	92.16%
26	14425	博时恒生医疗	8月5日	1.0767	1.0767	3.35%	-1.06%	17.80%	39.22%	73.97%	97.74%	33.67%	19.47%	74.59%	7.67%	91.79%
27	17517	招商北证50	8月5日	1.5137	1.5137	0.22%	-1.85%	1.41%	8.01%	32.39%	97.10%	66.16%	---	35.90%	51.37%	94.39%
28	18557	易方达港股通	8月5日	1.4105	1.4105	3.42%	-1.07%	18.34%	42.52%	76.44%	96.70%	---	---	76.80%	41.05%	91.12%
29	17518	招商北证50	8月5日	1.5019	1.5019	0.23%	-1.85%	1.39%	7.93%	32.20%	96.51%	65.15%	---	35.67%	50.19%	93.79%
30	19598	平安中证港股	8月5日	1.3347	1.3347	3.36%	-0.93%	17.34%	40.39%	73.59%	96.31%	---	---	74.08%	33.47%	90.94%
31	18558	易方达港股通	8月5日	1.4017	1.4017	3.42%	-1.07%	18.32%	42.42%	76.20%	96.12%	---	---	76.51%	40.17%	90.58%
32	19599	平安中证港股	8月5日	1.3277	1.3277	3.36%	-0.93%	17.31%	40.29%	73.35%	95.74%	---	---	73.78%	32.77%	90.38%
33	18112	工银北证50	8月5日	1.5817	1.5817	0.23%	-1.86%	1.44%	7.67%	31.35%	94.67%	71.44%	---	34.98%	58.17%	91.98%
34	18113	工银北证50	8月5日	1.5707	1.5707	0.23%	-1.87%	1.41%	7.58%	31.15%	94.08%	70.39%	---	34.74%	57.07%	91.39%
35	17521	富国北证50	8月5日	1.3582	1.3582	0.23%	-1.87%	1.40%	7.78%	31.29%	93.17%	53.80%	---	35.24%	35.82%	90.46%
36	17522	富国北证50	8月5日	1.3509	1.3509	0.23%	-1.87%	1.38%	7.72%	31.16%	92.77%	53.18%	---	35.08%	35.09%	90.08%
37	17525	华夏北证50	8月5日	1.3731	1.3731	0.23%	-1.88%	1.40%	7.85%	31.81%	92.55%	57.27%	---	35.75%	37.31%	89.76%
38	17527	嘉实北证50	8月5日	1.3964	1.3964	0.23%	-1.86%	1.38%	7.22%	30.72%	92.34%	54.74%	---	34.54%	39.64%	89.65%
39	17526	华夏北证50	8月5日	1.3626	1.3626	0.24%	-1.88%	1.38%	7.77%	31.61%	92.00%	56.35%	---	35.50%	36.26%	89.20%
40	18432	嘉实恒生医疗	8月5日	1.2058	1.2058	3.39%	-1.22%	17.72%	38.55%	70.77%	91.98%	26.50%	---	71.30%	20.58%	86.31%
41	17523	南方北证50	8月5日	1.3322	1.3322	0.23%	-1.88%	1.42%	6.39%	29.74%	91.93%	54.42%	---	33.25%	33.22%	89.31%
42	17528	嘉实北证50	8月5日	1.3872	1.3872	0.23%	-1.87%	1.36%	7.15%	30.57%	91.87%	54.00%	---	34.34%	38.72%	89.17%
43	18433	嘉实恒生医疗	8月5日	1.2051	1.2051	3.39%	-1.22%	17.71%	38.41%	70.55%	91.71%	26.18%	---	71.11%	20.51%	86.03%
44	17524	南方北证50	8月5日	1.3218	1.3218	0.23%	-1.89%	1.39%	6.31%	29.54%	91.37%	53.50%	---	33.00%	32.18%	88.75%
45	19923	华泰柏瑞中证	8月5日	1.5845	1.5845	0.97%	1.77%	10.50%	22.65%	32.83%	91.13%	---	---	35.74%	58.45%	87.74%
46	18120	万家北证50	8月5日	1.4913	1.4913	0.23%	-1.88%	1.39%	7.40%	29.67%	90.39%	59.77%	---	33.33%	49.13%	87.70%
47	19924	华泰柏瑞中证	8月5日	1.5748	1.5748	0.97%	1.76%	10.46%	22.52%	32.57%	90.38%	---	---	35.42%	57.48%	87.01%
48	18121	万家北证50	8月5日	1.4845	1.4845	0.23%	-1.88%	1.38%	7.34%	29.54%	90.00%	59.13%	---	33.17%	48.45%	87.34%
49	20828	东财北证50	8月5日	1.854	1.854	0.23%	-1.87%	1.38%	7.24%	31.32%	87.27%	---	---	35.21%	85.40%	84.62%
50	20732	易方达创业板	8月5日	1.8079	1.8079	0.47%	0.80%	7.71%	17.99%	17.08%	87.11%	---	---	17.28%	80.79%	83.52%
51	20733	易方达创业板	8月5日	1.8018	1.8018	0.47%	0.79%	7.68%	17.89%	16.91%	86.56%	---	---	17.07%	80.18%	82.98%
52	20829	东财北证50	8月5日	1.8461	1.8461	0.23%	-1.89%	1.34%	7.12%	31.06%	86.55%	---	---	34.88%	84.61%	83.93%
53	14543	汇添富中证沪	8月5日	1.3087	1.3087	0.02%	-0.76%	14.98%	21.45%	23.80%	85.66%	30.67%	71.09%	29.82%	30.87%	82.55%
54	14544	汇添富中证沪	8月5日	1.2943	1.2943	0.02%	-0.77%	14.95%	21.36%	23.64%	84.74%	29.72%	69.43%	29.57%	29.43%	81.66%
55	18114	鹏扬北证50	8月5日	1.4241	1.4241	0.23%	-1.91%	1.37%	7.67%	30.88%	84.68%	53.01%	---	34.43%	42.41%	81.99%
56	19918	招商中证20	8月5日	1.5803	1.5803	0.98%	1.95%	10.55%	25.94%	31.53%	84.59%	---	---	36.94%	58.03%	80.75%
57	21088	鹏华中证港股	8月5日	1.8376	1.8376	3.38%	-1.03%	17.87%	42.76%	71.58%	84.54%	---	---	72.63%	83.76%	---
58	21089	鹏华中证港股	8月5日	1.834	1.834	3.38%	-1.04%	17.85%	42.69%	71.42%	84.17%	---	---	72.42%	83.40%	---
59	19919	招商中证20	8月5日	1.5729	1.5729	0.98%	1.94%	10.52%	25.84%	31.34%	84.05%	---	---	36.69%	57.29%	80.19%
60	18115	鹏扬北证50	8月5日	1.4112	1.4112	0.23%	-1.91%	1.34%	7.56%	30.63%	83.94%	51.81%	---	34.12%	41.12%	81.30%
61	2236	大成360互	8月5日	3.0124	3.0124	1.09%	1.94%	9.41%	23.00%	23.49%	82.85%	43.31%	78.57%	27.73%	201.24%	79.16%
62	3359	大成360互	8月5日	2.8657	2.8657	1.09%	1.93%	9.36%	22.80%	23.12%	81.75%	41.59%	75.38%	27.27%	154.28%	78.10%
63	15739	国泰中证港股	8月5日	1.2925	1.2925	1.11%	-2.05%	8.55%	12.38%	24.99%	81.38%	35.64%	32.28%	35.17%	29.25%	81.05%
64	17892	鹏华国证20	8月5日	1.4199	1.4199	0.89%	1.38%	10.43%	23.00%	31.80%	81.27%	42.50%	---	35.38%	41.99%	78.31%
65	19171	天弘中证沪港	8月5日	1.5096	1.5096	0.03%	-0.72%	15.13%	21.95%	21.18%	81.25%	---	---	27.20%	50.96%	78.21%
66	15740	国泰中证港股	8月5日	1.2885	1.2885	1.11%	-2.06%	8.53%	12.32%	24.87%	80.99%	35.09%	31.48%	35.01%	28.85%	80.69%
67	19170	天弘中证沪港	8月5日	1.504	1.504	0.03%	-0.73%	15.11%	21.89%	21.06%	80.90%	---	---	27.06%	50.40%	77.86%
68	21464	海富通中证港	8月5日	1.6578	1.6578	1.11%	-2.11%	8.91%	12.52%	25.14%	80.84%	---	---	35.96%	65.78%	80.55%
