序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'17,SZ002475.立讯精密,'325,'36.21,'-0.71%,4.73%,'22.19,'3.65,0.55%,21.20%,'2644.81,'-10.66%,消费电子
'19,SH600690.海尔智家,'321,'25.23,'+0.80%,7.19%,'12.78,'2.01,3.82%,17.29%,'1578.01,'-8.18%,家电行业
'22,SH601225.陕西煤业,'298,'21.43,'+5.62%,2.48%,'10.20,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'21,SH600809.山西汾酒,'295,'182.10,'+0.45%,4.02%,'17.57,'5.79,3.33%,34.84%,'2221.55,'+2.34%,酿酒行业
'20,SH600938.中国海油,'294,'26.01,'-0.08%,1.99%,'9.44,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'23,SH601899.紫金矿业,'281,'20.16,'+1.46%,7.72%,'15.16,'3.67,1.88%,27.38%,'4150.69,'+35.27%,有色金属
'24,SH600941.中国移动,'274,'108.27,'-0.73%,4.09%,'18.64,'1.68,4.31%,10.22%,'977.43,'-6.56%,通信服务
'25,SH600309.万华化学,'273,'61.08,'+0.15%,4.33%,'15.58,'1.94,2.05%,12.54%,'1912.09,'-13.25%,化学制品
'27,SZ300124.汇川技术,'267,'65.86,'+1.62%,17.60%,'39.01,'5.91,0.63%,17.48%,'1746.86,'+13.14%,电子元件
'26,SZ300760.迈瑞医疗,'266,'228.31,'+0.12%,10.84%,'25.28,'7.16,3.37%,29.79%,'2764.73,'-9.69%,医疗器械
'28,SZ300308.中际旭创,'254,'210.52,'-0.19%,3.72%,'41.50,'11.31,0.24%,31.55%,'2343.57,'+71.13%,通信设备
'29,SH603605.珀莱雅,'253,'82.39,'-0.12%,11.99%,'20.30,'5.63,1.44%,31.86%,'326.47,'-1.32%,美容护理
'34,SZ002415.海康威视,'248,'29.28,'-0.17%,0.44%,'22.45,'3.45,2.39%,16.51%,'2708.10,'-2.26%,计算机设备
'30,SH603288.海天味业,'245,'38.35,'-0.13%,3.52%,'35.31,'6.78,2.24%,20.94%,'2132.49,'-14.79%,食品饮料
'31,SH600406.国电南瑞,'245,'21.96,'+0.18%,13.56%,'23.68,'3.52,2.60%,15.75%,'1763.85,'-11.23%,电网设备
'33,SZ300274.阳光电源,'243,'76.90,'+1.98%,4.20%,'12.73,'3.83,1.43%,36.17%,'1563.41,'+5.92%,光伏设备
