排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'44,300124.汇川技术,'75.90,21.52%,18.44%,查看ROE详情,17.60%,'44.10,'6.77,0.54%,'2045.81,'+30.39%,电子元件
'45,300724.捷佳伟创,'108.12,21.46%,30.52%,查看ROE详情,2.41%,'12.26,'3.01,1.11%,'375.95,'+74.95%,光伏设备
'46,002415.海康威视,'31.15,21.09%,16.51%,查看ROE详情,0.44%,'23.85,'3.66,2.25%,'2876.14,'+3.98%,计算机设备
'47,300770.新媒股份,'45.92,21.03%,19.46%,查看ROE详情,1.08%,'14.25,'2.81,6.25%,'105.22,'+15.76%,文化传媒
'48,603899.晨光股份,'30.86,20.97%,15.77%,查看ROE详情,3.13%,'25.19,'3.33,3.25%,'284.21,'+5.61%,家用轻工
'49,002833.弘亚数控,'17.29,20.90%,16.23%,查看ROE详情,2.00%,'17.44,'2.52,4.05%,'73.35,'+5.25%,专用设备
'50,000596.古井贡酒,'170.40,20.83%,23.42%,查看ROE详情,1.26%,'16.25,'3.58,3.52%,'696.25,'+2.60%,酿酒行业
'51,002463.沪电股份,'69.80,20.82%,27.40%,查看ROE详情,6.41%,'43.62,'10.54,0.72%,'1342.94,'+78.89%,电子元件
'52,002158.汉钟精机,'25.50,20.53%,16.51%,查看ROE详情,0.77%,'21.16,'3.18,2.27%,'136.35,'+42.26%,通用设备
'53,600845.宝信软件,'25.63,20.52%,15.63%,查看ROE详情,3.11%,'47.02,'6.95,2.36%,'550.26,'-10.31%,互联网服务
'54,002056.横店东磁,'18.54,20.37%,22.84%,查看ROE详情,3.04%,'14.07,'2.89,2.44%,'301.59,'+47.89%,光伏设备
'55,002884.凌霄泵业,'17.11,20.37%,21.41%,查看ROE详情,0.94%,'13.98,'2.79,5.84%,'61.20,'-0.46%,通用设备
'56,002318.久立特材,'22.37,20.30%,22.41%,查看ROE详情,4.57%,'13.20,'2.82,4.34%,'218.59,'-0.59%,钢铁行业
'57,603279.景津装备,'15.69,19.91%,15.83%,查看ROE详情,3.81%,'12.64,'1.96,6.76%,'90.45,'-10.04%,通用设备
'58,603298.杭叉集团,'24.87,19.68%,21.42%,查看ROE详情,4.11%,'15.53,'3.00,2.01%,'325.75,'+42.71%,工程机械
'59,600887.伊利股份,'28.27,19.63%,15.28%,查看ROE详情,10.60%,'23.21,'3.35,4.32%,'1788.18,'-2.39%,食品饮料
'60,002595.豪迈科技,'59.59,19.50%,21.73%,查看ROE详情,3.29%,'22.28,'4.29,1.30%,'476.72,'+19.55%,专用设备
'61,603338.浙江鼎力,'53.91,19.29%,18.75%,查看ROE详情,6.77%,'14.95,'2.58,1.85%,'272.97,'-14.53%,工程机械
'62,300638.广和通,'32.35,19.26%,16.19%,查看ROE详情,0.62%,'63.44,'6.93,1.08%,'247.62,'+62.66%,通信设备
'63,600989.宝丰能源,'17.57,19.18%,20.65%,查看ROE详情,2.76%,'14.57,'2.88,1.59%,'1288.47,'+7.11%,化学原料
'64,000915.华特达因,'33.47,18.99%,18.53%,查看ROE详情,3.15%,'15.54,'2.82,7.47%,'78.43,'+26.59%,化学制药
'65,002867.周大生,'13.86,18.94%,16.01%,查看ROE详情,0.93%,'15.29,'2.41,6.92%,'150.45,'-0.05%,珠宝首饰
'66,300015.爱尔眼科,'13.30,18.89%,17.31%,查看ROE详情,2.07%,'36.98,'5.72,1.20%,'1240.28,'+1.68%,医疗服务
'67,603596.伯特利,'46.55,18.53%,19.77%,查看ROE详情,6.34%,'23.51,'4.06,0.75%,'282.33,'+5.11%,汽车零部件
'68,600760.中航沈飞,'64.40,18.43%,17.47%,查看ROE详情,1.28%,'63.87,'10.37,0.60%,'1825.80,'+28.04%,航天航空
'69,600729.重庆百货,'29.34,18.06%,18.96%,查看ROE详情,2.83%,'10.39,'1.69,4.64%,'129.24,'+5.22%,商业百货
'70,300776.帝尔激光,'77.30,17.95%,17.97%,查看ROE详情,0.76%,'36.28,'5.70,0.50%,'211.46,'+22.47%,光伏设备
'71,300453.三鑫医疗,'9.77,17.73%,18.31%,查看ROE详情,'-,'23.35,'3.79,3.07%,'51.04,'+34.27%,医疗器械
'72,600885.宏发股份,'26.08,17.58%,18.76%,查看ROE详情,20.32%,'23.00,'3.83,1.41%,'380.70,'+16.64%,电网设备
'73,300627.华测导航,'37.57,17.56%,18.99%,查看ROE详情,0.77%,'49.84,'7.79,0.95%,'295.00,'+27.22%,通信设备
'74,002014.永新股份,'11.23,17.35%,20.06%,查看ROE详情,0.54%,'15.50,'2.87,5.52%,'68.78,'+7.92%,包装材料
'75,002050.三花智控,'31.89,17.28%,15.69%,查看ROE详情,4.72%,'37.27,'4.62,1.10%,'1190.26,'+36.92%,家电行业
'76,002262.恩华药业,'25.02,17.27%,16.86%,查看ROE详情,0.75%,'21.02,'3.31,1.44%,'254.15,'+4.45%,化学制药
'77,600690.海尔智家,'25.95,17.01%,18.45%,查看ROE详情,7.19%,'12.59,'2.12,3.72%,'1623.04,'-5.56%,家电行业
'78,601138.工业富联,'55.62,17.00%,18.32%,查看ROE详情,2.47%,'41.61,'7.28,1.15%,'11045.84,'+163.77%,消费电子
'79,002003.伟星股份,'10.74,16.28%,15.08%,查看ROE详情,2.41%,'19.33,'2.86,4.66%,'125.54,'-22.21%,纺织服装
'80,600406.国电南瑞,'21.60,15.86%,16.68%,查看ROE详情,13.56%,'22.92,'3.56,2.64%,'1734.93,'-12.69%,电网设备
