序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'43,SZ300308.中际旭创,'810,'210.52,'-0.19%,3.72%,'41.50,'11.31,0.24%,31.55%,'2343.57,'+71.13%,通信设备
'44,SH601288.农业银行,'809,'6.62,'+1.22%,0.96%,'8.18,'0.74,3.65%,9.26%,'21133.97,'+29.36%,银行
'45,SZ000001.平安银行,'795,'12.46,'-0.08%,4.27%,'5.50,'0.48,4.88%,8.81%,'2419.92,'+9.85%,银行
'47,SH603501.豪威集团,'787,'121.22,'-0.21%,13.37%,'44.19,'5.85,0.46%,15.70%,'1475.52,'+16.31%,半导体
'46,SH603019.中科曙光,'781,'68.92,'-0.45%,3.02%,'70.91,'4.99,0.39%,10.03%,'1008.38,'-4.29%,计算机设备
'48,SZ002027.分众传媒,'780,'7.80,'-2.62%,5.03%,'24.56,'6.36,1.25%,28.45%,'1156.82,'+10.95%,文化传媒
'49,SZ000999.华润三九,'773,'31.87,'-0.90%,2.61%,'17.85,'2.54,3.16%,15.77%,'536.94,'-5.86%,中药
'50,SZ000063.中兴通讯,'760,'34.55,'+0.38%,2.19%,'30.01,'2.28,1.79%,11.37%,'1386.45,'-12.81%,通信设备
'51,SZ300015.爱尔眼科,'752,'12.82,'-0.31%,2.07%,'36.17,'5.49,1.24%,17.85%,'1199.25,'-1.99%,医疗服务
'53,SH601939.建设银行,'749,'9.58,'-0.62%,3.68%,'7.56,'0.74,1.91%,10.02%,'2029.34,'+14.02%,银行
'52,SH601888.中国中免,'741,'64.86,'-0.03%,4.23%,'35.49,'2.36,1.62%,6.89%,'1266.38,'-1.51%,旅游酒店
'54,SH601985.中国核电,'737,'9.18,'+0.11%,2.53%,'21.81,'1.66,1.94%,8.53%,'1888.14,'-10.45%,电力行业
'55,SH601857.中国石油,'736,'8.64,'+0.58%,0.53%,'9.08,'1.01,5.44%,10.85%,'13990.07,'-0.58%,石油行业
'57,SH601988.中国银行,'719,'5.66,'+0.18%,0.69%,'7.74,'0.65,3.78%,8.62%,'13504.20,'+7.35%,银行
'56,SH600406.国电南瑞,'717,'21.96,'+0.18%,13.56%,'23.68,'3.52,2.60%,15.75%,'1763.85,'-11.23%,电网设备
'58,SH601717.中创智领,'706,'17.39,0.00%,5.04%,'8.47,'1.38,6.44%,18.16%,'268.18,'+42.96%,汽车零部件
'59,SH600066.宇通客车,'698,'25.65,'-1.65%,10.72%,'16.04,'4.01,5.85%,29.34%,'567.88,'+1.02%,汽车整车
'60,SZ000423.东阿阿胶,'679,'51.30,'-0.68%,9.35%,'21.75,'3.10,4.68%,14.99%,'332.61,'-16.29%,中药
'61,SZ000338.潍柴动力,'676,'15.24,'-0.13%,8.92%,'12.47,'1.49,4.72%,13.36%,'1033.50,'+13.69%,汽车零部件
'63,SZ000661.长春高新,'669,'103.80,'-1.30%,2.07%,'17.33,'1.83,2.47%,9.49%,'429.03,'+6.90%,生物制品
'62,SH600188.兖矿能源,'662,'13.31,'+2.54%,1.84%,'10.31,'1.56,5.79%,16.24%,'793.54,'-2.00%,煤炭行业
'66,SH603993.洛阳钼业,'659,'9.51,'+1.39%,3.69%,'13.60,'2.72,2.70%,22.55%,'1660.53,'+47.60%,小金属
'64,SZ002352.顺丰控股,'656,'46.42,'-0.39%,7.25%,'24.93,'2.51,3.94%,11.32%,'2247.37,'+16.27%,物流行业
'67,SH601138.工业富联,'655,'34.30,'-2.14%,2.47%,'28.33,'4.33,1.87%,16.04%,'6811.80,'+62.66%,消费电子
'65,SZ000977.浪潮信息,'651,'55.29,'+0.18%,3.18%,'39.41,'4.01,0.29%,12.70%,'812.47,'+6.92%,计算机设备
'68,SH603986.兆易创新,'648,'118.28,'+0.24%,6.12%,'73.37,'4.68,0.29%,7.05%,'785.45,'+11.06%,半导体
'70,SZ002555.三七互娱,'645,'17.40,'+1.28%,6.01%,'15.13,'2.83,5.83%,19.53%,'380.06,'+15.67%,游戏
'69,SH600028.中国石化,'642,'5.71,0.00%,0.91%,'16.07,'0.83,5.01%,5.42%,'5551.96,'-12.46%,石油行业
'71,SH601127.赛力斯,'639,'128.70,'+0.74%,3.36%,'35.92,'9.09,0.99%,37.25%,'2102.14,'-2.78%,汽车整车
'72,SH600085.同仁堂,'627,'36.68,'-0.68%,2.66%,'33.73,'3.65,2.73%,11.21%,'503.06,'-8.38%,中药
'74,SH601006.大秦铁路,'624,'6.52,'-0.31%,2.68%,'15.35,'0.79,3.94%,5.40%,'1313.60,'-1.78%,物流行业
'73,SZ002050.三花智控,'622,'27.65,'+2.71%,4.72%,'34.33,'5.60,1.30%,17.44%,'1004.76,'+18.71%,家电行业
'75,SH603195.公牛集团,'618,'47.60,'-0.38%,2.97%,'22.78,'5.10,3.60%,26.74%,'860.89,'-1.95%,家用轻工
'78,SH600566.济川药业,'618,'26.78,'-0.59%,1.43%,'12.78,'1.63,7.80%,14.50%,'246.83,'-0.77%,中药
'76,SH600096.云天化,'613,'24.56,'+1.32%,12.59%,'8.91,'1.89,5.74%,23.52%,'447.73,'+16.89%,化肥行业
'77,SH601838.成都银行,'613,'18.93,'-0.37%,5.83%,'6.18,'0.91,4.71%,15.96%,'802.34,'+15.94%,银行
'79,SZ000002.万科Ａ,'608,'6.44,'-0.15%,1.59%,'-1.00,'0.39,0.00%,'-1.00%,'627.21,'-11.29%,房地产开发
'80,SH600600.青岛啤酒,'600,'67.90,0.00%,3.29%,'22.92,'3.01,3.24%,14.90%,'481.50,'-13.43%,酿酒行业
'82,SH600886.国投电力,'597,'15.58,'-0.19%,1.63%,'19.08,'1.75,2.96%,10.12%,'1247.10,'-6.26%,电力行业
'81,SZ300033.同花顺,'595,'292.70,'-0.19%,2.29%,'88.65,'24.33,1.02%,28.92%,'1576.62,'+2.85%,软件开发
'85,SH601058.赛轮轮胎,'588,'13.29,'+0.45%,4.31%,'10.97,'2.13,2.86%,21.55%,'436.99,'-5.49%,橡胶制品
'83,SZ300724.捷佳伟创,'587,'66.80,'-1.66%,2.41%,'8.91,'2.00,1.77%,27.39%,'236.20,'+8.09%,光伏设备
'84,SZ002463.沪电股份,'587,'52.58,0.00%,6.41%,'36.19,'7.99,0.95%,24.65%,'1011.49,'+34.76%,电子元件
'86,SH600009.上海机场,'579,'32.23,'-0.34%,3.39%,'52.09,'1.90,0.31%,4.97%,'802.04,'-5.62%,航空机场
'87,SH601328.交通银行,'571,'7.72,'-0.64%,2.62%,'7.32,'0.59,3.61%,8.24%,'4118.77,'+4.54%,银行
'89,SH603129.春风动力,'568,'244.01,'+7.59%,3.88%,'23.56,'5.52,1.58%,26.73%,'372.30,'+58.75%,交运设备
'88,SH688041.海光信息,'563,'137.34,'-3.59%,3.15%,'152.87,'15.12,0.12%,11.30%,'3192.25,'-8.20%,半导体
'91,SH603345.安井食品,'552,'73.82,'-0.42%,4.07%,'19.18,'1.84,4.53%,10.92%,'216.51,'-7.05%,食品饮料
'90,SH601166.兴业银行,'550,'22.98,'-0.48%,3.53%,'6.38,'0.54,4.61%,8.89%,'4863.22,'+25.53%,银行
'92,SZ002001.新和成,'542,'22.26,'+0.14%,6.24%,'9.97,'2.23,3.15%,24.43%,'683.22,'+4.55%,化学制药
'93,SZ300628.亿联网络,'540,'34.05,'+0.09%,3.14%,'17.61,'4.53,5.57%,29.02%,'430.85,'-8.46%,通信设备
'94,SH605499.东鹏饮料,'537,'298.03,'-2.23%,9.90%,'40.51,'17.74,1.48%,50.26%,'1549.79,'+20.99%,食品饮料
'98,SZ003816.中国广核,'537,'3.69,'-0.27%,0.83%,'18.39,'1.53,2.57%,8.55%,'1455.39,'-8.31%,电力行业
'95,SH688012.中微公司,'535,'196.06,'+0.45%,9.18%,'86.24,'6.09,0.15%,8.82%,'1227.62,'+3.82%,半导体
'96,SH600050.中国联通,'535,'5.34,'-0.74%,4.20%,'24.79,'1.00,2.99%,5.58%,'1669.52,'+1.75%,通信服务
'97,SH600737.中粮糖业,'533,'10.04,'+0.30%,0.71%,'14.75,'1.84,1.99%,12.44%,'214.74,'-1.67%,食品饮料
'99,SZ300502.新易盛,'529,'186.40,'+2.17%,5.10%,'44.50,'18.26,0.18%,51.96%,'1813.03,'+126.69%,通信设备
'100,SZ002032.苏泊尔,'526,'51.23,'-0.33%,4.34%,'19.73,'5.95,5.47%,33.07%,'411.90,'+1.08%,家电行业
