序,股票,价,涨,北上,现金/市值,资产负债率,现金流.亿,市值.亿,PE.扣非,股息,净利润.亿,今年来,行业
'209,001216.华瓷股份,'15.82,'+1.34%,'-,19.05%,17.42%,'7.59,'39.85,'18.87,2.53%,'2.11,'+27.89%,装修建材
'210,688580.伟思医疗,'53.58,'+1.17%,'-,19.04%,8.95%,'9.77,'51.31,'49.71,1.49%,'1.03,'+95.35%,医疗器械
'211,603216.梦天家居,'14.89,'-1.72%,'-,19.00%,19.97%,'6.30,'33.16,'66.46,1.34%,'0.50,'+39.20%,装修装饰
'212,688080.映翰通,'57.86,'+0.02%,'-,18.93%,16.91%,'8.09,'42.73,'31.14,0.35%,'1.37,'+76.52%,通信设备
'213,600033.福建高速,'3.49,0.00%,1.15%,18.92%,15.13%,'18.12,'95.78,'11.76,2.87%,'8.15,'-8.79%,铁路公路
'214,301590.优优绿能,'192.76,'+4.12%,'-,18.92%,30.26%,'15.32,'80.96,'38.62,0.62%,'2.10,'+116.82%,电源设备
'215,300079.数码视讯,'6.44,'+3.21%,0.88%,18.91%,8.80%,'17.37,'91.84,'300.00,0.16%,'0.20,'+19.25%,互联网服务
'216,002223.鱼跃医疗,'37.96,'+1.39%,1.97%,18.90%,18.81%,'71.91,'380.54,'28.35,2.11%,'13.42,'+5.17%,医疗器械
'217,603217.元利科技,'20.70,'+3.66%,'-,18.90%,26.64%,'8.14,'43.07,'20.73,1.69%,'2.08,'+29.60%,化学制品
'218,600977.中国电影,'14.90,'+6.89%,0.46%,18.77%,38.24%,'52.21,'278.18,'-,0.31%,'-4.59,'+28.86%,文化传媒
'219,603187.海容冷链,'15.19,'+1.27%,1.50%,18.74%,27.20%,'11.00,'58.70,'16.52,3.29%,'3.55,'+41.84%,通用设备
'220,002393.力生制药,'25.30,'+3.18%,'-,18.65%,15.39%,'12.16,'65.20,'60.34,1.38%,'1.08,'+46.54%,化学制药
'221,688112.鼎阳科技,'39.20,'+1.42%,1.03%,18.63%,7.44%,'11.63,'62.41,'48.34,1.30%,'1.29,'+41.87%,仪器仪表
'222,603551.奥普科技,'12.59,'+1.04%,'-,18.63%,33.79%,'9.15,'49.12,'16.64,6.82%,'2.95,'+23.87%,家电行业
'223,600261.阳光照明,'3.44,'-0.86%,'-,18.55%,30.50%,'8.52,'45.93,'57.55,4.07%,'0.80,'+9.65%,家电行业
'224,600664.哈药股份,'3.74,'+0.54%,1.70%,18.48%,54.71%,'17.41,'94.19,'18.18,'-,'5.18,'-9.44%,化学制药
'225,002962.五方光电,'15.88,'+0.06%,'-,18.46%,14.24%,'8.55,'46.32,'106.62,1.26%,'0.43,'-7.41%,光学光电子
'226,688507.索辰科技,'100.50,'+1.24%,0.15%,18.37%,5.88%,'16.45,'89.55,'149.71,0.25%,'0.60,'+84.19%,软件开发
'227,002441.众业达,'9.64,'+0.52%,0.89%,18.29%,35.04%,'9.60,'52.49,'32.17,3.11%,'1.63,'+28.21%,电网设备
'228,605111.新洁能,'35.29,'+1.03%,2.80%,18.28%,9.35%,'26.80,'146.57,'36.82,0.33%,'3.98,'+4.29%,半导体
'229,600009.上海机场,'32.36,'+0.12%,3.39%,18.20%,37.23%,'146.58,'805.27,'49.37,1.24%,'16.31,'-4.35%,航空机场
'230,600059.古越龙山,'10.61,'+2.02%,1.50%,18.18%,10.06%,'17.58,'96.71,'51.71,0.75%,'1.87,'+20.43%,酿酒行业
'231,300532.今天国际,'13.43,'-1.83%,0.32%,17.95%,58.72%,'10.93,'60.88,'33.09,3.29%,'1.84,'+18.55%,互联网服务
'232,300792.壹网壹创,'30.50,'+2.49%,0.71%,17.89%,5.44%,'12.93,'72.27,'87.21,0.33%,'0.83,'+27.60%,互联网服务
'233,600587.新华医疗,'16.33,'+0.31%,1.31%,17.87%,46.65%,'17.70,'99.07,'20.54,1.53%,'4.82,'-0.29%,医疗器械
'234,002790.瑞尔特,'7.35,'-0.27%,'-,17.81%,18.28%,'5.47,'30.71,'25.62,3.27%,'1.20,'+3.58%,装修建材
'235,600566.济川药业,'25.74,'-0.31%,1.43%,17.78%,18.85%,'42.14,'236.98,'13.89,8.13%,'17.06,'-4.62%,中药
'236,000572.海马汽车,'4.90,'+5.38%,0.97%,17.78%,51.02%,'14.33,'80.59,'-,'-,'-3.34,'+17.22%,汽车整车
'237,603808.歌力思,'8.12,'+0.74%,'-,17.78%,29.53%,'5.33,'29.97,'-,0.62%,'-3.02,'+16.87%,纺织服装
'238,605136.丽人丽妆,'10.16,'+3.36%,'-,17.77%,10.64%,'7.23,'40.69,'-,0.06%,'-0.76,'+17.73%,商业百货
'239,601012.隆基绿能,'17.08,'-0.52%,5.62%,17.71%,60.72%,'229.17,'1294.33,'-,1.00%,'-67.75,'+8.72%,光伏设备
'240,000719.中原传媒,'12.52,'-3.84%,4.79%,17.71%,39.07%,'22.69,'128.11,'8.92,4.79%,'14.37,'+15.52%,文化传媒
'241,301257.普蕊斯,'47.28,'+8.59%,'-,17.67%,16.89%,'6.60,'37.35,'50.74,0.53%,'0.74,'+75.97%,医疗服务
'242,688602.康鹏科技,'8.93,'+1.36%,'-,17.59%,13.03%,'8.16,'46.38,'-,'-,'-0.39,'+29.23%,化学制品
'243,000513.丽珠集团,'42.41,'+4.97%,2.63%,17.57%,38.26%,'67.38,'383.43,'18.41,2.59%,'20.82,'+14.77%,化学制药
'244,600006.东风股份,'7.61,'+0.79%,0.36%,17.54%,48.99%,'26.69,'152.20,'-,0.07%,'-6.71,'+3.33%,汽车整车
'245,688032.禾迈股份,'112.84,'+2.85%,0.65%,17.54%,26.31%,'24.55,'140.00,'117.07,2.84%,'1.20,'+3.39%,光伏设备
'246,600650.锦江在线,'16.79,'+2.07%,0.12%,17.49%,20.16%,'16.20,'92.62,'75.60,0.66%,'1.23,'+20.91%,铁路公路
'247,600268.国电南自,'10.14,'-2.31%,6.99%,17.47%,62.42%,'18.00,'103.01,'24.04,1.38%,'4.28,'+53.68%,电网设备
'248,600479.千金药业,'11.19,'+2.47%,'-,17.42%,33.63%,'8.16,'46.83,'20.71,3.22%,'2.26,'+8.26%,中药
