序	代码	股票	价	涨	控盘度	股东数.人	更新日	北上持股	扣非PE	PB	股息	A股市值	今年来	行业
38	301033	迈普医学	80.28	-0.09%	9945	6,189	06.30	-	61.87	7.47	0.75%	53.48	+92.71%	医疗服务
39	301259	艾布鲁	46.60	-0.62%	9925	8,144	08.08	0.05%	-	8.80	-	72.70	-2.92%	环保行业
40	003008	开普检测	21.62	+0.14%	9906	10,094	06.30	-	29.22	2.11	6.01%	22.48	+26.26%	专业服务
41	301131	聚赛龙	51.32	+1.16%	9903	10,097	06.30	-	57.83	2.80	0.80%	24.53	+50.09%	塑料制品
42	605318	法狮龙	32.59	-0.40%	9850	3,408	06.30	-	-	6.40	0.92%	40.98	+59.97%	装修装饰
43	002890	弘宇股份	14.92	+1.91%	9804	6,336	06.30	-	205.78	4.21	0.17%	25.35	+51.61%	专用设备
44	300710	万隆光电	20.71	+2.07%	9755	9,776	06.30	-	-	4.49	-	20.60	+15.96%	通信设备
45	301070	开勒股份	49.79	-1.09%	9751	8,478	06.30	-	-	5.80	0.57%	44.93	+25.35%	专用设备
46	603722	阿科力	51.95	-7.99%	9733	5,974	06.30	-	-	5.54	0.19%	50.77	+24.02%	塑料制品
47	001323	慕思股份	29.40	-1.61%	9607	9,672	06.30	0.21%	19.75	2.84	5.47%	127.91	-11.74%	家用轻工
48	300910	瑞丰新材	61.01	-1.05%	9521	7,310	06.30	1.34%	24.92	5.22	1.97%	180.55	+30.83%	化学制品
49	300668	杰恩设计	17.68	+1.43%	9495	6,616	07.31	-	-	2.78	-	21.28	-21.98%	工程咨询服务
50	300995	奇德新材	58.44	-0.65%	9421	7,318	08.30	-	300.00	7.88	0.26%	49.18	+271.27%	塑料制品
51	301239	普瑞眼科	39.70	-2.65%	9390	10,649	06.30	0.61%	-	2.80	1.01%	59.40	-15.35%	医疗服务
52	301006	迈拓股份	16.68	+1.58%	9389	8,800	06.30	-	28.69	1.85	1.20%	23.23	+28.15%	仪器仪表
53	301167	建研设计	16.22	+1.88%	9389	10,650	06.30	-	231.58	1.94	0.37%	18.17	+28.34%	工程咨询服务
54	301279	金道科技	23.94	+0.25%	9366	10,676	08.20	-	62.99	2.35	0.84%	31.06	+55.44%	通用设备
55	301023	江南奕帆	43.60	-1.25%	9264	10,794	08.10	-	39.55	4.12	2.46%	34.09	+30.23%	电机
56	300929	华骐环保	10.87	+2.45%	9197	9,274	06.30	-	-	1.77	0.18%	14.36	+31.44%	环保行业
57	301237	和顺科技	38.41	+1.43%	9183	9,591	06.30	-	-	2.33	0.26%	30.73	+60.66%	塑料制品
58	300984	金沃股份	58.68	-0.29%	9121	8,617	06.30	0.31%	196.20	7.08	0.18%	72.33	+104.25%	通用设备
59	301148	嘉戎技术	25.81	+3.49%	9119	10,965	06.30	-	100.80	1.73	1.51%	30.07	+43.83%	环保行业
60	301338	凯格精机	69.49	+4.76%	9107	10,980	07.31	-	71.93	4.89	0.29%	73.94	+123.88%	专用设备
61	300789	唐源电气	29.90	+3.14%	9036	8,026	06.30	-	85.10	4.09	0.51%	43.01	+101.40%	软件开发
62	300928	华安鑫创	34.87	+0.78%	8999	9,302	06.30	-	-	2.50	-	27.90	+6.02%	汽车零部件
63	301336	趣睡科技	58.08	+1.03%	8926	10,044	08.08	-	101.42	2.82	0.47%	23.23	+8.01%	家用轻工
64	300665	飞鹿股份	9.56	-0.21%	8904	11,230	06.30	-	-	5.45	0.45%	20.93	+54.19%	化学制品
65	600455	博通股份	26.80	+0.75%	8866	8,955	06.30	-	45.42	5.31	-	16.74	+29.72%	教育
66	301258	富士莱	35.64	-0.67%	8802	11,360	08.29	-	300.00	1.70	0.26%	32.67	+51.33%	化学制药
67	603685	晨丰科技	19.37	+0.73%	8761	11,414	06.30	-	300.00	2.81	0.11%	32.74	+64.81%	光学光电子
68	300818	耐普矿机	26.91	+2.28%	8745	9,387	08.29	-	116.55	2.56	0.60%	45.42	-0.58%	专用设备
69	301178	天亿马	55.34	+0.34%	8731	10,092	06.30	-	-	4.81	0.18%	37.00	+98.00%	软件开发
70	300897	山科智能	30.90	+5.03%	8723	7,997	08.29	-	75.53	4.44	1.39%	43.33	+78.16%	仪器仪表
71	300816	艾可蓝	37.41	-1.29%	8643	11,569	06.30	-	65.87	3.41	0.31%	29.93	+46.49%	汽车零部件
72	301037	保立佳	14.35	+1.34%	8583	7,590	06.30	-	-	3.14	-	19.95	+39.19%	化学制品
73	001266	宏英智能	30.00	+3.38%	8541	11,708	06.30	-	117.44	3.27	1.01%	30.95	+31.10%	仪器仪表
74	605289	罗曼股份	53.03	+10.00%	8474	7,572	06.30	-	-	4.54	-	57.81	+111.61%	装修装饰
75	002718	友邦吊顶	18.42	+2.85%	8383	7,585	06.30	-	-	2.64	-	24.21	+50.61%	装修建材
76	300535	达威股份	20.05	-0.40%	8374	9,408	08.08	-	135.06	2.25	0.35%	21.01	+53.88%	化学制品
77	301040	中环海陆	-	0.00%	8361	7,432	06.30	-	-	4.70	-	39.60	+219.61%	风电设备
78	300998	宁波方正	26.23	-0.64%	8360	7,254	06.30	-	-	2.85	-	35.98	+75.92%	汽车零部件
79	301181	标榜股份	30.80	-1.22%	8263	12,101	08.20	-	36.79	2.50	2.12%	35.59	+49.60%	汽车零部件
80	300749	顶固集创	8.82	+2.68%	8259	9,917	08.08	-	-	3.42	-	18.10	+43.41%	装修建材
81	301235	华康洁净	37.10	-1.80%	8165	10,900	08.20	-	42.47	2.29	0.13%	39.98	+83.95%	医疗服务
82	300321	同大股份	36.56	+8.81%	8152	5,732	08.20	-	300.00	5.14	0.12%	32.47	+78.08%	化学制品
83	301098	金埔园林	9.02	+1.01%	8122	12,312	07.18	-	300.00	1.26	0.55%	16.59	+14.08%	工程建设
84	301103	何氏眼科	22.59	+2.17%	8063	10,812	06.30	-	-	1.88	0.66%	35.70	+13.07%	医疗服务
85	301049	超越科技	22.30	+1.69%	8062	7,438	08.20	-	-	3.36	-	21.02	-7.08%	环保行业
86	001268	联合精密	35.33	+0.91%	8053	10,973	06.30	-	41.69	3.74	1.27%	38.13	+106.46%	通用设备
87	301031	中熔电气	111.72	+20.00%	8002	10,544	08.08	0.93%	43.07	8.47	0.45%	109.85	+59.64%	电网设备
88	301263	泰恩康	36.88	+0.44%	7976	10,941	06.30	0.58%	268.06	9.02	0.54%	156.92	+147.90%	医药商业
89	002871	伟隆股份	17.90	-9.91%	7947	9,393	06.30	-	35.61	5.37	1.70%	45.08	+90.83%	通用设备
90	300912	凯龙高科	15.04	+3.58%	7942	10,294	08.08	-	-	3.24	-	17.29	+30.78%	汽车零部件
91	002715	登云股份	22.18	-3.61%	7895	8,843	06.30	-	-	6.40	0.14%	30.61	+49.63%	汽车零部件
92	300970	华绿生物	14.23	+1.06%	7883	11,360	06.30	-	-	1.18	-	17.10	+19.58%	农牧饲渔
93	301193	家联科技	24.48	+20.00%	7864	5,906	06.30	-	-	2.87	-	47.33	+48.09%	塑料制品
94	002319	乐通股份	12.57	+6.08%	7827	9,454	06.30	-	-	14.72	-	26.33	+18.25%	化学制品
95	300911	亿田智能	56.52	+2.21%	7786	6,794	06.30	0.19%	-	8.32	1.35%	102.51	+186.90%	家电行业
96	301163	宏德股份	29.79	+4.09%	7781	8,733	06.30	-	151.79	2.16	0.42%	24.31	+41.71%	风电设备
97	300536	农尚环境	10.63	+4.11%	7764	10,429	08.08	-	-	6.09	-	31.18	+85.51%	工程建设
98	301122	采纳股份	21.94	+0.09%	7649	8,029	08.20	-	204.67	1.50	1.14%	26.82	+9.78%	医疗器械
99	300958	建工修复	12.95	+1.17%	7624	13,115	06.30	-	-	1.58	0.91%	20.30	+12.41%	环保行业
100	603909	建发合诚	10.57	-2.58%	7623	7,504	06.30	-	27.64	2.53	1.14%	27.55	+16.93%	工程咨询服务
101	301228	实朴检测	27.50	+2.19%	7623	6,471	08.29	-	-	4.71	-	33.00	+107.86%	专业服务
102	300854	中兰环保	21.03	+6.00%	7572	8,390	08.08	-	300.00	2.14	0.58%	21.04	+73.30%	环保行业
103	301096	百诚医药	62.45	+8.46%	7567	11,867	06.30	0.66%	-	2.64	-	68.21	+64.60%	医疗服务
104	301002	崧盛股份	32.74	+2.41%	7562	10,526	08.20	-	-	5.05	-	40.23	+92.70%	电网设备
105	603822	嘉澳环保	73.09	+3.84%	7519	7,469	06.30	-	-	14.20	-	56.15	+49.90%	化学制品
106	301135	瑞德智能	29.93	+0.13%	7497	13,338	08.20	-	77.17	2.44	1.00%	30.51	+29.99%	消费电子
107	301019	宁波色母	17.15	-0.87%	7493	10,734	08.20	-	32.67	2.74	3.50%	28.81	+3.63%	塑料制品
108	300572	安车检测	26.31	+2.45%	7489	12,281	06.30	-	-	3.39	-	60.25	+45.60%	专业服务
109	300935	盈建科	25.07	+1.38%	7484	9,346	07.10	-	-	2.47	-	19.91	+0.64%	软件开发
110	300989	蕾奥规划	17.83	-1.82%	7456	9,895	08.20	-	-	3.80	-	37.61	+12.49%	工程咨询服务
111	301160	翔楼新材	64.08	-3.08%	7427	11,886	06.30	0.29%	34.88	4.40	1.08%	74.24	+66.78%	汽车零部件
112	603272	联翔股份	18.29	+1.72%	7354	6,117	06.30	-	78.22	3.35	0.55%	18.95	+33.68%	装修装饰
113	300779	惠城环保	210.50	-1.89%	7350	11,160	06.30	0.48%	-	31.10	0.05%	414.96	+115.79%	环保行业
114	301016	雷尔伟	18.51	+0.11%	7325	13,651	06.30	-	68.25	4.12	2.32%	40.43	+26.81%	交运设备
115	002971	和远气体	26.72	+1.14%	7269	9,734	08.20	-	83.55	3.57	0.75%	56.44	+43.97%	化学制品
116	300807	天迈科技	45.43	+4.20%	7251	9,692	06.30	-	-	6.43	-	30.91	+49.88%	计算机设备
117	001228	永泰运	23.86	-0.17%	7221	10,285	08.29	-	18.31	1.49	2.77%	24.78	+16.77%	物流行业
118	003018	金富科技	12.11	-0.49%	7210	12,803	06.30	-	25.75	2.03	2.48%	31.49	+34.28%	塑料制品
119	301052	果麦文化	83.17	+7.72%	7202	11,974	06.30	-	207.15	11.50	0.06%	82.30	+227.41%	文化传媒
120	002830	名雕股份	17.07	+0.83%	7178	7,624	08.08	-	57.80	3.53	1.46%	22.76	+39.03%	装修装饰
121	301278	快可电子	34.96	+0.78%	7171	10,764	08.29	-	113.38	2.21	1.46%	31.36	+1.63%	光伏设备
122	603637	镇海股份	11.94	+3.02%	7169	11,594	08.20	-	40.75	2.83	1.68%	28.50	+46.23%	工程建设
123	300851	交大思诺	27.87	+0.98%	7150	8,739	08.29	-	77.56	1.90	1.54%	24.23	+6.92%	交运设备
124	603608	天创时尚	7.34	+2.23%	7136	11,388	06.30	-	-	2.86	-	30.81	+97.31%	纺织服装
125	003001	中岩大地	26.33	+0.54%	7121	9,649	06.30	0.26%	77.50	3.90	0.76%	46.51	-19.72%	工程咨询服务
126	301195	北路智控	35.55	-1.50%	7096	11,851	08.10	-	27.48	1.98	1.83%	46.95	+12.72%	软件开发
127	301017	漱玉平民	12.09	-0.08%	7092	14,100	06.30	0.31%	-	2.37	0.41%	49.01	+1.17%	医药商业
128	605339	南侨食品	17.37	-0.80%	7070	14,143	06.30	0.01%	77.47	2.16	0.98%	73.70	+3.09%	食品饮料
129	301057	汇隆新材	24.84	+2.43%	7063	8,834	06.30	-	107.34	3.84	0.81%	29.06	+101.07%	化纤行业
130	301187	欧圣电气	30.56	-2.83%	7053	14,177	06.30	0.10%	30.06	5.17	2.74%	77.91	+27.78%	家电行业
131	603170	宝立食品	14.55	-0.27%	7050	11,949	06.30	2.01%	25.68	4.18	2.75%	58.20	-2.62%	食品饮料
132	300736	百邦科技	12.79	-2.44%	7038	11,373	06.30	-	-	18.97	-	16.28	+32.81%	通信服务
133	300492	华图山鼎	67.10	-1.26%	7028	4,620	06.30	1.80%	103.13	31.51	0.27%	131.97	+29.48%	工程咨询服务
134	301159	三维天地	36.71	+1.63%	7028	10,456	06.30	-	-	4.75	-	28.40	+10.01%	软件开发
135	300844	山水比德	58.15	+0.83%	6981	5,212	08.08	-	-	6.82	-	52.62	+159.43%	工程咨询服务
136	300949	奥雅股份	41.90	+1.77%	6973	8,022	08.08	-	-	3.75	-	25.28	-12.16%	工程咨询服务
137	002943	宇晶股份	38.20	+2.96%	6944	14,399	06.30	-	-	8.90	-	78.48	+92.54%	通用设备
138	300417	南华仪器	12.99	+2.77%	6943	12,088	06.30	-	-	3.82	0.62%	17.48	+10.27%	仪器仪表
139	301042	安联锐视	38.82	-1.77%	6899	9,545	08.20	-	81.01	2.58	2.58%	27.07	+7.86%	计算机设备
140	002991	甘源食品	58.55	+0.65%	6858	10,368	06.30	0.05%	20.96	3.36	4.91%	54.58	-35.68%	食品饮料
141	603356	华菱精工	12.95	+0.86%	6856	10,483	06.30	-	-	4.24	-	17.27	+1.33%	专用设备
142	301100	风光股份	18.98	-0.16%	6852	14,593	06.30	-	-	1.90	-	37.96	+14.34%	化学制品
143	301026	浩通科技	31.14	+3.11%	6837	12,597	06.30	-	46.56	3.20	0.92%	49.29	+60.67%	小金属
144	603365	水星家纺	17.15	-0.17%	6809	7,591	06.30	-	14.76	1.55	5.25%	45.04	+10.97%	纺织服装
145	001317	三羊马	52.84	+3.51%	6793	14,719	08.20	-	-	5.07	0.19%	42.30	+90.73%	物流行业
146	301113	雅艺科技	21.95	+2.76%	6790	7,005	08.08	-	300.00	2.90	2.45%	19.97	+25.57%	装修装饰
147	300915	海融科技	26.12	+0.73%	6784	8,936	06.30	-	109.11	2.10	1.09%	32.87	+14.76%	食品饮料
148	605259	绿田机械	27.30	+2.82%	6772	6,865	06.30	-	19.52	2.72	2.20%	47.09	+85.64%	通用设备
149	603867	新化股份	29.68	+0.95%	6757	10,918	06.30	0.72%	25.77	2.31	1.52%	57.22	+23.92%	化学制品
150	300980	祥源新材	24.00	-0.74%	6727	12,863	08.08	-	138.38	2.38	0.75%	33.17	+5.55%	塑料制品
151	600234	科新发展	8.66	-0.69%	6715	9,942	06.30	-	151.65	4.62	-	22.73	+56.04%	房地产开发
152	300549	优德精密	19.68	+0.92%	6708	14,906	08.29	-	297.09	4.79	0.25%	26.24	+20.49%	专用设备
153	301063	海锅股份	27.49	+2.84%	6701	10,004	06.30	-	60.54	1.83	0.55%	28.69	+74.05%	风电设备
154	003011	海象新材	21.06	+0.53%	6700	11,388	06.30	-	19.22	1.52	1.42%	21.62	+40.91%	塑料制品
155	001229	魅视科技	35.72	-0.56%	6684	14,959	06.30	-	53.65	3.75	1.68%	35.72	+1.88%	计算机设备
156	300966	共同药业	22.46	+1.86%	6663	12,546	06.30	-	-	2.85	-	25.89	+39.24%	化学制药
157	001211	双枪科技	26.25	+5.38%	6629	9,510	07.31	-	300.00	2.14	0.81%	18.90	+36.58%	家用轻工
158	603351	威尔药业	29.23	+0.76%	6603	6,431	06.30	-	28.54	2.30	1.37%	39.59	+20.70%	化学制药
159	301166	优宁维	32.10	+0.47%	6587	11,396	06.30	-	-	1.37	0.72%	27.82	+13.98%	生物制品
160	301051	信濠光电	25.17	-2.63%	6577	12,129	06.30	0.15%	-	2.43	0.17%	51.11	+11.88%	消费电子
161	301186	超达装备	45.46	+0.69%	6549	5,820	06.30	-	35.47	2.38	1.09%	36.54	+15.27%	汽车零部件
162	301333	诺思格	54.75	+3.32%	6515	10,420	06.30	0.86%	44.55	2.80	0.29%	52.88	+9.88%	医疗服务
163	300371	汇中股份	14.04	+3.31%	6506	11,077	08.29	-	47.44	2.48	0.64%	28.25	+47.57%	仪器仪表
164	003043	华亚智能	51.90	+3.99%	6499	12,571	07.20	-	124.71	3.88	0.41%	69.54	+76.43%	通用设备
165	300521	爱司凯	25.65	-1.00%	6489	11,466	06.30	-	-	8.02	0.15%	38.27	+25.42%	专用设备
166	300932	三友联众	12.08	+0.92%	6487	11,111	06.30	-	65.06	2.23	1.29%	38.67	+17.45%	电网设备
167	603358	华达科技	43.00	-0.69%	6483	7,177	06.30	0.45%	89.79	5.55	1.14%	201.99	+30.69%	汽车零部件
168	001218	丽臣实业	20.14	+4.79%	6473	14,531	07.31	-	25.00	1.19	2.53%	26.22	+20.23%	化学制品
169	301080	百普赛斯	59.83	+2.08%	6471	11,747	06.30	4.99%	69.00	3.84	0.84%	100.42	+91.86%	医疗服务
170	301268	铭利达	25.12	+3.54%	6471	12,357	08.10	0.45%	-	5.52	-	100.58	+51.51%	通用设备
171	603665	康隆达	28.26	+5.25%	6454	7,110	06.30	-	-	6.45	-	45.53	+100.14%	纺织服装
172	600847	万里股份	10.89	+2.16%	6453	10,923	06.30	-	-	3.16	-	16.69	+34.44%	电池
173	603860	中公高科	31.16	+0.68%	6439	8,349	06.30	-	43.46	2.62	0.54%	20.78	+6.18%	工程咨询服务
174	301108	洁雅股份	32.51	+0.34%	6422	9,132	08.29	-	300.00	1.97	0.22%	36.59	+77.29%	美容护理
175	301043	绿岛风	34.56	-0.20%	6407	5,122	08.20	-	30.56	2.74	2.55%	23.50	+24.39%	专用设备
176	301151	冠龙节能	22.78	+1.51%	6404	15,614	07.18	-	53.85	1.87	1.81%	38.50	+51.90%	通用设备
177	603150	万朗磁塑	35.88	+0.34%	6398	12,679	06.30	-	23.82	1.84	0.47%	30.67	+36.05%	塑料制品
178	002853	皮阿诺	12.03	+0.58%	6391	10,579	06.30	-	-	2.37	1.70%	22.00	+9.66%	装修建材
179	003017	大洋生物	36.51	+8.18%	6386	14,185	06.30	-	38.90	2.84	0.82%	30.67	+98.48%	化学原料
180	300823	建科智能	15.57	+1.24%	6384	11,452	06.30	-	100.00	2.20	2.09%	20.39	+22.54%	专用设备
181	603059	倍加洁	31.54	+1.06%	6358	4,787	06.30	-	-	3.05	0.63%	31.68	+35.19%	美容护理
182	301041	金百泽	30.89	+0.68%	6350	13,912	06.30	-	171.01	4.89	0.32%	32.95	+29.18%	电子元件
183	300614	百川畅银	14.56	-0.82%	6330	10,260	06.30	-	-	1.86	-	23.36	+53.59%	环保行业
184	301257	普蕊斯	47.28	+8.59%	6323	8,735	07.31	-	50.74	3.06	0.53%	37.35	+75.97%	医疗服务
185	301201	诚达药业	30.24	+4.13%	6313	13,841	06.30	-	-	2.17	0.66%	46.79	+51.14%	医疗服务
186	001210	金房能源	15.36	-0.07%	6312	12,432	06.30	-	20.71	1.77	1.09%	24.09	+32.75%	公用事业
187	300965	恒宇信通	78.62	-1.97%	6310	11,535	07.18	-	218.77	3.82	0.45%	47.17	+121.43%	航天航空
188	605128	上海沿浦	38.94	-0.15%	6267	9,575	06.30	0.25%	53.15	4.04	0.67%	82.22	+57.90%	汽车零部件
189	002653	海思科	56.64	+2.13%	6236	11,424	06.30	0.73%	300.00	15.61	0.73%	634.32	+71.63%	化学制药
190	300633	开立医疗	32.86	-0.52%	6216	14,307	06.30	1.31%	-	4.56	0.30%	142.19	+12.16%	医疗器械
191	600729	重庆百货	29.34	-0.10%	6191	16,152	06.30	2.83%	10.39	1.69	4.64%	129.24	+5.22%	商业百货
192	300849	锦盛新材	12.79	+1.35%	6183	10,766	07.31	-	-	3.25	-	19.18	-8.97%	美容护理
193	300972	万辰集团	204.70	-3.35%	6163	7,923	06.30	2.16%	53.97	23.68	0.28%	384.05	+155.79%	农牧饲渔
194	300649	杭州园林	17.09	+2.21%	6161	14,223	06.30	-	-	4.67	0.29%	22.63	+60.25%	工程咨询服务
195	603129	春风动力	272.00	+1.99%	6153	10,109	06.30	3.88%	24.34	6.13	1.42%	415.01	+76.96%	交运设备
196	301248	杰创智能	27.80	+0.36%	6127	15,907	07.31	-	-	2.80	-	42.73	+75.06%	软件开发
197	603036	如通股份	22.00	+2.95%	6112	12,683	06.30	-	47.20	3.38	0.91%	45.32	+31.71%	专用设备
198	300405	科隆股份	6.13	+2.68%	6112	13,691	06.30	-	-	4.12	-	17.43	+26.65%	化学制品
199	300977	深圳瑞捷	19.48	+0.93%	6098	8,674	08.20	-	-	2.15	-	29.65	+5.70%	工程咨询服务
200	001288	运机集团	24.02	+1.14%	6091	9,814	06.30	0.28%	39.43	2.49	0.74%	56.43	+11.00%	工程机械
201	301282	金禄电子	28.97	+1.58%	6088	16,424	06.30	-	56.86	2.57	0.69%	43.79	+38.91%	电子元件
202	300700	岱勒新材	14.03	+2.56%	6084	14,475	06.30	-	-	6.21	-	55.57	+59.79%	通用设备
203	300103	达刚控股	7.85	+0.90%	6080	16,445	06.30	-	-	5.03	-	24.93	+24.80%	专用设备
204	001230	劲旅环境	24.09	-2.35%	6077	16,455	06.30	-	21.90	1.71	1.33%	32.16	+47.47%	环保行业
205	300837	浙矿股份	24.90	+2.81%	6074	7,754	06.30	-	86.44	1.76	1.20%	24.90	+25.24%	专用设备
206	300855	图南股份	29.09	-0.38%	6073	13,400	08.29	0.92%	69.45	5.81	0.86%	115.06	+33.58%	有色金属
207	603179	新泉股份	50.30	+0.70%	6071	10,349	06.30	3.41%	25.17	4.11	0.60%	245.11	+18.58%	汽车零部件
208	301003	江苏博云	35.41	-1.01%	6065	9,297	08.08	-	27.35	3.09	5.18%	34.39	+70.99%	塑料制品
209	300808	久量股份	29.70	-1.10%	5998	8,774	08.20	-	-	4.80	-	47.52	+29.30%	光学光电子
210	300717	华信新材	20.70	+0.83%	5989	8,596	06.30	-	41.85	2.99	0.97%	21.27	+50.23%	塑料制品
211	300994	久祺股份	19.42	+0.10%	5989	11,476	08.20	-	31.06	3.62	-	45.27	+72.16%	交运设备
212	300731	科创新源	56.42	+11.97%	5986	13,343	06.30	-	300.00	11.70	0.14%	71.33	+161.84%	橡胶制品
213	301092	争光股份	31.39	-0.19%	5979	10,049	08.29	-	44.49	2.21	0.83%	42.23	+35.59%	化学制品
214	603697	有友食品	13.82	-2.12%	5970	16,750	06.30	-	37.53	3.30	3.40%	59.11	+37.95%	食品饮料
215	300886	华业香料	32.88	+2.62%	5966	12,779	06.30	-	86.89	4.22	0.30%	24.59	+75.56%	美容护理
216	605196	华通线缆	23.80	+9.68%	5965	11,507	06.30	0.13%	48.28	3.78	0.27%	121.62	+104.46%	电网设备
217	301321	翰博高新	17.67	+1.44%	5946	11,223	06.30	-	-	3.46	-	32.94	+22.71%	光学光电子
218	301218	华是科技	22.54	+0.40%	5938	13,700	08.20	-	300.00	2.78	0.11%	25.70	+3.86%	软件开发
219	002986	宇新股份	11.84	+0.51%	5932	15,555	08.20	0.15%	38.40	1.12	2.56%	45.41	+2.34%	化学制品
220	301306	西测测试	58.21	-1.36%	5930	16,863	06.30	-	-	5.12	-	49.13	+55.77%	专业服务
221	300991	创益通	40.85	-6.44%	5929	13,108	08.29	-	298.66	9.25	0.07%	58.82	+97.69%	电子元件
222	300689	澄天伟业	56.58	-0.94%	5922	8,133	06.30	-	300.00	9.50	-	65.41	+121.71%	通信设备
223	300795	米奥会展	16.04	+0.31%	5912	12,886	06.30	-	39.33	8.56	3.11%	47.94	+5.66%	文化传媒
224	002856	美芝股份	10.51	+2.84%	5910	10,859	06.30	-	-	15.22	-	14.22	+13.99%	装修装饰
