序	代码	股票	价	涨	控盘度	股东数.人	更新日	北上持股	扣非PE	PB	股息	A股市值	今年来	行业
1	301097	天益医疗	44.20	-0.49%	23832	4,196	06.30	-	-	2.23	1.13%	26.05	+22.37%	医疗器械
2	301068	大地海洋	28.24	-0.74%	16594	4,176	08.29	-	-	5.01	0.82%	39.91	+21.11%	环保行业
3	301234	五洲医疗	43.30	-2.48%	16534	6,048	08.20	-	114.17	3.91	0.69%	29.44	+74.00%	医疗器械
4	301209	联合化学	86.62	-0.78%	16276	6,144	06.30	-	159.18	12.96	0.23%	97.01	+349.06%	化学原料
5	300836	佰奥智能	46.54	+6.79%	15739	5,480	06.30	-	142.36	8.05	0.44%	43.14	+60.88%	专用设备
6	300920	润阳科技	52.15	-0.38%	14821	5,866	06.30	-	260.11	4.44	0.19%	52.15	+208.87%	塑料制品
7	300756	金马游乐	38.41	+4.80%	14658	6,425	06.30	-	191.26	4.30	0.13%	60.53	+158.48%	旅游酒店
8	301233	盛帮股份	61.50	-2.27%	13640	7,331	08.20	-	39.06	3.36	0.84%	31.65	+36.65%	橡胶制品
9	300969	恒帅股份	86.52	-3.27%	12393	8,069	08.20	0.13%	57.38	7.24	0.33%	96.90	+49.06%	汽车零部件
10	301162	国能日新	56.06	-2.15%	12102	6,586	06.30	0.15%	76.16	6.41	0.63%	74.33	+49.04%	软件开发
11	300930	屹通新材	32.97	+3.97%	11977	8,349	06.30	-	66.29	3.67	0.30%	32.97	+10.76%	有色金属
12	301061	匠心家居	102.60	-2.47%	11839	5,392	06.30	1.44%	28.41	5.70	0.75%	223.24	+117.23%	家电行业
13	001259	利仁科技	26.04	+2.20%	11796	8,477	06.30	-	-	2.68	0.61%	19.16	+21.37%	家电行业
14	300973	立高食品	49.98	-0.81%	11712	8,538	06.30	3.48%	28.66	3.23	1.40%	84.64	+29.36%	食品饮料
15	603102	百合股份	42.50	-0.54%	11663	8,574	06.30	-	22.62	1.62	1.76%	27.20	+23.15%	食品饮料
16	300517	海波重科	11.75	+5.29%	11364	8,799	06.30	-	300.00	2.25	0.85%	23.55	+41.15%	工程建设
17	301300	远翔新材	40.00	-1.53%	11249	8,889	06.30	-	37.77	3.18	2.49%	25.96	+57.15%	化学制品
18	301027	华蓝集团	14.56	-0.27%	11247	8,582	06.30	-	-	2.31	-	21.40	-9.34%	工程咨询服务
19	301129	瑞纳智能	29.01	-1.09%	11050	9,049	06.30	-	65.62	2.29	0.59%	39.43	+5.56%	仪器仪表
20	603255	鼎际得	35.85	+2.40%	10868	6,653	06.30	-	-	3.05	0.13%	48.26	+6.44%	化学制品
21	301270	汉仪股份	38.70	-2.05%	10781	9,275	06.30	-	300.00	3.78	0.26%	38.70	+8.57%	互联网服务
22	300577	开润股份	22.99	+2.73%	10679	9,364	08.20	0.13%	17.60	2.43	1.47%	55.13	-6.63%	纺织服装
23	301222	浙江恒威	29.72	+1.96%	10614	9,421	06.30	-	31.39	2.12	1.01%	30.12	+18.07%	电池
24	300992	泰福泵业	28.83	-0.10%	10569	6,703	06.30	-	-	3.04	0.26%	27.49	+7.89%	通用设备
25	301045	天禄科技	25.43	+3.71%	10521	8,450	08.08	-	127.26	2.76	0.20%	28.05	+15.25%	光学光电子
26	301106	骏成科技	31.58	0.00%	10478	9,543	08.20	-	35.34	2.57	1.27%	32.09	+13.75%	光学光电子
27	300876	蒙泰高新	30.90	-1.34%	10464	5,859	06.30	-	-	3.87	-	29.66	+12.77%	化纤行业
28	301220	亚香股份	47.12	-2.56%	10416	9,600	08.20	0.41%	62.10	3.05	0.30%	53.14	+78.16%	化学制品
29	301283	聚胶股份	44.98	-1.53%	10397	7,952	06.30	-	39.86	2.27	2.22%	36.17	+81.19%	化学制品
30	001231	农心科技	20.64	+1.08%	10308	9,701	08.20	-	35.34	2.08	0.97%	20.64	+24.57%	农药兽药
31	300553	集智股份	41.71	+1.09%	10237	8,354	06.30	-	203.22	5.48	-	46.30	+97.16%	仪器仪表
32	002857	三晖电气	28.32	-5.66%	10231	6,387	06.30	-	260.25	7.15	0.05%	36.58	+125.64%	电网设备
33	300669	沪宁股份	35.19	+1.00%	10165	4,704	06.30	-	300.00	7.81	0.28%	67.81	+69.35%	专用设备
34	301072	中捷精工	26.51	-0.79%	10151	9,851	06.30	-	-	3.68	0.23%	27.85	+39.97%	汽车零部件
35	603201	常润股份	17.58	+2.03%	10050	9,950	06.30	-	13.48	1.99	2.27%	33.41	+27.57%	汽车零部件
36	301130	西点药业	31.37	+0.71%	10039	8,099	06.30	-	64.33	2.63	0.83%	24.00	+20.61%	化学制药
37	001336	楚环科技	22.12	+1.51%	9967	8,292	08.20	-	109.54	2.24	0.68%	17.78	+26.52%	专用设备
