序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,1周内涨,市值.亿,今年来,行业
'75,603867.新化股份,'26.95,'+4.30%,'1,0.72%,'23.87,'2.08,1.67%,9.43%,'+5.07%,'51.95,'+12.53%,化学制品
'76,603601.再升科技,'4.70,'+1.08%,'1,'-,'82.77,'2.17,1.49%,4.14%,'-7.66%,'48.02,'+40.27%,玻璃玻纤
'77,601107.四川成渝,'5.64,'-1.23%,'1,1.27%,'11.87,'0.86,5.14%,8.44%,'+0.89%,'121.98,'+12.90%,铁路公路
'78,603899.晨光股份,'31.87,'-1.12%,'1,3.13%,'24.72,'3.19,3.15%,15.34%,'+3.37%,'293.51,'+9.06%,家用轻工
'79,002736.国信证券,'13.48,'-0.44%,'1,1.71%,'14.02,'1.08,2.58%,7.98%,'+2.11%,'1301.52,'+24.17%,证券
'80,300925.法本信息,'23.84,'+1.66%,'1,0.95%,'82.63,'4.67,0.28%,6.02%,'-1.01%,'100.53,'+7.32%,软件开发
'81,001215.千味央厨,'28.86,'+0.21%,'1,'-,'39.89,'1.52,0.67%,3.84%,'+1.52%,'27.98,'-5.93%,食品饮料
'82,000510.新金路,'4.84,'-0.41%,'1,'-,亏损,'2.47,0.00%,'-1.00%,'+3.18%,'31.52,'+34.44%,化学原料
'83,688041.海光信息,'137.34,'-3.59%,'1,3.15%,'152.87,'15.12,0.12%,11.30%,'-1.34%,'3192.25,'-8.20%,半导体
'84,603657.春光科技,'30.17,'-0.26%,'1,'-,'237.74,'4.31,0.12%,2.25%,'+1.21%,'40.79,'+76.36%,家电行业
'85,603299.苏盐井神,'10.79,'+0.94%,'1,0.40%,'13.54,'1.35,4.11%,11.71%,'+2.96%,'84.34,'+1.43%,化学原料
'86,603901.永创智能,'10.90,'+1.58%,'1,'-,亏损,'2.11,0.14%,0.70%,'+8.35%,'53.16,'+48.11%,专用设备
'87,300680.隆盛科技,'42.49,'+1.92%,'1,0.20%,'50.84,'4.86,0.49%,12.32%,'+15.71%,'94.93,'+78.27%,汽车零部件
'88,002536.飞龙股份,'19.59,'+9.99%,'1,0.58%,'26.06,'3.03,2.25%,10.77%,'+4.03%,'102.37,'+72.78%,汽车零部件
'89,001328.登康口腔,'44.02,'-0.94%,'1,1.32%,'53.58,'5.11,1.69%,11.36%,'-2.09%,'76.51,'+40.53%,美容护理
'90,000999.华润三九,'31.87,'-0.90%,'1,2.61%,'17.85,'2.54,3.16%,15.77%,'+2.65%,'536.94,'-5.86%,中药
'91,688177.百奥泰,'31.23,'+0.97%,'1,0.40%,亏损,'21.04,0.00%,'-1.00%,'+1.76%,'129.32,'+61.15%,生物制品
'92,603859.能科科技,'44.30,'+2.78%,'1,0.61%,'69.55,'3.68,0.05%,6.48%,'+21.37%,'108.40,'+48.25%,软件开发
'93,603489.八方股份,'28.16,'+1.26%,'1,1.96%,'153.02,'2.47,0.36%,2.54%,'+4.72%,'66.07,'+18.67%,电机
'94,603906.龙蟠科技,'14.40,'+1.62%,'1,0.64%,亏损,'3.45,0.00%,'-1.00%,'+3.30%,'81.37,'+39.00%,电池
'95,300682.朗新集团,'19.23,'-0.77%,'1,1.85%,亏损,'2.99,1.29%,'-1.00%,'-4.95%,'209.35,'+59.89%,软件开发
'96,002701.奥瑞金,'5.47,'+0.18%,'1,2.92%,'20.36,'1.44,2.20%,12.61%,'+1.30%,'139.76,'-1.59%,包装材料
'97,001979.招商蛇口,'8.78,0.00%,'1,1.59%,'31.27,'0.73,2.21%,3.64%,'+0.92%,'795.54,'-12.35%,房地产开发
'98,001313.粤海饲料,'7.97,'+0.25%,'1,0.30%,亏损,'2.18,0.63%,'-1.00%,'+0.76%,'55.65,'-8.81%,农牧饲渔
'99,688199.久日新材,'24.48,'+2.77%,'1,'-,亏损,'1.55,0.00%,'-1.00%,'-1.57%,'39.47,'+62.66%,化学制品
'100,688062.迈威生物-U,'36.14,'+1.75%,'1,1.19%,亏损,'11.31,0.00%,'-1.00%,'+4.72%,'144.42,'+78.91%,生物制品
