序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600519.贵州茅台,'410,'1476.10,'-0.26%,5.80%,'20.55,'7.75,3.50%,39.34%,'18484.76,'-1.24%,酿酒行业
'2,SZ300059.东方财富,'339,'28.69,'-0.76%,3.06%,'42.67,'5.30,0.21%,13.85%,'4534.18,'+11.44%,互联网服务
'3,SZ000858.五粮液,'327,'128.87,'-0.51%,3.08%,'15.50,'3.56,4.46%,23.83%,'5002.23,'-3.70%,酿酒行业
'4,SZ002594.比亚迪,'320,'109.70,'-3.82%,7.07%,'26.14,'4.31,1.21%,22.47%,'5960.88,'+17.82%,汽车整车
'6,SZ300502.新易盛,'319,'388.50,'+9.07%,5.10%,'65.45,'31.92,0.08%,64.51%,'3860.58,'+372.48%,通信设备
'5,SZ300750.宁德时代,'317,'304.00,'-0.71%,13.78%,'26.58,'4.70,2.23%,23.77%,'13386.33,'+17.55%,电池
'7,SZ000333.美的集团,'296,'74.03,'+0.43%,14.64%,'13.60,'2.63,4.73%,22.97%,'5200.41,'+3.17%,家电行业
'8,SZ300308.中际旭创,'293,'406.10,'+14.42%,3.72%,'67.24,'19.77,0.12%,34.91%,'4512.25,'+230.12%,通信设备
'9,SH688256.寒武纪-U,'281,'1448.39,'-2.95%,3.75%,'300.00,'89.70,0.00%,18.63%,'6059.34,'+120.12%,半导体
'10,SH600900.长江电力,'272,'27.79,'-1.07%,6.19%,'19.81,'3.29,3.39%,17.08%,'6799.72,'-2.90%,电力行业
'11,SH603259.药明康德,'260,'111.58,'+8.02%,12.13%,'29.52,'5.50,1.21%,24.03%,'2759.69,'+107.12%,医疗服务
'12,SH601919.中远海控,'245,'15.19,'-0.59%,3.50%,'4.74,'1.01,10.25%,22.49%,'1915.45,'+4.66%,航运港口
'13,SZ300476.胜宏科技,'226,'270.37,'+1.15%,3.21%,'82.45,'21.29,0.11%,30.04%,'2332.45,'+545.00%,电子元件
'14,SH605117.德业股份,'212,'63.74,'-1.41%,3.57%,'18.57,'6.15,4.26%,37.90%,'576.50,'+8.56%,光伏设备
