序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'36,300866.安克创新,'145.05,'+3.44%,8.93%,'53.90,'-0.38%,'-0.21%,'+4.33%,'+6.05%,'37.33,1.44%,'777.70,'+50.83%,消费电子
'37,000338.潍柴动力,'14.81,'-2.18%,8.92%,'92.93,'+0.36%,'+1.73%,'+0.77%,'+3.43%,'12.66,4.86%,'1003.03,'+10.48%,汽车零部件
'38,002362.汉王科技,'24.89,'+0.36%,8.90%,'4.88,'+0.73%,'+7.00%,'+8.74%,%,'-,'-,'60.84,'+9.84%,软件开发
'39,603799.华友钴业,'50.22,'+4.52%,8.79%,'55.35,'+4.22%,'+5.10%,'+3.32%,'+4.69%,'18.45,1.00%,'854.52,'+74.17%,能源金属
'40,002837.英维克,'80.16,'+0.20%,8.49%,'24.44,'-2.89%,'-2.99%,'+2.18%,'+7.31%,'168.63,0.19%,'776.77,'+159.54%,专用设备
'41,300450.先导智能,'40.70,'+14.62%,8.47%,'32.95,'+1.24%,'+1.33%,'-11.57%,'-16.20%,'98.88,0.14%,'637.43,'+103.75%,电池
'42,601799.星宇股份,'120.84,'-0.20%,8.45%,'30.18,'+1.31%,'+1.96%,'+5.84%,'+4.17%,'23.16,1.24%,'345.22,'-8.62%,汽车零部件
'43,600276.恒瑞医药,'68.35,'+3.20%,8.39%,'277.73,'+2.24%,'+2.31%,'+2.69%,'+0.63%,'65.17,0.29%,'4360.05,'+49.45%,化学制药
'44,603882.金域医学,'31.84,'-0.34%,8.28%,'10.96,'+1.13%,'-2.77%,'-3.85%,'-7.12%,'-,2.76%,'147.50,'+18.24%,医疗服务
'45,603699.纽威股份,'33.79,'+1.75%,8.19%,'19.61,'+1.40%,'+5.31%,'+6.39%,'+8.17%,'20.41,4.49%,'259.70,'+57.91%,通用设备
'46,300685.艾德生物,'23.77,'+0.89%,8.09%,'6.82,'-0.86%,'-1.73%,'-7.25%,'-7.63%,'32.56,1.26%,'93.07,'+5.77%,医疗器械
'47,603713.密尔克卫,'65.95,'-1.14%,8.00%,'6.74,'+0.05%,'-0.62%,'-5.27%,'+0.29%,'18.28,1.08%,'104.28,'+30.56%,物流行业
'48,601901.方正证券,'8.55,'-1.04%,7.95%,'51.78,'+1.04%,'-1.20%,'-7.12%,'-8.03%,'18.32,1.25%,'703.84,'+3.37%,证券
'49,603233.大参林,'16.93,'+0.42%,7.94%,'14.74,'+1.09%,'+5.14%,'+5.49%,'+5.04%,'19.00,3.66%,'192.81,'+14.65%,医药商业
'50,002396.星网锐捷,'35.74,'+8.07%,7.75%,'10.24,'+1.37%,'+5.01%,'+3.71%,'+5.13%,'47.51,0.70%,'209.33,'+90.64%,通信设备
'51,601899.紫金矿业,'24.38,'+5.63%,7.72%,'309.86,'+1.11%,0.00%,'-0.66%,'+0.25%,'17.10,1.15%,'5019.53,'+63.59%,有色金属
'52,601100.恒立液压,'91.30,'+2.10%,7.65%,'73.89,'-0.02%,'-4.09%,'-5.95%,'-2.34%,'49.07,0.77%,'1224.17,'+74.75%,工程机械
'53,688019.安集科技,'189.99,'+8.19%,7.58%,'19.31,'-1.91%,'+2.51%,'+4.83%,'+4.26%,'49.41,0.18%,'320.24,'+77.62%,电子化学品
'54,601688.华泰证券,'21.35,'-1.52%,7.52%,'97.87,'+0.28%,'+3.72%,'+3.85%,'+4.47%,'17.16,2.44%,'1560.31,'+23.47%,证券
'55,600216.浙江医药,'15.78,'+0.77%,7.41%,'10.54,'+3.63%,'+5.67%,'+5.71%,'+4.47%,'10.06,2.34%,'151.75,'+1.91%,化学制药
'56,002345.潮宏基,'15.79,'+6.98%,7.36%,'9.57,'+0.69%,'+4.28%,'+6.93%,'+7.36%,'48.16,2.22%,'140.30,'+175.74%,珠宝首饰
'57,002035.华帝股份,'6.50,'+0.62%,7.30%,'3.89,'-1.57%,'-2.76%,'+1.66%,'+6.25%,'12.70,4.62%,'55.10,'-7.30%,家电行业
'58,002352.顺丰控股,'42.80,'-3.97%,7.25%,'170.59,'+0.25%,'+2.42%,'+1.94%,'+1.64%,'22.59,4.32%,'2054.15,'+7.20%,物流行业
'59,600499.科达制造,'11.61,'-1.78%,7.25%,'13.64,'+1.26%,'+5.82%,'+5.74%,'+5.18%,'18.24,1.72%,'222.66,'+51.75%,专用设备
'60,600690.海尔智家,'25.95,'-1.18%,7.19%,'111.45,'-2.10%,'-3.35%,'-3.54%,'-4.14%,'12.59,3.72%,'1623.04,'-5.56%,家电行业
'61,002594.比亚迪,'109.70,'-3.82%,7.07%,'424.85,'+0.15%,'+2.43%,'+2.50%,'+3.16%,'26.14,1.21%,'5960.88,'+17.82%,汽车整车
'62,600563.法拉电子,'120.00,'-2.27%,7.06%,'17.32,'-1.06%,'+2.33%,'-3.57%,'+2.08%,'24.12,1.67%,'270.00,'+2.84%,电子元件
'63,600570.恒生电子,'38.66,'+3.12%,7.03%,'44.58,'-0.79%,'+0.85%,'-9.15%,'-5.48%,'82.07,0.26%,'731.36,'+38.63%,软件开发
'64,002891.中宠股份,'59.51,'+0.12%,7.01%,'13.20,'+2.42%,'+3.97%,'+3.18%,'+3.52%,'40.46,0.99%,'181.13,'+67.68%,农牧饲渔
'65,600268.国电南自,'10.14,'-2.31%,6.99%,'5.56,'+0.31%,'+6.08%,'+6.79%,'+6.99%,'24.04,1.38%,'103.01,'+53.68%,电网设备
'66,600352.浙江龙盛,'10.46,'-0.95%,6.92%,'22.87,'+0.64%,'+2.96%,'+4.38%,'+5.75%,'19.16,4.30%,'340.30,'+4.17%,化学制品
'67,688599.天合光能,'16.57,0.00%,6.91%,'21.87,'-0.59%,'+4.72%,'+2.69%,'+5.09%,'-,'-,'361.12,'-14.15%,光伏设备
'68,600183.生益科技,'54.87,'+3.04%,6.86%,'50.25,'-0.68%,'+0.62%,'+1.80%,'+3.41%,'62.15,1.09%,'1332.94,'+133.31%,电子元件
'69,000651.格力电器,'41.41,'-2.79%,6.82%,'171.56,'+0.27%,'-3.63%,'-3.58%,'-2.83%,'7.69,7.24%,'2319.54,'-2.81%,家电行业
'70,603338.浙江鼎力,'53.91,'-0.83%,6.77%,'16.26,'+2.55%,'-1.82%,'-3.35%,'-1.25%,'14.95,1.85%,'272.97,'-14.53%,工程机械
'71,002459.晶澳科技,'12.72,'+0.47%,6.69%,'22.09,'-0.46%,'+3.63%,'+2.22%,'+4.42%,'-,'-,'420.99,'-7.49%,光伏设备
'72,600351.亚宝药业,'7.14,'+2.15%,6.63%,'2.82,'+0.70%,'+3.11%,'+6.17%,'+6.53%,'23.50,4.20%,'49.98,'+23.07%,中药
'73,600036.招商银行,'41.98,'-2.12%,6.62%,'627.51,'-0.16%,'+0.59%,'-0.35%,'-1.39%,'7.14,4.76%,'8660.03,'+11.44%,银行
'74,688188.柏楚电子,'156.73,'+2.37%,6.56%,'24.92,'-0.34%,'-1.22%,'+3.11%,'+2.90%,'47.92,1.31%,'452.00,'+14.19%,软件开发
'75,688696.极米科技,'126.26,'-1.64%,6.55%,'5.24,'+0.88%,'+6.26%,'+5.81%,'+6.30%,'48.14,0.24%,'88.38,'+28.81%,家电行业
'76,688200.华峰测控,'189.99,'+9.81%,6.53%,'12.75,'+2.99%,'+0.17%,'+2.07%,'+2.58%,'66.39,0.52%,'257.50,'+82.70%,半导体
'77,688208.道通科技,'42.02,'-1.18%,6.46%,'13.24,'+0.70%,'+5.06%,'+5.46%,'+4.97%,'38.78,1.44%,'281.61,'+60.95%,计算机设备
'78,600219.南山铝业,'3.99,'-1.72%,6.45%,'28.70,'+0.09%,'-2.41%,'+1.40%,'+1.41%,'8.64,4.28%,'463.39,'+4.59%,有色金属
'79,600415.小商品城,'22.49,'-0.04%,6.41%,'72.70,'+3.55%,'+4.43%,'+5.13%,'+5.13%,'38.15,1.47%,'1233.27,'+70.71%,商业百货
'80,002463.沪电股份,'69.80,'+1.47%,6.41%,'52.52,'+2.45%,'+1.90%,'-1.66%,'-1.38%,'43.62,0.72%,'1342.94,'+78.89%,电子元件
'81,601555.东吴证券,'9.90,'-1.98%,6.39%,'27.77,'+1.09%,'+3.70%,'+3.96%,'+4.80%,'15.72,3.15%,'491.90,'+30.63%,证券
'82,300206.理邦仪器,'13.15,'+3.54%,6.38%,'4.44,'-1.35%,'+3.12%,'-2.68%,'+1.78%,'43.75,1.57%,'76.23,'+19.76%,医疗器械
