排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'41,SH600901.江苏金租,'5.60,'-2.10%,'7.55,1.31%,'10.75,'10.56,'1.34,4.82%,14.49%,'324.37,'+12.10%,多元金融
'42,SH600011.华能国际,'7.48,'+1.36%,'7.54,2.09%,'9.67,'9.83,'0.83,3.61%,8.61%,'822.63,'+14.65%,电力行业
'43,SZ002083.孚日股份,'4.89,'-0.41%,'7.54,'-,'12.53,'12.44,'1.02,5.60%,8.76%,'46.29,'+3.08%,纺织服装
'44,SZ002061.浙江交科,'4.09,'-0.24%,'7.53,0.96%,'10.37,'8.13,'0.70,3.06%,8.97%,'109.23,'+3.44%,工程建设
'45,SH600741.华域汽车,'19.56,'+2.14%,'7.45,4.42%,'10.58,'9.19,'0.98,4.09%,11.12%,'616.67,'+16.01%,汽车零部件
'46,SH600729.重庆百货,'29.34,'-0.10%,'7.45,2.83%,'10.39,'9.39,'1.69,4.64%,18.96%,'129.24,'+5.22%,商业百货
'47,SZ000544.中原环保,'8.84,'+1.96%,'7.42,0.53%,'8.65,'8.35,'0.84,2.94%,10.43%,'86.16,'+4.51%,公用事业
'48,SH601117.中国化学,'7.75,'-1.40%,'7.42,4.82%,'8.66,'7.95,'0.72,2.40%,9.44%,'473.28,'-4.31%,工程建设
'49,SH601339.百隆东方,'5.29,'-1.67%,'7.40,1.19%,'16.78,'13.98,'0.84,7.75%,6.06%,'79.33,'+5.29%,纺织服装
'50,SH603558.XD健盛集,'9.48,'-2.07%,'7.40,'-,'11.33,'11.13,'1.38,5.80%,12.42%,'33.48,'-6.54%,纺织服装
'51,SH601598.中国外运,'5.66,'-0.18%,'7.36,0.87%,'14.90,'10.50,'1.02,5.12%,9.95%,'297.48,'+8.68%,物流行业
'52,SH600273.嘉化能源,'8.54,'-1.73%,'7.36,1.72%,'12.12,'10.94,'1.13,4.80%,10.45%,'115.88,'+9.70%,化学制品
'53,SH600894.广日股份,'10.29,'-0.29%,'7.34,0.69%,'14.30,'10.95,'1.03,13.35%,9.12%,'87.64,'-25.44%,专用设备
'54,SZ000928.中钢国际,'6.48,'-1.67%,'7.30,1.47%,'11.69,'11.07,'1.12,4.61%,10.32%,'92.96,'+6.52%,工程咨询服务
'55,SH600018.上港集团,'5.59,'-0.89%,'7.29,0.71%,'9.69,'8.93,'0.95,3.49%,11.03%,'1301.43,'-6.29%,航运港口
'56,SH601669.中国电建,'5.85,'-1.18%,'7.28,2.96%,'10.41,'9.08,'0.60,2.17%,6.62%,'1007.73,'+9.90%,工程建设
'57,SZ002788.鹭燕医药,'8.50,'+0.35%,'7.28,'-,'10.53,'10.66,'1.04,4.12%,9.83%,'33.02,'+7.87%,医药商业
'58,SZ000672.上峰水泥,'8.78,'-2.01%,'7.25,1.05%,'15.62,'12.10,'0.99,7.18%,8.19%,'85.11,'+23.46%,水泥建材
'59,SH601000.唐山港,'3.93,'-1.26%,'7.20,1.01%,'13.56,'13.23,'1.14,5.09%,8.72%,'232.89,'-12.45%,航运港口
'60,SZ000921.海信家电,'25.17,'-1.02%,'7.20,3.05%,'12.81,'10.23,'2.18,4.89%,22.59%,'232.89,'-8.48%,家电行业
'61,SZ001872.招商港口,'20.38,'-0.68%,'7.18,0.46%,'11.58,'11.09,'0.82,3.63%,7.51%,'473.14,'+3.21%,航运港口
'62,SH603408.建霖家居,'11.79,'-1.01%,'7.18,1.39%,'12.30,'11.44,'1.58,6.19%,14.28%,'52.77,'-1.61%,装修装饰
'63,SH600987.航民股份,'7.31,'+1.11%,'7.13,3.86%,'10.71,'10.14,'1.17,4.10%,11.74%,'74.62,'+9.85%,纺织服装
'64,SH600483.福能股份,'9.60,'-0.72%,'7.13,0.68%,'9.18,'9.07,'1.03,3.23%,12.16%,'266.89,'-0.60%,电力行业
'65,SH600863.内蒙华电,'4.03,'-0.49%,'7.09,0.61%,'12.54,'12.44,'1.45,5.46%,11.38%,'263.03,'-2.01%,电力行业
'66,SH600028.中国石化,'5.70,'-0.18%,'7.08,0.91%,'20.51,'19.15,'0.84,5.02%,4.36%,'5542.24,'-12.62%,石油行业
'67,SZ000338.潍柴动力,'14.81,'-2.18%,'7.08,8.92%,'12.66,'11.58,'1.44,4.86%,12.84%,'1003.03,'+10.48%,汽车零部件
'68,SH603801.志邦家居,'10.03,'-0.20%,'7.06,0.43%,'14.47,'11.63,'1.29,6.01%,11.48%,'43.57,'-16.88%,装修建材
'69,SH601006.大秦铁路,'6.17,'-2.22%,'7.01,2.68%,'17.05,'17.05,'0.76,4.17%,4.67%,'1243.08,'-7.05%,物流行业
'70,SH603355.莱克电气,'22.58,'-2.17%,'6.99,1.17%,'13.19,'12.27,'2.42,6.64%,20.44%,'129.49,'-0.31%,家电行业
'71,SZ002572.索菲亚,'13.65,'-0.94%,'6.98,4.11%,'13.27,'11.68,'1.92,7.33%,16.73%,'131.46,'-14.94%,装修建材
'72,SH601618.中国中冶,'3.43,'+0.59%,'6.98,2.40%,'16.88,'12.48,'0.47,1.63%,3.78%,'612.34,'+5.87%,工程建设
'73,SH600027.华电国际,'5.37,'+1.32%,'6.98,2.03%,'10.76,'9.77,'0.96,3.53%,9.35%,'531.34,'-1.98%,电力行业
'74,SH603279.景津装备,'15.69,'+0.06%,'6.98,3.81%,'12.64,'12.61,'1.96,6.76%,15.83%,'90.45,'-10.04%,通用设备
'75,SZ000521.长虹美菱,'7.56,'-1.56%,'6.97,1.73%,'12.00,'11.10,'1.26,4.37%,11.59%,'66.66,'-3.21%,家电行业
'76,SH600428.中远海特,'6.85,'+2.54%,'6.94,1.52%,'11.85,'11.56,'1.16,4.07%,11.64%,'187.96,'-2.25%,航运港口
'77,SZ002508.老板电器,'20.20,'-0.74%,'6.93,9.62%,'13.26,'12.48,'1.67,4.95%,13.75%,'190.88,'-3.27%,家电行业
'78,SZ000690.宝新能源,'4.62,'-0.86%,'6.91,0.99%,'11.83,'11.19,'0.81,3.25%,7.40%,'100.53,'+6.77%,电力行业
'79,SH603071.物产环能,'13.65,'+2.79%,'6.91,0.64%,'12.05,'11.18,'1.39,4.40%,12.83%,'76.16,'+10.83%,贸易行业
'80,SZ002035.华帝股份,'6.50,'+0.62%,'6.88,7.30%,'12.70,'12.05,'1.45,4.62%,12.36%,'55.10,'-7.30%,家电行业
'81,SH603565.中谷物流,'11.17,'+6.69%,'6.87,0.92%,'15.65,'10.91,'2.24,7.07%,21.06%,'234.58,'+23.33%,物流行业
'82,SZ000885.城发环境,'14.99,'-0.60%,'6.87,0.85%,'8.23,'7.76,'1.09,2.37%,14.88%,'96.25,'+17.42%,环保行业
'83,SH600039.四川路桥,'8.91,'+2.89%,'6.86,1.32%,'13.12,'11.40,'1.59,4.65%,14.65%,'774.78,'+27.71%,工程建设
'84,SZ000333.美的集团,'74.03,'+0.43%,'6.86,14.64%,'13.60,'12.99,'2.63,4.73%,22.97%,'5200.41,'+3.17%,家电行业
'85,SH600566.济川药业,'25.74,'-0.31%,'6.86,1.43%,'13.89,'12.36,'1.75,8.13%,14.20%,'236.98,'-4.62%,中药
