排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'77,SZ000726.鲁泰Ａ,'6.98,'+1.16%,'7.89,'-,'12.57,'11.50,'0.59,3.62%,5.20%,'40.79,'+8.82%,纺织服装
'78,SH600546.山煤国际,'10.26,'+4.69%,'7.87,1.35%,'9.64,'10.48,'1.21,6.73%,11.70%,'203.40,'-6.70%,煤炭行业
'79,SH600938.中国海油,'26.01,'-0.08%,'7.87,1.99%,'9.44,'9.17,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'80,SZ000685.中山公用,'9.71,'+0.41%,'7.86,1.09%,'10.70,'10.84,'0.83,4.47%,7.77%,'142.64,'+10.51%,公用事业
'81,SH600269.赣粤高速,'5.15,'-0.19%,'7.82,1.98%,'10.85,'9.14,'0.63,3.30%,7.08%,'120.27,'-5.17%,铁路公路
'82,SH600020.中原高速,'4.59,0.00%,'7.81,1.27%,'11.30,'10.83,'0.66,3.70%,6.24%,'103.15,'+12.58%,铁路公路
'83,SH600642.申能股份,'8.15,'+0.12%,'7.79,1.25%,'11.53,'10.51,'1.00,5.52%,10.02%,'398.87,'-9.65%,电力行业
'84,SH600461.洪城环境,'9.34,'-1.06%,'7.77,0.63%,'10.29,'10.01,'1.23,4.97%,12.95%,'119.94,'-1.44%,公用事业
'85,SH600177.雅戈尔,'7.43,'-0.13%,'7.77,1.76%,'13.29,'12.99,'0.83,6.73%,6.47%,'343.52,'-13.17%,纺织服装
'86,SH601225.陕西煤业,'21.43,'+5.62%,'7.74,2.48%,'10.20,'9.23,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'87,SH600188.兖矿能源,'13.31,'+2.54%,'7.63,1.84%,'10.31,'9.99,'1.56,5.79%,16.24%,'793.54,'-2.00%,煤炭行业
'88,SZ002478.常宝股份,'5.57,'+0.36%,'7.61,0.60%,'10.47,'8.63,'0.87,3.96%,10.39%,'50.00,'+9.76%,钢铁行业
'89,SH601101.昊华能源,'7.80,'+4.00%,'7.60,2.18%,'13.22,'13.04,'0.91,5.87%,7.15%,'112.32,'+0.84%,煤炭行业
'90,SZ002532.天山铝业,'9.20,'+0.33%,'7.59,2.42%,'9.19,'8.90,'1.53,4.36%,18.20%,'426.58,'+19.79%,有色金属
'91,SH601318.中国平安,'59.06,'-0.14%,'7.58,5.94%,'9.69,'9.20,'1.14,4.32%,12.68%,'6356.43,'+15.43%,保险
'92,SH600894.广日股份,'10.29,'-0.58%,'7.58,0.69%,'12.56,'10.87,'1.00,13.35%,8.94%,'87.64,'-25.44%,专用设备
'93,SH688516.奥特维,'35.60,'+1.83%,'7.58,1.15%,'10.98,'10.39,'2.66,6.90%,26.23%,'112.37,'-13.77%,光伏设备
'94,SH603889.新澳股份,'6.13,'+0.99%,'7.57,0.34%,'10.74,'10.33,'1.27,4.89%,12.77%,'44.78,'-8.05%,纺织服装
'95,SZ002083.孚日股份,'5.01,'+0.81%,'7.56,'-,'12.22,'12.22,'1.04,5.51%,9.10%,'47.05,'+5.61%,纺织服装
'96,SZ002061.浙江交科,'4.06,'-0.25%,'7.55,0.96%,'10.32,'8.08,'0.70,3.07%,8.98%,'108.69,'+2.68%,工程建设
'97,SH601618.中国中冶,'3.03,'+0.33%,'7.53,2.40%,'15.54,'11.07,'0.44,1.85%,3.84%,'540.93,'-6.48%,工程建设
'98,SH601598.中国外运,'5.53,'+0.55%,'7.52,0.87%,'13.39,'10.70,'1.00,5.24%,9.55%,'290.65,'+6.18%,物流行业
'99,SH600729.重庆百货,'28.86,'-0.21%,'7.51,2.83%,'10.36,'9.38,'1.60,4.72%,17.90%,'127.12,'+3.50%,商业百货
'100,SZ000581.威孚高科,'20.57,'+5.81%,'7.48,2.59%,'13.93,'12.83,'0.93,5.98%,7.30%,'154.43,'+14.01%,汽车零部件
'101,SH600873.梅花生物,'11.12,'-0.71%,'7.47,2.82%,'10.70,'10.55,'2.05,5.41%,19.84%,'317.23,'+15.26%,化学制品
'102,SZ000900.现代投资,'4.31,0.00%,'7.47,1.43%,'21.06,'19.99,'0.52,3.48%,2.60%,'65.42,'+1.38%,铁路公路
'103,SH600011.华能国际,'7.58,'+0.40%,'7.45,2.09%,'9.80,'9.96,'0.84,3.56%,8.61%,'833.63,'+16.18%,电力行业
'104,SH600028.中国石化,'5.71,0.00%,'7.45,0.91%,'16.07,'15.30,'0.83,5.01%,5.42%,'5551.96,'-12.46%,石油行业
'105,SZ000928.中钢国际,'6.34,'+0.16%,'7.45,1.47%,'11.85,'10.66,'1.06,4.72%,10.20%,'90.81,'+4.22%,工程咨询服务
'106,SH600039.四川路桥,'8.34,'-0.95%,'7.44,1.32%,'11.39,'10.05,'1.46,4.96%,14.95%,'726.42,'+19.54%,工程建设
'107,SZ002128.电投能源,'20.50,'+1.08%,'7.44,1.28%,'9.65,'9.17,'1.25,4.19%,14.30%,'454.59,'+9.11%,煤炭行业
'108,SH603558.健盛集团,'9.60,'+0.84%,'7.43,'-,'11.21,'11.20,'1.35,5.30%,12.17%,'33.91,'-7.70%,纺织服装
'109,SH600027.华电国际,'5.31,0.00%,'7.43,2.03%,'10.29,'10.04,'0.87,3.84%,8.24%,'487.95,'-3.08%,电力行业
'110,SZ000719.中原传媒,'13.16,'-0.08%,'7.43,4.79%,'10.18,'12.17,'1.16,4.56%,9.81%,'134.76,'+21.42%,文化传媒
'111,SH600866.星湖科技,'8.02,'-0.74%,'7.40,2.18%,'9.87,'11.43,'1.59,4.74%,14.36%,'133.25,'+30.73%,化学制品
'112,SH601939.建设银行,'9.58,'-0.62%,'7.38,3.68%,'7.56,'7.55,'0.74,1.91%,10.02%,'2029.34,'+14.02%,银行
'113,SZ000544.中原环保,'8.60,'+0.12%,'7.37,0.53%,'9.39,'8.60,'0.82,3.03%,10.47%,'83.73,'+1.67%,公用事业
'114,SH603408.建霖家居,'11.75,'-0.51%,'7.35,1.39%,'11.48,'10.90,'1.54,6.21%,14.63%,'52.59,'-1.94%,装修装饰
'115,SZ002788.鹭燕医药,'8.60,'-1.26%,'7.33,'-,'10.09,'10.16,'1.05,4.02%,10.66%,'33.84,'+9.14%,医药商业
'116,SZ000521.长虹美菱,'7.33,'+0.69%,'7.32,1.73%,'11.05,'10.34,'1.20,4.53%,11.84%,'64.19,'-6.15%,家电行业
'117,SH603355.莱克电气,'23.55,'+0.04%,'7.29,1.17%,'12.18,'11.38,'2.61,6.37%,24.19%,'135.05,'+3.97%,家电行业
'118,SH600888.新疆众和,'7.15,'+0.42%,'7.29,0.89%,'11.27,'9.23,'0.89,3.78%,10.13%,'100.37,'+4.77%,有色金属
'119,SH603801.志邦家居,'10.04,'+0.20%,'7.27,0.43%,'12.97,'11.47,'1.23,6.01%,11.05%,'43.61,'-16.80%,装修建材
'120,SH600256.广汇能源,'5.47,'+0.37%,'7.27,1.43%,'12.15,'12.28,'1.26,11.56%,9.91%,'349.64,'-9.62%,石油行业
'121,SH600348.华阳股份,'7.43,'+4.94%,'7.26,0.82%,'13.75,'13.71,'0.79,4.16%,6.01%,'268.04,'+9.60%,煤炭行业
'122,SH600997.开滦股份,'6.33,'+2.26%,'7.25,0.51%,'16.45,'14.92,'0.70,4.11%,4.68%,'100.51,'-2.30%,煤炭行业
'123,SH600018.上港集团,'5.70,0.00%,'7.24,0.71%,'9.63,'8.75,'0.97,3.42%,11.47%,'1327.04,'-4.45%,航运港口
'124,SH603279.景津装备,'15.80,'-0.44%,'7.23,3.81%,'11.66,'11.58,'1.97,6.71%,17.88%,'91.08,'-9.41%,通用设备
'125,SZ000933.神火股份,'18.31,'+3.04%,'7.22,1.74%,'10.47,'10.18,'1.78,4.50%,18.07%,'399.71,'+11.54%,有色金属
'126,SZ000672.上峰水泥,'8.86,'-0.23%,'7.22,1.05%,'16.74,'12.43,'0.95,7.09%,7.75%,'86.08,'+24.59%,水泥建材
'127,SH600483.福能股份,'9.59,'+0.21%,'7.22,0.68%,'8.96,'8.83,'1.02,3.23%,12.43%,'266.62,'-0.70%,电力行业
'128,SH600757.长江传媒,'9.72,'+1.04%,'7.21,2.09%,'10.36,'10.88,'1.19,4.22%,11.26%,'117.97,'+5.96%,文化传媒
'129,SZ000683.博源化工,'5.73,0.00%,'7.21,0.53%,'11.59,'13.48,'1.43,5.24%,10.88%,'213.08,'+8.83%,化学原料
'130,SZ002572.索菲亚,'13.82,'-0.43%,'7.18,4.11%,'12.29,'10.98,'1.79,7.20%,16.74%,'133.67,'-13.88%,装修建材
'131,SH601918.新集能源,'6.63,'+1.22%,'7.18,0.47%,'7.33,'7.38,'1.06,2.26%,15.36%,'171.75,'-7.66%,煤炭行业
'132,SZ001872.招商港口,'20.36,'+0.30%,'7.18,0.46%,'11.83,'11.11,'0.81,3.65%,7.46%,'471.29,'+3.11%,航运港口
'133,SH601222.林洋能源,'5.82,0.00%,'7.17,0.97%,'17.48,'18.21,'0.78,4.60%,4.25%,'119.90,'-14.47%,仪器仪表
'134,SH600987.航民股份,'7.25,'+0.42%,'7.17,3.86%,'10.76,'10.17,'1.14,4.14%,11.36%,'74.01,'+8.95%,纺织服装
'135,SH601117.中国化学,'8.02,'+0.25%,'7.17,4.82%,'8.48,'8.28,'0.77,2.22%,9.65%,'489.92,'-3.26%,工程建设
'136,SH600863.内蒙华电,'4.06,'+0.25%,'7.15,0.61%,'12.39,'12.15,'1.41,5.42%,11.46%,'264.99,'-1.28%,电力行业
'137,SH601000.唐山港,'4.06,'+0.25%,'7.14,1.01%,'13.69,'13.23,'1.14,4.93%,8.73%,'240.59,'-9.55%,航运港口
'138,SH600901.江苏金租,'5.93,'-1.33%,'7.13,1.31%,'11.65,'11.44,'1.38,4.55%,13.71%,'343.49,'+18.70%,多元金融
'139,SZ000885.城发环境,'14.12,'-0.28%,'7.12,0.85%,'7.92,'7.63,'1.04,2.51%,14.46%,'90.92,'+10.61%,环保行业
'140,SH600273.嘉化能源,'8.89,'-2.95%,'7.11,1.72%,'12.62,'11.39,'1.17,4.61%,10.45%,'120.63,'+14.20%,化学制品
'141,SZ000897.津滨发展,'2.34,'+1.30%,'7.10,'-,'10.84,'10.84,'1.16,4.11%,11.30%,'37.36,'+2.74%,房地产开发
'142,SH600098.广州发展,'6.49,'+0.31%,'7.09,0.67%,'13.99,'13.10,'0.85,4.16%,6.59%,'227.56,'+5.41%,电力行业
'143,SH600566.济川药业,'26.78,'-0.59%,'7.09,1.43%,'12.78,'11.61,'1.63,7.80%,14.50%,'246.83,'-0.77%,中药
'144,SH605377.华旺科技,'9.18,'+0.44%,'7.05,0.28%,'13.93,'12.69,'1.26,7.90%,9.82%,'51.10,'-13.96%,造纸印刷
'145,SZ002508.老板电器,'19.45,'+0.05%,'7.04,9.62%,'12.97,'12.09,'1.59,5.14%,13.53%,'183.70,'-6.86%,家电行业
'146,SH600210.紫江企业,'6.35,0.00%,'7.02,2.54%,'12.12,'11.73,'1.52,4.72%,13.40%,'96.31,'+0.49%,包装材料
'147,SZ002088.鲁阳节能,'11.09,'-0.63%,'7.01,0.48%,'12.37,'12.51,'1.94,7.17%,15.66%,'57.26,'-7.14%,装修建材
'148,SZ002035.华帝股份,'6.50,'+1.25%,'7.01,7.30%,'12.32,'11.66,'1.40,4.67%,12.36%,'54.42,'-7.30%,家电行业
'149,SZ000338.潍柴动力,'15.24,'-0.13%,'6.99,8.92%,'12.47,'11.55,'1.49,4.72%,13.36%,'1033.50,'+13.69%,汽车零部件
'150,SH601872.招商轮船,'6.25,'+2.12%,'6.95,2.93%,'11.19,'10.98,'1.24,4.11%,11.64%,'504.66,'-0.16%,航运港口
'151,SH600284.浦东建设,'6.81,0.00%,'6.94,1.52%,'14.55,'11.67,'0.84,3.92%,7.29%,'66.07,'+10.19%,工程建设
'152,SH601518.吉林高速,'2.73,'-0.73%,'6.94,0.03%,'10.13,'9.67,'0.94,3.15%,10.03%,'51.61,'+1.35%,铁路公路
'153,SH600066.宇通客车,'25.65,'-1.65%,'6.94,10.72%,'16.04,'13.48,'4.01,5.85%,29.34%,'567.88,'+1.02%,汽车整车
'154,SH601006.大秦铁路,'6.52,'-0.31%,'6.93,2.68%,'15.35,'15.34,'0.79,3.94%,5.40%,'1313.60,'-1.78%,物流行业
'155,SH601669.中国电建,'6.33,'-1.40%,'6.92,2.96%,'10.22,'9.40,'0.66,2.01%,7.03%,'1090.42,'+18.92%,工程建设
'156,SZ002327.富安娜,'7.28,'+0.14%,'6.92,1.04%,'13.60,'12.80,'1.54,8.53%,11.99%,'60.94,'-11.38%,纺织服装
'157,SH601339.百隆东方,'5.47,'-0.73%,'6.90,1.19%,'21.92,'16.30,'0.84,4.75%,5.17%,'82.03,'+5.94%,纺织服装
'158,SZ000333.美的集团,'71.70,'+0.45%,'6.89,14.64%,'13.96,'13.06,'2.38,4.91%,20.86%,'5013.70,'-0.07%,家电行业
'159,SH601168.西部矿业,'17.47,'+0.58%,'6.89,4.92%,'13.41,'13.09,'2.51,5.72%,19.66%,'416.31,'+15.73%,有色金属
'160,SH601601.中国太保,'37.40,'-0.40%,'6.88,3.19%,'8.41,'8.40,'1.36,2.89%,16.43%,'2560.05,'+12.97%,保险
'161,SH603071.物产环能,'13.53,'+0.52%,'6.87,0.64%,'12.50,'11.55,'1.33,4.43%,11.81%,'75.49,'+9.86%,贸易行业
'162,SZ002267.陕天然气,'8.00,'+0.88%,'6.87,0.87%,'15.79,'12.71,'1.27,5.67%,9.92%,'88.19,'-1.04%,燃气
'163,SZ301039.中集车辆,'8.68,'+0.12%,'6.86,0.44%,'16.46,'16.26,'1.11,6.46%,6.74%,'126.03,'-0.81%,汽车整车
'164,SZ002884.凌霄泵业,'16.52,'+0.36%,'6.86,0.94%,'13.56,'13.02,'2.43,6.08%,19.02%,'58.87,'-3.90%,通用设备
'165,SZ002563.森马服饰,'5.55,'+2.02%,'6.86,6.37%,'15.60,'14.58,'1.22,6.43%,8.41%,'146.56,'-16.04%,纺织服装
'166,SH603365.水星家纺,'17.82,'-0.11%,'6.85,'-,'14.39,'12.89,'1.52,5.05%,11.97%,'46.80,'+15.30%,纺织服装
'167,SZ002060.广东建工,'3.66,'-0.27%,'6.85,0.73%,'12.02,'12.06,'0.99,3.81%,8.45%,'137.79,'+4.13%,工程建设
'168,SZ002233.塔牌集团,'8.25,'-0.24%,'6.85,1.17%,'31.35,'17.79,'0.81,5.44%,4.56%,'98.60,'+13.74%,水泥建材
'169,SH600362.江西铜业,'23.52,'+2.57%,'6.84,3.31%,'9.09,'11.31,'1.02,2.98%,9.48%,'488.10,'+17.30%,有色金属
'170,SH600282.南钢股份,'4.58,'-0.43%,'6.81,1.23%,'12.53,'12.36,'1.06,4.04%,8.58%,'282.36,'-0.41%,钢铁行业
'171,SZ000404.长虹华意,'7.35,'-0.54%,'6.80,0.14%,'12.22,'10.70,'1.23,4.06%,11.99%,'51.43,'+3.59%,家电行业
'172,SH601163.三角轮胎,'14.08,'+0.50%,'6.79,1.54%,'15.38,'11.56,'0.83,3.76%,7.28%,'112.64,'-3.07%,橡胶制品
'173,SH600585.海螺水泥,'23.37,'-0.04%,'6.76,4.83%,'16.17,'15.47,'0.65,3.04%,4.25%,'934.73,'+1.51%,水泥建材
'174,SZ002818.富森美,'12.03,'-0.17%,'6.76,0.94%,'13.75,'13.86,'1.65,8.96%,11.25%,'90.19,'-15.42%,商业百货
'175,SZ002538.司尔特,'5.44,'-0.73%,'6.75,0.92%,'18.20,'17.01,'0.87,4.38%,5.15%,'46.77,'-0.93%,化肥行业
'176,SZ300628.亿联网络,'34.05,'+0.09%,'6.75,3.14%,'17.61,'16.31,'4.53,5.57%,29.02%,'430.85,'-8.46%,通信设备
'177,SH600998.九州通,'5.33,'-1.48%,'6.75,1.79%,'14.94,'9.14,'0.95,3.75%,11.14%,'268.76,'+8.12%,医药商业
