排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'205,SH601799.星宇股份,'120.84,'-0.20%,'1.51,'22.70,15.37%,8.45%,'3.25,1.24%,15.18%,'345,'-8.62%,汽车零部件
'206,SZ003000.劲仔食品,'12.56,'+0.24%,'1.51,'21.78,16.60%,0.53%,'4.01,3.18%,19.07%,'57,'-6.24%,食品饮料
'207,SH600558.大西洋,'5.41,'+0.37%,'1.52,'26.54,19.21%,'-,'1.97,1.85%,7.66%,'49,'+35.36%,通用设备
'208,SH601199.江南水务,'5.96,0.00%,'1.52,'14.06,9.32%,0.25%,'1.25,2.18%,9.61%,'56,'+10.06%,公用事业
'209,SH603379.三美股份,'62.18,'+1.09%,'1.52,'27.32,18.32%,0.80%,'5.28,0.72%,20.80%,'380,'+63.53%,化学制品
'210,SH603788.宁波高发,'16.92,'-0.47%,'1.52,'18.72,13.59%,'-,'1.87,4.14%,10.11%,'38,'+27.66%,汽车零部件
'211,SH605116.奥锐特,'23.24,'+0.17%,'1.52,'23.54,15.87%,0.23%,'3.89,1.25%,17.79%,'94,'+11.60%,化学制药
'212,SZ002991.甘源食品,'58.55,'+0.65%,'1.52,'19.20,13.76%,0.05%,'3.36,4.91%,16.63%,'55,'-35.68%,食品饮料
'213,SZ000551.创元科技,'11.67,0.00%,'1.53,'21.20,15.41%,'-,'2.01,0.71%,10.16%,'57,'+18.01%,环保行业
'214,SH688533.上声电子,'30.93,'+5.13%,'1.54,'24.16,18.25%,0.11%,'3.10,1.45%,13.91%,'50,'-9.54%,汽车零部件
'215,SZ002850.科达利,'138.16,'-0.53%,'1.54,'23.72,15.97%,2.43%,'3.09,1.45%,13.85%,'378,'+43.97%,电池
'216,SZ300910.瑞丰新材,'61.01,'-1.05%,'1.54,'23.33,16.20%,1.34%,'5.22,1.97%,24.15%,'181,'+30.83%,化学制品
'217,SZ000728.国元证券,'9.14,'-1.08%,'1.55,'15.06,9.70%,5.38%,'1.05,1.75%,7.20%,'399,'+11.56%,证券
'218,SZ001206.依依股份,'25.98,'+2.81%,'1.55,'21.62,15.56%,'-,'2.58,3.35%,12.15%,'48,'+59.90%,美容护理
'219,SH600809.山西汾酒,'200.60,'-0.70%,'1.56,'19.83,12.73%,4.02%,'6.82,3.02%,36.95%,'2447,'+12.74%,酿酒行业
'220,SH601928.凤凰传媒,'11.29,'+0.09%,'1.57,'14.66,7.79%,1.77%,'1.44,4.43%,10.03%,'287,'+2.15%,文化传媒
'221,SH603995.甬金股份,'18.36,'+1.21%,'1.57,'9.86,6.42%,3.41%,'1.15,2.72%,12.15%,'67,'+3.46%,钢铁行业
'222,SZ000407.胜利股份,'3.70,'+1.93%,'1.57,'26.34,18.35%,'-,'1.08,1.14%,4.16%,'33,'+9.54%,燃气
'223,SZ002352.顺丰控股,'42.80,'-3.97%,'1.57,'19.43,14.36%,7.25%,'2.26,4.32%,12.07%,'2054,'+7.20%,物流行业
'224,SZ002835.同为股份,'18.90,'+1.12%,'1.57,'21.31,14.53%,'-,'3.46,1.69%,17.14%,'41,'+0.13%,计算机设备
'225,SZ300750.宁德时代,'304.00,'-0.71%,'1.57,'23.75,16.97%,13.78%,'4.70,2.23%,23.77%,'13386,'+17.55%,电池
'226,SH600559.老白干酒,'18.28,'+0.49%,'1.58,'20.81,13.97%,0.50%,'3.22,3.01%,16.09%,'167,'-9.98%,酿酒行业
'227,SH688516.奥特维,'42.18,'+3.89%,'1.58,'16.38,11.17%,1.15%,'3.43,5.83%,20.48%,'133,'+2.16%,光伏设备
