,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'29,600997.开滦股份,'6.69,'+2.45%,3.89%,5.39%,'16.73,'0.74,4.89%,'106.22,'+3.25%,煤炭行业
'30,600261.阳光照明,'3.44,'-0.86%,4.07%,5.38%,'57.55,'1.34,6.63%,'45.93,'+9.65%,家电行业
'31,000429.粤高速Ａ,'11.70,'-1.01%,4.47%,5.36%,'15.68,'2.33,17.50%,'203.82,'-17.32%,铁路公路
'32,002884.凌霄泵业,'17.11,'-2.78%,5.84%,5.33%,'13.98,'2.79,21.41%,'61.20,'-0.46%,通用设备
'33,600064.南京高科,'8.04,'-1.35%,3.73%,5.31%,'7.44,'0.74,11.24%,'139.12,'+7.44%,房地产开发
'34,600398.海澜之家,'6.92,'-0.72%,5.92%,5.31%,'16.04,'1.87,11.91%,'332.35,'-5.45%,纺织服装
'35,601928.凤凰传媒,'11.29,'+0.09%,4.43%,5.29%,'12.24,'1.44,10.03%,'287.32,'+2.15%,文化传媒
'36,600479.千金药业,'11.19,'+2.47%,3.22%,5.27%,'20.71,'1.92,10.02%,'46.83,'+8.26%,中药
'37,603551.奥普科技,'12.59,'+1.04%,6.82%,5.27%,'16.64,'3.74,22.46%,'49.12,'+23.87%,家电行业
'38,600585.海螺水泥,'24.31,'-0.16%,2.92%,5.19%,'15.38,'0.68,4.69%,'972.33,'+5.60%,水泥建材
'39,600188.兖矿能源,'13.07,'+0.93%,5.89%,5.18%,'11.90,'1.55,14.35%,'779.23,'-3.77%,煤炭行业
'40,601126.四方股份,'17.06,'-5.80%,4.22%,5.18%,'18.96,'3.17,17.67%,'142.16,'+5.01%,电网设备
'41,600373.中文传媒,'10.23,'-0.39%,3.99%,5.17%,'300.00,'0.80,2.37%,'139.90,'-15.38%,文化传媒
'42,600694.大商股份,'19.35,'+1.42%,4.70%,5.17%,'13.22,'0.77,6.07%,'67.29,'-15.74%,商业百货
'43,600461.洪城环境,'9.01,'-0.33%,5.15%,5.15%,'9.98,'1.23,13.33%,'115.70,'-4.92%,公用事业
'44,601006.大秦铁路,'6.17,'-2.22%,4.17%,5.09%,'17.05,'0.76,4.67%,'1243.08,'-7.05%,物流行业
'45,601225.陕西煤业,'20.33,'-0.25%,6.63%,5.03%,'11.46,'2.22,21.88%,'1970.99,'-7.10%,煤炭行业
'46,002416.爱施德,'12.43,'-0.32%,4.02%,5.01%,'42.78,'2.70,7.04%,'154.04,'-20.18%,商业百货
'47,600282.南钢股份,'4.79,'+0.21%,3.86%,4.99%,'12.76,'1.10,9.49%,'295.31,'+4.16%,钢铁行业
'48,600395.盘江股份,'5.25,'+2.34%,0.76%,4.96%,亏损,'1.08,0.58%,'112.70,'+3.95%,煤炭行业
'49,601997.贵阳银行,'6.14,'-0.81%,4.72%,4.96%,'4.57,'0.33,7.59%,'224.49,'+7.41%,银行
'50,600757.长江传媒,'9.03,'-2.38%,4.54%,4.95%,'9.51,'1.13,11.67%,'109.59,'-1.57%,文化传媒
'51,600894.广日股份,'10.29,'-0.29%,13.35%,4.95%,'14.30,'1.03,9.12%,'87.64,'-25.44%,专用设备
'52,601169.北京银行,'6.07,'+1.17%,5.27%,4.94%,'4.87,'0.33,7.30%,'1283.38,'+3.57%,银行
'53,002774.快意电梯,'11.07,'+1.19%,3.25%,4.94%,'48.83,'3.16,8.99%,'37.27,'+67.09%,专用设备
'54,601328.交通银行,'7.19,'-1.10%,3.88%,4.91%,'6.79,'0.49,7.86%,'3836.00,'-2.64%,银行
'55,601838.成都银行,'18.20,'-1.46%,4.90%,4.89%,'5.80,'0.87,16.36%,'771.40,'+11.47%,银行
'56,600012.皖通高速,'14.57,'-0.14%,4.15%,4.85%,'14.53,'2.09,14.91%,'169.83,'-14.35%,铁路公路
'57,600801.华新水泥,'16.28,'+3.43%,2.83%,4.85%,'15.57,'1.11,9.43%,'218.85,'+39.94%,水泥建材
'58,000672.上峰水泥,'8.78,'-2.01%,7.18%,4.84%,'15.62,'0.99,8.19%,'85.11,'+23.46%,水泥建材
'59,002677.浙江美大,'6.90,'+0.58%,4.35%,4.84%,'187.52,'3.03,1.62%,'44.58,'-2.08%,家电行业
'60,002048.宁波华翔,'27.51,'+0.84%,1.70%,4.83%,'21.37,'2.06,0.41%,'223.89,'+123.49%,汽车零部件
'61,603706.东方环宇,'21.36,'+1.23%,4.21%,4.82%,'20.93,'2.46,12.72%,'40.45,'+18.96%,燃气
'62,600782.新钢股份,'4.07,0.00%,0.25%,4.81%,亏损,'0.49,0.84%,'129.53,'+22.15%,钢铁行业
'63,000581.威孚高科,'22.48,'-0.13%,5.17%,4.81%,'17.26,'1.10,7.20%,'178.58,'+24.59%,汽车零部件
'64,601101.昊华能源,'7.21,'-0.96%,6.35%,4.79%,'17.16,'0.87,5.30%,'103.82,'-6.78%,煤炭行业
'65,600015.华夏银行,'7.42,'-1.98%,5.46%,4.77%,'4.45,'0.32,7.72%,'1180.89,'-2.54%,银行
'66,600548.深高速,'10.58,'-0.09%,2.31%,4.75%,'20.65,'1.00,5.48%,'189.42,'-19.65%,铁路公路
'67,601229.上海银行,'9.48,'-0.63%,5.27%,4.75%,亏损,'0.51,9.36%,'1347.01,'+5.79%,银行
'68,601668.中国建筑,'5.56,'-0.54%,4.88%,4.71%,'5.45,'0.48,10.15%,'2297.41,'-3.01%,工程建设
'69,601216.君正集团,'5.54,'-0.89%,2.71%,4.70%,'16.46,'1.67,11.92%,'467.47,'+8.30%,化学原料
'70,002807.江阴银行,'4.80,0.00%,4.17%,4.70%,'5.56,'0.62,11.92%,'118.15,'+15.58%,银行
'71,601168.西部矿业,'19.33,'+3.65%,5.17%,4.66%,'14.84,'2.77,19.66%,'460.63,'+28.05%,有色金属
'72,601717.中创智领,'21.71,'+6.16%,5.16%,4.66%,'10.20,'1.76,19.94%,'334.80,'+78.47%,汽车零部件
'73,002088.鲁阳节能,'11.73,'+1.12%,6.82%,4.66%,'16.98,'2.34,13.51%,'60.19,'-1.78%,装修建材
'74,000789.万年青,'6.04,'-0.49%,2.48%,4.65%,亏损,'0.72,0.77%,'48.16,'+23.49%,水泥建材
'75,600066.宇通客车,'28.30,'+2.46%,5.30%,4.63%,'17.47,'4.76,34.51%,'626.54,'+11.45%,汽车整车
'76,600039.四川路桥,'8.91,'+2.89%,4.65%,4.60%,'13.12,'1.59,14.65%,'774.78,'+27.71%,工程建设
'77,603889.新澳股份,'6.03,0.00%,4.98%,4.59%,'10.55,'1.26,12.87%,'44.05,'-9.55%,纺织服装
'78,300625.三雄极光,'12.13,'-1.54%,2.47%,4.59%,亏损,'1.72,'-1.00%,'33.88,'+6.70%,家电行业
'79,002293.罗莱生活,'8.56,'-0.23%,7.00%,4.57%,'17.12,'1.77,11.32%,'71.40,'+14.50%,纺织服装
'80,601077.渝农商行,'6.38,'+1.43%,4.77%,4.55%,'6.14,'0.53,8.97%,'564.23,'+10.62%,银行
'81,603788.宁波高发,'16.92,'-0.47%,4.14%,4.55%,'20.68,'1.87,10.11%,'37.74,'+27.66%,汽车零部件
'82,000030.富奥股份,'5.73,'-1.21%,2.62%,4.52%,'15.67,'1.23,8.51%,'95.81,'+14.54%,汽车零部件
'83,603365.水星家纺,'17.15,'-0.17%,5.25%,4.50%,'14.76,'1.55,12.68%,'45.04,'+10.97%,纺织服装
'84,600724.宁波富达,'4.80,'+1.48%,2.92%,4.49%,'43.06,'2.48,7.43%,'69.37,'-22.06%,房地产开发
'85,600377.宁沪高速,'13.52,'+0.82%,3.62%,4.48%,'14.54,'1.70,12.33%,'515.89,'-8.69%,铁路公路
'86,601577.长沙银行,'9.63,'+0.21%,4.36%,4.48%,'4.82,'0.48,10.79%,'387.28,'+12.90%,银行
'87,600863.内蒙华电,'4.03,'-0.49%,5.46%,4.46%,'12.54,'1.45,11.38%,'263.03,'-2.01%,电力行业
'88,601098.中南传媒,'13.17,'+0.08%,4.18%,4.44%,'13.08,'1.50,10.49%,'236.53,'-9.28%,文化传媒
'89,601019.山东出版,'8.68,'-5.24%,3.57%,4.43%,'13.66,'1.21,8.08%,'181.14,'-21.28%,文化传媒
'90,600327.大东方,'4.96,'+0.61%,0.60%,4.42%,亏损,'1.29,'-1.00%,'43.89,'-6.36%,医疗服务
'91,601988.中国银行,'5.52,0.00%,3.88%,4.41%,'7.53,'0.60,8.40%,'13170.18,'+4.70%,银行
'92,002818.富森美,'12.31,'-0.41%,8.77%,4.41%,'14.59,'1.64,11.75%,'92.14,'-13.45%,商业百货
'93,601939.建设银行,'9.04,'+0.44%,2.02%,4.40%,'7.11,'0.66,9.81%,'1914.95,'+7.59%,银行
'94,600741.华域汽车,'19.56,'+2.14%,4.09%,4.39%,'10.58,'0.98,11.12%,'616.67,'+16.01%,汽车零部件
'95,601288.农业银行,'7.05,'+0.43%,3.43%,4.38%,'8.64,'0.79,9.23%,'22506.72,'+37.76%,银行
'96,000719.中原传媒,'12.52,'-3.84%,4.79%,4.37%,'8.92,'1.12,10.85%,'128.11,'+15.52%,文化传媒
'97,600036.招商银行,'41.98,'-2.12%,4.76%,4.35%,'7.14,'0.82,12.38%,'8660.03,'+11.44%,银行
'98,603115.海星股份,'21.43,'+10.01%,2.77%,4.35%,'31.27,'2.64,9.09%,'51.84,'+73.12%,电子元件
'99,600210.紫江企业,'7.72,'+9.97%,3.89%,4.34%,'12.95,'1.90,15.55%,'117.09,'+22.17%,包装材料
'100,600987.航民股份,'7.31,'+1.11%,4.10%,4.33%,'10.71,'1.17,11.74%,'74.62,'+9.85%,纺织服装
'101,603878.武进不锈,'5.56,'+0.91%,1.62%,4.32%,'79.28,'1.19,2.33%,'31.20,'-1.09%,钢铁行业
'102,603967.中创物流,'11.65,'+0.52%,5.15%,4.32%,'16.34,'1.76,11.57%,'40.39,'+24.38%,物流行业
'103,002233.塔牌集团,'9.17,'+2.69%,4.91%,4.30%,'27.37,'0.92,6.35%,'109.33,'+26.42%,水泥建材
'104,601398.工商银行,'7.38,'-0.67%,4.17%,4.29%,'7.25,'0.64,9.14%,'19897.38,'+11.25%,银行
'105,600016.民生银行,'4.51,'-1.96%,4.26%,4.24%,'6.31,'0.29,4.86%,'1599.34,'+10.47%,银行
'106,600642.申能股份,'8.08,0.00%,5.57%,4.24%,'11.24,'1.02,10.39%,'395.44,'-10.42%,电力行业
'107,002563.森马服饰,'5.48,'+0.18%,6.39%,4.24%,'17.59,'1.31,8.10%,'147.64,'-17.10%,纺织服装
'108,601158.重庆水务,'4.71,'-0.21%,2.78%,4.22%,'33.08,'1.33,4.91%,'226.08,'-1.25%,公用事业
'109,600000.浦发银行,'13.49,'-1.03%,3.02%,4.19%,'8.68,'0.52,6.24%,'4114.05,'+35.07%,银行
'110,600162.香江控股,'1.69,'+0.60%,0.65%,4.18%,亏损,'0.94,'-1.00%,'55.24,'-11.41%,房地产开发
'111,600681.百川能源,'3.87,'+4.31%,6.07%,4.15%,'18.29,'1.44,9.94%,'51.89,'+15.32%,燃气
'112,002228.合兴包装,'3.36,'+0.90%,5.28%,4.15%,'36.10,'1.26,3.76%,'40.77,'+17.55%,包装材料
'113,600502.安徽建工,'4.63,'-2.73%,5.83%,4.14%,'6.66,'0.50,8.56%,'79.48,'+2.50%,工程建设
'114,601998.中信银行,'7.78,'-1.52%,4.47%,4.14%,'6.26,'0.53,8.63%,'3171.36,'+13.64%,银行
'115,000989.九芝堂,'11.30,'-1.31%,2.65%,4.14%,'74.86,'2.65,4.21%,'96.72,'+47.07%,中药
'116,600566.济川药业,'25.74,'-0.31%,8.13%,4.13%,'13.89,'1.75,14.20%,'236.98,'-4.62%,中药
'117,600582.天地科技,'6.09,'-1.30%,5.21%,4.13%,'12.45,'1.00,13.04%,'252.04,'+3.78%,专用设备
'118,002948.青岛银行,'4.94,'+0.61%,3.24%,4.11%,'6.23,'0.62,10.65%,'174.30,'+31.37%,银行
'119,600710.苏美达,'10.31,'-2.55%,3.58%,4.10%,'11.79,'1.73,16.60%,'134.73,'+15.24%,贸易行业
'120,601658.邮储银行,'6.09,'+0.83%,3.40%,4.09%,'8.48,'0.64,8.11%,'6104.55,'+12.53%,银行
'121,002737.葵花药业,'15.96,'-0.19%,3.13%,4.08%,亏损,'2.09,1.97%,'93.21,'-19.63%,中药
'122,603839.安正时尚,'7.84,'+1.16%,1.28%,4.07%,亏损,'1.65,'-1.00%,'30.50,'+43.96%,纺织服装
'123,002404.嘉欣丝绸,'6.41,0.00%,4.68%,4.07%,'28.26,'1.85,8.30%,'35.90,'+8.79%,纺织服装
'124,002303.美盈森,'4.28,'-0.47%,13.34%,4.03%,'21.90,'1.47,6.50%,'65.54,'+23.79%,包装材料
'125,601009.南京银行,'10.89,'-2.07%,4.50%,4.02%,'6.49,'0.65,11.05%,'1346.39,'+3.97%,银行
'126,002572.索菲亚,'13.65,'-0.94%,7.33%,4.02%,'13.27,'1.92,16.73%,'131.46,'-14.94%,装修建材
'127,000906.浙商中拓,'6.22,'-0.16%,3.21%,4.01%,亏损,'0.76,4.48%,'44.14,'-2.80%,物流行业
'128,600035.楚天高速,'4.13,'-0.72%,4.12%,4.00%,'9.95,'0.76,8.53%,'66.50,'-6.67%,铁路公路
'129,001965.招商公路,'10.50,'+0.86%,3.97%,3.95%,'15.39,'1.02,7.37%,'716.14,'-21.93%,铁路公路
'130,002839.张家港行,'4.49,'-0.66%,4.45%,3.93%,'5.71,'0.55,10.26%,'109.75,'+7.59%,银行
'131,000932.华菱钢铁,'5.91,'-0.51%,1.69%,3.92%,'24.53,'0.75,4.55%,'408.30,'+44.66%,钢铁行业
'132,600008.首创环保,'3.14,'+0.32%,5.41%,3.91%,'14.36,'0.76,11.88%,'230.49,'+1.02%,公用事业
'133,002032.苏泊尔,'51.61,'+0.35%,5.44%,3.87%,'20.18,'8.08,43.89%,'413.58,'+1.83%,家电行业
'134,603165.荣晟环保,'12.15,'+0.41%,4.12%,3.85%,'20.39,'1.49,10.14%,'33.12,'+3.37%,造纸印刷
'135,002043.兔宝宝,'10.85,'+0.74%,5.55%,3.83%,'18.25,'2.92,20.23%,'90.03,'-5.78%,装修建材
'136,603855.华荣股份,'20.61,'-3.24%,4.85%,3.82%,'15.22,'3.50,24.13%,'69.56,'+6.62%,专用设备
'137,603639.海利尔,'15.32,'+2.27%,3.26%,3.81%,'27.25,'1.44,6.13%,'52.07,'+28.07%,农药兽药
'138,000333.美的集团,'74.03,'+0.43%,4.73%,3.81%,'13.60,'2.63,22.97%,'5200.41,'+3.17%,家电行业
'139,600285.羚锐制药,'23.31,'-0.51%,3.86%,3.80%,'19.14,'4.31,27.17%,'132.19,'+9.33%,中药
'140,603357.设计总院,'8.62,'-1.15%,3.25%,3.80%,'11.58,'1.27,12.51%,'48.32,'-1.68%,工程咨询服务
'141,600639.浦东金桥,'10.71,0.00%,3.01%,3.77%,'60.40,'0.85,6.10%,'91.06,'-0.63%,房地产开发
'142,002322.理工能科,'13.32,'-1.04%,5.78%,3.74%,'20.97,'1.78,8.40%,'50.50,'+8.85%,软件开发
'143,002469.三维化学,'9.15,'+0.88%,4.37%,3.72%,'19.50,'2.24,11.34%,'59.37,'+29.34%,化学原料
'144,000708.中信特钢,'13.19,'+0.99%,3.85%,3.69%,'13.12,'1.61,13.01%,'665.72,'+20.73%,钢铁行业
'145,002381.双箭股份,'6.86,'+0.15%,2.92%,3.69%,'37.56,'1.32,4.11%,'28.23,'+6.20%,橡胶制品
'146,300564.筑博设计,'16.52,'+0.55%,3.03%,3.69%,亏损,'2.22,3.26%,'26.65,'+38.53%,工程咨询服务
'147,600873.梅花生物,'10.98,'-0.72%,5.48%,3.65%,'10.36,'2.09,20.85%,'313.24,'+13.81%,化学制品
'148,002533.金杯电工,'11.43,'-0.52%,3.94%,3.64%,'16.05,'2.04,14.83%,'83.89,'+19.11%,电网设备
'149,600790.轻纺城,'4.00,'+0.50%,3.00%,3.61%,'47.52,'0.90,2.05%,'58.63,'+9.94%,商业百货
'150,000900.现代投资,'4.27,'-0.23%,3.51%,3.61%,'17.75,'0.52,3.08%,'64.81,'+0.44%,铁路公路
'151,601107.四川成渝,'5.61,'-0.88%,5.17%,3.60%,'11.20,'0.88,9.07%,'121.33,'+12.30%,铁路公路
'152,002966.苏州银行,'8.05,'-0.86%,4.58%,3.60%,'6.90,'0.61,9.92%,'359.89,'+1.56%,银行
'153,601900.南方传媒,'14.11,'-0.70%,3.90%,3.58%,'11.91,'1.51,12.01%,'124.45,'-3.07%,文化传媒
'154,600908.无锡银行,'6.00,'-1.64%,3.67%,3.57%,'5.77,'0.54,9.75%,'131.68,'+5.07%,银行
'155,600527.江南高纤,'2.11,'+1.93%,2.37%,3.54%,'127.97,'1.77,1.58%,'36.54,'-2.31%,化纤行业
'156,600170.上海建工,'2.47,'+2.07%,2.43%,3.53%,'172.30,'0.48,4.51%,'219.48,'-4.53%,工程建设
'157,002267.陕天然气,'8.34,'+0.60%,5.40%,3.53%,'16.27,'1.41,10.67%,'92.75,'+3.16%,燃气
'158,603515.欧普照明,'18.16,'-1.25%,4.96%,3.50%,'19.17,'2.10,13.96%,'135.08,'+16.08%,家电行业
'159,603968.醋化股份,'12.50,'+0.81%,2.27%,3.50%,亏损,'1.39,'-1.00%,'25.56,'+34.84%,化学制品
'160,000559.万向钱潮,'7.88,'-1.38%,2.28%,3.50%,'27.78,'2.86,11.09%,'260.34,'+31.16%,汽车零部件
'161,002788.鹭燕医药,'8.50,'+0.35%,4.12%,3.50%,'10.53,'1.04,9.83%,'33.02,'+7.87%,医药商业
'162,601566.九牧王,'8.88,'-0.67%,3.38%,3.49%,'28.07,'1.30,7.76%,'51.03,'+9.12%,纺织服装
'163,603006.联明股份,'13.37,'+1.52%,2.84%,3.49%,'92.10,'2.47,4.30%,'33.99,'+31.85%,汽车零部件
'164,002543.万和电气,'11.98,'-1.24%,3.67%,3.49%,'13.33,'1.80,14.28%,'89.08,'+19.35%,家电行业
'165,600027.华电国际,'5.37,'+1.32%,3.53%,3.48%,'10.76,'0.96,9.35%,'531.34,'-1.98%,电力行业
'166,002441.众业达,'9.64,'+0.52%,3.11%,3.48%,'32.17,'1.16,3.73%,'52.49,'+28.21%,电网设备
'167,601369.陕鼓动力,'8.36,'-0.83%,5.39%,3.45%,'15.82,'1.63,11.45%,'144.08,'-0.95%,通用设备
'168,000513.丽珠集团,'42.41,'+4.97%,2.59%,3.45%,'18.41,'2.80,15.73%,'256.28,'+14.77%,化学制药
'169,002479.富春环保,'5.28,'-0.19%,2.84%,3.43%,'20.89,'1.10,8.10%,'45.67,'+14.74%,环保行业
'170,000933.神火股份,'19.28,'-0.15%,4.15%,3.42%,'10.93,'1.94,18.38%,'433.67,'+17.44%,有色金属
'171,600704.物产中大,'5.82,'-1.19%,3.62%,3.40%,'10.11,'0.71,8.83%,'300.96,'+19.32%,物流行业
'172,600982.宁波能源,'4.64,'+1.09%,3.23%,3.40%,'21.72,'1.08,6.71%,'51.86,'+16.23%,电力行业
'173,603323.苏农银行,'5.26,'-0.57%,3.11%,3.40%,'5.46,'0.57,11.36%,'106.18,'+12.63%,银行
'174,000915.华特达因,'33.47,'+0.54%,7.47%,3.39%,'15.54,'2.82,18.53%,'78.43,'+26.59%,化学制药
'175,002911.佛燃能源,'11.48,'-1.71%,4.18%,3.38%,'17.74,'1.78,10.76%,'148.95,'-5.28%,燃气
'176,002440.闰土股份,'7.25,'-1.63%,2.07%,3.37%,'33.12,'0.87,2.76%,'81.49,'+10.09%,化学制品
'177,603096.新经典,'18.47,'+0.82%,4.33%,3.35%,'42.51,'1.55,4.44%,'28.49,'+1.78%,文化传媒
'178,603279.景津装备,'15.69,'+0.06%,6.76%,3.34%,'12.64,'1.96,15.83%,'90.45,'-10.04%,通用设备
'179,601186.中国铁建,'8.09,'-0.49%,3.71%,3.33%,'5.48,'0.32,6.39%,'930.61,'-8.61%,工程建设
'180,002478.常宝股份,'5.52,0.00%,3.99%,3.33%,'10.56,'0.86,10.15%,'49.73,'+8.78%,钢铁行业
'181,002736.国信证券,'14.55,'-1.89%,2.41%,3.32%,'13.41,'1.12,8.80%,'1398.61,'+34.03%,证券
'182,002658.雪迪龙,'8.16,'+1.75%,3.06%,3.31%,'31.53,'2.08,7.31%,'51.88,'+32.42%,仪器仪表
'183,600887.伊利股份,'28.27,'-1.05%,4.32%,3.29%,'23.21,'3.35,15.28%,'1788.18,'-2.39%,食品饮料
'184,601886.江河集团,'7.71,'-0.13%,7.13%,3.29%,'18.28,'1.21,8.93%,'87.35,'+52.87%,装修装饰
'185,002367.康力电梯,'7.12,'-2.33%,4.22%,3.29%,'18.38,'1.63,10.58%,'56.80,'+8.15%,专用设备
'186,600820.隧道股份,'6.53,'+1.24%,4.90%,3.28%,'7.87,'0.56,8.47%,'205.31,'-6.09%,工程建设
'187,000921.海信家电,'25.17,'-1.02%,4.89%,3.28%,'12.81,'2.18,22.59%,'232.89,'-8.48%,家电行业
'188,002274.华昌化工,'6.71,'-0.30%,4.47%,3.28%,'111.90,'1.17,1.46%,'63.90,'-9.97%,化肥行业
'189,002932.明德生物,'19.69,'-0.61%,6.25%,3.28%,亏损,'0.82,0.38%,'45.78,'+13.12%,医疗器械
'190,603088.宁波精达,'10.00,'+0.60%,2.53%,3.27%,'36.72,'4.67,16.07%,'50.24,'+13.71%,通用设备
'191,688009.中国通号,'5.57,'-0.18%,3.05%,3.26%,'18.06,'1.23,7.45%,'480.19,'-8.26%,交运设备
'192,002003.伟星股份,'10.74,'-1.20%,4.66%,3.25%,'19.33,'2.86,15.08%,'125.54,'-22.21%,纺织服装
'193,002443.金洲管道,'7.47,'+4.33%,2.68%,3.25%,'23.45,'1.13,4.63%,'38.88,'+31.22%,钢铁行业
'194,601086.国芳集团,'12.49,'-0.64%,0.64%,3.24%,'157.31,'5.36,3.04%,'83.18,'+113.99%,商业百货
'195,002242.九阳股份,'9.71,'-3.77%,1.55%,3.24%,'78.55,'2.13,1.98%,'74.09,'-4.82%,家电行业
'196,603801.志邦家居,'10.03,'-0.20%,6.01%,3.21%,'14.47,'1.29,11.48%,'43.57,'-16.88%,装修建材
'197,600970.中材国际,'9.14,'-0.87%,4.92%,3.20%,'9.43,'1.12,14.62%,'241.29,'+1.36%,工程建设
'198,002545.东方铁塔,'10.52,'+3.54%,2.85%,3.20%,'17.16,'1.43,8.85%,'130.88,'+54.42%,化肥行业
'199,600167.联美控股,'6.61,'-2.65%,4.86%,3.19%,'21.96,'1.38,6.47%,'149.57,'+19.38%,公用事业
'200,002540.亚太科技,'6.49,'+0.15%,5.56%,3.19%,'20.45,'1.47,7.69%,'81.02,'+8.94%,有色金属
'201,600028.中国石化,'5.70,'-0.18%,5.02%,3.18%,'20.51,'0.84,4.36%,'5542.24,'-12.62%,石油行业
'202,600098.广州发展,'6.88,'+4.08%,3.92%,3.18%,'27.43,'0.89,8.36%,'241.23,'+11.74%,电力行业
'203,601298.青岛港,'8.67,'+2.00%,3.62%,3.16%,'10.87,'1.28,12.78%,'467.49,'-2.58%,航运港口
'204,601390.中国中铁,'5.63,'-0.88%,3.16%,3.15%,'6.48,'0.38,7.24%,'1156.04,'-9.08%,工程建设
'205,603730.岱美股份,'5.72,'-4.19%,4.71%,3.14%,'15.84,'2.78,14.14%,'122.90,'-13.53%,汽车零部件
'206,603368.柳药集团,'18.29,'+0.66%,4.12%,3.13%,'9.05,'0.94,10.72%,'72.64,'+7.03%,医药商业
'207,002624.完美世界,'16.28,'-2.28%,1.41%,3.13%,亏损,'4.57,'-1.00%,'315.83,'+60.10%,游戏
'208,600368.五洲交通,'4.28,0.00%,3.06%,3.12%,'11.41,'0.99,9.80%,'68.89,'-7.46%,铁路公路
'209,600449.宁夏建材,'13.81,'-0.22%,1.52%,3.12%,'29.87,'0.91,4.10%,'66.04,'-6.65%,水泥建材
'210,603167.渤海轮渡,'10.37,'-0.10%,8.58%,3.12%,'24.01,'1.46,7.74%,'48.65,'+24.81%,航运港口
