,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1,000937.冀中能源,'5.95,'-0.83%,13.45%,9.45%,'36.34,'1.11,2.74%,'210.25,'+3.00%,煤炭行业
'2,600729.重庆百货,'29.34,'-0.10%,4.64%,8.29%,'10.39,'1.69,18.96%,'129.24,'+5.22%,商业百货
'3,601699.潞安环能,'13.19,'+1.70%,3.11%,7.90%,'30.77,'0.85,3.39%,'394.57,'-4.55%,煤炭行业
'4,000517.荣安地产,'1.93,'+0.52%,16.58%,7.54%,亏损,'1.05,'-1.00%,'61.45,'-13.45%,房地产开发
'5,000983.山西焦煤,'7.02,'-0.57%,3.13%,7.34%,'18.43,'1.09,5.62%,'398.53,'-11.95%,煤炭行业
'6,600295.鄂尔多斯,'10.14,'-4.07%,5.92%,7.33%,'17.72,'1.40,9.04%,'200.32,'+10.86%,钢铁行业
'7,601088.中国神华,'37.90,'+1.15%,5.96%,7.29%,'13.70,'1.88,13.47%,'6250.10,'-7.75%,煤炭行业
'8,002327.富安娜,'7.30,'-0.55%,8.49%,7.12%,'15.14,'1.75,12.21%,'61.19,'-11.14%,纺织服装
'9,600382.广东明珠,'6.10,'+6.09%,1.64%,7.03%,'41.87,'1.55,3.22%,'42.36,'+40.96%,钢铁行业
'10,601666.平煤股份,'7.76,'-0.51%,7.75%,7.01%,'15.77,'0.71,4.50%,'191.62,'-16.98%,煤炭行业
'11,002582.好想你,'10.70,'+3.48%,13.22%,6.75%,亏损,'1.54,'-1.00%,'47.90,'+40.91%,食品饮料
'12,600546.山煤国际,'9.91,'+0.41%,6.96%,6.57%,'11.25,'1.23,10.29%,'196.46,'-9.89%,煤炭行业
'13,603156.养元饮品,'21.88,'+2.43%,6.22%,6.45%,'20.99,'3.05,15.30%,'275.75,'+1.33%,食品饮料
'14,600971.恒源煤电,'6.78,'-0.15%,6.93%,6.43%,'36.37,'0.68,1.51%,'81.36,'-23.30%,煤炭行业
'15,603886.元祖股份,'13.14,'-1.28%,7.61%,6.23%,'18.21,'2.21,15.08%,'31.54,'-2.05%,食品饮料
'16,600985.淮北矿业,'12.29,'-1.36%,6.10%,6.07%,'12.13,'0.80,7.21%,'331.00,'-7.18%,煤炭行业
'17,601339.百隆东方,'5.29,'-1.67%,7.75%,6.07%,'16.78,'0.84,6.06%,'79.33,'+5.29%,纺织服装
'18,601000.唐山港,'3.93,'-1.26%,5.09%,5.90%,'13.56,'1.14,8.72%,'232.89,'-12.45%,航运港口
'19,600348.华阳股份,'7.01,'-0.14%,4.41%,5.77%,'14.82,'0.76,5.41%,'252.89,'+3.40%,煤炭行业
'20,000090.天健集团,'3.63,'-0.82%,2.75%,5.76%,'17.05,'0.47,2.90%,'67.83,'-9.25%,房地产开发
'21,603519.立霸股份,'12.94,'-0.38%,7.73%,5.74%,'22.41,'3.00,13.28%,'34.46,'+17.88%,家电行业
'22,600755.厦门国贸,'6.12,'-1.29%,5.47%,5.73%,亏损,'0.40,0.93%,'130.82,'-2.86%,贸易行业
'23,600350.山东高速,'9.22,'+1.10%,4.56%,5.65%,'14.71,'1.09,7.96%,'445.75,'-6.44%,铁路公路
'24,600901.江苏金租,'5.60,'-2.10%,4.82%,5.65%,'10.75,'1.34,14.49%,'324.37,'+12.10%,多元金融
'25,600153.建发股份,'10.80,'-7.22%,6.59%,5.61%,'18.08,'0.44,3.64%,'313.15,'+10.17%,贸易行业
'26,000550.江铃汽车,'21.67,'+4.69%,3.32%,5.59%,'17.24,'1.66,12.55%,'112.51,'-4.40%,汽车整车
'27,601166.兴业银行,'21.81,'-2.68%,4.86%,5.42%,'6.01,'0.52,8.94%,'4615.61,'+19.14%,银行
'28,002014.永新股份,'11.23,'-0.62%,5.52%,5.42%,'15.50,'2.87,20.06%,'68.78,'+7.92%,包装材料
