排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'1,600132.重庆啤酒,'55.07,65.50%,64.93%,查看ROE详情,6.24%,'22.42,'16.47,4.36%,'266.52,'-11.18%,酿酒行业
'2,002668.TCL智家,'10.43,58.24%,43.71%,查看ROE详情,2.44%,'10.65,'3.69,'-,'113.07,'-20.50%,家电行业
'3,301004.嘉益股份,'63.91,41.84%,42.20%,查看ROE详情,0.67%,'13.11,'4.73,3.35%,'92.96,'-20.29%,家用轻工
'4,605499.东鹏饮料,'314.94,41.13%,50.26%,查看ROE详情,9.90%,'42.81,'18.75,2.20%,'1637.73,'+28.92%,食品饮料
'5,600809.山西汾酒,'200.60,40.71%,36.95%,查看ROE详情,4.02%,'19.81,'6.82,3.02%,'2447.25,'+12.74%,酿酒行业
'6,605117.德业股份,'63.74,40.51%,37.90%,查看ROE详情,3.57%,'18.57,'6.15,4.26%,'576.50,'+8.56%,光伏设备
'7,600519.贵州茅台,'1476.10,36.59%,39.34%,查看ROE详情,5.80%,'20.55,'7.75,3.50%,'18484.76,'-1.24%,酿酒行业
'8,002847.盐津铺子,'75.53,36.56%,36.82%,查看ROE详情,3.32%,'32.74,'9.46,2.12%,'206.03,'+22.19%,食品饮料
'9,002032.苏泊尔,'51.61,36.17%,43.89%,查看ROE详情,4.34%,'20.18,'8.08,5.44%,'413.58,'+1.83%,家电行业
'10,300442.润泽科技,'58.19,34.30%,16.89%,查看ROE详情,1.18%,'55.72,'8.91,0.94%,'951.02,'+12.27%,互联网服务
'11,300274.阳光电源,'99.20,33.29%,37.35%,查看ROE详情,4.20%,'15.46,'4.83,1.09%,'2056.63,'+36.64%,光伏设备
'12,688278.特宝生物,'85.90,33.16%,39.89%,查看ROE详情,0.42%,'37.65,'12.68,0.72%,'349.44,'+18.06%,生物制品
'13,000933.神火股份,'19.28,32.91%,18.38%,查看ROE详情,1.74%,'10.93,'1.94,4.15%,'433.67,'+17.44%,有色金属
'14,688516.奥特维,'42.18,32.37%,20.48%,查看ROE详情,1.15%,'17.64,'3.43,5.83%,'132.95,'+2.16%,光伏设备
'15,000568.泸州老窖,'135.85,32.09%,29.68%,查看ROE详情,2.22%,'15.32,'4.30,4.38%,'1999.65,'+13.86%,酿酒行业
'16,600779.水井坊,'47.01,31.80%,26.96%,查看ROE详情,2.24%,'20.25,'4.76,2.06%,'229.18,'-10.15%,酿酒行业
'17,300760.迈瑞医疗,'246.48,31.40%,23.56%,查看ROE详情,10.84%,'33.16,'7.65,3.12%,'2988.43,'-2.51%,医疗器械
'18,600096.云天化,'27.34,30.44%,24.73%,查看ROE详情,12.59%,'9.78,'2.20,5.15%,'498.41,'+30.13%,化肥行业
'19,000408.藏格矿业,'54.79,30.11%,21.37%,查看ROE详情,1.98%,'27.95,'5.47,0.48%,'860.33,'+97.58%,化肥行业
'20,603605.珀莱雅,'84.43,29.95%,32.11%,查看ROE详情,11.99%,'20.72,'5.84,1.41%,'334.35,'+1.12%,美容护理
'21,000048.京基智农,'16.33,29.56%,16.78%,查看ROE详情,0.75%,'11.11,'1.99,2.14%,'86.60,'-7.18%,农牧饲渔
'22,300394.天孚通信,'222.16,29.40%,38.79%,查看ROE详情,2.31%,'112.14,'36.85,0.32%,'1727.11,'+242.33%,通信设备
'23,300628.亿联网络,'38.04,29.14%,29.82%,查看ROE详情,3.14%,'20.61,'5.60,4.98%,'481.80,'+2.27%,通信设备
'24,603195.公牛集团,'47.09,28.34%,28.78%,查看ROE详情,2.97%,'23.14,'5.79,3.64%,'851.66,'-3.00%,家用轻工
'25,688617.惠泰医疗,'305.49,27.61%,30.68%,查看ROE详情,3.20%,'59.33,'15.42,0.40%,'430.78,'+19.49%,医疗器械
'26,603198.迎驾贡酒,'45.15,27.57%,25.38%,查看ROE详情,1.12%,'15.75,'3.70,3.32%,'361.20,'-13.14%,酿酒行业
'27,002517.恺英网络,'22.30,27.30%,25.47%,查看ROE详情,5.16%,'27.43,'5.81,0.90%,'476.43,'+64.81%,游戏
'28,002690.美亚光电,'20.26,27.27%,27.89%,查看ROE详情,5.87%,'27.12,'7.12,3.46%,'178.74,'+42.41%,专用设备
'29,600803.新奥股份,'18.76,27.20%,19.27%,查看ROE详情,3.88%,'14.06,'2.51,5.49%,'581.01,'-8.73%,燃气
'30,603529.爱玛科技,'36.06,26.68%,24.87%,查看ROE详情,2.08%,'15.06,'3.21,2.54%,'313.38,'-10.63%,交运设备
'31,002027.分众传媒,'8.70,26.63%,33.16%,查看ROE详情,5.03%,'25.46,'7.69,3.79%,'1256.47,'+27.33%,文化传媒
'32,601225.陕西煤业,'20.33,26.57%,21.88%,查看ROE详情,2.48%,'11.46,'2.22,6.63%,'1970.99,'-7.10%,煤炭行业
'33,300693.盛弘股份,'38.34,26.36%,23.75%,查看ROE详情,3.06%,'30.38,'6.49,1.30%,'119.93,'+44.49%,电源设备
'34,000651.格力电器,'41.41,25.65%,25.64%,查看ROE详情,6.82%,'7.69,'1.71,7.24%,'2319.54,'-2.81%,家电行业
