排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'1,SH600335.国机汽车,'6.32,'-0.63%,'0.01,'26.49,3872.23%,0.80%,'0.82,1.66%,3.15%,'95,'+2.72%,汽车服务
'2,SH600216.浙江医药,'15.78,'+0.77%,'0.02,'9.99,552.94%,7.41%,'1.35,2.34%,14.35%,'152,'+1.91%,化学制药
'3,SH603577.汇金通,'9.84,'+2.18%,'0.02,'20.70,1113.89%,'-,'1.74,0.88%,8.53%,'33,'+24.45%,电网设备
'4,SZ000039.中集集团,'8.07,'-0.86%,'0.02,'12.86,660.39%,1.08%,'0.83,2.18%,6.63%,'186,'+6.15%,通用设备
'5,SZ300641.正丹股份,'24.03,'-0.62%,'0.02,'8.34,474.29%,0.39%,'3.91,2.91%,57.04%,'128,'-2.03%,化学制品
'6,SH601336.新华保险,'65.75,'-3.65%,'0.03,'6.85,204.61%,2.90%,'2.46,3.85%,34.53%,'1371,'+36.38%,保险
'7,SH601456.国联民生,'12.15,'-0.65%,'0.03,'48.03,1712.53%,0.84%,'1.35,0.46%,4.14%,'636,'-9.68%,证券
'8,SH603538.美诺华,'26.78,'+2.84%,'0.03,'60.74,2705.53%,'-,'2.62,0.19%,4.44%,'59,'+111.22%,化学制药
'9,SZ002340.格林美,'7.36,'-1.21%,'0.03,'33.73,1015.72%,2.44%,'1.87,0.90%,5.64%,'377,'+13.87%,能源金属
'10,SZ002734.利民股份,'20.12,'+1.36%,'0.03,'27.86,1253.58%,'-,'2.55,1.81%,10.41%,'89,'+156.10%,农药兽药
'11,SZ300803.指南针,'150.88,'+0.55%,'0.03,'300.00,8773.02%,2.08%,'34.81,0.00%,13.18%,'918,'+128.01%,软件开发
'12,SH601919.中远海控,'15.19,'-0.59%,'0.04,'4.73,106.47%,3.50%,'1.01,10.25%,22.49%,'1915,'+4.66%,航运港口
'13,SH688588.凌志软件,'20.03,'-3.28%,'0.04,'35.44,951.00%,0.36%,'6.45,1.00%,18.91%,'80,'+47.04%,软件开发
'14,SZ000686.东北证券,'8.66,'-1.03%,'0.04,'17.29,420.77%,2.66%,'1.05,1.39%,6.22%,'203,'+10.83%,证券
'15,SZ002826.易明医药,'19.90,'-0.70%,'0.04,'86.55,3454.43%,'-,'4.97,0.50%,5.87%,'38,'+92.88%,中药
'16,SH688186.广大特材,'27.58,'-5.68%,'0.05,'30.11,691.68%,'-,'2.09,1.20%,7.06%,'77,'+82.09%,风电设备
'17,SH600063.皖维高新,'5.40,'+4.85%,'0.06,'22.91,438.92%,0.72%,'1.34,1.11%,6.03%,'114,'+36.87%,化纤行业
'18,SH688183.生益电子,'82.78,'+6.40%,'0.06,'89.85,1627.42%,1.41%,'14.43,0.30%,17.70%,'689,'+112.61%,电子元件
'19,SZ002489.浙江永强,'3.79,'+0.27%,'0.06,'17.62,592.96%,4.27%,'1.82,1.06%,10.83%,'82,'+18.20%,家用轻工
'20,SZ002661.克明食品,'9.87,'-2.08%,'0.06,'22.91,379.90%,'-,'1.42,3.04%,5.85%,'33,'+0.71%,食品饮料
'21,SZ003037.三和管桩,'8.75,'+0.46%,'0.07,'58.36,1245.98%,'-,'1.88,0.57%,3.25%,'52,'+19.51%,水泥建材
'22,SH600367.红星发展,'16.80,'+4.22%,'0.08,'39.81,537.37%,'-,'2.33,0.18%,6.01%,'57,'+45.80%,化学原料
'23,SH603601.再升科技,'5.80,'-2.68%,'0.09,'79.13,1456.32%,'-,'2.66,1.21%,3.35%,'59,'+73.09%,玻璃玻纤
'24,SZ000750.国海证券,'4.54,'-1.09%,'0.09,'44.23,440.19%,0.82%,'1.30,0.79%,2.98%,'290,'+6.93%,证券
'25,SZ002001.新和成,'24.83,'-0.28%,'0.09,'10.50,116.40%,6.24%,'2.50,2.82%,25.89%,'763,'+16.62%,化学制药
'26,SH600633.浙数文化,'15.20,'+0.53%,'0.10,'25.99,493.04%,0.78%,'1.90,1.64%,7.43%,'193,'+47.06%,游戏
'27,SH601319.中国人保,'8.75,'-2.56%,'0.10,'8.28,82.12%,0.99%,'1.36,2.06%,17.36%,'3106,'+17.53%,保险
'28,SH605376.博迁新材,'50.68,'+3.05%,'0.10,'95.78,1092.19%,2.06%,'8.28,0.93%,8.69%,'133,'+75.77%,小金属
'29,SZ000828.东莞控股,'11.96,'+4.27%,'0.10,'11.89,114.95%,1.13%,'1.24,3.97%,10.73%,'124,'+15.39%,铁路公路
'30,SZ002410.广联达,'14.91,'-1.97%,'0.10,'83.27,1110.72%,11.61%,'4.20,1.01%,5.03%,'246,'+28.18%,软件开发
'31,SZ300398.飞凯材料,'24.39,'+0.37%,'0.10,'40.29,491.31%,0.44%,'2.83,0.38%,7.77%,'138,'+55.28%,电子化学品
'32,SZ002170.芭田股份,'11.33,'+3.09%,'0.11,'15.32,142.35%,1.07%,'2.97,2.46%,22.78%,'110,'+33.22%,化肥行业
'33,SZ002457.青龙管业,'11.73,0.00%,'0.11,'18.68,186.74%,'-,'1.60,1.02%,8.82%,'39,'+2.16%,装修建材
'34,SH601788.光大证券,'19.86,'-0.95%,'0.12,'27.33,236.13%,2.76%,'1.32,1.00%,4.92%,'776,'+10.32%,证券
'35,SZ003015.日久光电,'20.07,'+1.36%,'0.12,'70.51,644.19%,'-,'5.41,1.00%,8.08%,'56,'+42.19%,光学光电子
