序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'67,SZ002001.新和成,'332,'22.26,'+0.14%,6.24%,'9.97,'2.23,3.15%,24.43%,'683.22,'+4.55%,化学制药
'77,SH600188.兖矿能源,'328,'13.31,'+2.54%,1.84%,'10.31,'1.56,5.79%,16.24%,'793.54,'-2.00%,煤炭行业
'75,SH601628.中国人寿,'325,'41.52,'+0.65%,0.38%,'10.18,'2.20,1.57%,22.73%,'8645.93,'+0.17%,保险
'69,SH601138.工业富联,'324,'34.30,'-2.14%,2.47%,'28.33,'4.33,1.87%,16.04%,'6811.80,'+62.66%,消费电子
'70,SH601127.赛力斯,'324,'128.70,'+0.74%,3.36%,'35.92,'9.09,0.99%,37.25%,'2102.14,'-2.78%,汽车整车
'74,SH601988.中国银行,'324,'5.66,'+0.18%,0.69%,'7.74,'0.65,3.78%,8.62%,'13504.20,'+7.35%,银行
'78,SH600886.国投电力,'324,'15.58,'-0.19%,1.63%,'19.08,'1.75,2.96%,10.12%,'1247.10,'-6.26%,电力行业
'73,SH600096.云天化,'323,'24.56,'+1.32%,12.59%,'8.91,'1.89,5.74%,23.52%,'447.73,'+16.89%,化肥行业
'76,SZ300059.东方财富,'323,'23.63,0.00%,3.06%,'37.29,'4.48,0.25%,13.23%,'3734.49,'-8.21%,互联网服务
'71,SH603345.安井食品,'322,'73.82,'-0.42%,4.07%,'19.18,'1.84,4.53%,10.92%,'216.51,'-7.05%,食品饮料
'72,SZ002352.顺丰控股,'321,'46.42,'-0.39%,7.25%,'24.93,'2.51,3.94%,11.32%,'2247.37,'+16.27%,物流行业
'81,SH600025.华能水电,'318,'9.27,0.00%,0.68%,'19.06,'2.22,2.16%,12.19%,'1668.60,'-0.54%,电力行业
'83,SZ002032.苏泊尔,'315,'51.23,'-0.33%,4.34%,'19.73,'5.95,5.47%,33.07%,'411.90,'+1.08%,家电行业
'79,SH601328.交通银行,'311,'7.72,'-0.64%,2.62%,'7.32,'0.59,3.61%,8.24%,'4118.77,'+4.54%,银行
'80,SZ300502.新易盛,'310,'186.40,'+2.17%,5.10%,'44.50,'18.26,0.18%,51.96%,'1813.03,'+126.69%,通信设备
'82,SZ002555.三七互娱,'310,'17.40,'+1.28%,6.01%,'15.13,'2.83,5.83%,19.53%,'380.06,'+15.67%,游戏
'85,SZ003816.中国广核,'303,'3.69,'-0.27%,0.83%,'18.39,'1.53,2.57%,8.55%,'1455.39,'-8.31%,电力行业
'84,SZ300394.天孚通信,'301,'103.03,'-0.17%,2.31%,'58.26,'18.50,0.69%,35.83%,'802.29,'+58.76%,通信设备
'88,SH605117.德业股份,'298,'52.33,'+0.15%,3.57%,'15.81,'4.61,5.18%,40.42%,'473.30,'-10.87%,光伏设备
'89,SZ002472.双环传动,'298,'36.35,'+5.06%,17.92%,'27.67,'3.22,0.65%,12.56%,'293.31,'+19.56%,汽车零部件
'91,SH601689.拓普集团,'297,'48.02,'+2.04%,5.07%,'31.86,'3.68,1.08%,14.38%,'834.51,'-0.93%,汽车零部件
'90,SZ002557.洽洽食品,'296,'22.72,'-0.96%,3.95%,'19.04,'2.05,5.67%,12.08%,'116.04,'-17.40%,食品饮料
'87,SH600219.南山铝业,'292,'4.05,'+0.75%,6.45%,'8.15,'0.91,4.21%,11.42%,'470.35,'+6.16%,有色金属
'86,SZ300866.安克创新,'290,'131.43,'+5.80%,8.93%,'33.03,'7.10,1.68%,25.95%,'664.60,'+36.66%,消费电子
'93,SH600674.川投能源,'288,'15.55,'-0.19%,2.64%,'16.22,'1.74,2.57%,11.17%,'758.00,'-7.57%,电力行业
'94,SH600885.宏发股份,'288,'24.57,'+0.20%,20.32%,'21.67,'3.61,1.50%,18.76%,'358.66,'+9.88%,电网设备
'95,SH601006.大秦铁路,'283,'6.52,'-0.31%,2.68%,'15.35,'0.79,3.94%,5.40%,'1313.60,'-1.78%,物流行业
'96,SZ300015.爱尔眼科,'283,'12.82,'-0.31%,2.07%,'36.17,'5.49,1.24%,17.85%,'1199.25,'-1.99%,医疗服务
'92,SZ000596.古井贡酒,'280,'139.47,'-0.39%,1.26%,'12.94,'2.80,4.29%,23.11%,'572.08,'-16.02%,酿酒行业
'98,SZ002142.宁波银行,'273,'28.92,'+1.51%,3.77%,'6.80,'0.80,3.16%,12.37%,'1881.36,'+22.93%,银行
'97,SH600031.三一重工,'272,'20.02,'+1.93%,11.80%,'26.55,'2.27,1.80%,9.51%,'1696.57,'+23.92%,工程机械
'100,SZ002262.恩华药业,'266,'23.31,'-1.56%,0.75%,'19.90,'3.14,1.52%,16.86%,'240.63,'-2.69%,化学制药
'99,SZ002847.盐津铺子,'260,'70.72,'+0.06%,3.32%,'32.87,'10.01,2.27%,36.96%,'192.80,'+14.41%,食品饮料
