,股票,价,涨,ROE,股息,扣非PE,PB,市值(亿),今年来,行业
'226,600729.重庆百货,'29.34,'-0.10%,18.96%,4.64%,'10.39,'1.69,'129.24,'+5.22%,商业百货
'227,688588.凌志软件,'20.03,'-3.28%,18.91%,1.00%,'36.24,'6.45,'80.12,'+47.04%,软件开发
'228,603262.技源集团,'31.84,'-1.36%,18.80%,'-,'72.82,'12.29,'127.36,'+192.65%,食品饮料
'229,600885.宏发股份,'26.08,'-0.38%,18.76%,1.41%,'23.00,'3.83,'380.70,'+16.64%,电网设备
'230,603338.浙江鼎力,'53.91,'-0.83%,18.75%,1.85%,'14.95,'2.58,'272.97,'-14.53%,工程机械
'231,688082.盛美上海,'158.15,'+2.03%,18.69%,0.41%,'51.75,'8.47,'697.90,'+58.98%,半导体
'232,300881.盛德鑫泰,'35.00,'+2.07%,18.69%,2.86%,'20.65,'3.75,'38.50,'+17.66%,钢铁行业
'233,301187.欧圣电气,'30.56,'-2.83%,18.66%,2.74%,'30.06,'5.17,'77.91,'+27.78%,家电行业
'234,688256.寒武纪-U,'1448.39,'-2.95%,18.63%,'-,'300.00,'89.70,'6059.34,'+120.12%,半导体
'235,688300.联瑞新材,'57.23,'-4.87%,18.63%,0.67%,'55.55,'8.91,'138.19,'+16.68%,非金属材料
'236,603091.众鑫股份,'64.38,'+0.70%,18.61%,1.49%,'23.63,'3.24,'65.82,'+39.52%,家用轻工
'237,000915.华特达因,'33.47,'+0.54%,18.53%,7.47%,'15.54,'2.82,'78.43,'+26.59%,化学制药
'238,002749.国光股份,'16.04,'-0.56%,18.53%,6.25%,'19.98,'3.63,'74.80,'+20.68%,农药兽药
'239,688093.世华科技,'40.50,'-1.82%,18.52%,1.28%,'30.15,'5.04,'106.37,'+101.91%,电子元件
'240,603049.中策橡胶,'47.21,'-0.51%,18.51%,2.75%,'11.98,'1.80,'412.84,'+4.45%,橡胶制品
'241,002895.川恒股份,'27.09,'+0.78%,18.46%,4.00%,'14.98,'2.43,'164.62,'+15.91%,化学原料
'242,600690.海尔智家,'25.95,'-1.18%,18.45%,3.72%,'12.59,'2.12,'1623.04,'-5.56%,家电行业
'243,688501.青达环保,'30.64,'-3.59%,18.44%,0.78%,'23.13,'3.66,'38.06,'+120.36%,专用设备
'244,300124.汇川技术,'75.90,'+1.16%,18.44%,0.54%,'44.10,'6.77,'2045.81,'+30.39%,电子元件
'245,000933.神火股份,'19.28,'-0.15%,18.38%,4.15%,'10.93,'1.94,'433.67,'+17.44%,有色金属
'246,603676.卫信康,'12.55,'+1.78%,18.35%,2.73%,'24.59,'3.67,'54.61,'+28.15%,化学制药
'247,300269.联建光电,'5.40,'+2.66%,18.34%,'-,'-,'35.15,'29.65,'+35.68%,互联网服务
'248,300743.天地数码,'19.62,'-0.76%,18.32%,2.55%,'28.09,'5.00,'29.67,'+32.62%,非金属材料
'249,601138.工业富联,'55.62,'+3.33%,18.32%,1.15%,'41.61,'7.28,'11045.84,'+163.77%,消费电子
'250,300453.三鑫医疗,'9.77,'-1.31%,18.31%,3.07%,'23.35,'3.79,'51.04,'+34.27%,医疗器械
'251,000426.兴业银锡,'23.09,'+8.25%,18.26%,0.30%,'28.36,'4.78,'409.99,'+108.38%,有色金属
'252,603998.方盛制药,'11.86,'+2.07%,18.26%,2.61%,'23.26,'3.18,'52.08,'+16.77%,中药
'253,000911.广农糖业,'7.81,'+2.36%,18.25%,'-,'-,'23.24,'31.26,'+8.47%,食品饮料
'254,002827.高争民爆,'42.91,'+0.94%,18.13%,0.35%,'82.65,'12.45,'118.88,'+70.39%,化学制品
'255,603613.国联股份,'29.59,'+1.47%,18.07%,0.22%,'15.16,'2.51,'213.21,'+11.64%,互联网服务
'256,603325.博隆技术,'98.50,'+0.51%,18.04%,1.14%,'18.74,'3.01,'78.80,'+51.65%,通用设备
'257,603040.新坐标,'66.96,'+1.30%,18.01%,1.34%,'41.31,'6.48,'91.39,'+197.86%,汽车零部件
'258,002209.达意隆,'16.10,'-0.62%,17.97%,0.32%,'22.64,'4.00,'32.04,'+74.25%,专用设备
'259,300776.帝尔激光,'77.30,'+0.28%,17.97%,0.50%,'36.28,'5.70,'211.46,'+22.47%,光伏设备
'260,600769.祥龙电业,'11.13,'+0.36%,17.95%,'-,'300.00,'35.59,'41.73,'+15.82%,工程建设
'261,002130.沃尔核材,'25.98,'-1.81%,17.94%,0.53%,'34.69,'5.54,'327.32,'+3.50%,非金属材料
'262,601600.中国铝业,'7.85,'+0.26%,17.91%,2.76%,'11.16,'1.85,'1037.12,'+8.75%,有色金属
'263,601882.海天精工,'21.00,'+5.00%,17.87%,1.71%,'25.72,'3.98,'109.62,'-2.41%,通用设备
'264,603170.宝立食品,'14.55,'-0.27%,17.86%,2.75%,'25.68,'4.18,'58.20,'-2.62%,食品饮料
'265,600861.北京人力,'20.40,'-1.54%,17.84%,3.43%,'20.90,'1.66,'115.49,'+9.33%,专业服务
'266,603179.新泉股份,'50.30,'+0.70%,17.79%,0.60%,'25.17,'4.11,'245.11,'+18.58%,汽车零部件
'267,605116.奥锐特,'23.24,'+0.17%,17.79%,1.25%,'24.20,'3.89,'94.40,'+11.60%,化学制药
'268,603766.隆鑫通用,'12.58,'-0.47%,17.78%,3.18%,'16.51,'2.74,'258.34,'+42.24%,交运设备
'269,688008.澜起科技,'124.22,'+1.07%,17.76%,0.31%,'79.23,'11.74,'1422.51,'+83.86%,半导体
'270,688183.生益电子,'82.78,'+6.40%,17.70%,0.30%,'90.05,'14.43,'688.58,'+112.61%,电子元件
'271,600160.巨化股份,'39.02,'+0.85%,17.70%,0.59%,'33.60,'5.48,'1053.44,'+63.19%,化学制品
'272,601126.四方股份,'17.06,'-5.80%,17.67%,4.22%,'18.96,'3.17,'142.16,'+5.01%,电网设备
'273,002891.中宠股份,'59.51,'+0.12%,17.67%,0.99%,'40.46,'6.29,'181.13,'+67.68%,农牧饲渔
'274,002607.中公教育,'3.02,0.00%,17.64%,'-,'300.00,'23.69,'186.26,'-11.18%,教育
'275,002871.伟隆股份,'17.90,'-9.91%,17.59%,1.70%,'35.61,'5.37,'45.08,'+90.83%,通用设备
'276,601083.锦江航运,'12.16,'-0.08%,17.58%,3.27%,'10.71,'1.75,'157.36,'+31.00%,航运港口
'277,002069.獐子岛,'4.35,'-0.23%,17.58%,'-,'-,'48.75,'30.93,'+18.53%,农牧饲渔
'278,605016.百龙创园,'21.56,'+1.99%,17.55%,0.68%,'31.54,'5.02,'90.55,'+66.73%,食品饮料
'279,301275.汉朔科技,'57.12,'+0.21%,17.55%,0.27%,'40.47,'6.18,'241.27,'+108.27%,通信设备
'280,603619.中曼石油,'19.44,'-0.66%,17.53%,3.76%,'15.92,'2.15,'89.88,'+1.95%,采掘行业
'281,601137.博威合金,'25.25,'-2.58%,17.50%,1.98%,'14.96,'2.38,'205.39,'+28.04%,有色金属
'282,000429.粤高速Ａ,'11.70,'-1.01%,17.50%,4.47%,'15.68,'2.33,'203.82,'-17.32%,铁路公路
'283,605319.无锡振华,'32.64,'-1.57%,17.49%,1.81%,'19.80,'3.18,'81.62,'+57.04%,汽车零部件
'284,600760.中航沈飞,'64.40,'+1.47%,17.47%,0.60%,'63.87,'10.37,'1825.80,'+28.04%,航天航空
'285,300201.海伦哲,'5.50,'-0.18%,17.45%,0.55%,'25.41,'3.48,'55.50,'+5.13%,工程机械
'286,601601.中国太保,'39.60,'-1.76%,17.38%,2.73%,'8.28,'1.35,'2710.64,'+19.62%,保险
'287,301552.科力装备,'43.10,'+1.89%,17.37%,1.66%,'27.96,'3.54,'41.03,'+4.77%,汽车零部件
'288,601319.中国人保,'8.75,'-2.56%,17.36%,2.06%,'8.27,'1.36,'3106.05,'+17.53%,保险
'289,002550.千红制药,'10.64,'+2.80%,17.35%,1.13%,'47.24,'5.19,'136.17,'+74.51%,化学制药
'290,002837.英维克,'80.16,'+0.20%,17.32%,0.19%,'168.63,'25.80,'776.77,'+159.54%,专用设备
'291,300015.爱尔眼科,'13.30,'-0.75%,17.31%,1.20%,'36.98,'5.72,'1240.28,'+1.68%,医疗服务
'292,603100.川仪股份,'20.74,'-0.48%,17.31%,2.77%,'17.84,'2.36,'106.44,'-1.07%,仪器仪表
'293,600415.小商品城,'22.49,'-0.04%,17.24%,1.47%,'38.15,'6.05,'1233.27,'+70.71%,商业百货
'294,688605.先锋精科,'65.33,'+1.89%,17.21%,0.31%,'64.19,'8.50,'132.21,'-14.74%,半导体
'295,300547.川环科技,'47.49,'-4.64%,17.16%,0.88%,'53.03,'8.31,'103.01,'+74.15%,橡胶制品
'296,002835.同为股份,'18.90,'+1.12%,17.14%,1.69%,'22.80,'3.46,'41.48,'+0.13%,计算机设备
'297,600301.华锡有色,'33.46,'+5.02%,17.12%,'-,'31.34,'4.83,'211.66,'+96.71%,小金属
'298,603360.百傲化学,'26.53,'+0.68%,17.12%,1.62%,'74.98,'11.84,'187.36,'+70.61%,农药兽药
'299,003041.真爱美家,'23.30,'-4.59%,17.11%,1.72%,'52.01,'2.26,'33.55,'-11.88%,纺织服装
'300,300360.炬华科技,'15.87,'-0.69%,17.09%,3.78%,'14.30,'2.00,'81.60,'-2.91%,电网设备
