序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,1年内涨,市值.亿,今年来,行业
'41,600938.中国海油,'26.01,'-0.08%,'69,1.99%,'9.44,'1.58,4.93%,18.09%,'+2.40%,'777.70,'-9.85%,石油行业
'42,600900.长江电力,'27.97,'-0.46%,'68,6.19%,'20.27,'3.17,3.37%,16.00%,'-0.82%,'6843.76,'-2.27%,电力行业
'43,600031.三一重工,'20.02,'+1.93%,'68,11.80%,'26.55,'2.27,1.80%,9.51%,'+24.27%,'1696.57,'+23.92%,工程机械
'44,000596.古井贡酒,'139.47,'-0.39%,'68,1.26%,'12.94,'2.80,4.29%,23.11%,'-12.11%,'572.08,'-16.02%,酿酒行业
'45,603317.天味食品,'11.30,0.00%,'68,1.40%,'25.60,'2.59,4.87%,11.46%,'+28.41%,'120.34,'-10.99%,食品饮料
'46,002714.牧原股份,'46.77,'+1.10%,'67,2.72%,'9.85,'3.31,3.05%,36.00%,'+25.74%,'2527.08,'+23.33%,农牧饲渔
'47,002557.洽洽食品,'22.72,'-0.96%,'67,3.95%,'19.04,'2.05,5.67%,12.08%,'-4.54%,'116.04,'-17.40%,食品饮料
'48,000921.海信家电,'25.40,'-0.16%,'66,3.05%,'12.95,'2.20,3.99%,22.59%,'-2.19%,'235.39,'-12.11%,家电行业
'49,600298.安琪酵母,'35.20,'+0.83%,'66,4.25%,'25.21,'2.73,1.56%,12.87%,'+13.00%,'305.58,'-0.86%,食品饮料
'50,002541.鸿路钢构,'18.10,'+1.12%,'66,0.70%,'24.28,'1.27,2.01%,7.37%,'+56.06%,'123.51,'+3.17%,水泥建材
'51,603606.东方电缆,'48.27,'-0.29%,'65,6.09%,'33.53,'4.55,0.93%,15.11%,'+1.75%,'331.96,'-7.29%,电网设备
'52,002142.宁波银行,'28.92,'+1.51%,'65,3.77%,'6.80,'0.80,3.16%,12.37%,'+49.79%,'1881.36,'+22.93%,银行
'53,600872.中炬高新,'18.93,0.00%,'65,6.02%,'24.01,'2.54,2.22%,15.69%,'+13.42%,'147.46,'-12.08%,食品饮料
'54,002847.盐津铺子,'70.72,'+0.06%,'65,3.32%,'32.87,'10.01,2.27%,36.96%,'+74.09%,'192.80,'+14.41%,食品饮料
'55,003006.百亚股份,'26.00,'+1.44%,'64,3.46%,'38.56,'6.97,2.14%,20.56%,'+14.06%,'110.12,'+10.36%,美容护理
'56,002517.恺英网络,'19.76,'+2.76%,'64,5.16%,'24.29,'5.67,1.04%,26.62%,'+106.55%,'410.84,'+46.04%,游戏
'57,000425.徐工机械,'8.44,'+1.56%,'63,4.54%,'15.50,'1.59,2.17%,10.73%,'+34.90%,'976.73,'+8.69%,工程机械
'58,600989.宝丰能源,'15.74,'+0.77%,'63,2.76%,'14.62,'2.54,1.78%,17.21%,'+9.76%,'1154.27,'-4.05%,化学原料
'59,000333.美的集团,'71.70,'+0.45%,'63,14.64%,'13.96,'2.38,4.91%,20.86%,'+17.67%,'5013.70,'-0.07%,家电行业
'60,600104.上汽集团,'17.53,'-2.23%,'63,2.97%,亏损,'0.69,0.50%,0.68%,'+45.00%,'2029.15,'-15.14%,汽车整车
'61,603986.兆易创新,'118.28,'+0.24%,'63,6.12%,'73.37,'4.68,0.29%,7.05%,'+70.92%,'785.45,'+11.06%,半导体
'62,000157.中联重科,'7.44,'+1.64%,'63,2.57%,'23.89,'1.08,4.10%,6.95%,'+21.59%,'519.43,'+6.90%,工程机械
'63,002463.沪电股份,'52.58,0.00%,'63,6.41%,'36.19,'7.99,0.95%,24.65%,'+60.60%,'1011.49,'+34.76%,电子元件
'64,301498.乖宝宠物,'92.73,'+0.64%,'63,2.98%,'55.77,'8.49,0.54%,16.71%,'+87.31%,'368.60,'+18.66%,农牧饲渔
'65,600011.华能国际,'7.58,'+0.40%,'62,2.09%,'9.80,'0.84,3.56%,8.61%,'+16.44%,'833.63,'+16.18%,电力行业
'66,603993.洛阳钼业,'9.51,'+1.39%,'62,3.69%,'13.60,'2.72,2.70%,22.55%,'+41.94%,'1660.53,'+47.60%,小金属
'67,603259.药明康德,'93.58,'+0.31%,'62,12.13%,'24.09,'4.49,1.43%,24.03%,'+141.06%,'2325.59,'+73.71%,医疗服务
'68,688111.金山办公,'309.66,'-0.08%,'62,3.71%,'89.98,'12.17,0.29%,15.19%,'+77.75%,'1434.28,'+8.49%,软件开发
'69,601128.常熟银行,'7.68,'+0.26%,'62,3.17%,'6.49,'0.86,2.96%,14.12%,'+37.88%,'254.71,'+15.20%,银行
'70,688012.中微公司,'196.06,'+0.45%,'61,9.18%,'86.24,'6.09,0.15%,8.82%,'+52.73%,'1227.62,'+3.82%,半导体
'71,601336.新华保险,'68.00,'+0.59%,'61,2.90%,'7.78,'2.66,2.04%,31.26%,'+107.82%,'1418.10,'+36.82%,保险
'72,300888.稳健医疗,'40.72,'+0.67%,'61,0.70%,'34.59,'2.06,1.62%,6.63%,'+60.45%,'235.55,'-2.73%,美容护理
'73,300498.温氏股份,'17.53,0.00%,'61,2.08%,'9.30,'2.71,2.00%,33.25%,'+6.31%,'1166.43,'+7.48%,农牧饲渔
'74,002353.杰瑞股份,'40.27,'+0.05%,'61,5.58%,'16.46,'1.90,2.01%,13.15%,'+48.69%,'412.10,'+11.10%,专用设备
'75,300760.迈瑞医疗,'228.31,'+0.12%,'60,10.84%,'25.28,'7.16,3.37%,29.79%,'-5.82%,'2764.73,'-9.69%,医疗器械
'76,001979.招商蛇口,'8.78,0.00%,'60,1.59%,'31.27,'0.73,2.21%,3.64%,'-0.57%,'795.54,'-12.35%,房地产开发
'77,002371.北方华创,'331.58,'+0.94%,'60,10.19%,'39.07,'7.26,0.24%,20.86%,'+46.88%,'2370.47,'+14.76%,半导体
'78,600276.恒瑞医药,'61.58,'-1.16%,'60,8.39%,'61.92,'8.70,0.32%,15.40%,'+37.33%,'3928.19,'+34.64%,化学制药
'79,603833.欧派家居,'53.35,'+0.13%,'59,1.92%,'13.32,'1.68,4.65%,14.28%,'+28.65%,'324.98,'-19.30%,装修建材
'80,600398.海澜之家,'6.94,'+0.73%,'59,1.80%,'16.15,'1.86,5.91%,11.79%,'+23.05%,'333.31,'-5.18%,纺织服装
