序	代码	股票	价	涨	股东数.人	百分位	北上持股	扣非PE	PB	股息	市值.亿	今年来	行业
124	301086	鸿富瀚	66.07	+4.05%	12,399	0.00%	-	78.66	3.14	1.21%	59	+32.22%	消费电子
125	301088	戎美股份	14.35	+0.56%	18,943	0.00%	-	60.82	1.31	3.32%	33	+9.81%	纺织服装
126	301090	华润材料	7.91	+1.02%	23,826	0.00%	0.23%	-	1.83	-	118	+13.98%	化学原料
127	301092	争光股份	31.39	-0.19%	10,292	0.00%	-	44.49	2.21	0.83%	42	+35.59%	化学制品
128	301093	华兰股份	37.16	+9.55%	15,277	0.00%	-	124.15	2.69	0.41%	61	+104.23%	医疗器械
129	301109	军信股份	15.43	0.00%	21,991	0.00%	0.13%	18.92	1.63	4.17%	122	+34.80%	环保行业
130	301111	粤万年青	17.00	+2.10%	12,318	0.00%	-	-	3.63	0.29%	27	+4.77%	中药
131	301123	奕东电子	46.10	-3.84%	18,901	0.00%	0.25%	-	3.77	0.22%	108	+125.43%	消费电子
132	301155	海力风电	75.44	-0.74%	14,923	0.00%	0.84%	136.69	2.93	0.12%	164	+41.70%	风电设备
133	301175	中科环保	5.55	+0.54%	43,811	0.00%	0.32%	23.47	2.27	2.43%	82	+5.53%	环保行业
134	301186	超达装备	45.46	+0.69%	5,820	0.00%	-	35.47	2.38	1.09%	37	+15.27%	汽车零部件
135	301189	奥尼电子	34.07	+0.44%	17,252	0.00%	-	-	1.87	-	40	+41.66%	通信设备
136	301215	中汽股份	6.40	-0.62%	27,191	0.00%	0.41%	52.33	2.95	1.20%	85	+8.51%	汽车服务
137	301234	五洲医疗	43.30	-2.48%	6,048	0.00%	-	114.17	3.91	0.69%	29	+74.00%	医疗器械
138	301270	汉仪股份	38.70	-2.05%	9,275	0.00%	-	300.00	3.78	0.26%	39	+8.57%	互联网服务
139	300597	吉大通信	9.69	-0.51%	20,533	0.52%	-	-	2.76	0.04%	26	+10.79%	通信服务
140	000548	湖南投资	5.47	+0.55%	45,007	0.59%	-	50.09	1.33	0.91%	27	+7.21%	铁路公路
141	000698	沈阳化工	4.27	+0.47%	47,529	0.93%	-	33.67	2.42	-	35	+26.71%	石油行业
142	600639	浦东金桥	10.71	0.00%	63,682	0.96%	0.59%	60.40	0.85	3.01%	91	-0.63%	房地产开发
143	600323	瀚蓝环境	25.82	-2.20%	21,058	0.97%	0.68%	12.63	1.53	3.10%	211	+13.03%	环保行业
144	600098	广州发展	6.88	+4.08%	51,630	1.01%	0.67%	27.43	0.89	3.92%	241	+11.74%	电力行业
145	600322	津投城开	2.79	-0.36%	60,916	1.04%	-	-	-1.00	-	31	+2.57%	房地产开发
146	301056	森赫股份	10.83	+1.22%	10,139	1.05%	-	45.11	3.62	3.69%	29	+37.84%	专用设备
147	600057	厦门象屿	7.29	+2.24%	36,458	1.06%	1.21%	42.43	0.68	3.43%	205	+16.40%	物流行业
148	000757	浩物股份	4.84	0.00%	23,939	1.09%	-	300.00	1.63	-	26	+29.76%	汽车服务
149	600018	上港集团	5.59	-0.89%	143,283	1.16%	0.71%	9.69	0.95	3.49%	1301	-6.29%	航运港口
150	601628	中国人寿	40.97	-2.64%	103,783	1.20%	0.38%	10.55	2.21	1.59%	8531	-1.16%	保险
151	601328	交通银行	7.19	-1.10%	263,071	1.22%	2.62%	6.79	0.49	3.88%	3836	-2.64%	银行
152	601939	建设银行	9.04	+0.44%	297,588	1.23%	3.68%	7.11	0.66	2.02%	1915	+7.59%	银行
153	000544	中原环保	8.84	+1.96%	24,118	1.23%	0.53%	8.65	0.84	2.94%	86	+4.51%	公用事业
154	600052	东望时代	4.74	+2.82%	29,486	1.37%	-	-	1.47	1.05%	40	+4.87%	公用事业
155	601958	金钼股份	16.50	+10.00%	74,511	1.47%	2.76%	18.84	2.89	2.42%	532	+69.22%	小金属
156	002379	宏创控股	18.25	-0.98%	19,314	1.47%	4.39%	-	11.26	-	207	+103.46%	有色金属
157	000571	新大洲A	4.76	+4.85%	46,752	1.49%	-	-	23.31	-	40	+35.61%	煤炭行业
158	603059	倍加洁	31.54	+1.06%	4,787	1.67%	-	-	3.05	0.63%	32	+35.19%	美容护理
159	300022	吉峰科技	8.48	-1.51%	19,417	1.67%	-	-	7.74	-	42	+57.91%	工程机械
160	600808	马钢股份	3.62	-0.55%	127,414	1.74%	0.65%	-	1.17	-	217	+17.15%	钢铁行业
161	600649	城投控股	4.68	-0.21%	68,443	1.77%	0.61%	37.51	0.56	0.86%	117	+6.09%	房地产开发
162	300983	尤安设计	21.60	-0.23%	12,637	1.79%	-	-	1.31	-	37	+27.74%	工程咨询服务
163	600359	新农开发	7.12	+0.42%	41,879	1.92%	-	-	4.01	-	27	+11.42%	农牧饲渔
164	000761	本钢板材	3.65	+1.96%	46,250	1.96%	0.27%	-	1.43	-	135	+14.06%	钢铁行业
165	600231	凌钢股份	2.08	+0.48%	43,733	1.98%	0.43%	-	1.18	-	59	+16.20%	钢铁行业
166	600350	山东高速	9.22	+1.10%	33,930	1.98%	1.18%	14.71	1.09	4.56%	446	-6.44%	铁路公路
167	600103	青山纸业	2.51	+6.81%	97,187	2.00%	0.94%	117.35	1.42	0.48%	56	-1.41%	造纸印刷
168	603159	上海亚虹	22.00	+10.00%	7,580	2.00%	-	211.33	6.11	0.30%	31	+42.31%	专用设备
169	002052	同洲电子	16.75	-1.93%	25,752	2.01%	-	37.06	43.43	-	126	+169.29%	家电行业
170	600287	江苏舜天	6.11	-3.63%	19,147	2.02%	-	300.00	1.21	-	27	+45.48%	商业百货
171	002807	江阴银行	4.80	0.00%	45,245	2.15%	3.35%	5.56	0.62	4.17%	118	+15.58%	银行
172	603609	禾丰股份	8.60	-0.81%	21,641	2.22%	3.52%	15.10	1.15	0.67%	78	+0.39%	农牧饲渔
173	301218	华是科技	22.54	+0.40%	13,700	2.22%	-	300.00	2.78	0.11%	26	+3.86%	软件开发
174	600015	华夏银行	7.42	-1.98%	81,540	2.30%	3.22%	4.45	0.32	5.46%	1181	-2.54%	银行
175	600508	上海能源	12.11	+0.58%	35,000	2.33%	0.92%	20.21	0.68	3.30%	88	-6.91%	煤炭行业
176	603458	勘设股份	9.17	+2.12%	16,081	2.33%	-	-	0.97	-	28	+58.65%	工程咨询服务
177	603997	继峰股份	12.09	-2.42%	14,808	2.38%	0.88%	-	3.06	-	153	+5.59%	汽车零部件
178	600784	鲁银投资	6.32	-0.78%	29,889	2.50%	-	18.14	1.32	1.04%	43	+8.41%	综合行业
179	300504	天邑股份	15.65	+0.51%	23,917	2.54%	-	-	1.99	-	42	-13.20%	通信设备
180	601811	新华文轩	16.18	-0.80%	17,557	2.56%	1.57%	11.34	1.32	3.71%	128	+4.84%	文化传媒
181	600663	陆家嘴	8.59	-0.58%	94,510	2.59%	0.31%	24.70	1.74	1.74%	338	-11.89%	房地产开发
182	603929	亚翔集成	42.47	-0.70%	12,639	2.63%	3.60%	16.20	4.99	2.35%	91	+58.69%	装修装饰
183	002128	电投能源	21.08	+1.64%	30,505	2.70%	1.28%	9.56	1.32	4.03%	473	+12.20%	煤炭行业
184	600846	同济科技	10.96	-2.23%	35,650	2.80%	1.00%	22.33	1.67	1.82%	68	+29.69%	工程建设
185	601009	南京银行	10.89	-2.07%	75,492	2.82%	2.88%	6.49	0.65	4.50%	1346	+3.97%	银行
186	600868	梅雁吉祥	2.83	+4.04%	212,555	2.83%	0.09%	-	2.77	-	54	+14.11%	电力行业
187	002956	西麦食品	22.02	+0.96%	12,960	2.92%	-	39.09	3.26	1.90%	49	+34.39%	食品饮料
188	000659	珠海中富	2.73	+0.37%	41,538	2.94%	-	-	18.85	-	35	-3.19%	包装材料
189	600382	广东明珠	6.10	+6.09%	19,479	3.00%	-	41.87	1.55	1.64%	42	+40.96%	钢铁行业
190	000900	现代投资	4.27	-0.23%	41,860	3.03%	1.43%	17.75	0.52	3.51%	65	+0.44%	铁路公路
191	300883	龙利得	6.57	+1.39%	18,980	3.03%	-	-	1.60	0.15%	23	+22.57%	造纸印刷
192	605567	春雪食品	10.33	+0.68%	14,634	3.09%	-	90.49	1.93	0.97%	21	+15.98%	食品饮料
193	000036	华联控股	4.46	+7.21%	40,400	3.15%	0.86%	300.00	1.24	-	63	+9.31%	房地产开发
194	601118	海南橡胶	5.29	+1.54%	83,000	3.28%	0.59%	-	2.32	0.21%	226	-2.00%	橡胶制品
195	601229	上海银行	9.48	-0.63%	98,004	3.33%	4.57%	-	0.51	5.27%	1347	+5.79%	银行
196	603817	海峡环保	6.16	+3.36%	25,931	3.33%	-	19.43	1.12	1.12%	35	+10.89%	环保行业
197	300599	雄塑科技	8.00	-0.50%	14,491	3.45%	-	-	1.44	-	29	+10.80%	装修建材
198	300625	三雄极光	12.13	-1.54%	18,082	3.45%	-	-	1.72	2.47%	34	+6.70%	家电行业
199	600903	贵州燃气	6.96	-0.14%	48,325	3.57%	0.41%	-	2.49	0.52%	80	-10.29%	燃气
200	601333	广深铁路	3.35	+4.36%	158,195	3.57%	0.51%	20.11	0.85	2.09%	189	+0.03%	铁路公路
