,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'720,300415.伊之密,'25.05,'-0.71%,2.00%,2.13%,'18.40,'3.84,22.85%,'117.37,'+27.93%,专用设备
'721,300509.新美星,'9.36,'+3.08%,1.60%,2.13%,'41.86,'4.78,11.19%,'27.74,'+37.49%,专用设备
'722,300729.乐歌股份,'14.83,'-0.40%,2.02%,2.13%,'29.45,'1.39,9.07%,'50.66,'-4.80%,家用轻工
'723,600782.新钢股份,'4.07,0.00%,0.25%,2.12%,亏损,'0.49,0.84%,'129.53,'+22.15%,钢铁行业
'724,601116.三江购物,'11.96,'+10.03%,1.67%,2.12%,'59.35,'2.05,4.93%,'65.50,'+11.96%,商业百货
'725,603466.风语筑,'10.54,'-0.57%,1.90%,2.12%,亏损,'2.97,0.73%,'62.69,'+15.35%,文化传媒
'726,002960.青鸟消防,'11.10,'+2.12%,1.50%,2.12%,'29.86,'1.56,5.30%,'96.50,'+16.11%,专用设备
'727,601038.一拖股份,'13.18,'-0.83%,2.27%,2.11%,'21.76,'1.93,10.52%,'96.44,'-8.76%,专用设备
'728,603182.嘉华股份,'14.17,'+1.58%,0.71%,2.11%,'20.99,'2.08,10.60%,'23.32,'+24.06%,农牧饲渔
'729,000422.湖北宜化,'14.28,'+2.07%,1.39%,2.11%,'48.53,'2.85,8.08%,'155.44,'+15.04%,化肥行业
'730,000541.佛山照明,'6.82,'-0.87%,1.76%,2.11%,'300.00,'1.56,5.68%,'84.03,'+12.04%,家电行业
'731,000789.万年青,'6.04,'-0.49%,2.48%,2.11%,亏损,'0.72,0.77%,'48.16,'+23.49%,水泥建材
'732,600549.厦门钨业,'32.70,'+6.24%,1.28%,2.10%,'32.78,'3.19,12.06%,'519.14,'+73.12%,小金属
'733,601816.京沪高铁,'5.26,'-1.50%,2.25%,2.10%,'20.22,'1.27,6.39%,'2573.49,'-12.80%,铁路公路
'734,603367.辰欣药业,'25.38,'-0.31%,1.73%,2.10%,'31.15,'1.89,7.87%,'114.91,'+87.60%,化学制药
'735,000731.四川美丰,'7.09,'-0.28%,3.81%,2.10%,'86.66,'0.97,2.74%,'39.62,'-0.97%,化肥行业
'736,001219.青岛食品,'14.52,'-1.16%,2.07%,2.10%,'32.19,'2.74,10.10%,'28.31,'+8.12%,食品饮料
'737,300453.三鑫医疗,'9.77,'-1.31%,3.07%,2.10%,'23.35,'3.79,18.31%,'51.04,'+34.27%,医疗器械
