,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1151,600833.第一医药,'14.59,'+10.03%,1.51%,1.27%,'300.00,'2.94,4.32%,'32.55,'+9.91%,医药商业
'1152,603332.苏州龙杰,'15.93,'-1.06%,1.38%,1.27%,'79.68,'2.75,4.86%,'34.46,'+87.09%,化纤行业
'1153,603466.风语筑,'10.54,'-0.57%,1.90%,1.27%,亏损,'2.97,0.73%,'62.69,'+15.35%,文化传媒
'1154,605151.西上海,'19.91,'-0.35%,0.40%,1.27%,亏损,'1.98,'-1.00%,'26.79,'+24.83%,汽车零部件
'1155,688678.福立旺,'28.23,'+1.88%,0.35%,1.27%,亏损,'4.06,'-1.00%,'73.19,'+91.15%,消费电子
'1156,001213.中铁特货,'4.24,0.00%,1.44%,1.27%,'36.55,'0.99,2.91%,'188.44,'+3.21%,物流行业
'1157,002273.水晶光电,'27.32,'-1.80%,1.10%,1.27%,'37.60,'4.10,12.41%,'379.92,'+24.20%,光学光电子
'1158,002983.芯瑞达,'22.34,'-1.84%,1.12%,1.27%,'41.06,'3.57,9.84%,'49.92,'+15.11%,光学光电子
'1159,600196.复星医药,'30.68,'+6.38%,1.04%,1.26%,'40.54,'1.73,6.88%,'649.95,'+24.90%,化学制药
'1160,600587.新华医疗,'16.33,'+0.31%,1.53%,1.26%,'20.54,'1.26,7.72%,'99.07,'-0.29%,医疗器械
'1161,600958.东方证券,'11.29,'-1.83%,1.55%,1.26%,'20.87,'1.13,5.69%,'843.30,'+8.00%,证券
'1162,601208.东材科技,'18.47,'-7.09%,0.49%,1.26%,'105.80,'3.96,4.61%,'183.69,'+147.63%,塑料制品
'1163,688355.明志科技,'19.37,'+2.49%,2.58%,1.26%,'60.47,'2.26,6.36%,'24.01,'+18.62%,通用设备
'1164,300041.回天新材,'11.05,'+3.37%,1.36%,1.26%,'81.51,'2.15,3.72%,'61.82,'+22.12%,化学制品
'1165,300703.创源股份,'31.19,'-4.79%,0.48%,1.26%,'48.97,'6.21,13.96%,'56.26,'+120.50%,家用轻工
'1166,600327.大东方,'4.96,'+0.61%,0.60%,1.25%,亏损,'1.29,'-1.00%,'43.89,'-6.36%,医疗服务
'1167,601702.华峰铝业,'17.76,'-0.67%,1.69%,1.25%,'14.89,'3.05,23.02%,'177.34,'-1.22%,有色金属
'1168,000963.华东医药,'45.45,'+2.60%,2.05%,1.25%,'22.85,'3.36,15.96%,'797.23,'+33.09%,化学制药
'1169,300450.先导智能,'40.70,'+14.62%,0.14%,1.25%,'98.88,'5.18,4.71%,'637.43,'+103.75%,电池
'1170,300932.三友联众,'12.08,'+0.92%,1.29%,1.25%,'65.06,'2.23,3.80%,'38.67,'+17.45%,电网设备
'1171,301128.强瑞技术,'94.43,'-1.53%,0.45%,1.25%,'97.70,'11.79,12.72%,'97.68,'+133.98%,专用设备
'1172,600262.北方股份,'24.40,'+6.18%,1.30%,1.24%,'22.06,'2.47,12.75%,'41.48,'+35.15%,专用设备
'1173,600643.爱建集团,'6.06,'+1.00%,0.34%,1.24%,亏损,'0.81,'-1.00%,'96.55,'+17.21%,多元金融
'1174,603896.寿仙谷,'21.56,'+0.51%,1.25%,1.24%,'45.68,'1.85,6.17%,'42.74,'+2.88%,中药
'1175,000061.农产品,'8.35,'-4.79%,0.84%,1.24%,'46.16,'2.22,5.78%,'141.70,'+20.37%,贸易行业
'1176,002906.华阳集团,'31.65,'-0.57%,1.52%,1.24%,'24.52,'2.53,11.17%,'166.14,'+4.49%,汽车零部件
'1177,300319.麦捷科技,'12.97,'-0.23%,0.88%,1.24%,'44.07,'2.47,7.62%,'114.02,'+5.08%,电子元件
'1178,300381.溢多利,'7.40,'+0.68%,1.35%,1.24%,'300.00,'1.41,0.13%,'36.34,'+6.80%,化学制药
'1179,300507.苏奥传感,'8.25,'-1.08%,0.72%,1.24%,'69.97,'3.16,6.52%,'66.05,'+24.08%,汽车零部件
'1180,300705.九典制药,'18.90,'+2.00%,1.64%,1.24%,'18.83,'3.65,21.80%,'94.54,'+7.39%,化学制药
'1181,300993.玉马科技,'16.66,'+0.18%,1.20%,1.24%,'30.30,'3.45,12.15%,'51.33,'+48.79%,家用轻工
'1182,301080.百普赛斯,'59.83,'+2.08%,0.84%,1.24%,'69.00,'3.84,5.85%,'100.42,'+91.86%,医疗服务
'1183,600195.中牧股份,'7.70,'+1.18%,0.30%,1.23%,'92.29,'1.40,1.61%,'78.63,'+15.11%,农药兽药
'1184,603680.今创集团,'13.37,'-1.18%,1.12%,1.23%,'17.62,'1.88,9.74%,'104.78,'+63.26%,交运设备
'1185,603815.交建股份,'10.02,'+3.83%,0.65%,1.23%,'37.75,'2.59,7.11%,'62.02,'+79.42%,工程建设
'1186,688677.海泰新光,'44.07,'+1.05%,1.36%,1.23%,'38.58,'4.20,11.00%,'52.83,'+18.73%,医疗器械
'1187,002518.科士达,'35.70,'-3.51%,0.64%,1.23%,'55.56,'4.66,9.94%,'207.85,'+60.11%,电源设备
'1188,002559.亚威股份,'10.67,'+0.85%,0.70%,1.23%,'106.32,'3.38,4.56%,'58.66,'+19.88%,通用设备
'1189,300735.光弘科技,'31.64,'+2.33%,0.79%,1.23%,'98.56,'5.01,5.76%,'242.82,'+14.16%,消费电子
'1190,301000.肇民科技,'45.20,'-0.20%,0.88%,1.23%,'84.77,'9.14,11.51%,'109.78,'+78.71%,塑料制品
'1191,603590.康辰药业,'61.79,'+10.01%,0.97%,1.22%,'186.36,'3.16,1.73%,'98.47,'+167.84%,生物制品
'1192,605189.富春染织,'14.78,'+4.60%,0.94%,1.22%,'46.01,'1.54,3.02%,'28.68,'+59.43%,纺织服装
'1193,688308.欧科亿,'19.70,'+0.51%,0.76%,1.22%,亏损,'1.23,'-1.00%,'31.28,'+9.98%,通用设备
'1194,688665.四方光电,'62.42,'+2.97%,0.56%,1.22%,'44.09,'5.77,15.25%,'62.77,'+93.20%,仪器仪表
'1195,000968.蓝焰控股,'7.01,'-0.28%,0.43%,1.22%,'16.80,'1.10,7.39%,'67.82,'+5.85%,燃气
'1196,002585.双星新材,'5.58,0.00%,0.54%,1.22%,亏损,'0.74,'-1.00%,'64.03,'+5.12%,塑料制品
'1197,300272.开能健康,'6.69,'+0.91%,2.26%,1.22%,'45.30,'3.24,7.70%,'40.86,'+9.47%,家电行业
'1198,300824.北鼎股份,'12.91,'-0.77%,2.21%,1.22%,'48.17,'5.84,13.16%,'42.13,'+34.22%,家电行业
'1199,300834.星辉环材,'23.68,'+0.25%,1.10%,1.22%,'71.30,'1.56,2.50%,'45.87,'+21.14%,化学原料
'1200,301158.德石股份,'19.33,'+2.38%,1.60%,1.22%,'28.28,'2.17,8.37%,'29.07,'+39.41%,专用设备
'1201,600521.华海药业,'26.59,'+10.01%,0.94%,1.21%,'54.69,'4.02,8.34%,'398.12,'+50.57%,化学制药
'1202,603345.安井食品,'74.88,'+0.78%,4.47%,1.21%,'20.96,'1.87,10.35%,'219.62,'-5.72%,食品饮料
