序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,2月内涨,市值.亿,今年来,行业
'1,605499.东鹏饮料,'314.94,'+1.94%,'39,9.90%,'42.81,'18.75,2.20%,50.26%,'+4.55%,'1637.73,'+28.92%,食品饮料
'2,002594.比亚迪,'109.70,'-3.82%,'30,7.07%,'26.14,'4.31,1.21%,22.47%,'+1.88%,'5960.88,'+17.82%,汽车整车
'3,603486.科沃斯,'93.00,'-4.01%,'30,1.65%,'52.60,'6.65,0.48%,15.64%,'+65.72%,'536.01,'+99.54%,家电行业
'4,000729.燕京啤酒,'12.54,'-0.48%,'30,3.39%,'26.45,'2.25,1.52%,9.24%,'-2.56%,'353.44,'+5.70%,酿酒行业
'5,601138.工业富联,'55.62,'+3.33%,'28,2.47%,'41.61,'7.28,1.15%,18.32%,'+115.00%,'11045.84,'+163.77%,消费电子
'6,601128.常熟银行,'7.51,'-0.13%,'28,3.17%,'6.18,'0.83,3.03%,14.38%,'-0.40%,'249.07,'+12.65%,银行
'7,600309.万华化学,'69.02,'+0.61%,'28,4.33%,'18.78,'2.17,1.82%,11.48%,'+24.81%,'2160.65,'-1.98%,化学制品
'8,300979.华利集团,'52.59,'-0.76%,'28,0.49%,'16.96,'3.80,4.37%,23.04%,'-2.14%,'613.73,'-30.20%,纺织服装
'9,002891.中宠股份,'59.51,'+0.12%,'26,7.01%,'40.46,'6.29,0.99%,17.67%,'-1.18%,'181.13,'+67.68%,农牧饲渔
'10,600519.贵州茅台,'1476.10,'-0.26%,'25,5.80%,'20.55,'7.75,3.50%,39.34%,'+4.24%,'18484.76,'-1.24%,酿酒行业
'11,002463.沪电股份,'69.80,'+1.47%,'23,6.41%,'43.62,'10.54,0.72%,27.40%,'+42.25%,'1342.94,'+78.89%,电子元件
'12,000625.长安汽车,'12.46,'-0.88%,'23,1.33%,'42.67,'1.62,2.37%,9.18%,'+0.32%,'1030.75,'-4.57%,汽车整车
'13,600882.妙可蓝多,'27.65,'-0.22%,'23,0.59%,'153.09,'3.10,0.00%,3.80%,'-7.15%,'141.58,'+54.47%,食品饮料
'14,600989.宝丰能源,'17.57,'+1.27%,'22,2.76%,'14.57,'2.88,1.59%,20.65%,'+10.30%,'1288.47,'+7.11%,化学原料
'15,300750.宁德时代,'304.00,'-0.71%,'22,13.78%,'26.58,'4.70,2.23%,23.77%,'+15.45%,'13386.33,'+17.55%,电池
'16,600132.重庆啤酒,'55.07,'-0.65%,'21,6.24%,'22.42,'16.47,4.36%,64.93%,'-0.25%,'266.52,'-11.18%,酿酒行业
'17,600276.恒瑞医药,'68.35,'+3.20%,'21,8.39%,'65.17,'7.76,0.29%,14.55%,'+28.00%,'4360.05,'+49.45%,化学制药
'18,601088.中国神华,'37.90,'+1.15%,'21,1.04%,'13.70,'1.88,5.96%,13.47%,'+0.48%,'6250.10,'-7.75%,煤炭行业
'19,600298.安琪酵母,'40.23,'+1.57%,'21,4.25%,'26.54,'3.11,1.37%,13.38%,'+16.34%,'349.25,'+13.31%,食品饮料
'20,002714.牧原股份,'54.80,'-0.29%,'21,2.72%,'10.49,'3.82,2.57%,38.70%,'+25.49%,'2993.60,'+44.50%,农牧饲渔
'21,600600.青岛啤酒,'69.44,'-0.09%,'21,3.29%,'22.79,'3.16,3.17%,15.79%,'+0.94%,'492.42,'-11.47%,酿酒行业
'22,600048.保利发展,'7.89,'-0.88%,'20,4.30%,亏损,'0.48,2.15%,0.15%,'-1.99%,'944.47,'-9.03%,房地产开发
'23,002241.歌尔股份,'35.68,'-2.83%,'20,3.03%,'55.55,'3.68,0.70%,8.78%,'+57.60%,'1245.77,'+39.21%,消费电子
'24,600900.长江电力,'27.79,'-1.07%,'20,6.19%,'19.81,'3.29,3.39%,17.08%,'-4.80%,'6799.72,'-2.90%,电力行业
'25,603198.迎驾贡酒,'45.15,'-0.94%,'20,1.12%,'15.75,'3.70,3.32%,25.38%,'+14.07%,'361.20,'-13.14%,酿酒行业
'26,603997.继峰股份,'12.09,'-2.42%,'20,0.88%,亏损,'3.06,0.00%,'-1.00%,'-0.17%,'153.30,'+5.59%,汽车零部件
'27,002847.盐津铺子,'75.53,'+1.37%,'20,3.32%,'32.74,'9.46,2.12%,36.82%,'-2.19%,'206.03,'+22.19%,食品饮料
'28,600011.华能国际,'7.48,'+1.36%,'19,2.09%,'9.67,'0.83,3.61%,8.61%,'+3.17%,'822.63,'+14.65%,电力行业
'29,603259.药明康德,'111.58,'+8.02%,'19,12.13%,'29.52,'5.50,1.21%,24.03%,'+58.49%,'2759.69,'+107.12%,医疗服务
'30,601058.赛轮轮胎,'14.43,'+1.83%,'19,4.31%,'12.60,'2.31,2.63%,19.50%,'+7.69%,'474.47,'+2.61%,橡胶制品
'31,688111.金山办公,'332.20,'-0.69%,'19,3.71%,'96.41,'13.22,0.27%,15.19%,'+22.10%,'1538.68,'+16.39%,软件开发
'32,600176.中国巨石,'16.30,'+4.42%,'19,10.10%,'22.81,'2.12,1.47%,10.69%,'+29.98%,'652.51,'+46.00%,玻璃玻纤
'33,000786.北新建材,'26.27,'-1.61%,'19,10.49%,'13.48,'1.70,3.29%,13.35%,'-2.27%,'443.83,'-10.62%,装修建材
'34,000858.五粮液,'128.87,'-0.51%,'19,3.08%,'15.50,'3.56,4.46%,23.83%,'+9.45%,'5002.23,'-3.70%,酿酒行业
'35,002372.伟星新材,'10.69,'-0.83%,'19,3.23%,'20.13,'3.72,5.61%,19.21%,'+2.69%,'170.19,'-11.69%,装修建材
'36,688169.石头科技,'212.00,'-1.34%,'19,3.91%,'43.63,'4.11,0.36%,12.12%,'+37.71%,'549.31,'+36.05%,家电行业
'37,603444.吉比特,'460.00,'+0.17%,'19,9.68%,'31.20,'6.26,2.17%,20.94%,'+38.08%,'331.39,'+113.30%,游戏
'38,002353.杰瑞股份,'47.20,'-0.51%,'19,5.58%,'17.81,'2.21,1.72%,13.37%,'+38.38%,'483.26,'+30.22%,专用设备
'39,002345.潮宏基,'15.79,'+6.98%,'18,7.36%,'48.16,'3.85,2.22%,8.10%,'+3.47%,'140.30,'+175.74%,珠宝首饰
'40,600160.巨化股份,'39.02,'+0.85%,'18,3.15%,'33.60,'5.48,0.59%,17.70%,'+35.53%,'1053.44,'+63.19%,化学制品
