序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
159	18728	华夏智胜新锐	9月1日	1.421	1.421	0.73%	-0.50%	7.22%	23.38%	31.33%	77.98%	46.42%	---	38.11%	42.10%	81.60%	0.15%
160	4450	嘉实前沿科技	9月1日	2.2751	2.2751	1.19%	2.61%	15.24%	25.99%	18.14%	77.77%	39.41%	35.39%	50.05%	127.49%	80.66%	0.15%
161	6003	工银医药健康	9月1日	2.4651	3.0083	4.76%	1.96%	8.74%	35.45%	57.31%	77.47%	34.78%	18.86%	69.52%	196.68%	80.08%	0.00%
162	18729	华夏智胜新锐	9月1日	1.4088	1.4088	0.73%	-0.51%	7.18%	23.27%	31.06%	77.25%	45.25%	---	37.74%	40.88%	80.87%	0.00%
163	5209	东吴双三角股	9月1日	0.7601	0.7601	0.94%	4.02%	27.96%	78.64%	51.69%	77.14%	42.39%	-1.85%	66.43%	-23.99%	77.47%	0.15%
164	2861	工银智能制造	9月1日	2.113	2.113	1.05%	3.83%	19.78%	39.47%	29.31%	77.12%	67.17%	35.28%	40.96%	111.30%	82.79%	0.15%
165	5210	东吴双三角股	9月1日	0.7303	0.7303	0.94%	4.02%	27.90%	78.43%	51.33%	76.36%	41.07%	-3.25%	65.90%	-26.97%	76.70%	0.00%
166	20315	嘉实前沿科技	9月1日	2.2441	2.2441	1.19%	2.60%	15.19%	25.80%	17.79%	76.09%	---	---	49.51%	43.59%	78.97%	0.00%
167	9863	富国创新趋势	9月1日	0.7766	0.7766	2.14%	7.80%	35.91%	65.66%	61.12%	75.15%	37.70%	16.19%	69.71%	-22.34%	81.32%	0.15%
168	18194	建信新材料精	9月1日	1.8315	1.8315	1.12%	2.37%	11.49%	28.63%	37.88%	75.13%	82.47%	---	45.97%	83.15%	78.01%	0.15%
169	5310	广发电子信息	9月1日	3.0934	3.0934	3.51%	6.66%	27.75%	57.51%	31.57%	75.04%	37.96%	84.03%	41.29%	209.34%	80.14%	0.15%
170	17479	广发医药精选	9月1日	1.3712	1.3712	4.25%	0.14%	6.67%	31.54%	51.15%	74.68%	38.98%	---	64.35%	37.12%	76.91%	0.15%
171	3745	广发多元新兴	9月1日	2.1395	2.1395	1.37%	2.30%	24.00%	44.12%	46.19%	74.43%	41.60%	-0.47%	44.60%	113.95%	79.04%	0.15%
172	10236	广发电子信息	9月1日	3.0368	3.0368	3.51%	6.66%	27.71%	57.34%	31.30%	74.34%	36.87%	81.86%	40.92%	81.77%	79.44%	0.00%
173	18195	建信新材料精	9月1日	1.8148	1.8148	1.12%	2.36%	11.46%	28.51%	37.61%	74.23%	80.83%	---	45.58%	81.48%	77.11%	0.00%
174	5777	广发科技动力	9月1日	1.6082	1.6082	0.24%	1.01%	13.52%	28.00%	25.32%	74.05%	31.15%	13.50%	39.25%	60.82%	78.49%	0.15%
175	11236	摩根行业睿选	9月1日	0.9104	0.9104	0.62%	3.69%	13.60%	38.70%	36.59%	73.81%	44.30%	8.60%	46.34%	-8.96%	77.57%	0.15%
176	17480	广发医药精选	9月1日	1.3562	1.3562	4.24%	0.13%	6.62%	31.35%	50.72%	73.76%	37.57%	---	63.77%	35.62%	75.99%	0.00%
177	7685	华商电子行业	9月1日	2.1499	2.1499	1.46%	4.98%	26.48%	42.52%	25.38%	73.63%	60.21%	40.73%	35.85%	114.99%	79.19%	0.15%
178	11122	汇添富ESG	9月1日	0.9094	0.9094	2.77%	6.19%	27.62%	46.91%	41.17%	73.62%	57.55%	17.48%	53.72%	-9.06%	74.21%	0.15%
179	1975	景顺长城环保	9月1日	4.002	4.002	0.40%	1.60%	13.92%	22.31%	18.79%	73.40%	31.91%	24.05%	35.80%	300.20%	78.10%	0.15%
180	1072	华安智能装备	9月1日	3.086	3.139	2.12%	5.25%	22.90%	47.23%	31.21%	73.37%	61.82%	63.89%	36.25%	224.31%	78.90%	0.15%
181	5457	景顺长城量化	9月1日	1.7421	2.0221	0.80%	0.50%	11.43%	26.67%	26.62%	73.08%	41.03%	31.40%	33.44%	112.52%	76.45%	0.15%
182	11237	摩根行业睿选	9月1日	0.8901	0.8901	0.62%	3.68%	13.55%	38.54%	36.27%	72.94%	42.87%	7.00%	45.87%	-10.99%	76.68%	0.00%
183	1917	招商量化精选	9月1日	3.4886	3.5586	0.72%	0.81%	11.40%	28.98%	28.10%	72.77%	57.23%	66.53%	38.34%	271.14%	74.28%	0.15%
184	12350	万家元贞量化	9月1日	1.2755	1.2755	1.58%	3.29%	19.22%	33.30%	37.51%	72.55%	28.36%	---	39.31%	27.55%	76.32%	0.15%
185	1070	建信信息产业	9月1日	3.212	3.212	1.90%	6.11%	21.34%	44.55%	34.84%	72.41%	35.41%	10.26%	46.33%	221.20%	75.71%	0.15%
186	13622	华安智能装备	9月1日	3.013	3.013	2.10%	5.24%	22.83%	47.05%	30.83%	72.37%	59.93%	60.95%	35.72%	23.69%	77.86%	0.00%
187	11123	汇添富ESG	9月1日	0.8794	0.8794	2.77%	6.18%	27.54%	46.64%	40.61%	72.26%	55.10%	14.73%	52.94%	-12.06%	72.87%	0.00%
188	3053	嘉实文体娱乐	9月1日	2.237	2.237	0.81%	1.54%	12.81%	24.90%	11.24%	72.08%	20.72%	42.85%	26.53%	123.70%	79.82%	0.15%
189	14863	建信信息产业	9月1日	3.173	3.173	1.89%	6.12%	21.34%	44.42%	34.62%	72.07%	34.62%	9.11%	45.95%	7.78%	75.40%	0.00%
190	6923	前海开源沪港	9月1日	1.465	1.465	2.21%	2.02%	17.68%	35.99%	31.89%	71.91%	51.50%	35.57%	58.16%	46.50%	74.28%	0.15%
191	7950	招商量化精选	9月1日	3.3741	3.3741	0.71%	0.79%	11.34%	28.78%	27.71%	71.74%	55.36%	63.56%	37.79%	241.44%	73.24%	0.00%
192	12351	万家元贞量化	9月1日	1.2599	1.2599	1.57%	3.29%	19.17%	33.14%	37.15%	71.70%	27.08%	---	38.85%	25.99%	75.47%	0.00%
193	6924	前海开源沪港	9月1日	1.4426	1.4426	2.21%	2.02%	17.66%	35.90%	31.73%	71.41%	50.84%	34.67%	57.89%	44.26%	73.77%	0.00%
194	3230	创金合信医疗	9月1日	2.426	2.3483	5.12%	1.28%	7.72%	32.93%	54.36%	71.40%	31.46%	1.70%	61.17%	134.83%	74.61%	0.15%
195	3054	嘉实文体娱乐	9月1日	2.144	2.144	0.85%	1.52%	12.78%	24.72%	10.97%	71.25%	19.58%	40.68%	26.12%	114.40%	78.96%	0.00%
196	6195	国金量化多因	9月1日	2.8208	2.8208	0.69%	0.86%	8.28%	24.13%	35.54%	71.20%	36.75%	54.13%	39.21%	182.08%	72.71%	0.15%
197	2980	华夏创新前沿	9月1日	3.277	3.277	2.12%	5.95%	22.78%	42.79%	30.82%	70.68%	44.04%	41.07%	36.77%	227.70%	75.33%	0.15%
198	5894	华夏优势精选	9月1日	1.4808	1.4808	1.98%	1.27%	28.00%	33.19%	15.76%	70.52%	35.94%	-15.45%	11.89%	48.08%	71.45%	0.15%
199	16858	国金量化多因	9月1日	2.7893	2.7893	0.68%	0.85%	8.25%	24.01%	35.26%	70.52%	35.66%	---	38.84%	57.51%	72.02%	0.00%
200	457	摩根核心成长	9月1日	3.063	3.372	0.35%	3.98%	14.02%	40.16%	38.28%	70.32%	41.52%	26.25%	41.87%	257.74%	74.09%	0.15%
201	3231	创金合信医疗	9月1日	2.3223	2.1211	5.11%	1.26%	7.66%	32.70%	53.80%	70.19%	29.63%	-0.42%	60.42%	112.11%	73.40%	0.00%
202	3853	金鹰信息产业	9月1日	3.5599	4.5184	1.84%	7.21%	29.95%	44.20%	23.97%	70.12%	32.06%	25.17%	42.93%	382.89%	75.27%	0.12%
203	3984	嘉实新能源新	9月1日	2.1174	2.1174	1.66%	5.84%	18.31%	24.44%	14.08%	69.95%	8.99%	-24.33%	24.21%	111.74%	74.11%	0.15%
204	20722	国寿安保数字	9月1日	1.6384	1.6384	1.19%	-2.00%	3.68%	24.63%	15.97%	69.94%	---	---	32.20%	63.84%	74.02%	0.12%
205	1628	招商体育文化	9月1日	1.978	1.978	0.10%	-2.42%	5.55%	21.72%	19.95%	69.64%	23.78%	42.82%	26.71%	97.80%	74.12%	0.15%
206	7831	博道伍佰智航	9月1日	1.7161	2.0081	0.33%	0.92%	9.58%	24.06%	31.48%	69.56%	48.61%	42.05%	35.08%	115.09%	71.89%	0.12%
207	5885	金鹰信息产业	9月1日	3.4911	4.4296	1.84%	7.20%	29.91%	44.05%	23.72%	69.44%	31.01%	23.67%	42.55%	352.33%	74.57%	0.00%
208	15170	摩根核心成长	9月1日	3.0092	3.0092	0.35%	3.98%	13.98%	39.99%	37.94%	69.41%	40.06%	24.33%	41.41%	7.96%	73.16%	0.00%
209	10434	红土创新医疗	9月1日	1.5587	1.5587	3.60%	-4.06%	-1.61%	32.68%	72.40%	69.37%	48.32%	78.46%	70.48%	55.87%	70.41%	0.15%
210	1677	中银战略新兴	9月1日	3.63	3.63	2.20%	6.67%	23.76%	46.43%	37.50%	69.31%	51.06%	23.55%	38.66%	263.00%	71.79%	0.15%
211	3985	嘉实新能源新	9月1日	2.0431	2.0431	1.65%	5.83%	18.26%	24.28%	13.79%	69.10%	7.91%	-25.46%	23.79%	104.31%	73.25%	0.00%
212	20723	国寿安保数字	9月1日	1.6273	1.6273	1.19%	-2.00%	3.65%	24.48%	15.68%	69.07%	---	---	31.77%	62.73%	73.14%	0.00%
213	7832	博道伍佰智航	9月1日	1.6806	1.9726	0.33%	0.91%	9.56%	23.97%	31.29%	69.04%	47.73%	40.79%	34.81%	111.32%	71.38%	0.00%
214	10387	易方达医药生	9月1日	1.024	1.024	4.16%	-0.78%	4.98%	33.47%	62.18%	69.00%	76.49%	76.25%	72.62%	2.40%	70.47%	0.15%
215	10161	广发瑞安精选	9月1日	1.1634	1.1634	1.38%	2.29%	15.49%	40.02%	35.58%	68.95%	40.83%	33.16%	40.27%	16.34%	74.14%	0.15%
216	309	大摩品质生活	9月1日	3.968	3.968	2.37%	3.74%	16.98%	27.22%	25.65%	68.71%	33.33%	9.52%	27.67%	296.80%	72.52%	0.15%
217	10812	中银战略新兴	9月1日	3.562	3.562	2.18%	6.65%	23.72%	46.28%	37.21%	68.66%	49.85%	22.07%	38.28%	54.87%	71.09%	0.00%
218	20748	国联智选先锋	9月1日	1.648	1.648	0.89%	0.26%	10.09%	24.17%	27.27%	68.44%	---	---	33.72%	64.80%	72.03%	0.15%
219	10388	易方达医药生	9月1日	1.0048	1.0048	4.16%	-0.79%	4.95%	33.33%	61.93%	68.36%	75.11%	74.23%	72.26%	0.48%	69.79%	0.00%
220	10592	南方医药创新	9月1日	0.797	0.797	4.24%	-0.44%	5.01%	33.32%	56.52%	68.29%	58.86%	43.47%	64.84%	-20.30%	69.86%	0.15%
221	10162	广发瑞安精选	9月1日	1.1416	1.1416	1.38%	2.28%	15.44%	39.88%	35.29%	68.28%	39.70%	31.57%	39.88%	14.16%	73.44%	0.00%
222	15395	招商体育文化	9月1日	1.923	1.923	0.10%	-2.44%	5.49%	21.48%	19.52%	68.24%	21.79%	39.45%	26.10%	29.23%	72.78%	0.00%
223	19484	大摩品质生活	9月1日	3.938	3.938	2.39%	3.71%	16.92%	27.07%	25.37%	68.08%	---	---	27.36%	34.77%	71.82%	0.00%
224	2210	创金合信量化	9月1日	1.458	2.0886	0.36%	-0.48%	10.34%	25.14%	25.92%	67.95%	29.93%	22.73%	33.44%	131.71%	70.71%	0.15%
225	10322	大摩新兴产业	9月1日	1.1951	1.1951	0.43%	2.56%	22.81%	29.66%	19.05%	67.80%	39.01%	11.88%	24.80%	19.51%	72.03%	0.15%
226	11373	招商前沿医疗	9月1日	0.7032	0.7032	3.93%	1.11%	4.77%	34.22%	43.07%	67.71%	27.58%	3.82%	54.86%	-29.68%	70.85%	0.15%
227	20749	国联智选先锋	9月1日	1.6377	1.6377	0.89%	0.24%	10.04%	24.01%	26.95%	67.56%	---	---	33.28%	63.77%	71.13%	0.00%
228	1541	汇添富民营新	9月1日	1.94	1.94	0.26%	2.21%	14.79%	29.68%	26.47%	67.39%	28.90%	24.76%	34.72%	94.00%	71.38%	0.15%
229	2289	华商改革创新	9月1日	2.7345	2.7345	1.75%	1.76%	17.19%	32.38%	23.28%	67.37%	42.02%	26.30%	31.76%	173.45%	72.91%	0.15%
230	10593	南方医药创新	9月1日	0.7758	0.7758	4.23%	-0.45%	4.97%	33.14%	56.07%	67.27%	56.98%	40.90%	64.19%	-22.42%	68.87%	0.00%
231	11077	汇丰晋信创新	9月1日	1.0519	1.0519	0.95%	1.61%	12.11%	20.99%	15.49%	67.05%	49.02%	30.06%	26.70%	5.19%	70.32%	0.15%
232	17073	嘉实清洁能源	9月1日	0.875	0.875	1.71%	7.84%	21.73%	35.05%	19.08%	67.05%	12.55%	---	25.63%	-12.50%	69.74%	0.15%
233	11934	中航量化阿尔	9月1日	1.0807	1.0807	1.09%	1.66%	13.71%	29.13%	30.03%	66.96%	30.76%	18.97%	34.83%	8.07%	70.78%	0.15%
234	3865	创金合信量化	9月1日	1.329	1.9596	0.36%	-0.50%	10.28%	24.91%	25.45%	66.71%	27.87%	19.89%	32.79%	72.40%	69.45%	0.00%
235	11328	景顺长城新能	9月1日	1.3827	1.3827	0.12%	2.51%	13.28%	22.75%	16.34%	66.51%	28.02%	1.30%	26.96%	38.27%	68.99%	0.15%
236	5826	华夏潜龙精选	9月1日	2.2028	2.2028	1.24%	3.03%	19.97%	40.16%	23.34%	66.50%	52.52%	18.66%	31.53%	120.28%	71.85%	0.15%
237	1749	招商中国机遇	9月1日	1.926	1.926	2.07%	5.77%	27.72%	47.93%	33.75%	66.46%	39.77%	-0.93%	46.02%	92.60%	69.54%	0.15%
238	9537	太平行业优选	9月1日	1.016	1.066	0.73%	3.27%	18.44%	23.83%	10.89%	66.42%	65.69%	39.35%	27.27%	6.41%	70.99%	0.12%
239	11374	招商前沿医疗	9月1日	0.6801	0.6801	3.93%	1.09%	4.70%	33.93%	42.49%	66.36%	25.60%	1.37%	54.04%	-31.99%	69.47%	0.00%
240	11329	景顺长城新能	9月1日	1.3763	1.3763	0.12%	2.50%	13.27%	22.72%	16.28%	66.34%	27.74%	0.99%	26.87%	37.63%	68.81%	0.00%
241	16052	华商改革创新	9月1日	2.6715	2.6715	1.75%	1.76%	17.13%	32.17%	22.92%	66.26%	39.67%	23.46%	31.24%	11.46%	71.88%	0.00%
242	1521	国寿安保成长	9月1日	1.545	1.951	1.64%	4.46%	25.41%	49.42%	30.60%	66.13%	26.43%	0.80%	35.53%	105.17%	70.91%	0.15%
243	17074	嘉实清洁能源	9月1日	0.8604	0.8604	1.71%	7.83%	21.68%	34.86%	18.72%	66.07%	11.19%	---	25.15%	-13.96%	68.74%	0.00%
244	13132	创金合信文娱	9月1日	1.5679	1.5679	-0.10%	-1.40%	7.28%	15.82%	15.99%	65.99%	50.66%	85.46%	28.40%	56.79%	69.23%	0.15%
245	11935	中航量化阿尔	9月1日	1.0549	1.0549	1.08%	1.64%	13.65%	28.93%	29.63%	65.94%	29.18%	16.83%	34.30%	5.49%	69.73%	0.00%
246	9538	太平行业优选	9月1日	0.9905	1.0405	0.72%	3.25%	18.38%	23.66%	10.60%	65.58%	64.02%	37.26%	26.84%	3.78%	70.13%	0.00%
247	519975	长信量化中小	9月1日	1.831	2.231	0.72%	1.27%	12.33%	26.80%	27.95%	65.40%	37.46%	16.77%	35.73%	151.36%	67.37%	0.15%
248	17916	国寿安保成长	9月1日	1.027	1.027	1.68%	4.37%	25.24%	49.27%	30.33%	65.38%	25.09%	---	35.13%	2.70%	70.03%	0.00%
249	1028	华安物联网主	9月1日	1.46	1.46	1.53%	2.74%	18.22%	30.82%	22.59%	65.35%	31.77%	18.41%	27.85%	46.00%	69.37%	0.15%
250	13133	创金合信文娱	9月1日	1.5364	1.5364	-0.10%	-1.41%	7.24%	15.68%	15.70%	65.12%	49.17%	82.69%	27.98%	53.64%	68.35%	0.00%
251	20901	招商成长量化	9月1日	1.5178	1.5178	0.42%	0.16%	11.79%	28.24%	25.04%	64.75%	---	---	33.81%	51.78%	66.74%	0.15%
252	17165	易米低碳经济	9月1日	0.9215	0.9215	0.51%	3.47%	16.25%	31.10%	15.65%	64.41%	8.44%	---	21.67%	-7.85%	65.17%	--
253	580008	东吴新产业精	9月1日	4.0793	4.0793	1.21%	5.42%	19.30%	46.02%	38.87%	64.26%	58.77%	27.03%	50.69%	307.93%	67.64%	0.15%
254	9898	民生加银医药	9月1日	0.5845	0.5845	4.39%	0.29%	3.52%	35.93%	50.61%	64.14%	39.77%	2.67%	58.92%	-41.55%	67.10%	0.15%
255	16292	华安物联网主	9月1日	1.431	1.431	1.56%	2.73%	18.17%	30.57%	22.10%	63.92%	29.85%	16.06%	26.97%	7.03%	67.96%	0.00%
256	20902	招商成长量化	9月1日	1.5065	1.5065	0.42%	0.15%	11.73%	28.04%	24.66%	63.77%	---	---	33.27%	50.65%	65.75%	0.00%
257	17166	易米低碳经济	9月1日	0.9102	0.9102	0.52%	3.47%	16.20%	30.95%	15.36%	63.59%	7.36%	---	21.26%	-8.98%	64.39%	0.00%
258	11470	东吴新产业精	9月1日	4.0098	4.0098	1.21%	5.41%	19.25%	45.87%	38.56%	63.56%	57.47%	25.49%	50.26%	12.74%	66.93%	0.00%
259	14758	民生加银医药	9月1日	0.5758	0.5758	4.39%	0.26%	3.47%	35.77%	50.26%	63.49%	38.65%	1.46%	58.49%	-25.07%	66.46%	0.00%
260	2871	华夏智胜价值	9月1日	2.0878	2.0878	0.59%	0.35%	9.75%	24.11%	29.12%	63.48%	35.52%	43.73%	33.48%	108.78%	67.04%	0.15%
261	1476	中银智能制造	9月1日	2.385	2.385	0.76%	2.93%	20.39%	38.26%	29.20%	63.24%	34.82%	9.71%	38.42%	138.50%	65.74%	0.15%
262	7674	工银产业升级	9月1日	1.4457	1.4457	3.01%	5.25%	24.25%	44.14%	33.77%	63.23%	2.15%	3.91%	40.95%	44.57%	68.03%	0.15%
263	2872	华夏智胜价值	9月1日	2.0585	2.0585	0.59%	0.35%	9.73%	24.04%	28.95%	63.08%	34.84%	42.65%	33.26%	105.85%	66.61%	0.00%
264	8314	摩根慧选成长	9月1日	1.6718	1.6718	4.34%	9.20%	28.27%	41.49%	33.78%	62.75%	44.58%	24.51%	46.32%	67.18%	64.08%	0.15%
265	1396	建信互联网+	9月1日	1.354	1.354	2.19%	5.37%	25.95%	43.43%	35.26%	62.74%	30.69%	3.83%	44.20%	35.40%	65.73%	0.15%
266	7675	工银产业升级	9月1日	1.3878	1.3878	3.01%	5.23%	24.18%	43.84%	33.24%	62.62%	1.00%	1.92%	40.20%	38.78%	67.41%	0.00%
267	9341	易方达均衡成	9月1日	1.3205	1.3205	2.03%	5.02%	21.16%	41.15%	36.49%	62.56%	36.66%	15.44%	45.62%	32.05%	65.70%	0.15%
268	12181	中银智能制造	9月1日	2.346	2.346	0.73%	2.94%	20.37%	38.08%	28.90%	62.47%	33.68%	8.41%	38.00%	47.45%	65.10%	0.00%
269	513	富国高端制造	9月1日	4.008	4.008	3.59%	9.06%	25.56%	47.46%	32.63%	62.46%	28.63%	25.96%	44.38%	300.80%	66.79%	0.15%
270	5259	建信龙头企业	9月1日	2.2038	2.2038	1.96%	2.97%	16.92%	21.66%	15.14%	62.35%	39.83%	19.92%	29.92%	120.38%	64.30%	0.15%
271	11824	浙商汇金量化	9月1日	1.1728	1.1728	0.45%	0.41%	9.52%	20.70%	24.65%	62.33%	42.16%	32.28%	27.52%	17.28%	65.95%	0.15%
272	16551	诺德策略回报	9月1日	1.1681	1.1681	5.59%	0.65%	4.74%	26.34%	45.90%	62.10%	40.35%	---	41.02%	16.80%	64.31%	0.15%
273	18045	东方创新医疗	9月1日	1.2362	1.2362	4.79%	1.54%	8.41%	33.92%	40.88%	62.10%	35.70%	---	46.85%	23.62%	64.19%	0.15%
274	8261	招商研究优选	9月1日	1.834	1.834	3.84%	9.03%	26.09%	42.18%	45.89%	62.01%	75.44%	70.40%	43.67%	83.40%	62.30%	0.15%
275	549	华安大国新经	9月1日	3.445	3.445	1.47%	3.02%	18.18%	31.14%	22.47%	61.89%	27.07%	12.21%	27.36%	244.50%	65.70%	0.15%
276	979	景顺长城沪港	9月1日	3.456	3.456	3.10%	9.40%	30.42%	52.85%	54.91%	61.72%	78.79%	110.86%	53.81%	245.60%	62.94%	0.15%
277	14930	富国高端制造	9月1日	3.926	3.926	3.59%	9.09%	25.55%	47.32%	32.32%	61.63%	27.18%	23.81%	43.91%	5.48%	65.93%	0.00%
278	11825	浙商汇金量化	9月1日	1.1486	1.1486	0.44%	0.40%	9.46%	20.54%	24.32%	61.50%	40.76%	30.32%	27.10%	14.86%	65.15%	0.00%
279	8315	摩根慧选成长	9月1日	1.5988	1.5988	4.33%	9.19%	28.19%	41.20%	33.24%	61.46%	42.31%	21.56%	45.54%	59.88%	62.79%	0.00%
280	18046	东方创新医疗	9月1日	1.2205	1.2205	4.78%	1.53%	8.36%	33.72%	40.48%	61.23%	34.21%	---	46.33%	22.05%	63.32%	0.00%
281	16552	诺德策略回报	9月1日	1.1479	1.1479	5.58%	0.64%	4.69%	26.14%	45.47%	61.13%	38.67%	---	40.45%	14.78%	63.33%	0.00%
282	16291	华安大国新经	9月1日	3.385	3.385	1.47%	3.01%	18.15%	30.95%	22.07%	60.96%	25.60%	10.26%	26.87%	1.44%	64.72%	0.00%
283	11601	前海开源公共	9月1日	0.5077	0.5077	4.92%	1.05%	4.31%	31.39%	50.16%	60.92%	28.30%	-8.34%	60.92%	-49.23%	62.57%	0.15%
284	8262	招商研究优选	9月1日	1.7574	1.7574	3.84%	9.02%	26.01%	41.90%	45.31%	60.76%	72.70%	66.39%	42.91%	75.74%	61.05%	0.00%
285	21313	景顺长城沪港	9月1日	3.424	3.424	3.10%	9.39%	30.34%	52.65%	54.44%	60.75%	---	---	53.20%	52.99%	61.97%	0.00%
286	519673	银河康乐股票	9月1日	2.829	2.829	2.31%	-0.42%	5.13%	16.32%	35.42%	60.65%	21.57%	7.24%	35.88%	182.90%	63.62%	0.15%
287	11602	前海开源公共	9月1日	0.4988	0.4988	4.90%	1.05%	4.26%	31.23%	49.83%	60.28%	27.28%	-9.42%	60.44%	-50.12%	61.95%	0.00%
288	1643	汇丰晋信智造	9月1日	2.5315	2.5315	1.43%	3.19%	13.82%	32.28%	16.32%	59.99%	0.21%	-21.54%	25.81%	153.07%	66.47%	0.15%
289	19338	创金合信启富	9月1日	1.4048	1.4048	0.80%	-1.63%	2.83%	16.68%	31.62%	59.89%	---	---	37.81%	40.48%	61.29%	0.15%
290	16449	南方新材料股	9月1日	1.0957	1.0957	2.23%	4.73%	20.62%	30.10%	18.96%	59.79%	23.68%	---	25.84%	9.57%	62.81%	0.15%
291	11230	创金合信数字	9月1日	1.7981	1.7981	1.54%	1.26%	17.20%	38.10%	22.13%	59.77%	28.95%	16.37%	31.39%	79.81%	62.21%	0.00%
292	16018	银河康乐股票	9月1日	2.768	2.768	2.33%	-0.43%	5.05%	16.11%	34.89%	59.54%	19.83%	4.89%	35.29%	0.04%	62.54%	0.00%
293	14341	摩根时代睿选	9月1日	1.477	1.477	2.09%	6.80%	25.12%	44.44%	53.14%	59.33%	48.64%	---	55.80%	47.70%	60.47%	0.15%
294	163110	申万菱信量化	9月1日	2.355	3.4386	0.37%	-0.36%	8.66%	19.80%	21.32%	59.24%	18.80%	12.93%	25.73%	299.13%	62.58%	0.15%
295	16450	南方新材料股	9月1日	1.0853	1.0853	2.22%	4.73%	20.59%	29.98%	18.74%	59.23%	22.73%	---	25.54%	8.53%	62.23%	0.00%
296	1644	汇丰晋信智造	9月1日	2.4114	2.4114	1.42%	3.18%	13.77%	32.10%	16.03%	59.20%	-0.78%	-22.71%	25.38%	141.07%	65.65%	0.00%
297	1188	鹏华改革红利	9月1日	1.584	1.584	1.34%	3.26%	14.62%	23.36%	17.33%	59.20%	41.43%	31.13%	30.91%	58.40%	63.30%	0.15%
298	14185	招商专精特新	9月1日	1.1039	1.1039	1.16%	-1.10%	16.26%	23.77%	14.00%	59.11%	26.16%	5.64%	28.08%	10.39%	63.30%	0.15%
299	19339	创金合信启富	9月1日	1.3916	1.3916	0.80%	-1.64%	2.78%	16.54%	31.31%	59.11%	---	---	37.36%	39.16%	60.49%	0.00%
300	2168	嘉实智能汽车	9月1日	2.501	2.501	1.01%	6.38%	19.55%	26.12%	11.90%	59.10%	0.89%	-27.36%	20.70%	150.10%	62.61%	0.15%
301	8128	湘财长源股票	9月1日	1.0847	1.5769	-0.22%	-0.09%	22.19%	42.44%	25.34%	59.05%	25.31%	6.79%	26.98%	58.98%	62.75%	0.15%
302	4925	长信低碳环保	9月1日	1.7046	1.7046	1.25%	4.35%	15.32%	31.22%	21.57%	59.03%	8.75%	-28.64%	26.67%	70.46%	62.40%	0.15%
303	11882	招商蓝筹精选	9月1日	0.8852	0.8852	1.43%	1.63%	14.77%	26.38%	27.44%	58.64%	37.97%	7.38%	36.90%	-11.48%	60.80%	0.15%
304	8294	朱雀企业优胜	9月1日	1.5759	1.5759	2.23%	1.59%	11.98%	19.27%	16.29%	58.62%	22.51%	7.08%	30.37%	57.59%	62.01%	0.15%
305	13918	申万菱信量化	9月1日	2.3117	2.3117	0.35%	-0.39%	8.61%	19.66%	21.06%	58.57%	17.46%	11.24%	25.36%	-5.25%	61.91%	0.00%
306	16073	创金合信软件	9月1日	1.2833	1.2833	0.98%	-3.34%	1.76%	17.17%	7.95%	58.57%	-4.79%	---	21.23%	28.33%	63.56%	0.15%
307	14342	摩根时代睿选	9月1日	1.4605	1.4605	2.08%	6.79%	25.05%	44.26%	52.76%	58.51%	47.14%	---	55.29%	46.05%	59.65%	0.00%
308	13151	长信低碳环保	9月1日	1.6778	1.6778	1.26%	4.34%	15.28%	31.09%	21.32%	58.39%	7.88%	-29.49%	26.33%	-39.81%	61.75%	0.00%
309	8129	湘财长源股票	9月1日	1.0507	1.5382	-0.23%	-0.10%	22.15%	42.27%	25.02%	58.26%	24.06%	5.20%	26.56%	54.02%	61.95%	0.00%
310	1707	诺安高端制造	9月1日	1.827	1.827	2.24%	2.12%	16.37%	33.55%	32.10%	58.04%	35.43%	14.33%	33.16%	82.70%	61.40%	0.15%
311	780	鹏华医疗保健	9月1日	2.439	2.439	3.30%	0.37%	7.40%	24.88%	40.82%	57.97%	26.37%	20.50%	53.69%	143.90%	60.14%	0.15%
312	19902	国寿安保先进	9月1日	1.3884	1.3884	1.17%	4.63%	25.93%	49.19%	22.20%	57.93%	---	---	27.33%	38.84%	60.71%	0.12%
313	501219	华夏智胜先锋	9月1日	1.519	1.519	0.56%	0.17%	8.31%	22.21%	28.57%	57.92%	33.19%	46.47%	30.04%	51.90%	60.55%	0.15%
314	1496	工银聚焦30	9月1日	1.65	1.65	1.41%	4.56%	25.86%	44.36%	35.14%	57.89%	25.86%	6.52%	40.31%	65.00%	58.65%	0.15%
315	14186	招商专精特新	9月1日	1.0714	1.0714	1.15%	-1.12%	16.18%	23.50%	13.54%	57.84%	24.16%	3.13%	27.40%	7.14%	62.01%	0.00%
316	9379	中银成长优选	9月1日	1.0473	1.0473	0.74%	2.73%	20.16%	37.68%	27.28%	57.80%	21.95%	-2.74%	35.87%	4.73%	60.09%	0.15%
317	11685	创金合信先进	9月1日	1.3953	1.3953	-0.14%	-0.65%	4.71%	15.08%	20.93%	57.66%	31.61%	32.26%	26.55%	39.53%	61.76%	0.15%
318	11104	光大保德信智	9月1日	0.9638	0.9638	0.18%	0.33%	14.82%	20.40%	13.20%	57.64%	26.15%	8.70%	30.97%	-3.62%	60.13%	0.15%
