序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
1	16295	新华利率债债	9月1日	1.4958	1.9967	0.03%	0.02%	-0.06%	-0.14%	0.27%	95.07%	95.64%	99.29%	-0.03%	99.67%	94.95%
2	690002	民生增强收益	9月1日	1.8807	2.6057	0.03%	-1.78%	11.65%	23.46%	19.64%	51.55%	26.39%	21.41%	25.97%	206.56%	54.16%
3	690202	民生增强收益	9月1日	1.8197	2.4897	0.02%	-1.79%	11.61%	23.34%	19.40%	50.89%	25.41%	20.03%	25.58%	189.10%	53.56%
4	6030	南方昌元可转	9月1日	1.8165	1.8365	-0.42%	-3.41%	13.18%	28.95%	25.28%	49.19%	23.95%	18.34%	35.88%	84.33%	51.79%
5	1045	华夏可转债增	9月1日	1.6271	1.6271	-0.43%	-2.52%	13.05%	22.65%	18.97%	48.47%	21.40%	8.55%	23.41%	62.71%	51.56%
6	6031	南方昌元可转	9月1日	1.7828	1.7828	-0.43%	-3.42%	13.13%	28.78%	24.96%	48.43%	22.71%	16.58%	35.42%	78.28%	51.02%
7	240012	华宝增强收益	9月1日	1.6752	2.0552	0.20%	-1.20%	6.46%	21.87%	15.74%	48.41%	29.71%	21.91%	25.20%	125.41%	49.08%
8	12887	华夏可转债增	9月1日	1.6097	1.6097	-0.43%	-2.53%	13.01%	22.52%	18.74%	47.88%	20.44%	7.24%	23.08%	-1.06%	50.96%
9	240013	华宝增强收益	9月1日	1.5531	1.9331	0.19%	-1.21%	6.42%	21.75%	15.51%	47.83%	28.69%	20.46%	24.88%	111.14%	48.51%
10	217018	招商安瑞进取	9月1日	2.2859	2.2859	0.40%	-2.05%	9.48%	19.09%	20.66%	45.97%	14.98%	13.95%	24.97%	128.59%	48.13%
11	19500	招商安瑞进取	9月1日	2.278	2.278	0.41%	-2.06%	9.45%	19.01%	20.48%	45.53%	---	---	24.73%	16.22%	47.69%
12	360013	光大信用添益	9月1日	1.227	2.175	-0.16%	-2.23%	5.23%	17.53%	12.98%	45.04%	19.59%	16.53%	20.18%	185.29%	46.95%
13	210014	金鹰元丰债券	9月1日	1.7958	2.1982	0.23%	-3.39%	10.40%	25.99%	16.11%	44.89%	16.33%	1.71%	28.43%	119.82%	47.85%
14	360014	光大信用添益	9月1日	1.217	2.121	-0.16%	-2.25%	5.19%	17.36%	12.79%	44.54%	18.73%	15.36%	19.90%	172.51%	46.45%
15	50019	博时转债增强	9月1日	2.1603	2.1653	-0.09%	-3.98%	8.20%	16.15%	16.87%	44.51%	23.45%	6.42%	25.47%	116.70%	46.51%
16	14336	金鹰元丰债券	9月1日	1.7615	1.7615	0.23%	-3.40%	10.36%	25.87%	15.87%	44.30%	15.39%	0.49%	28.10%	-14.70%	47.26%
17	100035	富国优化增强	9月1日	2.11	2.425	0.14%	-0.71%	2.88%	9.78%	9.44%	44.22%	31.96%	29.45%	20.23%	159.48%	45.82%
18	18980	富国优化增强	9月1日	2.096	2.096	0.14%	-0.71%	2.90%	9.74%	9.39%	44.15%	31.16%	---	20.25%	30.02%	45.76%
19	50119	博时转债增强	9月1日	2.0656	2.0696	-0.10%	-3.99%	8.16%	16.02%	16.63%	43.92%	22.51%	5.12%	25.13%	107.07%	45.93%
20	7316	交银可转债债	9月1日	1.6964	1.6964	-0.53%	-2.48%	7.32%	17.96%	17.85%	43.53%	24.64%	20.30%	23.49%	69.64%	44.97%
21	7317	交银可转债债	9月1日	1.6553	1.6553	-0.53%	-2.49%	7.28%	17.84%	17.62%	42.96%	23.64%	18.86%	23.16%	65.53%	44.39%
22	297	鹏华可转债债	9月1日	1.7158	1.7728	-0.12%	-2.88%	9.93%	22.46%	18.64%	42.08%	23.44%	11.63%	26.52%	79.20%	44.57%
23	10964	鹏华可转债债	9月1日	1.296	1.296	-0.12%	-2.88%	9.91%	22.40%	18.52%	41.79%	22.96%	10.96%	26.34%	-1.14%	44.29%
24	9465	东方可转债债	9月1日	1.1673	1.2123	-0.44%	-4.49%	6.39%	15.91%	12.78%	41.05%	12.58%	7.65%	23.13%	21.80%	42.75%
25	610008	信澳信用债债	9月1日	1.235	1.757	0.00%	-1.83%	3.52%	11.26%	11.87%	40.66%	19.82%	18.00%	17.96%	95.98%	41.79%
26	5793	华富可转债债	9月1日	1.5753	1.5753	-0.22%	-3.60%	5.03%	12.79%	13.54%	40.49%	15.85%	5.06%	20.05%	57.53%	41.96%
27	9466	东方可转债债	9月1日	1.1519	1.1919	-0.45%	-4.50%	6.36%	15.79%	12.56%	40.49%	11.68%	6.37%	22.80%	19.63%	42.19%
28	610108	信澳信用债债	9月1日	1.225	1.707	0.00%	-1.84%	3.55%	11.26%	11.77%	40.48%	19.35%	17.44%	17.90%	88.87%	41.62%
29	4993	中欧可转债债	9月1日	1.5298	1.5298	-0.22%	-4.12%	4.69%	12.97%	13.84%	40.35%	19.54%	7.79%	22.05%	52.98%	42.00%
30	4994	中欧可转债债	9月1日	1.4848	1.4848	-0.22%	-4.13%	4.65%	12.84%	13.61%	39.80%	18.59%	6.51%	21.72%	48.48%	41.45%
31	5771	银华可转债债	9月1日	1.5918	1.5918	-0.31%	-3.51%	7.52%	16.37%	14.63%	39.00%	14.55%	-2.95%	23.72%	59.16%	40.88%
32	1751	华商信用增强	9月1日	1.792	1.792	0.22%	0.06%	4.98%	11.86%	13.56%	38.38%	25.40%	22.91%	18.13%	79.20%	40.66%
33	1752	华商信用增强	9月1日	1.722	1.722	0.23%	0.06%	5.00%	11.75%	13.36%	37.87%	24.42%	21.44%	17.86%	72.20%	40.11%
34	2405	光大中高等级	9月1日	1.6433	1.6839	-0.59%	-2.81%	1.70%	10.36%	7.42%	37.54%	29.61%	27.97%	12.78%	70.20%	38.87%
35	2406	光大中高等级	9月1日	1.5917	1.6318	-0.59%	-2.81%	1.67%	10.26%	7.22%	36.99%	28.59%	26.47%	12.50%	64.85%	38.34%
36	1862	东方红收益增	9月1日	1.3541	1.5841	-0.06%	-0.03%	3.21%	9.34%	9.77%	36.96%	25.94%	23.77%	14.01%	66.97%	38.94%
37	6482	广发可转债债	9月1日	1.8828	1.8828	-0.26%	-1.77%	10.79%	20.61%	16.34%	36.61%	21.82%	13.57%	22.67%	88.26%	37.88%
38	163816	中银转债增强	9月1日	3.3404	3.3404	-0.48%	-2.23%	4.61%	12.92%	11.50%	36.60%	22.64%	17.09%	17.31%	234.04%	38.85%
39	1863	东方红收益增	9月1日	1.3205	1.5345	-0.07%	-0.04%	3.17%	9.23%	9.54%	36.40%	24.94%	22.29%	13.70%	60.92%	38.39%
40	3382	民生加银鑫享	9月1日	1.1578	1.1658	-0.08%	-2.47%	4.80%	11.74%	11.90%	36.40%	26.19%	28.23%	18.92%	16.70%	38.06%
41	3	中海可转债债	9月1日	0.993	1.203	-0.20%	-3.31%	3.76%	11.82%	14.27%	36.40%	20.22%	15.06%	19.21%	16.75%	37.92%
42	10629	广发可转债债	9月1日	1.8652	1.8652	-0.26%	-1.77%	10.77%	20.55%	16.23%	36.35%	21.34%	12.89%	22.51%	34.06%	37.61%
43	720003	财通收益增强	9月1日	1.735	2.084	-0.22%	-1.35%	9.59%	20.77%	16.45%	36.24%	29.19%	24.65%	22.02%	128.86%	37.06%
44	163817	中银转债增强	9月1日	3.1709	3.1709	-0.48%	-2.24%	4.58%	12.82%	11.31%	36.13%	21.79%	15.87%	17.04%	217.09%	38.38%
45	240018	华宝可转债债	9月1日	1.8586	1.8586	-0.61%	-3.57%	5.70%	13.40%	10.84%	36.11%	19.23%	12.61%	22.36%	85.86%	37.41%
46	6483	广发可转债债	9月1日	1.8755	1.8755	-0.26%	-1.78%	10.75%	20.49%	16.12%	36.07%	20.85%	12.22%	22.34%	87.53%	37.34%
47	3504	景顺长城景颐	9月1日	1.4464	1.5002	0.63%	1.88%	8.22%	18.01%	18.27%	35.89%	30.59%	24.42%	20.98%	52.05%	36.79%
48	3383	民生加银鑫享	9月1日	1.125	1.133	-0.08%	-2.47%	4.76%	11.63%	11.68%	35.87%	25.21%	26.72%	18.61%	13.40%	37.53%
49	7955	民生加银鑫享	9月1日	0.983	0.983	-0.08%	-2.48%	4.76%	11.63%	11.68%	35.87%	25.19%	26.71%	18.61%	-1.68%	37.54%
50	4	中海可转债债	9月1日	0.97	1.18	-0.31%	-3.29%	3.74%	11.62%	13.98%	35.85%	19.16%	13.58%	18.87%	14.05%	37.20%
51	8817	华宝可转债债	9月1日	1.8327	1.8327	-0.61%	-3.57%	5.68%	13.33%	10.70%	35.78%	18.63%	11.77%	22.16%	57.35%	37.07%
52	3204	财通收益增强	9月1日	1.6446	1.9216	-0.22%	-1.36%	9.55%	20.65%	16.22%	35.70%	28.16%	23.16%	21.70%	106.81%	36.52%
53	3505	景顺长城景颐	9月1日	1.4145	1.4682	0.63%	1.87%	8.18%	17.88%	18.03%	35.36%	29.57%	22.95%	20.66%	48.70%	36.26%
54	10118	天弘多元收益	9月1日	1.3192	1.3192	0.00%	-0.77%	0.93%	9.96%	8.87%	35.27%	15.05%	12.07%	11.49%	31.92%	37.29%
55	28	华富安鑫债券	9月1日	1.1181	1.6411	0.03%	-1.27%	5.47%	10.43%	10.81%	35.10%	19.23%	12.52%	17.97%	79.14%	36.63%
56	10119	天弘多元收益	9月1日	1.3002	1.3002	0.00%	-0.77%	0.90%	9.87%	8.69%	34.86%	14.36%	11.06%	11.27%	30.02%	36.88%
57	9512	天弘添利债券	9月1日	1.4248	1.4848	-0.06%	-0.57%	0.57%	8.54%	5.62%	34.75%	16.78%	11.63%	11.42%	48.63%	36.58%
58	5246	国泰可转债债	9月1日	1.6043	1.6043	-1.41%	-4.18%	4.72%	12.94%	9.82%	34.60%	16.63%	7.20%	15.89%	60.43%	36.06%
59	5461	南方希元可转	9月1日	1.691	1.691	-0.62%	-3.31%	8.92%	16.99%	13.11%	34.57%	13.16%	7.03%	20.80%	69.10%	36.62%
60	8897	上银可转债精	9月1日	0.8938	0.8938	-0.49%	-4.51%	2.32%	9.09%	11.47%	34.55%	14.58%	0.74%	16.62%	-10.62%	36.25%
61	720002	财通可转债债	9月1日	1.1147	1.4746	-0.29%	-2.88%	4.03%	11.05%	13.93%	34.48%	19.78%	9.99%	15.64%	54.73%	35.61%
62	202105	南方广利回报	9月1日	1.8447	2.1767	0.26%	-0.72%	9.36%	17.98%	17.24%	34.34%	20.49%	16.31%	24.01%	133.02%	36.24%
63	164206	天弘添利债券	9月1日	1.6384	2.3229	-0.07%	-0.58%	0.54%	8.45%	5.43%	34.27%	15.96%	10.46%	11.16%	194.95%	36.11%
64	15748	上银可转债精	9月1日	0.8862	0.8862	-0.49%	-4.50%	2.31%	9.00%	11.30%	34.15%	13.91%	-0.14%	16.39%	-0.52%	35.86%
65	3510	长盛可转债债	9月1日	1.1349	1.5616	-0.51%	-3.31%	3.95%	11.23%	10.30%	34.09%	14.44%	-0.47%	16.21%	58.70%	35.20%
66	3205	财通可转债债	9月1日	1.1593	1.207	-0.28%	-2.89%	3.99%	10.94%	13.70%	33.93%	18.81%	8.69%	15.34%	21.01%	35.07%
67	3628	兴银收益增强	9月1日	1.297	1.5469	-0.15%	-1.44%	3.92%	10.45%	9.06%	33.82%	22.62%	22.28%	16.10%	60.71%	35.12%
68	202107	南方广利回报	9月1日	1.8838	2.1008	0.26%	-0.72%	9.33%	17.86%	17.00%	33.80%	19.53%	14.94%	23.69%	121.87%	35.70%
69	18500	兴银收益增强	9月1日	1.3559	1.5291	-0.15%	-1.44%	3.91%	10.42%	9.01%	33.69%	22.39%	---	16.04%	21.56%	35.00%
70	3511	长盛可转债债	9月1日	1.1266	1.5611	-0.50%	-3.31%	3.92%	11.15%	10.14%	33.67%	13.76%	-1.36%	15.98%	58.48%	34.81%
71	90017	大成可转债增	9月1日	1.8298	1.8398	-0.62%	-3.00%	8.18%	17.23%	14.06%	33.66%	19.67%	11.85%	19.99%	84.69%	34.76%
72	10768	建信利率债策	9月1日	1.3647	1.4707	0.07%	-0.07%	-0.84%	-1.04%	-0.57%	33.62%	37.87%	40.67%	-1.27%	49.06%	33.44%
73	19152	大成可转债增	9月1日	1.8249	1.8249	-0.62%	-3.00%	8.17%	17.21%	14.01%	33.55%	19.35%	---	19.93%	20.06%	34.64%
74	40012	华安强化收益	9月1日	1.4259	2.3483	-0.90%	-1.92%	4.55%	10.63%	8.83%	33.29%	24.05%	28.55%	15.77%	202.79%	35.18%
75	40013	华安强化收益	9月1日	1.414	2.2527	-0.90%	-1.92%	4.52%	10.52%	8.61%	32.75%	23.07%	27.03%	15.47%	182.88%	34.65%
76	519977	长信可转债债	9月1日	1.8781	2.8381	-0.86%	-3.39%	7.90%	15.04%	12.37%	32.40%	14.84%	7.36%	18.47%	263.63%	33.63%
77	519976	长信可转债债	9月1日	1.8038	2.7108	-0.85%	-3.39%	7.90%	15.03%	12.35%	32.36%	14.76%	7.09%	18.44%	238.41%	33.60%
78	14	华夏聚利债券	9月1日	2.0338	2.0338	-0.46%	-2.34%	5.89%	11.65%	11.81%	32.00%	13.30%	11.99%	15.12%	103.38%	33.77%
79	6898	天弘弘丰增强	9月1日	1.3183	1.3183	-0.04%	-1.19%	2.05%	9.99%	9.48%	31.82%	11.88%	6.82%	10.95%	31.83%	33.39%
80	5273	华商可转债债	9月1日	1.8828	1.8828	0.05%	-1.72%	8.41%	19.22%	19.07%	31.74%	23.92%	19.82%	22.59%	88.28%	33.17%
81	50023	博时天颐债券	9月1日	1.7497	2.0027	0.29%	-0.71%	6.48%	11.43%	13.57%	31.71%	17.48%	16.86%	18.51%	113.66%	32.67%
82	3133	易方达裕鑫债	9月1日	1.6988	1.7678	-0.12%	-0.86%	4.63%	10.37%	9.95%	31.63%	22.12%	21.27%	14.07%	79.82%	32.64%
83	17771	华夏聚利债券	9月1日	1.9999	1.9999	-0.47%	-2.34%	5.86%	11.56%	11.65%	31.62%	12.66%	---	14.89%	11.66%	33.39%
84	675011	西部利得稳健	9月1日	1.765	1.92	-0.34%	-3.71%	2.98%	10.24%	9.97%	31.52%	15.51%	8.75%	14.24%	103.99%	33.41%
85	3134	易方达裕鑫债	9月1日	1.689	1.748	-0.12%	-0.86%	4.61%	10.31%	9.84%	31.37%	21.63%	20.56%	13.93%	77.17%	32.38%
86	6899	天弘弘丰增强	9月1日	1.2849	1.2849	-0.05%	-1.20%	2.02%	9.88%	9.26%	31.29%	11.00%	5.55%	10.65%	28.49%	32.86%
87	6147	宝盈融源可转	9月1日	1.3881	1.3881	0.28%	-3.38%	4.61%	10.18%	9.98%	31.29%	18.35%	6.78%	19.54%	38.81%	31.05%
88	5284	华商可转债债	9月1日	1.8341	1.8341	0.05%	-1.73%	8.38%	19.11%	18.83%	31.22%	22.94%	18.39%	22.27%	83.41%	32.65%
89	50123	博时天颐债券	9月1日	1.6544	1.8974	0.28%	-0.72%	6.44%	11.31%	13.34%	31.19%	16.54%	15.47%	18.20%	100.56%	32.15%
90	675013	西部利得稳健	9月1日	1.713	1.838	-0.35%	-3.71%	2.94%	10.16%	9.74%	31.06%	14.66%	7.53%	13.90%	92.79%	33.00%
91	6148	宝盈融源可转	9月1日	1.3633	1.3633	0.28%	-3.39%	4.59%	10.10%	9.82%	30.90%	17.64%	5.81%	19.31%	36.33%	30.66%
92	14502	泰信汇盈债券	9月1日	1.3069	1.3765	0.01%	0.03%	0.04%	28.14%	28.52%	30.65%	34.16%	37.98%	28.15%	39.78%	30.53%
93	6254	长城久悦债券	9月1日	1.1864	1.1864	-0.50%	-3.45%	4.00%	11.76%	11.42%	29.72%	9.28%	4.11%	16.75%	18.64%	29.73%
94	400027	东方双债添利	9月1日	1.3645	1.8994	-0.12%	-2.70%	3.59%	10.94%	13.43%	29.50%	13.37%	11.32%	17.07%	105.55%	30.05%
95	19095	东方双债添利	9月1日	1.3647	1.3647	-0.12%	-2.70%	3.59%	10.94%	13.43%	29.50%	13.37%	---	17.08%	15.15%	30.06%
96	15723	长城久悦债券	9月1日	1.1726	1.1726	-0.50%	-3.45%	3.96%	11.64%	11.20%	29.20%	8.41%	2.88%	16.43%	6.88%	29.23%
97	400029	东方双债添利	9月1日	1.346	1.8402	-0.13%	-2.72%	3.55%	10.84%	13.20%	28.98%	12.48%	9.92%	16.77%	97.01%	29.55%
98	530020	建信转债增强	9月1日	3.431	3.431	-0.35%	-3.19%	6.35%	11.40%	9.97%	28.79%	15.95%	4.48%	14.48%	243.10%	30.46%
99	5945	工银可转债优	9月1日	1.3309	1.3309	0.37%	-1.35%	8.19%	11.53%	15.68%	28.78%	11.62%	-4.12%	15.79%	33.08%	29.39%
100	2586	金鹰添利信用	9月1日	1.2352	1.5212	-0.41%	-2.56%	3.10%	10.41%	10.42%	28.39%	14.17%	15.30%	14.71%	56.58%	28.96%
101	531020	建信转债增强	9月1日	3.271	3.271	-0.37%	-3.20%	6.34%	11.30%	9.77%	28.38%	15.18%	3.38%	14.25%	227.10%	30.01%
102	5121	富国兴利增强	9月1日	1.7247	1.7247	0.01%	-0.73%	6.02%	11.15%	8.30%	28.33%	19.87%	17.18%	11.85%	72.47%	29.69%
103	7032	平安可转债债	9月1日	1.2658	1.2658	-0.88%	-3.88%	5.52%	11.45%	8.79%	28.27%	10.60%	-6.68%	15.48%	26.58%	29.56%
104	5946	工银可转债优	9月1日	1.2917	1.2917	0.37%	-1.35%	8.16%	11.42%	15.45%	28.26%	10.73%	-5.27%	15.49%	29.16%	28.89%
105	2587	金鹰添利信用	9月1日	1.2239	1.5029	-0.41%	-2.56%	3.07%	10.36%	10.31%	28.13%	13.71%	14.57%	14.57%	54.45%	28.71%
106	40022	华安可转债债	9月1日	2.115	2.115	-0.70%	-2.53%	1.73%	6.66%	7.25%	28.03%	16.40%	16.14%	11.02%	111.50%	29.68%
107	7033	平安可转债债	9月1日	1.2357	1.2357	-0.88%	-3.88%	5.49%	11.34%	8.58%	27.76%	9.73%	-7.78%	15.17%	23.57%	29.05%
108	40023	华安可转债债	9月1日	2.006	2.006	-0.74%	-2.57%	1.67%	6.53%	7.10%	27.53%	15.62%	14.96%	10.77%	100.60%	29.25%
109	530017	建信双息红利	9月1日	1.222	1.959	-0.24%	-1.61%	5.07%	12.63%	9.69%	27.16%	13.25%	10.69%	13.99%	128.39%	29.04%
110	143	鹏华双债加利	9月1日	2.0117	2.2037	0.26%	-0.15%	4.98%	11.97%	12.33%	27.16%	25.16%	21.49%	14.67%	129.94%	28.17%
111	13149	鹏华双债加利	9月1日	1.2021	1.2021	0.27%	-0.15%	4.98%	11.96%	12.32%	27.14%	25.02%	21.11%	14.66%	20.21%	28.16%
112	163811	中银双利债券	9月1日	1.5501	2.0251	0.03%	-0.30%	2.51%	6.30%	5.82%	27.08%	22.52%	21.95%	12.26%	121.79%	27.61%
113	531017	建信双息红利	9月1日	1.185	1.666	-0.25%	-1.58%	5.05%	12.54%	9.52%	26.74%	12.54%	9.52%	13.61%	79.16%	28.52%
114	163812	中银双利债券	9月1日	1.5194	1.9454	0.03%	-0.30%	2.48%	6.20%	5.63%	26.65%	21.68%	20.68%	12.01%	110.44%	27.18%
115	100051	富国可转债A	9月1日	2.185	2.185	-0.50%	-4.29%	3.60%	11.99%	10.91%	26.52%	8.33%	3.31%	15.61%	118.50%	27.26%
116	470058	汇添富可转换	9月1日	2.1113	2.3929	-0.18%	-1.46%	6.44%	14.47%	12.32%	26.52%	16.97%	9.91%	15.15%	162.21%	27.40%
117	3458	嘉实稳宏债券	9月1日	1.6253	1.6253	0.01%	-2.05%	6.80%	14.02%	10.99%	26.45%	11.00%	3.56%	17.03%	62.53%	27.30%
118	47	华夏双债债券	9月1日	2.0289	2.331	-0.38%	-2.16%	4.05%	9.29%	9.42%	26.38%	25.10%	24.93%	13.44%	156.69%	26.66%
119	9758	富国可转债C	9月1日	2.164	2.164	-0.46%	-4.25%	3.59%	11.95%	10.80%	26.33%	7.93%	2.75%	15.47%	27.59%	27.07%
120	4564	北信瑞丰鼎利	9月1日	1.2734	1.3814	-0.41%	-2.41%	2.26%	6.61%	8.55%	26.10%	25.81%	23.55%	11.72%	40.87%	27.01%
121	470059	汇添富可转换	9月1日	1.9862	2.2678	-0.19%	-1.46%	6.41%	14.35%	12.09%	26.02%	16.08%	8.59%	14.84%	148.12%	26.90%
122	48	华夏双债债券	9月1日	1.9702	2.2619	-0.38%	-2.17%	4.02%	9.21%	9.26%	26.00%	24.36%	23.83%	13.21%	147.87%	26.29%
123	3459	嘉实稳宏债券	9月1日	1.5791	1.5791	0.01%	-2.05%	6.77%	13.92%	10.79%	26.00%	10.23%	2.47%	16.75%	57.91%	26.86%
124	5193	北信瑞丰鼎利	9月1日	1.2574	1.3524	-0.41%	-2.42%	2.24%	6.58%	8.44%	25.54%	25.15%	22.38%	11.56%	37.52%	26.45%
125	3197	光大安诚债券	9月1日	1.2691	1.3456	-0.33%	-2.44%	5.59%	12.79%	6.27%	25.53%	13.15%	11.04%	12.43%	36.56%	24.97%
126	200013	长城积极增利	9月1日	1.3198	1.7822	-0.60%	-3.16%	3.27%	11.16%	10.01%	25.47%	16.32%	13.54%	14.55%	92.48%	26.37%
127	3198	光大安诚债券	9月1日	1.2574	1.3277	-0.34%	-2.46%	5.56%	12.70%	6.11%	25.14%	12.47%	10.04%	12.19%	34.45%	24.58%
128	8331	万家可转债债	9月1日	1.3789	1.3789	-0.15%	-3.44%	4.56%	10.40%	8.62%	25.12%	13.35%	11.35%	14.21%	37.89%	26.47%
129	2280	华富安享债券	9月1日	1.185	1.595	-0.47%	-2.88%	2.87%	9.34%	7.39%	25.05%	10.30%	5.51%	12.22%	62.17%	25.96%
130	161010	富国天丰强化	9月1日	1.3086	2.2431	-0.11%	-1.18%	5.83%	10.64%	12.02%	25.04%	23.23%	24.74%	16.17%	202.19%	26.02%
131	200113	长城积极增利	9月1日	1.5423	1.7327	-0.60%	-3.17%	3.23%	11.04%	9.79%	24.97%	15.40%	12.19%	14.24%	81.36%	25.87%
