序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
36	7113	永赢高端制造	9月1日	1.8462	1.8462	4.27%	17.79%	44.71%	111.87%	85.31%	152.08%	105.61%	66.76%	98.11%	84.60%	159.48%	0.15%
37	7114	永赢高端制造	9月1日	1.8246	1.8246	4.27%	17.79%	44.68%	111.74%	85.11%	151.56%	104.78%	65.75%	97.83%	82.44%	158.96%	0.00%
38	7713	华富科技动能	9月1日	1.5632	1.6132	-0.48%	-1.57%	14.08%	18.85%	15.84%	151.00%	71.93%	33.79%	67.51%	62.67%	159.15%	0.15%
39	1534	华宝万物互联	9月1日	2.016	2.016	4.13%	16.06%	36.59%	87.01%	70.56%	150.12%	70.27%	50.56%	78.41%	101.60%	158.79%	0.15%
40	17968	华富科技动能	9月1日	1.5404	1.5404	-0.49%	-1.58%	14.03%	18.67%	15.49%	149.50%	69.93%	---	66.84%	39.85%	157.64%	0.00%
41	10115	易方达远见成	9月1日	1.9086	1.9086	0.92%	3.71%	25.11%	103.19%	96.54%	149.49%	75.42%	89.25%	98.46%	90.86%	155.30%	0.15%
42	11144	华安汇宏精选	9月1日	1.9113	1.9113	2.03%	6.41%	25.97%	69.59%	71.00%	148.96%	127.73%	125.60%	85.40%	91.13%	156.41%	0.15%
43	16463	华宝万物互联	9月1日	1.981	1.981	4.15%	16.05%	36.53%	86.71%	70.04%	148.87%	68.31%	---	77.67%	39.12%	157.27%	0.00%
44	4890	中邮健康文娱	9月1日	3.8758	3.8758	3.75%	11.00%	35.63%	78.50%	64.99%	148.85%	128.45%	123.62%	80.06%	287.58%	156.08%	0.15%
45	8988	大成科技创新	9月1日	2.7772	2.7772	3.73%	14.82%	43.22%	94.96%	87.98%	148.61%	130.40%	112.52%	106.50%	177.72%	151.13%	0.15%
46	11412	易方达远见成	9月1日	1.8745	1.8745	0.91%	3.70%	25.07%	102.98%	96.14%	148.48%	74.02%	86.96%	97.92%	87.45%	154.27%	0.00%
47	1075	宝盈转型动力	9月1日	2.3127	2.3127	4.26%	16.70%	46.90%	115.88%	102.18%	148.46%	169.80%	163.65%	103.83%	131.27%	156.08%	0.15%
48	8989	大成科技创新	9月1日	2.7183	2.7183	3.72%	14.81%	43.17%	94.76%	87.60%	147.57%	128.54%	109.96%	105.99%	171.83%	150.10%	0.00%
49	11145	华安汇宏精选	9月1日	1.8613	1.8613	2.03%	6.40%	25.90%	69.33%	70.51%	147.51%	125.04%	121.58%	84.65%	86.13%	154.90%	0.00%
50	18122	永赢数字经济	9月1日	1.5213	1.5213	1.37%	2.01%	43.40%	61.43%	43.89%	147.41%	104.04%	---	70.70%	52.13%	156.20%	0.15%
51	15368	国泰君安领航	9月1日	1.8607	1.8607	1.65%	6.81%	36.12%	71.27%	64.77%	147.30%	96.53%	---	78.59%	86.07%	154.82%	0.15%
52	15389	宝盈转型动力	9月1日	2.2749	2.2749	4.25%	16.69%	46.84%	115.61%	101.68%	147.22%	167.20%	159.78%	103.17%	161.42%	154.83%	0.00%
53	6430	凯石澜龙头经	9月1日	1.3403	2.0603	5.29%	22.79%	53.19%	130.17%	100.82%	146.83%	118.65%	57.52%	116.21%	139.08%	155.98%	0.15%
54	18123	永赢数字经济	9月1日	1.5071	1.5071	1.37%	2.00%	43.34%	61.26%	43.60%	146.46%	102.46%	---	70.27%	50.71%	155.22%	0.00%
55	15369	国泰君安领航	9月1日	1.8421	1.8421	1.64%	6.80%	36.07%	71.09%	64.43%	146.30%	94.95%	---	78.10%	84.21%	153.80%	0.00%
56	21489	中航趋势领航	9月1日	2.3148	2.3548	-0.53%	-2.92%	15.51%	22.80%	11.37%	145.99%	---	---	66.08%	138.12%	150.97%	0.15%
57	17483	财通资管数字	9月1日	1.9195	2.0145	1.85%	8.26%	26.32%	58.09%	50.67%	145.82%	91.81%	---	81.35%	107.90%	154.33%	0.15%
58	11369	华商均衡成长	9月1日	1.6725	1.6725	2.87%	13.95%	43.33%	101.36%	85.96%	145.63%	97.48%	88.45%	101.41%	67.25%	149.96%	0.15%
59	17484	财通资管数字	9月1日	1.8984	1.9934	1.84%	8.25%	26.27%	57.94%	50.38%	144.84%	90.27%	---	80.87%	105.71%	153.34%	0.00%
60	21490	中航趋势领航	9月1日	2.2977	2.3377	-0.53%	-2.93%	15.46%	22.62%	11.03%	144.50%	---	---	65.42%	136.38%	149.48%	0.00%
61	11370	华商均衡成长	9月1日	1.629	1.629	2.87%	13.94%	43.26%	101.06%	85.39%	144.15%	95.14%	85.09%	100.62%	62.90%	148.47%	0.00%
62	519158	新华趋势领航	9月1日	3.5155	4.7709	3.57%	9.36%	27.60%	76.26%	76.76%	143.79%	76.28%	17.38%	75.32%	444.87%	154.78%	0.15%
63	17490	财通景气甄选	9月1日	2.2128	2.2128	3.73%	14.24%	46.25%	121.90%	75.62%	143.62%	122.62%	---	56.89%	121.28%	152.92%	0.15%
64	1970	泰信鑫选灵活	9月1日	1.472	1.472	1.52%	3.88%	18.42%	24.53%	18.61%	142.50%	69.39%	28.67%	43.05%	47.20%	152.05%	0.15%
65	213003	宝盈策略增长	9月1日	1.6636	2.9636	1.15%	8.22%	36.64%	81.73%	71.97%	142.12%	107.61%	79.67%	94.35%	350.01%	148.89%	0.15%
66	2580	泰信鑫选灵活	9月1日	1.46	1.46	1.46%	3.84%	18.31%	24.47%	18.51%	142.12%	68.98%	28.30%	43.00%	45.42%	151.72%	0.00%
67	10033	安信成长精选	9月1日	1.5548	1.5548	4.98%	11.10%	27.94%	74.95%	91.34%	142.11%	112.06%	52.78%	109.65%	55.48%	148.33%	0.15%
68	17491	财通景气甄选	9月1日	2.1759	2.1759	3.72%	14.22%	46.16%	121.44%	74.91%	141.69%	119.10%	---	56.06%	117.59%	150.91%	0.00%
69	2770	安信新回报混	9月1日	4.5934	4.6434	4.65%	12.57%	32.06%	84.91%	103.13%	141.43%	111.03%	56.11%	107.72%	380.52%	148.24%	0.08%
70	2771	安信新回报混	9月1日	4.5041	4.5541	4.65%	12.57%	32.03%	84.82%	102.93%	140.94%	110.19%	55.17%	107.45%	371.23%	147.75%	0.00%
71	10034	安信成长精选	9月1日	1.5169	1.5169	4.98%	11.09%	27.88%	74.74%	90.85%	140.89%	109.95%	50.49%	108.97%	51.69%	147.09%	0.00%
72	10415	华泰柏瑞质量	9月1日	1.1469	1.1469	3.46%	16.08%	50.14%	112.90%	110.52%	139.79%	88.70%	61.63%	114.98%	14.69%	146.27%	0.15%
73	1480	财通成长优选	9月1日	3.421	3.421	3.60%	13.92%	47.08%	125.07%	81.97%	139.06%	121.28%	39.80%	58.53%	242.10%	147.90%	0.15%
74	698	宝盈科技30	9月1日	5.479	5.479	1.26%	7.92%	36.94%	80.94%	71.22%	139.05%	99.74%	67.40%	89.00%	447.90%	146.03%	0.15%
75	4206	华商元亨混合	9月1日	2.9078	3.2698	2.64%	8.46%	31.25%	75.84%	61.85%	138.72%	130.81%	148.78%	81.84%	261.95%	144.63%	0.15%
76	10416	华泰柏瑞质量	9月1日	1.1216	1.1216	3.46%	16.08%	50.09%	112.67%	110.00%	138.54%	86.78%	59.21%	114.25%	12.16%	145.05%	0.00%
77	21528	财通成长优选	9月1日	1.969	1.969	3.58%	13.95%	47.05%	124.77%	81.64%	138.09%	---	---	58.15%	96.90%	146.74%	0.00%
78	14600	博时回报严选	9月1日	1.4656	1.4656	2.78%	9.60%	37.80%	79.52%	67.86%	137.77%	79.41%	52.63%	88.67%	46.56%	145.33%	0.15%
79	19053	华商元亨混合	9月1日	2.8813	3.1983	2.63%	8.45%	31.21%	75.66%	61.51%	137.77%	129.00%	---	81.35%	129.13%	143.66%	0.00%
80	18835	广发成长启航	9月1日	2.2704	2.2704	0.45%	2.16%	17.98%	40.14%	42.60%	137.61%	---	---	62.36%	127.04%	140.03%	0.15%
81	519087	新华优选分红	9月1日	1.0626	4.8409	3.82%	9.74%	27.09%	74.23%	75.87%	137.51%	76.98%	29.59%	74.88%	1244.96%	147.52%	0.12%
82	15915	永赢医药创新	9月1日	2.0071	2.0071	3.87%	-0.01%	4.75%	40.55%	86.05%	137.25%	106.28%	---	121.29%	100.71%	138.40%	0.10%
83	18836	广发成长启航	9月1日	2.2607	2.2607	0.44%	2.15%	17.92%	39.96%	42.25%	137.17%	---	---	61.79%	126.07%	139.58%	0.00%
84	14601	博时回报严选	9月1日	1.4399	1.4399	2.78%	9.60%	37.75%	79.32%	67.45%	136.59%	77.63%	50.38%	88.05%	43.99%	144.13%	0.00%
85	15916	永赢医药创新	9月1日	1.9858	1.9858	3.87%	-0.02%	4.72%	40.30%	85.59%	136.18%	104.66%	---	120.60%	98.58%	137.37%	0.00%
86	5914	景顺长城智能	9月1日	3.2406	3.2406	2.63%	9.28%	39.54%	78.39%	57.58%	135.80%	89.29%	73.65%	74.77%	224.06%	141.10%	0.15%
87	15143	中欧智能制造	9月1日	1.8955	1.8955	0.89%	3.61%	24.24%	38.88%	30.72%	135.70%	117.27%	85.98%	67.08%	89.55%	144.45%	0.15%
88	10350	景顺长城品质	9月1日	1.8444	1.8444	2.36%	9.08%	32.34%	64.03%	59.83%	135.23%	136.13%	135.32%	77.77%	84.44%	140.59%	0.15%
89	19829	华夏数字产业	9月1日	2.2526	2.2526	4.04%	14.73%	45.39%	103.62%	82.00%	135.01%	---	---	100.07%	125.26%	138.57%	0.15%
90	1513	易方达信息产	9月1日	4.941	4.941	3.61%	12.12%	43.30%	101.84%	80.13%	134.50%	114.27%	95.61%	85.89%	394.10%	140.32%	0.15%
91	11815	恒越优势精选	9月1日	1.1592	1.1592	2.23%	11.34%	39.38%	90.56%	86.85%	134.37%	94.20%	35.25%	94.63%	15.92%	137.10%	0.15%
92	15144	中欧智能制造	9月1日	1.8613	1.8613	0.88%	3.60%	24.19%	38.71%	30.36%	134.27%	114.91%	83.04%	66.41%	86.13%	143.02%	0.00%
93	1170	宏利复兴混合	9月1日	2.297	2.297	4.69%	13.88%	39.81%	84.05%	59.07%	134.15%	102.74%	80.58%	75.48%	129.70%	140.52%	0.15%
94	15751	景顺长城品质	9月1日	1.8187	1.8187	2.36%	9.07%	32.29%	63.88%	59.49%	134.10%	134.04%	132.27%	77.26%	136.63%	139.46%	0.00%
95	12082	博时数字经济	9月1日	1.2716	1.2716	4.44%	9.45%	38.62%	72.54%	55.59%	134.01%	77.03%	43.05%	77.23%	27.16%	141.34%	0.15%
96	290011	泰信中小盘精	9月1日	4.724	4.984	1.50%	3.69%	18.72%	26.61%	19.87%	133.86%	59.38%	31.00%	43.41%	452.66%	142.63%	0.15%
97	13238	财通均衡优选	9月1日	1.4207	1.4207	1.97%	5.32%	26.32%	38.19%	61.44%	133.82%	108.80%	64.26%	70.08%	42.07%	139.78%	0.15%
98	14915	财通匠心优选	9月1日	1.3863	1.3863	4.10%	14.25%	46.84%	124.07%	76.37%	133.82%	115.67%	44.08%	55.66%	38.63%	142.49%	0.15%
99	9062	财通智慧成长	9月1日	2.1297	2.1297	3.55%	13.37%	45.54%	122.26%	76.04%	133.72%	115.49%	36.93%	55.76%	112.97%	142.34%	0.15%
100	17612	宏利复兴混合	9月1日	2.28	2.28	4.73%	13.94%	39.79%	84.02%	58.89%	133.61%	101.59%	---	75.12%	95.21%	140.00%	0.00%
101	19018	易方达信息产	9月1日	4.894	4.894	3.60%	12.07%	43.18%	101.57%	79.60%	133.38%	---	---	85.24%	130.41%	139.08%	0.00%
102	6533	易方达科融混	9月1日	5.413	5.413	2.37%	8.83%	35.98%	82.97%	79.82%	133.32%	121.86%	89.72%	86.12%	441.30%	139.16%	0.15%
103	9008	平安科技创新	9月1日	2.3358	2.3358	2.90%	7.03%	41.92%	81.41%	63.78%	133.23%	83.85%	58.35%	92.79%	133.58%	139.30%	0.15%
104	12083	博时数字经济	9月1日	1.2502	1.2502	4.44%	9.44%	38.57%	72.35%	55.27%	133.07%	75.59%	41.31%	76.78%	25.02%	140.38%	0.00%
105	19830	华夏数字产业	9月1日	2.2275	2.2275	4.04%	14.71%	45.32%	103.31%	81.41%	133.00%	---	---	99.24%	122.75%	136.54%	0.00%
106	2152	华宝核心优势	9月1日	4.089	4.089	4.05%	15.90%	42.42%	104.25%	94.90%	132.33%	121.15%	113.41%	90.81%	308.90%	139.68%	0.15%
107	13239	财通均衡优选	9月1日	1.3786	1.3786	1.97%	5.29%	26.23%	37.92%	60.81%	131.97%	105.52%	60.38%	69.19%	37.86%	137.89%	0.00%
108	14916	财通匠心优选	9月1日	1.349	1.349	4.10%	14.23%	46.74%	123.60%	75.65%	131.95%	112.24%	40.65%	54.83%	34.90%	140.55%	0.00%
109	9063	财通智慧成长	9月1日	2.0395	2.0395	3.55%	13.36%	45.45%	121.81%	75.32%	131.87%	112.07%	33.69%	54.93%	103.95%	140.42%	0.00%
110	9009	平安科技创新	9月1日	2.2358	2.2358	2.89%	7.02%	41.83%	81.05%	63.11%	131.38%	80.95%	54.61%	91.77%	123.58%	137.42%	0.00%
111	20397	中银港股通医	9月1日	2.0189	2.0189	4.28%	0.81%	9.55%	47.19%	92.64%	131.00%	---	---	128.41%	101.89%	132.03%	0.15%
112	16461	华宝核心优势	9月1日	4.033	4.033	4.05%	15.89%	42.36%	104.00%	94.36%	130.99%	119.42%	110.60%	90.15%	109.29%	138.36%	0.00%
113	15967	永赢半导体产	9月1日	1.5622	1.5622	1.81%	1.51%	21.68%	42.10%	34.38%	130.62%	76.36%	---	59.10%	56.22%	137.56%	0.10%
114	10237	安信创新先锋	9月1日	1.0968	1.0968	3.06%	14.42%	47.08%	94.23%	68.87%	130.52%	91.85%	47.90%	87.42%	9.68%	140.79%	0.15%
115	240011	华宝大盘精选	9月1日	4.435	4.9418	4.07%	16.05%	42.28%	104.79%	94.90%	130.47%	115.84%	62.69%	90.92%	456.43%	137.69%	0.15%
116	501081	中欧科创主题	9月1日	2.9265	2.9265	1.05%	4.13%	24.76%	37.52%	28.63%	130.47%	106.75%	70.92%	63.32%	192.65%	138.51%	0.15%
117	10418	财通景气行业	9月1日	1.2857	1.2857	2.72%	5.54%	25.67%	67.67%	76.58%	129.67%	102.22%	72.72%	75.69%	28.57%	136.86%	0.15%
118	6522	财通新兴蓝筹	9月1日	2.5086	2.5086	2.88%	7.65%	31.40%	79.24%	62.79%	129.64%	104.55%	53.79%	65.43%	150.86%	134.93%	0.15%
119	1985	富国低碳新经	9月1日	3.853	4.133	2.72%	9.90%	35.57%	68.84%	69.44%	129.62%	73.32%	50.80%	80.38%	329.48%	135.66%	0.15%
120	15968	永赢半导体产	9月1日	1.5432	1.5432	1.80%	1.49%	21.63%	41.94%	34.11%	129.61%	74.89%	---	58.72%	54.32%	136.54%	0.00%
