序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
944	15790	永赢高端装备	9月1日	0.949	0.949	-1.36%	0.23%	15.30%	25.00%	24.92%	75.16%	28.43%	-1.66%	29.26%	-5.10%	81.21%	0.00%
945	14325	国联安核心趋	9月1日	1.1054	1.1054	2.27%	4.02%	15.81%	27.95%	28.24%	75.15%	32.61%	31.91%	38.73%	10.54%	80.00%	0.15%
946	14886	长盛匠心研究	9月1日	1.2578	1.2578	0.90%	1.13%	14.40%	31.42%	32.19%	75.13%	51.43%	27.40%	39.79%	25.78%	78.01%	0.00%
947	12889	工银兴瑞一年	9月1日	0.8942	0.8942	4.66%	1.78%	8.20%	33.80%	55.08%	75.09%	34.30%	18.06%	67.33%	-10.58%	77.70%	0.00%
948	11707	东吴配置优化	9月1日	2.1981	2.1981	3.60%	12.73%	39.69%	81.26%	54.05%	75.08%	59.21%	13.45%	60.33%	24.32%	81.00%	0.00%
949	15135	工银专精特新	9月1日	0.995	0.995	1.77%	-0.50%	12.21%	23.39%	23.19%	75.05%	25.03%	-0.08%	40.91%	-0.50%	78.89%	0.15%
950	10037	华泰柏瑞价值	9月1日	3.5854	4.5406	0.78%	0.74%	14.53%	37.26%	32.67%	74.99%	37.62%	7.31%	46.28%	-13.49%	78.48%	0.00%
951	16118	贝莱德先进制	9月1日	1.3931	1.3931	1.66%	3.92%	30.04%	62.59%	52.18%	74.90%	55.31%	39.31%	58.31%	39.31%	78.15%	0.00%
952	11170	宝盈智慧生活	9月1日	1.2461	1.2461	1.14%	0.78%	16.19%	28.15%	19.37%	74.87%	40.17%	29.61%	26.06%	24.61%	79.37%	0.15%
953	6113	汇添富创新医	9月1日	2.1147	2.1147	4.68%	0.31%	6.93%	32.05%	61.07%	74.86%	30.70%	2.38%	68.58%	111.47%	76.43%	0.15%
954	10962	中银鑫新消费	9月1日	1.2147	1.2147	0.20%	3.91%	20.93%	31.28%	29.73%	74.80%	26.62%	26.01%	42.81%	21.47%	78.13%	0.00%
955	7491	南方信息创新	9月1日	2.1358	2.1358	2.97%	3.98%	16.91%	27.79%	22.44%	74.72%	35.02%	22.11%	31.74%	113.58%	82.92%	0.00%
956	12530	永赢惠添盈一	9月1日	1.2992	1.2992	3.33%	5.00%	36.74%	56.19%	48.45%	74.72%	57.71%	45.47%	59.76%	29.92%	78.05%	0.15%
957	100022	富国天瑞强势	9月1日	0.9672	6.2177	3.85%	11.45%	32.08%	48.82%	26.86%	74.71%	42.32%	24.30%	46.99%	2365.51%	78.71%	0.15%
958	13914	大成红利优选	9月1日	1.4419	1.4419	0.27%	1.05%	8.56%	16.17%	21.29%	74.67%	43.00%	---	22.34%	44.19%	78.06%	0.15%
959	1135	益民品质升级	9月1日	0.9617	0.9617	1.05%	-2.06%	3.73%	12.40%	26.79%	74.66%	45.05%	18.29%	44.68%	-3.83%	76.07%	0.15%
960	14648	融通先进制造	9月1日	1.1225	1.2245	3.46%	7.47%	30.02%	46.77%	40.35%	74.65%	24.56%	2.75%	48.81%	23.29%	78.01%	0.00%
961	18590	银华体育文化	9月1日	1.865	1.865	-0.64%	-2.00%	6.09%	26.61%	26.18%	74.63%	19.32%	---	31.52%	-8.04%	78.98%	0.00%
962	16159	汇添富数字经	9月1日	1.4829	1.4829	2.44%	6.68%	23.48%	47.82%	30.91%	74.62%	53.84%	---	45.20%	48.29%	78.21%	0.00%
963	10110	广发医药健康	9月1日	0.7243	0.7243	4.29%	0.21%	5.11%	28.40%	54.93%	74.61%	51.08%	15.56%	66.93%	-27.57%	77.05%	0.15%
964	11059	景顺长城成长	9月1日	1.065	1.065	0.47%	1.62%	14.48%	23.18%	20.58%	74.53%	30.80%	20.28%	36.71%	6.51%	79.23%	0.00%
965	6864	国联安核心资	9月1日	1.1167	1.1167	2.40%	4.21%	15.95%	27.94%	27.74%	74.51%	31.59%	31.48%	37.51%	11.67%	79.48%	0.15%
966	20151	中信保诚景气	9月1日	1.7633	1.7633	0.87%	-1.79%	2.39%	12.61%	29.17%	74.45%	---	---	39.65%	76.33%	75.86%	0.15%
967	17639	景顺长城景气	9月1日	1.4399	1.4399	0.66%	2.48%	19.21%	34.37%	31.31%	74.39%	52.37%	---	38.71%	43.99%	78.98%	0.15%
968	19925	华宝竞争优势	9月1日	0.7753	0.7753	2.35%	4.84%	26.60%	48.38%	29.37%	74.38%	---	---	37.88%	54.84%	80.09%	0.00%
969	15504	华夏兴夏价值	9月1日	1.4375	1.4375	-0.63%	-2.63%	8.88%	21.00%	29.55%	74.37%	38.90%	---	48.69%	43.75%	77.40%	0.15%
970	16263	银华高端制造	9月1日	1.618	1.753	3.52%	13.62%	34.95%	64.60%	51.64%	74.35%	58.16%	14.52%	49.26%	4.47%	76.83%	0.00%
971	20970	益民品质升级	9月1日	0.9588	0.9588	1.06%	-2.05%	3.72%	12.35%	26.69%	74.33%	---	---	44.51%	81.63%	75.73%	0.00%
972	18442	汇添富成长领	9月1日	1.3751	1.3751	1.85%	4.22%	22.05%	31.45%	22.45%	74.31%	36.68%	---	42.94%	37.51%	78.12%	0.15%
973	270028	广发制造业精	9月1日	5.942	6.799	0.81%	3.59%	26.37%	55.43%	38.15%	74.30%	36.19%	1.06%	46.93%	589.02%	78.87%	0.15%
974	19345	交银医疗健康	9月1日	1.6665	1.6665	4.77%	0.44%	3.75%	31.74%	62.28%	74.27%	---	---	72.03%	66.65%	75.66%	0.15%
975	6299	恒越核心精选	9月1日	2.4923	2.4923	2.22%	3.09%	17.60%	27.27%	39.18%	74.24%	47.93%	5.02%	48.52%	149.23%	78.16%	0.15%
976	1543	宝盈新锐混合	9月1日	2.995	2.995	0.37%	-1.64%	5.94%	20.28%	26.16%	74.23%	22.65%	-10.38%	33.53%	199.50%	76.59%	0.15%
977	17303	华安景气领航	9月1日	1.351	1.351	1.33%	3.42%	18.54%	45.52%	38.58%	74.23%	41.63%	---	44.11%	35.10%	77.34%	0.15%
978	710001	富安达优势成	9月1日	4.2447	4.2447	0.21%	3.58%	18.40%	46.48%	43.92%	74.16%	44.41%	28.05%	52.31%	324.47%	77.63%	0.15%
979	11171	宝盈智慧生活	9月1日	1.2244	1.2244	1.13%	0.77%	16.14%	28.01%	19.13%	74.14%	39.04%	28.06%	25.72%	22.44%	78.64%	0.00%
980	673060	西部利得景瑞	9月1日	3.188	3.283	0.63%	3.34%	18.29%	31.03%	24.39%	74.11%	47.12%	22.71%	41.25%	243.22%	77.60%	0.06%
981	9858	博时价值臻选	9月1日	0.987	0.987	2.68%	5.96%	23.73%	57.24%	58.81%	74.10%	35.21%	10.65%	59.22%	-1.30%	76.88%	0.00%
982	1076	易方达改革红	9月1日	2.449	2.449	2.64%	7.84%	25.40%	50.25%	43.38%	74.06%	55.00%	32.52%	49.69%	144.90%	76.95%	0.15%
983	13840	银华集成电路	9月1日	1.2654	1.2654	2.58%	3.72%	20.16%	32.52%	19.91%	74.06%	32.53%	29.55%	26.21%	26.54%	82.86%	0.15%
984	1694	华安沪港深外	9月1日	5.205	5.28	1.30%	3.44%	18.35%	44.14%	38.99%	74.02%	36.72%	32.88%	43.94%	447.15%	77.04%	0.15%
985	15121	汇添富医疗服	9月1日	2.003	2.003	4.00%	-0.45%	4.27%	20.74%	58.34%	74.02%	76.48%	32.30%	69.32%	17.69%	75.70%	0.00%
986	14177	华安景气驱动	9月1日	1.4635	1.4635	1.32%	3.30%	18.31%	45.58%	39.31%	74.02%	36.79%	35.32%	44.36%	46.35%	77.05%	0.15%
987	15136	工银专精特新	9月1日	0.9767	0.9767	1.76%	-0.52%	12.15%	23.20%	22.81%	74.01%	23.54%	-1.87%	40.35%	-2.33%	77.84%	0.00%
988	15911	兴业致远混合	9月1日	1.3588	1.3588	2.24%	5.77%	21.56%	37.22%	30.79%	73.94%	39.26%	---	36.63%	35.88%	76.47%	0.15%
989	10111	广发医药健康	9月1日	0.7102	0.7102	4.29%	0.20%	5.06%	28.26%	54.59%	73.90%	49.86%	14.16%	66.48%	-28.98%	76.36%	0.00%
990	15527	弘毅远方汽车	9月1日	1.1269	1.1269	1.22%	3.96%	20.38%	28.22%	18.96%	73.90%	31.19%	---	44.05%	12.69%	77.46%	0.15%
991	7193	恒越核心精选	9月1日	2.4747	2.4747	2.22%	3.09%	17.59%	27.20%	39.04%	73.88%	47.33%	4.39%	48.32%	120.66%	77.81%	0.00%
992	11503	建信智能生活	9月1日	1.061	1.061	0.82%	1.29%	10.60%	15.00%	24.18%	73.85%	47.79%	7.86%	34.25%	6.10%	76.30%	0.15%
993	519959	长信多利混合	9月1日	2.0849	2.2949	-0.83%	-1.69%	7.99%	12.06%	33.89%	73.83%	47.09%	27.35%	41.92%	143.27%	74.54%	0.15%
994	1712	东方红优势精	9月1日	1.893	1.893	2.82%	12.88%	33.50%	59.48%	57.10%	73.83%	47.78%	10.64%	67.52%	89.30%	77.41%	0.15%
995	14326	国联安核心趋	9月1日	1.0733	1.0733	2.26%	4.00%	15.73%	27.68%	27.71%	73.76%	30.49%	28.77%	37.99%	7.33%	78.56%	0.00%
996	15547	华商核心成长	9月1日	0.7199	0.7199	3.78%	8.39%	29.15%	53.20%	45.35%	73.76%	-5.62%	---	55.52%	-28.01%	77.58%	0.15%
997	13841	银华集成电路	9月1日	1.2561	1.2561	2.58%	3.72%	20.15%	32.44%	19.80%	73.71%	32.01%	28.78%	26.05%	25.61%	82.49%	0.00%
998	17001	格林港股通臻	9月1日	1.6582	1.6582	-0.35%	-3.56%	6.60%	15.85%	32.11%	73.69%	---	---	40.55%	65.82%	76.46%	0.00%
999	2943	广发多因子混	9月1日	4.5838	4.8241	0.96%	0.81%	10.20%	20.77%	21.85%	73.65%	40.79%	42.45%	29.39%	419.06%	76.27%	0.15%
1000	13915	大成红利优选	9月1日	1.418	1.418	0.27%	1.04%	8.51%	16.00%	20.93%	73.63%	41.32%	---	21.86%	41.80%	77.01%	0.00%
1001	6267	诺德量化核心	9月1日	1.3926	1.4426	0.70%	-0.79%	7.66%	20.62%	26.22%	73.60%	37.74%	7.55%	32.87%	45.81%	77.24%	0.15%
1002	10023	广发制造业精	9月1日	5.825	6.675	0.80%	3.57%	26.33%	55.25%	37.84%	73.57%	35.09%	-0.18%	46.54%	37.66%	78.13%	0.00%
1003	4314	前海开源沪港	9月1日	1.9691	1.9691	-0.04%	3.54%	24.38%	33.93%	17.43%	73.50%	29.69%	12.40%	25.07%	96.91%	78.64%	0.15%
1004	4671	国联核心成长	9月1日	2.3753	2.3753	0.77%	2.36%	16.04%	24.81%	23.89%	73.46%	38.55%	35.84%	30.57%	137.53%	76.03%	0.15%
1005	18282	山证资管创新	9月1日	1.6115	1.6115	0.67%	6.38%	23.84%	46.98%	40.36%	73.45%	61.21%	---	42.40%	61.15%	76.31%	0.00%
1006	6268	诺德量化核心	9月1日	1.3832	1.4332	0.71%	-0.78%	7.66%	20.60%	26.17%	73.44%	37.48%	7.24%	32.80%	44.83%	77.08%	0.00%
1007	9258	西部利得景瑞	9月1日	3.122	3.217	0.64%	3.31%	18.26%	30.90%	24.14%	73.44%	45.89%	21.20%	40.82%	148.37%	76.88%	0.00%
1008	18281	山证资管创新	9月1日	1.6211	1.6211	0.68%	6.39%	23.88%	46.41%	40.03%	73.44%	62.16%	---	42.20%	62.11%	76.28%	0.15%
1009	8980	中邮科技创新	9月1日	1.9692	2.2861	0.48%	7.04%	27.89%	39.49%	22.05%	73.42%	59.23%	41.24%	32.25%	148.63%	79.70%	0.12%
1010	20152	中信保诚景气	9月1日	1.7472	1.7472	0.87%	-1.80%	2.34%	12.44%	28.78%	73.40%	---	---	39.09%	74.72%	74.82%	0.00%
1011	4604	富国新活力灵	9月1日	3.4158	3.4158	2.29%	1.97%	12.38%	28.63%	22.93%	73.36%	60.01%	46.87%	45.93%	241.58%	75.27%	0.15%
1012	6072	民生加银创新	9月1日	1.0365	1.0365	2.15%	1.97%	17.36%	37.25%	43.10%	73.36%	20.80%	-31.74%	52.31%	3.65%	76.34%	0.15%
1013	19219	中信保诚先进	9月1日	1.648	1.648	0.35%	0.93%	17.00%	47.58%	35.73%	73.35%	---	---	41.02%	64.80%	78.94%	0.15%
1014	18002	华夏兴夏价值	9月1日	1.4177	1.4177	-0.64%	-2.64%	8.82%	20.81%	29.15%	73.33%	37.25%	---	48.08%	41.77%	76.35%	0.00%
1015	6122	华安低碳生活	9月1日	3.2089	3.2089	2.74%	4.40%	20.33%	35.00%	20.54%	73.32%	60.58%	59.15%	31.43%	220.89%	78.05%	0.15%
1016	4315	前海开源沪港	9月1日	2.3473	2.3473	-0.05%	3.53%	24.37%	33.88%	17.36%	73.32%	29.42%	12.06%	24.99%	134.73%	78.46%	0.15%
1017	17640	景顺长城景气	9月1日	1.4183	1.4183	0.65%	2.46%	19.14%	34.16%	30.90%	73.32%	50.55%	---	38.14%	41.83%	77.91%	0.00%
1018	1765	前海开源嘉鑫	9月1日	2.071	2.337	0.49%	-0.48%	16.74%	14.67%	10.87%	73.31%	70.17%	68.10%	66.35%	158.97%	73.89%	0.15%
1019	19346	交银医疗健康	9月1日	1.6485	1.6485	4.76%	0.43%	3.71%	31.53%	61.79%	73.29%	---	---	71.34%	64.85%	74.68%	0.00%
1020	13107	华夏先进制造	9月1日	1.4625	1.4625	1.63%	8.68%	29.92%	54.91%	43.44%	73.24%	69.90%	55.59%	48.60%	46.25%	76.63%	0.15%
1021	17142	华宝远见回报	9月1日	1.162	1.162	1.31%	6.63%	27.65%	40.61%	23.20%	73.23%	36.37%	---	34.37%	16.20%	76.89%	0.15%
1022	17304	华安景气领航	9月1日	1.3321	1.3321	1.32%	3.40%	18.47%	45.28%	38.16%	73.20%	39.94%	---	43.53%	33.21%	76.27%	0.00%
1023	1770	前海开源嘉鑫	9月1日	2.047	2.31	0.49%	-0.49%	16.77%	14.61%	10.77%	73.18%	69.59%	67.38%	66.15%	155.72%	73.77%	0.00%
1024	360012	光大保德信中	9月1日	2.0381	2.5859	1.43%	4.11%	17.82%	32.75%	21.81%	73.16%	21.74%	18.89%	30.80%	204.12%	78.59%	0.15%
1025	18443	汇添富成长领	9月1日	1.3575	1.3575	1.85%	4.21%	21.99%	31.25%	21.93%	73.13%	34.95%	---	42.22%	35.75%	76.94%	0.00%
1026	3115	光大诚鑫混合	9月1日	1.6343	1.8385	1.28%	-0.66%	8.27%	20.06%	27.76%	73.11%	38.38%	34.87%	38.43%	91.85%	75.69%	0.08%
1027	15912	兴业致远混合	9月1日	1.3399	1.3399	2.24%	5.76%	21.51%	37.06%	30.47%	73.07%	37.88%	---	36.17%	33.99%	75.59%	0.00%
1028	7592	华夏价值精选	9月1日	1.8897	1.8897	-0.23%	-1.17%	9.09%	23.08%	27.96%	73.07%	37.14%	48.73%	46.67%	88.97%	76.41%	0.15%
1029	6477	中邮沪港深精	9月1日	1.2045	1.2045	2.09%	-0.84%	5.77%	8.92%	5.53%	73.04%	33.64%	50.13%	33.01%	20.45%	76.85%	0.15%
1030	15528	弘毅远方汽车	9月1日	1.112	1.112	1.22%	3.94%	20.33%	28.05%	18.65%	73.02%	29.94%	---	43.65%	11.20%	76.56%	0.00%
1031	11177	博时汇融回报	9月1日	0.8315	0.8315	0.75%	-0.37%	9.25%	20.25%	29.76%	73.01%	26.79%	8.27%	44.43%	-16.85%	75.98%	0.15%
1032	3116	光大诚鑫混合	9月1日	1.6184	1.8224	1.28%	-0.66%	8.34%	20.13%	27.79%	73.00%	38.12%	34.44%	38.42%	89.98%	75.59%	0.00%
1033	14178	华安景气驱动	9月1日	1.433	1.433	1.32%	3.29%	18.25%	45.35%	38.88%	72.96%	35.16%	32.89%	43.77%	43.30%	75.98%	0.00%
1034	2095	博时新收益A	9月1日	1.563	2.3046	2.91%	3.61%	22.65%	45.00%	49.27%	72.94%	56.74%	25.35%	51.56%	190.96%	75.91%	0.08%
1035	959991	兴证资管金麒	9月1日	1.8338	1.8338	3.26%	11.87%	36.84%	67.75%	63.97%	72.92%	50.35%	28.67%	61.34%	74.12%	73.94%	0.12%
1036	8981	中邮科技创新	9月1日	1.9368	2.2511	0.48%	7.04%	27.86%	39.39%	21.86%	72.90%	58.27%	39.97%	31.99%	144.55%	79.17%	0.00%
1037	7393	上银未来生活	9月1日	1.6842	1.6842	-0.17%	0.95%	17.21%	37.49%	29.75%	72.86%	52.89%	48.78%	35.79%	68.42%	77.43%	0.15%
1038	15548	华商核心成长	9月1日	0.7103	0.7103	3.77%	8.38%	29.12%	53.02%	44.96%	72.86%	-6.56%	---	54.99%	-28.97%	76.74%	0.00%
1039	7578	宝盈新锐混合	9月1日	2.855	2.855	0.35%	-1.69%	5.86%	20.01%	25.60%	72.82%	20.67%	-12.53%	32.79%	73.66%	75.15%	0.00%
1040	17532	平安研究优选	9月1日	1.3542	1.3542	1.71%	1.39%	10.23%	21.24%	25.01%	72.82%	57.54%	---	47.04%	35.42%	77.07%	0.15%
1041	2096	博时新收益C	9月1日	1.5558	2.2909	2.91%	3.62%	22.64%	44.97%	49.19%	72.77%	56.44%	24.99%	51.46%	188.42%	75.76%	0.08%
1042	1581	华安沪港深通	9月1日	2.736	2.855	1.79%	1.60%	15.15%	36.80%	42.72%	72.73%	61.23%	40.60%	50.50%	200.99%	75.27%	0.15%
1043	19030	信澳星耀智选	9月1日	1.463	1.463	0.52%	-0.10%	8.64%	22.43%	27.52%	72.73%	45.12%	---	34.69%	46.30%	75.48%	0.15%
1044	14972	华安沪港深外	9月1日	5.097	5.097	1.27%	3.41%	18.26%	43.78%	38.43%	72.72%	34.91%	30.36%	43.25%	47.78%	75.76%	0.00%
1045	14929	民生加银创新	9月1日	1.0217	1.0217	2.15%	1.96%	17.32%	37.10%	42.82%	72.70%	19.86%	-32.56%	51.90%	-47.23%	75.64%	0.00%
1046	16912	恒越均衡优选	9月1日	1.272	1.272	0.45%	-0.08%	10.08%	20.17%	40.43%	72.69%	32.69%	---	47.26%	27.20%	74.92%	0.15%
1047	180031	银华中小盘混	9月1日	3.288	5.6	0.77%	5.45%	27.24%	46.13%	41.12%	72.60%	34.90%	15.33%	45.68%	763.91%	77.35%	0.15%
1048	15765	东方专精特新	9月1日	1.1812	1.1812	1.61%	2.79%	21.30%	38.70%	26.89%	72.59%	26.55%	---	32.21%	18.12%	81.22%	0.15%
1049	240010	华宝行业精选	9月1日	1.8002	1.8002	1.32%	6.93%	28.28%	41.24%	21.22%	72.57%	25.92%	1.11%	32.20%	80.02%	76.23%	0.15%
1050	501075	万家科创主题	9月1日	2.4656	2.4656	1.38%	8.35%	27.36%	47.76%	34.22%	72.55%	53.48%	24.53%	41.70%	146.56%	76.33%	--
1051	12586	南方港股创新	9月1日	1.6044	1.6044	0.71%	-0.51%	7.43%	13.61%	22.99%	72.55%	76.06%	68.41%	44.57%	60.44%	73.54%	0.15%
1052	4605	富国新活力灵	9月1日	3.3219	3.3219	2.28%	1.95%	12.33%	28.46%	22.62%	72.49%	58.42%	44.65%	45.45%	232.19%	74.40%	0.00%
1053	160215	国泰价值经典	9月1日	2.451	3.061	1.03%	3.81%	22.49%	31.14%	16.99%	72.48%	13.95%	-0.85%	32.34%	267.50%	77.61%	0.15%
1054	1885	中欧新蓝筹混	9月1日	2.7352	4.3267	3.68%	10.29%	30.51%	58.39%	51.76%	72.46%	52.23%	36.45%	57.72%	226.98%	75.97%	0.15%
1055	166002	中欧新蓝筹混	9月1日	2.7233	4.3005	3.68%	10.29%	30.51%	58.39%	51.76%	72.46%	52.22%	36.46%	57.72%	816.94%	75.97%	0.15%
1056	690003	民生加银精选	9月1日	0.6829	0.6829	1.71%	1.80%	20.68%	40.02%	43.17%	72.45%	24.62%	-13.45%	53.46%	-31.71%	76.01%	0.15%
1057	8422	国联研发创新	9月1日	1.5241	1.5241	1.17%	10.37%	38.90%	58.36%	40.60%	72.45%	39.72%	36.84%	53.22%	52.41%	76.63%	0.15%
1058	1125	博时互联网主	9月1日	1.571	1.571	1.03%	6.80%	25.28%	43.47%	33.02%	72.45%	51.35%	28.45%	40.02%	57.10%	75.33%	0.15%
1059	15774	长信多利混合	9月1日	2.0403	2.0403	-0.84%	-1.71%	7.94%	11.82%	33.39%	72.40%	45.13%	24.79%	41.23%	22.70%	73.11%	0.00%
1060	8962	建信科技创新	9月1日	1.6585	1.6585	3.03%	6.46%	20.46%	36.96%	28.76%	72.31%	38.75%	13.71%	48.04%	65.85%	74.91%	0.15%
1061	19220	中信保诚先进	9月1日	1.629	1.629	0.34%	0.92%	16.95%	47.35%	35.32%	72.31%	---	---	40.47%	62.90%	77.88%	0.00%
1062	320007	诺安成长混合	9月1日	1.74	2.185	1.16%	1.93%	18.29%	27.66%	17.33%	72.28%	34.47%	22.28%	26.09%	159.96%	79.20%	0.15%
1063	17000	格林港股通臻	9月1日	1.6463	1.6463	-0.35%	-3.55%	6.64%	15.96%	32.40%	72.23%	---	---	40.52%	64.63%	74.97%	0.15%
1064	10427	兴银策略智选	9月1日	1.2683	1.2683	0.33%	1.11%	15.03%	35.92%	25.13%	72.21%	46.54%	19.35%	38.46%	26.83%	76.28%	0.15%
1065	13108	华夏先进制造	9月1日	1.4294	1.4294	1.62%	8.67%	29.86%	54.66%	43.00%	72.20%	67.85%	52.78%	48.02%	42.94%	75.54%	0.00%
1066	17143	华宝远见回报	9月1日	1.1448	1.1448	1.31%	6.62%	27.60%	40.40%	22.82%	72.18%	34.76%	---	33.83%	14.48%	75.85%	0.00%
1067	6879	华安智能生活	9月1日	3.0613	3.0613	1.32%	3.25%	18.14%	44.56%	38.98%	72.17%	34.19%	31.78%	43.43%	206.13%	75.20%	0.15%
1068	257020	国联安精选混	9月1日	0.909	4.857	2.25%	3.77%	15.65%	27.13%	26.96%	72.16%	29.49%	25.36%	36.90%	1279.88%	77.19%	0.15%
1069	10676	光大保德信新	9月1日	1.2006	1.3253	0.47%	1.61%	16.56%	33.68%	23.19%	72.15%	28.15%	15.41%	37.70%	33.94%	75.01%	0.15%
1070	310388	申万菱信消费	9月1日	1.575	2.978	1.68%	2.07%	11.31%	4.79%	32.13%	72.13%	19.32%	-0.03%	36.72%	242.01%	73.84%	0.15%
1071	13488	长信多利混合	9月1日	2.0217	2.0217	-0.84%	-1.70%	7.94%	11.78%	33.36%	72.07%	44.74%	24.22%	41.21%	0.69%	72.78%	0.00%
1072	165531	中信保诚多策	9月1日	2.1224	2.2281	1.03%	-2.14%	1.66%	11.95%	27.20%	72.06%	61.71%	94.63%	37.87%	133.51%	73.44%	0.15%
1073	3877	富国久利稳健	9月1日	1.4394	1.6964	0.35%	-1.42%	5.82%	23.18%	22.46%	71.95%	56.41%	53.59%	38.88%	82.16%	74.16%	0.08%
1074	16029	湘财成长优选	9月1日	1.1352	1.1352	0.27%	1.48%	17.83%	29.15%	15.82%	71.95%	22.13%	17.69%	31.74%	13.52%	76.66%	0.15%
1075	19370	富国久利稳健	9月1日	1.4392	1.5042	0.35%	-1.42%	5.82%	23.18%	22.45%	71.95%	---	---	38.87%	57.18%	74.16%	0.00%
1076	11136	广发盛兴混合	9月1日	1.1021	1.1021	1.15%	2.20%	15.21%	38.89%	34.34%	71.88%	40.61%	32.11%	38.75%	10.21%	77.19%	0.15%
1077	14113	上银未来生活	9月1日	1.6287	1.6287	-0.17%	0.94%	17.16%	37.28%	29.36%	71.86%	51.11%	46.15%	35.25%	16.32%	76.42%	0.00%
1078	15320	长江新兴产业	9月1日	1.4105	1.4105	1.21%	6.38%	25.23%	48.08%	32.92%	71.84%	61.75%	37.80%	52.34%	41.05%	75.15%	0.15%
1079	16913	恒越均衡优选	9月1日	1.254	1.254	0.45%	-0.09%	10.04%	20.02%	40.08%	71.80%	31.38%	---	46.77%	25.40%	74.05%	0.00%
1080	15766	东方专精特新	9月1日	1.1652	1.1652	1.61%	2.80%	21.26%	38.53%	26.57%	71.73%	25.30%	---	31.78%	16.52%	80.34%	0.00%
1081	7501	万家科创主题	9月1日	2.4273	2.4273	1.37%	8.34%	27.30%	47.57%	33.88%	71.69%	51.91%	22.63%	41.23%	20.26%	75.45%	0.00%
1082	19031	信澳星耀智选	9月1日	1.4453	1.4453	0.51%	-0.11%	8.58%	22.24%	27.14%	71.69%	43.38%	---	34.15%	44.53%	74.43%	0.00%
1083	673010	西部利得新动	9月1日	1.473	2.008	0.75%	1.38%	10.09%	21.13%	19.66%	71.68%	51.39%	33.18%	34.40%	130.39%	74.32%	0.15%
1084	11450	招商企业优选	9月1日	0.7537	0.7537	4.42%	13.03%	30.67%	55.15%	32.74%	71.65%	36.76%	-2.40%	48.16%	-24.63%	74.67%	0.15%
1085	11178	博时汇融回报	9月1日	0.8014	0.8014	0.74%	-0.39%	9.17%	20.01%	29.24%	71.64%	24.79%	5.70%	43.67%	-19.86%	74.60%	0.00%
1086	5616	东方量化成长	9月1日	1.5956	1.9896	1.04%	-0.18%	8.57%	20.68%	25.06%	71.61%	46.34%	48.57%	34.41%	115.25%	74.59%	0.15%
1087	8423	国联研发创新	9月1日	1.4963	1.4963	1.17%	10.36%	38.83%	58.17%	40.25%	71.59%	38.33%	34.80%	52.71%	49.63%	75.75%	0.00%
1088	3659	山证资管策略	9月1日	1.6855	1.6855	4.00%	19.87%	33.95%	41.61%	47.55%	71.52%	48.29%	29.94%	50.05%	68.55%	74.65%	0.15%
1089	10994	博时创新经济	9月1日	1.3316	1.3316	0.40%	-0.79%	6.76%	20.76%	32.22%	71.47%	30.49%	38.29%	42.39%	33.16%	74.18%	0.15%
1090	2244	景顺长城低碳	9月1日	2.114	2.164	3.22%	11.73%	41.59%	72.15%	49.08%	71.45%	36.30%	26.44%	58.00%	120.97%	77.20%	0.15%
1091	15254	申万菱信消费	9月1日	1.471	1.632	1.66%	2.01%	11.27%	4.70%	31.81%	71.45%	18.26%	-1.24%	36.33%	6.16%	73.26%	0.00%
1092	8308	华夏见龙精选	9月1日	1.6058	1.6058	1.96%	1.22%	27.53%	32.66%	15.56%	71.43%	41.08%	24.22%	11.81%	60.58%	72.35%	0.15%
1093	17533	平安研究优选	9月1日	1.3278	1.3278	1.70%	1.37%	10.15%	20.98%	24.49%	71.42%	55.03%	---	46.25%	32.78%	75.63%	0.00%
1094	240004	华宝动力组合	9月1日	3.4488	5.9588	1.28%	7.13%	27.98%	41.00%	20.93%	71.41%	34.93%	17.01%	31.87%	1479.71%	75.05%	0.15%
1095	590006	中邮中小盘灵	9月1日	2.758	3.337	-0.22%	-0.61%	13.31%	20.17%	16.57%	71.41%	36.26%	12.85%	27.39%	288.92%	74.45%	0.15%
1096	8963	建信科技创新	9月1日	1.613	1.613	3.03%	6.45%	20.41%	36.79%	28.42%	71.41%	37.35%	12.01%	47.52%	61.30%	74.02%	0.00%
1097	14350	华商卓越成长	9月1日	0.7581	0.7581	3.69%	7.91%	27.39%	51.29%	44.51%	71.40%	-6.20%	-32.17%	52.69%	-24.19%	75.08%	0.15%
1098	12587	南方港股创新	9月1日	1.5679	1.5679	0.71%	-0.53%	7.38%	13.44%	22.64%	71.39%	73.82%	65.25%	43.90%	56.79%	72.39%	0.00%
1099	15553	融通价值成长	9月1日	1.4026	1.4026	1.29%	-1.57%	6.28%	22.43%	37.01%	71.36%	38.20%	41.99%	38.57%	40.26%	75.17%	0.15%
1100	10428	兴银策略智选	9月1日	1.2369	1.2369	0.33%	1.10%	14.97%	35.74%	24.81%	71.34%	45.09%	17.56%	37.99%	23.69%	75.40%	0.00%
1101	18235	光大保德信新	9月1日	1.1855	1.1855	0.46%	1.60%	16.49%	33.47%	22.85%	71.32%	26.81%	---	37.21%	0.41%	74.18%	0.00%
