序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
3147	22367	贝莱德沪深3	9月1日	1.1815	1.1815	0.14%	0.31%	8.86%	14.61%	12.94%	---	---	---	14.28%	18.15%	18.15%
3148	22429	天弘中证A5	9月1日	1.1705	1.1705	0.80%	1.93%	12.52%	20.83%	18.62%	---	---	---	18.70%	17.05%	17.05%
3149	22474	兴证全球中证	9月1日	1.1632	1.1632	0.55%	1.21%	10.47%	20.31%	18.83%	---	---	---	17.97%	16.32%	16.32%
3150	18383	招商上证综合	9月1日	1.2163	1.2163	-0.06%	-0.20%	7.17%	15.41%	19.47%	---	---	---	---	21.63%	21.63%
3151	18384	招商上证综合	9月1日	1.2142	1.2142	-0.07%	-0.21%	7.15%	15.32%	19.31%	---	---	---	---	21.42%	21.42%
3152	22481	国泰中证动漫	9月1日	1.5517	1.5517	-1.10%	-0.60%	12.99%	29.20%	23.12%	---	---	---	44.51%	28.07%	28.07%
3153	22965	广发中证50	9月1日	1.6749	1.6749	0.89%	2.15%	13.85%	25.20%	21.66%	---	---	---	24.31%	19.15%	19.15%
3154	22967	万家中证A5	9月1日	1.1741	1.1741	0.80%	1.87%	12.28%	20.36%	18.00%	---	---	---	19.04%	18.29%	18.29%
3155	22950	华泰柏瑞上证	9月1日	1.058	1.058	1.02%	4.75%	28.13%	35.54%	23.50%	---	---	---	33.91%	33.64%	33.64%
3156	22894	景顺长城中证	9月1日	1.1279	1.1279	0.81%	1.94%	12.60%	20.72%	18.55%	---	---	---	18.64%	17.71%	17.71%
3157	22725	博时上证科创	9月1日	1.4574	1.4574	1.27%	5.24%	35.53%	46.19%	32.61%	---	---	---	---	45.74%	45.74%
3158	23183	太平中证红利	9月1日	1.0624	1.0624	-0.23%	-1.93%	0.79%	4.16%	7.05%	---	---	---	---	6.24%	6.24%
3159	21877	中欧沪深30	9月1日	1.1699	1.1699	0.57%	1.23%	11.46%	19.55%	18.36%	---	---	---	16.80%	16.99%	16.99%
3160	21878	中欧沪深30	9月1日	1.1676	1.1676	0.56%	1.22%	11.43%	19.47%	18.20%	---	---	---	16.61%	16.76%	16.76%
3161	21658	华安恒生生物	9月1日	1.8356	1.8356	4.87%	0.79%	8.38%	39.65%	63.86%	---	---	---	89.71%	83.56%	83.56%
3162	22544	天弘中证科技	9月1日	1.5542	1.5542	2.78%	5.36%	23.20%	42.01%	34.91%	---	---	---	40.28%	36.64%	36.64%
3163	22535	天弘中债3-	9月1日	1.0328	1.0709	0.03%	0.03%	-0.09%	0.04%	0.67%	---	---	---	-0.13%	2.05%	2.05%
3164	22353	华泰紫金中债	9月1日	1.0055	1.0055	0.02%	0.03%	0.01%	0.23%	0.57%	---	---	---	---	0.55%	0.55%
3165	22666	鹏华中证A5	9月1日	1.2152	1.2152	0.64%	1.77%	12.11%	19.79%	17.34%	---	---	---	21.54%	21.52%	21.52%
3166	22586	国泰中证钢铁	9月1日	1.3605	1.3605	-0.02%	-2.46%	2.02%	15.29%	11.43%	---	---	---	17.87%	14.43%	14.43%
3167	22707	银河中证A5	9月1日	1.2014	1.2137	0.97%	2.19%	13.58%	21.03%	18.12%	---	---	---	21.63%	21.63%	21.63%
3168	22860	中银沪深30	9月1日	1.1681	1.1681	0.52%	1.18%	11.08%	18.98%	16.85%	---	---	---	---	16.81%	16.81%
3169	23108	广发中证A5	9月1日	1.1313	1.1313	0.11%	0.89%	8.67%	13.55%	---	---	---	---	---	13.13%	13.13%
3170	23109	广发中证A5	9月1日	1.1301	1.1301	0.11%	0.88%	8.65%	13.49%	---	---	---	---	---	13.01%	13.01%
3171	22514	人保中证80	9月1日	1.1678	1.1678	0.63%	1.67%	9.94%	16.83%	13.62%	---	---	---	16.77%	16.78%	16.78%
3172	22563	农银中证同业	9月1日	1.0106	1.0106	0.01%	0.03%	0.09%	0.35%	0.88%	---	---	---	0.96%	1.06%	1.06%
3173	22866	博道沪深30	9月1日	1.2171	1.2171	0.17%	0.49%	9.21%	18.50%	20.21%	---	---	---	---	21.71%	21.71%
3174	22867	博道沪深30	9月1日	1.2141	1.2141	0.17%	0.47%	9.17%	18.37%	19.97%	---	---	---	---	21.41%	21.41%
3175	23022	交银中证A5	9月1日	1.1827	1.1827	0.79%	1.92%	12.42%	20.82%	18.46%	---	---	---	---	18.27%	18.27%
3176	22925	易方达中证红	9月1日	1.2827	1.2827	-0.23%	-1.90%	0.75%	4.43%	7.59%	---	---	---	2.95%	3.28%	3.28%
3177	22483	国泰中证全指	9月1日	1.5173	1.5173	-0.43%	-0.87%	9.31%	11.97%	9.77%	---	---	---	11.81%	12.38%	12.38%
3178	22681	华泰柏瑞中韩	9月1日	1.604	1.604	-0.68%	1.35%	17.60%	28.41%	23.52%	---	---	---	34.06%	37.52%	37.52%
3179	22689	申万菱信中证	9月1日	1.1184	1.1184	-0.08%	0.16%	6.89%	10.57%	11.67%	---	---	---	12.06%	11.84%	11.84%
3180	22699	华泰柏瑞沪深	9月1日	1.1219	1.1219	0.56%	1.19%	11.06%	18.47%	17.08%	---	---	---	16.01%	18.80%	18.80%
3181	23039	汇安中证A5	9月1日	1.1741	1.1741	0.80%	1.83%	12.16%	20.17%	17.89%	---	---	---	---	17.41%	17.41%
3182	24001	农银上证科创	9月1日	1.3546	1.3546	1.12%	5.37%	29.29%	35.42%	---	---	---	---	---	35.46%	35.46%
