,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1,000517.荣安地产,'1.86,'-0.54%,17.11%,12.48%,亏损,'1.02,'-1.00%,'59.54,'-16.59%,房地产开发
'2,600256.广汇能源,'5.47,'+0.37%,11.56%,10.96%,'12.15,'1.26,9.91%,'349.64,'-9.62%,石油行业
'3,002582.好想你,'9.51,'+0.10%,14.75%,9.32%,亏损,'1.19,'-1.00%,'42.94,'+25.24%,食品饮料
'4,603565.中谷物流,'10.27,'+0.20%,7.69%,8.34%,'17.16,'1.86,17.56%,'215.68,'+13.39%,物流行业
'5,603519.立霸股份,'12.74,'+0.31%,7.85%,7.86%,'22.01,'2.48,11.41%,'33.93,'+16.06%,家电行业
'6,601666.平煤股份,'8.44,'+2.30%,7.13%,7.78%,'11.83,'0.78,6.36%,'208.41,'-9.70%,煤炭行业
'7,600295.鄂尔多斯,'10.32,'+0.39%,5.81%,7.56%,'16.88,'1.35,9.09%,'203.88,'+12.83%,钢铁行业
'8,000672.上峰水泥,'8.86,'-0.23%,7.09%,7.32%,'16.74,'0.95,7.75%,'86.08,'+24.59%,水泥建材
'9,600348.华阳股份,'7.43,'+4.94%,4.16%,7.19%,'13.75,'0.79,6.01%,'268.04,'+9.60%,煤炭行业
'10,300616.尚品宅配,'13.91,0.00%,6.47%,7.15%,亏损,'0.93,'-1.00%,'31.23,'+21.05%,装修建材
'11,000937.冀中能源,'6.24,'+1.79%,13.05%,7.12%,'25.48,'1.01,3.67%,'216.61,'+8.02%,煤炭行业
'12,603886.元祖股份,'12.75,0.00%,7.84%,7.08%,'15.64,'1.88,14.16%,'30.60,'-4.96%,食品饮料
'13,002327.富安娜,'7.28,'+0.14%,8.53%,7.02%,'13.60,'1.54,11.99%,'60.94,'-11.38%,纺织服装
'14,002088.鲁阳节能,'11.09,'-0.63%,7.17%,6.70%,'12.37,'1.94,15.66%,'57.26,'-7.14%,装修建材
'15,002233.塔牌集团,'8.25,'-0.24%,5.44%,6.57%,'31.35,'0.81,4.56%,'98.60,'+13.74%,水泥建材
'16,601699.潞安环能,'14.29,'+0.28%,2.87%,6.56%,'24.21,'0.91,3.75%,'427.47,'+3.41%,煤炭行业
'17,000983.山西焦煤,'7.41,'+1.51%,3.01%,6.56%,'14.57,'1.11,7.46%,'414.43,'-7.06%,煤炭行业
'18,603156.养元饮品,'21.51,'+0.61%,6.32%,6.43%,'20.69,'2.55,13.19%,'271.09,'-0.39%,食品饮料
'19,002677.浙江美大,'7.05,'+0.14%,4.26%,6.43%,'110.84,'2.74,2.18%,'45.48,'+0.05%,家电行业
'20,601717.中创智领,'17.39,0.00%,6.44%,6.27%,'8.47,'1.38,18.16%,'268.18,'+42.96%,汽车零部件
'21,002572.索菲亚,'13.82,'-0.43%,7.20%,5.93%,'12.29,'1.79,16.74%,'133.67,'-13.88%,装修建材
'22,600985.淮北矿业,'12.89,'+2.06%,5.82%,5.84%,'9.25,'0.81,9.31%,'347.16,'-2.65%,煤炭行业
'23,600395.盘江股份,'5.18,'+1.57%,5.41%,5.75%,亏损,'1.07,'-1.00%,'111.20,'+1.77%,煤炭行业
'24,600546.山煤国际,'10.26,'+4.69%,6.73%,5.74%,'9.64,'1.21,11.70%,'203.40,'-6.70%,煤炭行业
'25,002303.美盈森,'3.87,'+1.31%,14.95%,5.71%,'18.99,'1.28,6.02%,'58.50,'+11.93%,包装材料
'26,601339.百隆东方,'5.47,'-0.73%,4.75%,5.65%,'21.92,'0.84,5.17%,'82.03,'+5.94%,纺织服装
'27,601001.晋控煤业,'14.50,'+6.62%,5.21%,5.63%,'9.58,'1.27,13.74%,'242.69,'+11.94%,煤炭行业
'28,600096.云天化,'24.56,'+1.32%,5.74%,5.61%,'8.91,'1.89,23.52%,'447.73,'+16.89%,化肥行业
'29,600894.广日股份,'10.29,'-0.58%,13.35%,5.61%,'12.56,'1.00,8.94%,'87.64,'-25.44%,专用设备
'30,603801.志邦家居,'10.04,'+0.20%,6.01%,5.59%,'12.97,'1.23,11.05%,'43.61,'-16.80%,装修建材
'31,601088.中国神华,'37.56,'-1.57%,6.02%,5.57%,'13.48,'1.72,12.74%,'6194.03,'-8.58%,煤炭行业
'32,600566.济川药业,'26.78,'-0.59%,7.80%,5.55%,'12.78,'1.63,14.50%,'246.83,'-0.77%,中药
'33,601838.成都银行,'18.93,'-0.37%,4.71%,5.54%,'6.18,'0.91,15.96%,'802.34,'+15.94%,银行
'34,000090.天健集团,'3.50,'-0.85%,2.83%,5.53%,'12.13,'0.45,3.86%,'65.96,'-12.50%,房地产开发
'35,002884.凌霄泵业,'16.52,'+0.36%,6.08%,5.47%,'13.56,'2.43,19.02%,'58.87,'-3.90%,通用设备
'36,600729.重庆百货,'28.86,'-0.21%,4.72%,5.46%,'10.36,'1.60,17.90%,'127.12,'+3.50%,商业百货
'37,002014.永新股份,'11.69,0.00%,5.30%,5.44%,'16.17,'2.67,19.25%,'71.60,'+12.34%,包装材料
'38,603948.建业股份,'21.37,'+0.14%,4.68%,5.42%,'18.30,'1.63,9.48%,'34.72,'+22.15%,化学制品
'39,600162.香江控股,'1.68,0.00%,0.65%,5.39%,亏损,'0.94,0.23%,'54.91,'-11.93%,房地产开发
'40,603208.江山欧派,'14.97,'+0.67%,1.27%,5.39%,'90.81,'2.02,5.80%,'26.52,'-17.73%,装修建材
'41,002563.森马服饰,'5.55,'+2.02%,6.43%,5.36%,'15.60,'1.22,8.41%,'146.56,'-16.04%,纺织服装
'42,603365.水星家纺,'17.82,'-0.11%,5.05%,5.32%,'14.39,'1.52,11.97%,'46.80,'+15.30%,纺织服装
'43,601166.兴业银行,'22.98,'-0.48%,4.61%,5.30%,'6.38,'0.54,8.89%,'4863.22,'+25.53%,银行
'44,601916.浙商银行,'3.44,'-0.58%,4.53%,5.25%,'6.19,'0.47,7.72%,'741.13,'+23.45%,银行
'45,002271.东方雨虹,'12.55,'+0.56%,12.32%,5.20%,亏损,'1.31,'-1.00%,'298.11,'+3.72%,装修建材
'46,600901.江苏金租,'5.93,'-1.33%,4.55%,5.18%,'11.65,'1.38,13.71%,'343.49,'+18.70%,多元金融
'47,600036.招商银行,'45.12,'-0.29%,4.43%,5.17%,'7.73,'0.91,12.48%,'9307.78,'+19.78%,银行
'48,002774.快意电梯,'10.59,'+0.28%,3.41%,5.17%,'40.94,'2.78,8.90%,'35.55,'+59.84%,专用设备
'49,601997.贵阳银行,'6.46,'-0.92%,4.49%,5.16%,'4.73,'0.35,7.75%,'236.19,'+13.00%,银行
'50,603551.奥普科技,'11.51,'-0.35%,7.46%,5.16%,'15.82,'3.09,18.89%,'44.91,'+13.25%,家电行业
'51,603878.武进不锈,'5.78,'+1.05%,1.56%,5.10%,'48.86,'1.23,3.20%,'32.43,'+2.82%,钢铁行业
'52,002032.苏泊尔,'51.23,'-0.33%,5.47%,5.10%,'19.73,'5.95,33.07%,'411.90,'+1.08%,家电行业
'53,601216.君正集团,'5.39,'+0.19%,2.78%,5.07%,'16.42,'1.61,11.07%,'454.81,'+5.37%,化学原料
'54,600642.申能股份,'8.15,'+0.12%,5.52%,5.04%,'11.53,'1.00,10.02%,'398.87,'-9.65%,电力行业
'55,603706.东方环宇,'21.29,'+1.19%,4.23%,5.02%,'20.93,'2.28,11.79%,'40.32,'+18.57%,燃气
'56,600064.南京高科,'7.60,'+0.40%,3.95%,5.00%,'7.29,'0.68,10.11%,'131.51,'+1.56%,房地产开发
'57,603096.新经典,'19.15,'-0.21%,4.18%,5.00%,'34.29,'1.52,5.21%,'29.54,'+5.53%,文化传媒
'58,002895.川恒股份,'25.03,'+1.01%,4.38%,5.00%,'15.16,'2.36,16.75%,'150.58,'+7.09%,化学原料
'59,605368.蓝天燃气,'10.09,'+0.50%,8.86%,4.99%,'16.78,'1.92,11.10%,'72.11,'-7.92%,燃气
'60,601101.昊华能源,'7.80,'+4.00%,5.87%,4.95%,'13.22,'0.91,7.15%,'112.32,'+0.84%,煤炭行业
'61,603071.物产环能,'13.53,'+0.52%,4.43%,4.93%,'12.50,'1.33,11.81%,'75.49,'+9.86%,贸易行业
'62,600048.保利发展,'8.01,'-0.37%,5.12%,4.92%,'23.79,'0.48,2.37%,'958.83,'-9.59%,房地产开发
'63,600694.大商股份,'19.47,'-0.76%,4.67%,4.92%,'12.18,'0.76,6.67%,'67.71,'-15.22%,商业百货
'64,002807.江阴银行,'4.76,'-0.83%,4.17%,4.92%,'5.92,'0.63,11.30%,'118.15,'+14.61%,银行
'65,601668.中国建筑,'5.66,'-0.18%,4.80%,4.91%,'5.61,'0.49,10.06%,'2338.73,'-1.26%,工程建设
'66,000683.博源化工,'5.73,0.00%,5.24%,4.91%,'11.59,'1.43,10.88%,'213.08,'+8.83%,化学原料
'67,601000.唐山港,'4.06,'+0.25%,4.93%,4.90%,'13.69,'1.14,8.73%,'240.59,'-9.55%,航运港口
'68,301109.军信股份,'14.15,'+0.28%,4.56%,4.89%,'20.14,'1.43,8.97%,'111.34,'+23.62%,环保行业
'69,600188.兖矿能源,'13.31,'+2.54%,5.79%,4.88%,'10.31,'1.56,16.24%,'793.54,'-2.00%,煤炭行业
'70,000429.粤高速Ａ,'12.55,'+0.40%,4.18%,4.86%,'16.23,'2.36,16.81%,'217.76,'-11.31%,铁路公路
'71,000915.华特达因,'34.74,'-0.26%,7.18%,4.86%,'16.05,'2.64,16.95%,'81.62,'+31.39%,化学制药
'72,002839.张家港行,'4.53,'-0.88%,4.38%,4.85%,'5.96,'0.56,10.07%,'111.71,'+8.55%,银行
'73,603855.华荣股份,'21.64,'+1.12%,4.62%,4.84%,'15.68,'3.26,23.11%,'73.04,'+11.95%,专用设备
'74,603967.中创物流,'11.68,'-1.60%,5.14%,4.83%,'16.54,'1.67,10.87%,'40.49,'+24.70%,物流行业
'75,600863.内蒙华电,'4.06,'+0.25%,5.42%,4.82%,'12.39,'1.41,11.46%,'264.99,'-1.28%,电力行业
'76,600971.恒源煤电,'7.05,'+1.44%,6.67%,4.82%,'11.82,'0.68,5.24%,'84.60,'-20.24%,煤炭行业
'77,002404.嘉欣丝绸,'6.64,'+0.76%,4.55%,4.81%,'27.64,'1.81,7.90%,'36.91,'+12.70%,纺织服装
'78,000567.海德股份,'6.53,'+0.15%,4.50%,4.80%,'81.46,'2.40,3.52%,'127.44,'-4.39%,多元金融
'79,600210.紫江企业,'6.35,0.00%,4.72%,4.76%,'12.12,'1.52,13.40%,'96.31,'+0.49%,包装材料
'80,600373.中文传媒,'10.00,'-0.10%,4.08%,4.75%,'33.84,'0.76,3.57%,'136.75,'-17.28%,文化传媒
'81,603897.长城科技,'25.00,'+0.08%,8.80%,4.75%,'22.15,'1.97,8.62%,'51.61,'+12.64%,电网设备
'82,002367.康力电梯,'7.44,'+0.14%,4.04%,4.75%,'18.92,'1.64,10.48%,'59.27,'+13.01%,专用设备
'83,600741.华域汽车,'18.02,'+0.50%,4.44%,4.73%,'9.75,'0.90,10.95%,'568.12,'+6.87%,汽车零部件
'84,600757.长江传媒,'9.72,'+1.04%,4.22%,4.72%,'10.36,'1.19,11.26%,'117.97,'+5.96%,文化传媒
'85,300146.汤臣倍健,'11.86,'-0.34%,3.03%,4.72%,'62.13,'1.76,3.16%,'202.40,'+1.59%,食品饮料
'86,002035.华帝股份,'6.50,'+1.25%,4.67%,4.71%,'12.32,'1.40,12.36%,'54.42,'-7.30%,家电行业
'87,600153.建发股份,'10.20,'-0.10%,6.98%,4.70%,'17.19,'0.42,4.11%,'295.75,'+4.05%,贸易行业
'88,000928.中钢国际,'6.34,'+0.16%,4.72%,4.67%,'11.85,'1.06,10.20%,'90.81,'+4.22%,工程咨询服务
'89,601928.凤凰传媒,'10.99,'+0.18%,4.55%,4.66%,'12.85,'1.39,8.81%,'279.68,'-0.56%,文化传媒
'90,002949.华阳国际,'14.47,'+0.28%,2.43%,4.63%,'25.31,'1.81,7.92%,'28.29,'-16.76%,工程咨询服务
'91,002228.合兴包装,'3.50,'-1.41%,5.07%,4.62%,'39.96,'1.33,3.41%,'42.44,'+22.45%,包装材料
'92,002737.葵花药业,'16.19,'-1.16%,3.05%,4.62%,'65.02,'2.16,6.22%,'95.66,'-18.47%,中药
'93,600582.天地科技,'6.32,'+0.48%,5.02%,4.61%,'11.60,'1.01,13.59%,'261.56,'+7.70%,专用设备
'94,601107.四川成渝,'5.64,'-1.23%,5.14%,4.61%,'11.87,'0.86,8.44%,'121.98,'+12.90%,铁路公路
'95,600350.XD山东高,'9.77,'+0.31%,4.30%,4.59%,'15.88,'1.08,7.51%,'472.34,'-0.86%,铁路公路
'96,605599.菜百股份,'15.45,'+1.18%,4.66%,4.59%,'16.95,'2.76,18.17%,'120.17,'+41.55%,珠宝首饰
'97,002478.常宝股份,'5.57,'+0.36%,3.96%,4.59%,'10.47,'0.87,10.39%,'50.00,'+9.76%,钢铁行业
'98,600008.首创环保,'3.10,0.00%,5.48%,4.58%,'14.32,'0.77,12.06%,'227.56,'-0.27%,公用事业
'99,603299.苏盐井神,'10.79,'+0.94%,4.11%,4.58%,'13.54,'1.35,11.71%,'84.34,'+1.43%,化学原料
'100,000333.美的集团,'71.70,'+0.45%,4.91%,4.58%,'13.96,'2.38,20.86%,'5013.70,'-0.07%,家电行业
'101,601577.长沙银行,'10.21,'+0.20%,4.11%,4.56%,'5.19,'0.52,10.71%,'410.60,'+19.70%,银行
'102,603788.宁波高发,'16.59,'+0.97%,4.22%,4.56%,'20.99,'1.75,9.41%,'37.01,'+25.17%,汽车零部件
'103,603115.海星股份,'15.69,'+0.32%,3.82%,4.53%,'23.39,'1.82,8.28%,'37.53,'+26.75%,电子元件
'104,000690.宝新能源,'4.67,'-0.64%,3.19%,4.52%,'12.90,'0.82,6.41%,'102.27,'+7.93%,电力行业
'105,603511.爱慕股份,'15.50,'+0.19%,2.60%,4.50%,'69.25,'1.40,3.11%,'62.63,'+22.59%,纺织服装
'106,000157.中联重科,'7.44,'+1.64%,4.10%,4.49%,'23.89,'1.08,6.95%,'519.43,'+6.90%,工程机械
'107,600012.皖通高速,'16.27,'+0.99%,3.71%,4.48%,'16.24,'2.30,13.96%,'189.64,'-4.36%,铁路公路
'108,300564.筑博设计,'17.17,'-2.28%,2.85%,4.48%,亏损,'2.22,4.40%,'28.34,'+43.99%,工程咨询服务
'109,002391.长青股份,'6.38,'+0.47%,3.15%,4.47%,亏损,'0.98,'-1.00%,'41.25,'+27.35%,农药兽药
'110,601886.江河集团,'7.50,'+2.18%,7.33%,4.46%,'20.16,'1.13,8.13%,'84.98,'+48.70%,装修装饰
'111,000989.九芝堂,'11.43,'-1.80%,2.58%,4.46%,'62.94,'2.57,4.72%,'99.63,'+48.76%,中药
'112,601225.陕西煤业,'21.43,'+5.62%,6.29%,4.45%,'10.20,'2.15,23.53%,'2077.64,'-2.07%,煤炭行业
'113,603889.新澳股份,'6.13,'+0.99%,4.89%,4.44%,'10.74,'1.27,12.77%,'44.78,'-8.05%,纺织服装
'114,600261.阳光照明,'3.40,0.00%,4.12%,4.43%,'38.38,'1.27,5.87%,'45.39,'+8.37%,家电行业
'115,603303.得邦照明,'12.90,'-0.31%,5.74%,4.43%,'21.46,'1.70,9.31%,'61.53,'+16.34%,家电行业
'116,601168.西部矿业,'17.47,'+0.58%,5.72%,4.42%,'13.41,'2.51,19.66%,'416.31,'+15.73%,有色金属
'117,002658.雪迪龙,'7.99,'+0.12%,3.13%,4.42%,'30.57,'1.96,7.12%,'50.73,'+29.66%,仪器仪表
'118,600382.广东明珠,'5.52,'+0.91%,1.81%,4.41%,'85.43,'1.39,0.86%,'38.33,'+27.56%,钢铁行业
'119,000404.长虹华意,'7.35,'-0.54%,4.06%,4.41%,'12.22,'1.23,11.99%,'51.43,'+3.59%,家电行业
'120,600398.海澜之家,'6.94,'+0.73%,5.91%,4.40%,'16.15,'1.86,11.79%,'333.31,'-5.18%,纺织服装
'121,600461.洪城环境,'9.34,'-1.06%,4.97%,4.40%,'10.29,'1.23,12.95%,'119.94,'-1.44%,公用事业
'122,300390.天华新能,'20.08,'+0.55%,3.00%,4.39%,'107.54,'1.46,2.93%,'165.90,'-9.88%,能源金属
'123,600428.中远海特,'6.76,'+0.30%,2.87%,4.38%,'13.84,'1.13,10.86%,'185.49,'-7.40%,航运港口
