,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'124,600997.开滦股份,'6.33,'+2.26%,4.11%,4.38%,'16.45,'0.70,4.68%,'100.51,'-2.30%,煤炭行业
'125,601921.浙版传媒,'8.27,'-0.48%,3.63%,4.36%,'16.11,'1.33,8.29%,'183.78,'+8.94%,文化传媒
'126,603515.欧普照明,'18.89,'-0.21%,4.77%,4.36%,'19.22,'2.05,13.69%,'140.51,'+20.75%,家电行业
'127,600639.浦东金桥,'10.42,'-0.86%,3.10%,4.33%,'51.95,'0.81,6.11%,'88.59,'-3.24%,房地产开发
'128,601222.林洋能源,'5.82,0.00%,4.60%,4.33%,'17.48,'0.78,4.25%,'119.90,'-14.47%,仪器仪表
'129,600438.通威股份,'20.42,'-0.63%,4.43%,4.32%,亏损,'1.98,'-1.00%,'919.31,'-7.64%,光伏设备
'130,600887.伊利股份,'27.57,'+0.07%,4.43%,4.32%,'25.23,'2.99,12.61%,'1743.90,'-4.80%,食品饮料
'131,603281.江瀚新材,'25.14,'-0.67%,3.98%,4.32%,'18.26,'1.86,10.92%,'93.86,'+7.22%,化学制品
'132,002416.爱施德,'12.39,'+0.57%,4.06%,4.31%,'36.16,'2.45,8.72%,'152.68,'-20.44%,商业百货
'133,000631.顺发恒业,'3.04,'-0.65%,3.27%,4.29%,'193.28,'1.27,1.48%,'73.30,'+3.40%,房地产开发
'134,600704.物产中大,'5.44,'-0.73%,3.88%,4.27%,'10.68,'0.65,7.96%,'281.31,'+11.53%,物流行业
'135,603682.锦和商管,'6.10,'+0.33%,7.21%,4.27%,亏损,'2.68,5.03%,'28.82,'-15.15%,房地产服务
'136,003012.东鹏控股,'6.00,'+0.50%,4.19%,4.27%,'24.40,'0.91,4.03%,'69.07,'-5.40%,装修建材
'137,603165.荣晟环保,'12.41,'+0.89%,4.03%,4.26%,'15.86,'1.41,11.27%,'33.83,'+5.58%,造纸印刷
'138,600755.厦门国贸,'6.28,'-0.48%,5.25%,4.25%,亏损,'0.39,1.81%,'136.12,'-0.32%,贸易行业
'139,601126.四方股份,'17.24,'+0.88%,4.18%,4.24%,'19.09,'2.97,16.76%,'143.66,'+6.11%,电网设备
'140,600916.中国黄金,'8.19,0.00%,4.27%,4.22%,'24.84,'1.81,7.69%,'137.59,'-0.97%,珠宝首饰
'141,000719.中原传媒,'13.16,'-0.08%,4.56%,4.22%,'10.18,'1.16,9.81%,'134.76,'+21.42%,文化传媒
'142,600035.楚天高速,'4.32,'-0.23%,3.94%,4.21%,'9.79,'0.78,8.79%,'69.56,'-2.38%,铁路公路
'143,603689.皖天然气,'8.55,'-0.23%,4.09%,4.21%,'13.11,'1.23,9.95%,'41.91,'-0.78%,燃气
'144,603309.维力医疗,'14.18,'-1.87%,3.53%,4.20%,'18.33,'2.23,12.88%,'41.53,'+23.37%,医疗器械
'145,600098.广州发展,'6.49,'+0.31%,4.16%,4.18%,'13.99,'0.85,6.59%,'227.56,'+5.41%,电力行业
'146,605377.华旺科技,'9.18,'+0.44%,7.90%,4.18%,'13.93,'1.26,9.82%,'51.10,'-13.96%,造纸印刷
'147,600710.苏美达,'10.85,'-1.27%,3.40%,4.17%,'13.06,'1.81,15.76%,'141.78,'+21.28%,贸易行业
'148,001965.招商公路,'11.31,'+0.09%,3.69%,4.14%,'15.77,'1.06,7.48%,'770.70,'-15.91%,铁路公路
'149,002304.洋河股份,'68.80,'+0.06%,6.76%,4.14%,'23.53,'2.00,7.76%,'1035.83,'-12.15%,酿酒行业
'150,600987.航民股份,'7.25,'+0.42%,4.14%,4.12%,'10.76,'1.14,11.36%,'74.01,'+8.95%,纺织服装
'151,603648.畅联股份,'11.26,'-5.46%,3.11%,4.12%,'34.02,'2.17,6.49%,'40.81,'+9.75%,物流行业
'152,300864.南大环境,'21.10,'-0.28%,3.98%,4.10%,'22.71,'2.45,12.63%,'33.38,'+4.95%,环保行业
'153,601328.交通银行,'7.72,'-0.64%,3.61%,4.09%,'7.32,'0.59,8.24%,'4118.77,'+4.54%,银行
'154,688517.金冠电气,'15.77,'+0.25%,3.49%,4.09%,'26.68,'2.58,10.95%,'21.54,'+20.91%,电网设备
'155,603506.南都物业,'13.57,'+0.37%,2.58%,4.08%,'62.25,'2.27,2.67%,'25.48,'+59.46%,房地产服务
'156,601919.中远海控,'15.63,'+1.10%,9.96%,4.06%,'4.49,'0.99,24.18%,'1970.93,'+7.69%,航运港口
'157,603187.海容冷链,'12.91,'+4.87%,3.87%,4.06%,'15.46,'1.18,8.26%,'49.89,'+20.55%,通用设备
'158,605337.李子园,'12.78,'-0.39%,3.96%,4.06%,'23.70,'2.77,13.09%,'49.86,'+17.36%,食品饮料
'159,002690.美亚光电,'17.37,'+1.05%,4.07%,4.06%,'23.84,'5.17,22.88%,'151.66,'+22.09%,专用设备
'160,002788.鹭燕医药,'8.60,'-1.26%,4.02%,4.06%,'10.09,'1.05,10.66%,'33.84,'+9.14%,医药商业
'161,002818.富森美,'12.03,'-0.17%,8.96%,4.06%,'13.75,'1.65,11.25%,'90.19,'-15.42%,商业百货
'162,002293.罗莱生活,'8.66,'+0.58%,6.96%,4.05%,'17.00,'1.67,10.57%,'71.82,'+15.84%,纺织服装
'163,600066.宇通客车,'25.65,'-1.65%,5.85%,4.03%,'16.04,'4.01,29.34%,'567.88,'+1.02%,汽车整车
'164,601006.大秦铁路,'6.52,'-0.31%,3.94%,4.03%,'15.35,'0.79,5.40%,'1313.60,'-1.78%,物流行业
'165,600970.中材国际,'9.12,'-0.22%,4.93%,4.02%,'9.03,'1.11,14.51%,'240.76,'+1.13%,工程建设
'166,000581.威孚高科,'20.57,'+5.81%,5.98%,4.02%,'13.93,'0.93,7.30%,'154.43,'+14.01%,汽车零部件
'167,600919.江苏银行,'11.69,'-0.60%,4.45%,4.01%,'6.67,'0.69,11.42%,'2145.27,'+25.03%,银行
'168,600141.兴发集团,'24.96,'+1.26%,4.01%,4.00%,'18.73,'1.25,7.10%,'275.37,'+20.68%,化肥行业
'169,000521.长虹美菱,'7.33,'+0.69%,4.53%,4.00%,'11.05,'1.20,11.84%,'64.19,'-6.15%,家电行业
'170,002274.华昌化工,'6.87,'+0.15%,4.37%,4.00%,'23.85,'1.14,5.35%,'65.33,'-7.83%,化肥行业
'171,002772.众兴菌业,'8.29,'-0.24%,3.61%,4.00%,'30.16,'0.98,4.15%,'32.68,'+16.44%,农牧饲渔
'172,600801.华新水泥,'15.40,'+0.79%,2.99%,3.98%,'17.14,'1.05,8.29%,'207.02,'+32.38%,水泥建材
'173,603589.口子窖,'33.53,'-0.12%,3.89%,3.98%,'12.30,'1.80,15.63%,'200.55,'-11.24%,酿酒行业
'174,002060.广东建工,'3.66,'-0.27%,3.81%,3.98%,'12.02,'0.99,8.45%,'137.79,'+4.13%,工程建设
'175,300349.金卡智能,'12.60,'+0.16%,3.97%,3.98%,'20.36,'1.18,6.89%,'52.63,'-3.91%,仪器仪表
'176,603639.海利尔,'15.05,0.00%,3.32%,3.97%,'31.64,'1.45,5.56%,'51.15,'+25.81%,农药兽药
'177,002466.天齐锂业,'38.16,'+0.24%,3.55%,3.97%,亏损,'1.50,'-1.00%,'562.33,'+15.64%,能源金属
'178,600329.达仁堂,'40.90,'+1.59%,3.13%,3.96%,'42.21,'3.83,29.15%,'233.17,'+38.00%,中药
'179,000906.浙商中拓,'6.51,'-0.15%,3.06%,3.96%,亏损,'0.78,5.25%,'46.27,'+1.73%,物流行业
'180,000011.深物业A,'8.58,'+0.47%,3.65%,3.95%,亏损,'1.51,'-1.00%,'45.12,'-1.83%,房地产开发
'181,603167.渤海轮渡,'10.53,'-0.19%,8.45%,3.93%,'24.08,'1.35,7.14%,'49.40,'+26.73%,航运港口
'182,001225.和泰机电,'40.70,'-0.80%,2.98%,3.93%,'68.87,'1.85,3.29%,'26.53,'+30.56%,通用设备
'183,600057.厦门象屿,'7.10,'-1.66%,3.52%,3.92%,'36.10,'0.71,5.89%,'199.25,'+13.37%,物流行业
'184,603279.景津装备,'15.80,'-0.44%,6.71%,3.92%,'11.66,'1.97,17.88%,'91.08,'-9.41%,通用设备
'185,000001.平安银行,'12.46,'-0.08%,4.88%,3.92%,'5.50,'0.48,8.81%,'2419.92,'+9.85%,银行
'186,600377.宁沪高速,'14.22,'-0.21%,3.45%,3.91%,'14.66,'1.81,13.00%,'542.60,'-3.96%,铁路公路
'187,000900.现代投资,'4.31,0.00%,3.48%,3.91%,'21.06,'0.52,2.60%,'65.42,'+1.38%,铁路公路
'188,600502.安徽建工,'4.83,'-0.41%,5.59%,3.90%,'6.66,'0.50,9.14%,'82.91,'+6.93%,工程建设
'189,000708.中信特钢,'12.97,'-0.15%,3.90%,3.90%,'13.08,'1.55,12.49%,'655.63,'+18.72%,钢铁行业
'190,600039.四川路桥,'8.34,'-0.95%,4.96%,3.88%,'11.39,'1.46,14.95%,'726.42,'+19.54%,工程建设
'191,603230.内蒙新华,'13.45,'-0.66%,3.57%,3.87%,'16.49,'1.64,13.01%,'47.55,'+10.38%,文化传媒
'192,002763.汇洁股份,'7.36,'-0.14%,2.04%,3.87%,'60.88,'1.51,2.93%,'30.21,'+13.30%,纺织服装
'193,601568.北元集团,'4.20,0.00%,2.38%,3.86%,'62.35,'1.42,2.57%,'166.83,'+2.42%,化学原料
'194,601658.邮储银行,'5.90,'+0.85%,3.51%,3.85%,'8.33,'0.71,8.57%,'5914.09,'+9.02%,银行
'195,600737.中粮糖业,'10.04,'+0.30%,1.99%,3.84%,'14.75,'1.84,12.44%,'214.74,'-1.67%,食品饮料
'196,601939.建设银行,'9.58,'-0.62%,1.91%,3.84%,'7.56,'0.74,10.02%,'2029.34,'+14.02%,银行
'197,603599.广信股份,'12.26,'+0.74%,2.20%,3.83%,'18.19,'1.13,7.30%,'111.60,'+4.21%,农药兽药
'198,603730.岱美股份,'5.72,'+1.42%,4.71%,3.83%,'15.41,'2.46,16.86%,'122.90,'-13.53%,汽车零部件
'199,603929.亚翔集成,'37.53,'-0.13%,2.66%,3.82%,'14.31,'4.41,34.24%,'80.07,'+40.23%,装修装饰
'200,002545.东方铁塔,'9.87,'+0.10%,3.04%,3.82%,'20.70,'1.34,6.73%,'122.66,'+44.88%,化肥行业
'201,001269.欧晶科技,'27.30,'+0.11%,4.40%,3.81%,亏损,'4.96,'-1.00%,'52.47,'-4.18%,光伏设备
'202,300625.三雄极光,'12.53,'-1.57%,2.36%,3.81%,亏损,'1.72,0.87%,'35.56,'+10.22%,家电行业
'203,603611.诺力股份,'26.00,'+0.58%,3.45%,3.78%,'16.23,'2.17,16.03%,'66.98,'+51.00%,工程机械
'204,603816.顾家家居,'25.92,'-0.04%,5.32%,3.78%,'15.38,'2.05,14.88%,'213.00,'-0.83%,装修建材
'205,601019.山东出版,'9.12,'-0.44%,3.40%,3.77%,'12.55,'1.25,9.12%,'190.33,'-17.29%,文化传媒
'206,605266.健之佳,'21.95,'-0.86%,5.01%,3.76%,'32.36,'1.24,3.87%,'33.92,'-0.25%,医药商业
'207,002948.青岛银行,'5.11,'+0.99%,3.16%,3.76%,'6.79,'0.66,10.37%,'178.54,'+35.89%,银行
'208,600585.海螺水泥,'23.37,'-0.04%,3.04%,3.75%,'16.17,'0.65,4.25%,'934.73,'+1.51%,水泥建材
'209,603326.我乐家居,'9.08,'+0.78%,5.53%,3.75%,'23.40,'2.43,12.03%,'28.98,'+58.20%,装修建材
