,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1,000517.荣安地产,'1.86,'-0.54%,17.11%,12.48%,亏损,'1.02,'-1.00%,'59.54,'-16.59%,房地产开发
'2,600256.广汇能源,'5.47,'+0.37%,11.56%,11.35%,'12.15,'1.26,9.91%,'349.64,'-9.62%,石油行业
'3,002030.达安基因,'7.05,'-2.22%,0.21%,11.06%,亏损,'1.28,'-1.00%,'101.19,'+24.12%,医疗器械
'4,601699.潞安环能,'14.29,'+0.28%,2.87%,10.27%,'24.21,'0.91,3.75%,'427.47,'+3.41%,煤炭行业
'5,000937.冀中能源,'6.24,'+1.79%,13.05%,9.22%,'25.48,'1.01,3.67%,'216.61,'+8.02%,煤炭行业
'6,601666.平煤股份,'8.44,'+2.30%,7.13%,8.52%,'11.83,'0.78,6.36%,'208.41,'-9.70%,煤炭行业
'7,000983.山西焦煤,'7.41,'+1.51%,3.01%,8.44%,'14.57,'1.11,7.46%,'414.43,'-7.06%,煤炭行业
'8,600295.鄂尔多斯,'10.32,'+0.39%,5.81%,7.69%,'16.88,'1.35,9.09%,'203.88,'+12.83%,钢铁行业
'9,601919.中远海控,'15.63,'+1.10%,9.96%,7.43%,'4.49,'0.99,24.18%,'1970.93,'+7.69%,航运港口
'10,002327.富安娜,'7.28,'+0.14%,8.53%,7.15%,'13.60,'1.54,11.99%,'60.94,'-11.38%,纺织服装
'11,002582.好想你,'9.51,'+0.10%,14.75%,7.14%,亏损,'1.19,'-1.00%,'42.94,'+25.24%,食品饮料
'12,603519.立霸股份,'12.74,'+0.31%,7.85%,7.10%,'22.01,'2.48,11.41%,'33.93,'+16.06%,家电行业
'13,601088.中国神华,'37.56,'-1.57%,6.02%,6.92%,'13.48,'1.72,12.74%,'6194.03,'-8.58%,煤炭行业
'14,601339.百隆东方,'5.47,'-0.73%,4.75%,6.86%,'21.92,'0.84,5.17%,'82.03,'+5.94%,纺织服装
'15,600438.通威股份,'20.42,'-0.63%,4.43%,6.83%,亏损,'1.98,'-1.00%,'919.31,'-7.64%,光伏设备
'16,603948.建业股份,'21.37,'+0.14%,4.68%,6.82%,'18.30,'1.63,9.48%,'34.72,'+22.15%,化学制品
'17,603156.养元饮品,'21.51,'+0.61%,6.32%,6.64%,'20.69,'2.55,13.19%,'271.09,'-0.39%,食品饮料
'18,600985.淮北矿业,'12.89,'+2.06%,5.82%,6.61%,'9.25,'0.81,9.31%,'347.16,'-2.65%,煤炭行业
'19,000830.鲁西化工,'12.03,'+2.56%,2.98%,6.58%,'12.69,'1.17,10.24%,'224.06,'+6.43%,化学原料
'20,600971.恒源煤电,'7.05,'+1.44%,6.67%,6.56%,'11.82,'0.68,5.24%,'84.60,'-20.24%,煤炭行业
'21,603886.元祖股份,'12.75,0.00%,7.84%,6.46%,'15.64,'1.88,14.16%,'30.60,'-4.96%,食品饮料
'22,600546.山煤国际,'10.26,'+4.69%,6.73%,6.42%,'9.64,'1.21,11.70%,'203.40,'-6.70%,煤炭行业
'23,601168.西部矿业,'17.47,'+0.58%,5.72%,6.42%,'13.41,'2.51,19.66%,'416.31,'+15.73%,有色金属
'24,603565.中谷物流,'10.27,'+0.20%,7.69%,6.29%,'17.16,'1.86,17.56%,'215.68,'+13.39%,物流行业
'25,002677.浙江美大,'7.05,'+0.14%,4.26%,6.22%,'110.84,'2.74,2.18%,'45.48,'+0.05%,家电行业
'26,600348.华阳股份,'7.43,'+4.94%,4.16%,6.08%,'13.75,'0.79,6.01%,'268.04,'+9.60%,煤炭行业
'27,601166.兴业银行,'22.98,'-0.48%,4.61%,5.93%,'6.38,'0.54,8.89%,'4863.22,'+25.53%,银行
'28,601717.中创智领,'17.39,0.00%,6.44%,5.89%,'8.47,'1.38,18.16%,'268.18,'+42.96%,汽车零部件
'29,002884.凌霄泵业,'16.52,'+0.36%,6.08%,5.85%,'13.56,'2.43,19.02%,'58.87,'-3.90%,通用设备
'30,600997.开滦股份,'6.33,'+2.26%,4.11%,5.82%,'16.45,'0.70,4.68%,'100.51,'-2.30%,煤炭行业
'31,000672.上峰水泥,'8.86,'-0.23%,7.09%,5.72%,'16.74,'0.95,7.75%,'86.08,'+24.59%,水泥建材
'32,605368.蓝天燃气,'10.09,'+0.50%,8.86%,5.59%,'16.78,'1.92,11.10%,'72.11,'-7.92%,燃气
'33,601838.成都银行,'18.93,'-0.37%,4.71%,5.54%,'6.18,'0.91,15.96%,'802.34,'+15.94%,银行
'34,000090.天健集团,'3.50,'-0.85%,2.83%,5.53%,'12.13,'0.45,3.86%,'65.96,'-12.50%,房地产开发
'35,603551.奥普科技,'11.51,'-0.35%,7.46%,5.52%,'15.82,'3.09,18.89%,'44.91,'+13.25%,家电行业
