,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'36,600153.建发股份,'10.20,'-0.10%,6.98%,5.47%,'17.19,'0.42,4.11%,'295.75,'+4.05%,贸易行业
'37,000429.粤高速Ａ,'12.55,'+0.40%,4.18%,5.42%,'16.23,'2.36,16.81%,'217.76,'-11.31%,铁路公路
'38,600395.盘江股份,'5.18,'+1.57%,5.41%,5.40%,亏损,'1.07,'-1.00%,'111.20,'+1.77%,煤炭行业
'39,600755.厦门国贸,'6.28,'-0.48%,5.25%,5.39%,亏损,'0.39,1.81%,'136.12,'-0.32%,贸易行业
'40,600901.江苏金租,'5.93,'-1.33%,4.55%,5.39%,'11.65,'1.38,13.71%,'343.49,'+18.70%,多元金融
'41,600064.南京高科,'7.60,'+0.40%,3.95%,5.32%,'7.29,'0.68,10.11%,'131.51,'+1.56%,房地产开发
'42,603365.水星家纺,'17.82,'-0.11%,5.05%,5.32%,'14.39,'1.52,11.97%,'46.80,'+15.30%,纺织服装
'43,002572.索菲亚,'13.82,'-0.43%,7.20%,5.32%,'12.29,'1.79,16.74%,'133.67,'-13.88%,装修建材
'44,601997.贵阳银行,'6.46,'-0.92%,4.49%,5.27%,'4.73,'0.35,7.75%,'236.19,'+13.00%,银行
'45,002014.永新股份,'11.69,0.00%,5.30%,5.26%,'16.17,'2.67,19.25%,'71.60,'+12.34%,包装材料
'46,600057.厦门象屿,'7.10,'-1.66%,3.52%,5.22%,'36.10,'0.71,5.89%,'199.25,'+13.37%,物流行业
'47,601101.昊华能源,'7.80,'+4.00%,5.87%,5.20%,'13.22,'0.91,7.15%,'112.32,'+0.84%,煤炭行业
'48,601928.凤凰传媒,'10.99,'+0.18%,4.55%,5.16%,'12.85,'1.39,8.81%,'279.68,'-0.56%,文化传媒
'49,601000.唐山港,'4.06,'+0.25%,4.93%,5.12%,'13.69,'1.14,8.73%,'240.59,'-9.55%,航运港口
'50,600188.兖矿能源,'13.31,'+2.54%,5.79%,5.10%,'10.31,'1.56,16.24%,'793.54,'-2.00%,煤炭行业
'51,600461.洪城环境,'9.34,'-1.06%,4.97%,5.04%,'10.29,'1.23,12.95%,'119.94,'-1.44%,公用事业
'52,600350.XD山东高,'9.77,'+0.31%,4.30%,5.03%,'15.88,'1.08,7.51%,'472.34,'-0.86%,铁路公路
'53,301109.军信股份,'14.15,'+0.28%,4.56%,5.03%,'20.14,'1.43,8.97%,'111.34,'+23.62%,环保行业
'54,600894.广日股份,'10.29,'-0.58%,13.35%,5.02%,'12.56,'1.00,8.94%,'87.64,'-25.44%,专用设备
'55,600012.皖通高速,'16.27,'+0.99%,3.71%,4.99%,'16.24,'2.30,13.96%,'189.64,'-4.36%,铁路公路
'56,600036.招商银行,'45.12,'-0.29%,4.43%,4.98%,'7.73,'0.91,12.48%,'9307.78,'+19.78%,银行
'57,601001.晋控煤业,'14.50,'+6.62%,5.21%,4.93%,'9.58,'1.27,13.74%,'242.69,'+11.94%,煤炭行业
'58,603706.东方环宇,'21.29,'+1.19%,4.23%,4.91%,'20.93,'2.28,11.79%,'40.32,'+18.57%,燃气
'59,002088.鲁阳节能,'11.09,'-0.63%,7.17%,4.88%,'12.37,'1.94,15.66%,'57.26,'-7.14%,装修建材
'60,600398.海澜之家,'6.94,'+0.73%,5.91%,4.86%,'16.15,'1.86,11.79%,'333.31,'-5.18%,纺织服装
'61,603071.物产环能,'13.53,'+0.52%,4.43%,4.85%,'12.50,'1.33,11.81%,'75.49,'+9.86%,贸易行业
'62,002807.江阴银行,'4.76,'-0.83%,4.17%,4.85%,'5.92,'0.63,11.30%,'118.15,'+14.61%,银行
'63,601216.君正集团,'5.39,'+0.19%,2.78%,4.83%,'16.42,'1.61,11.07%,'454.81,'+5.37%,化学原料
'64,002032.苏泊尔,'51.23,'-0.33%,5.47%,4.83%,'19.73,'5.95,33.07%,'411.90,'+1.08%,家电行业
'65,002416.爱施德,'12.39,'+0.57%,4.06%,4.82%,'36.16,'2.45,8.72%,'152.68,'-20.44%,商业百货
'66,603967.中创物流,'11.68,'-1.60%,5.14%,4.81%,'16.54,'1.67,10.87%,'40.49,'+24.70%,物流行业
'67,601225.陕西煤业,'21.43,'+5.62%,6.29%,4.80%,'10.20,'2.15,23.53%,'2077.64,'-2.07%,煤炭行业
'68,600566.济川药业,'26.78,'-0.59%,7.80%,4.79%,'12.78,'1.63,14.50%,'246.83,'-0.77%,中药
'69,002839.张家港行,'4.53,'-0.88%,4.38%,4.79%,'5.96,'0.56,10.07%,'111.71,'+8.55%,银行
'70,603208.江山欧派,'14.97,'+0.67%,1.27%,4.78%,'90.81,'2.02,5.80%,'26.52,'-17.73%,装修建材
'71,603639.海利尔,'15.05,0.00%,3.32%,4.77%,'31.64,'1.45,5.56%,'51.15,'+25.81%,农药兽药
'72,600548.深高速,'10.34,'-0.29%,2.36%,4.75%,'23.06,'0.97,4.63%,'185.12,'-21.48%,铁路公路
'73,002233.塔牌集团,'8.25,'-0.24%,5.44%,4.74%,'31.35,'0.81,4.56%,'98.60,'+13.74%,水泥建材
'74,601668.中国建筑,'5.66,'-0.18%,4.80%,4.73%,'5.61,'0.49,10.06%,'2338.73,'-1.26%,工程建设
'75,603115.海星股份,'15.69,'+0.32%,3.82%,4.73%,'23.39,'1.82,8.28%,'37.53,'+26.75%,电子元件
'76,600373.中文传媒,'10.00,'-0.10%,4.08%,4.72%,'33.84,'0.76,3.57%,'136.75,'-17.28%,文化传媒
'77,000333.美的集团,'71.70,'+0.45%,4.91%,4.72%,'13.96,'2.38,20.86%,'5013.70,'-0.07%,家电行业
'78,600757.长江传媒,'9.72,'+1.04%,4.22%,4.71%,'10.36,'1.19,11.26%,'117.97,'+5.96%,文化传媒
'79,000011.深物业A,'8.58,'+0.47%,3.65%,4.71%,亏损,'1.51,'-1.00%,'45.12,'-1.83%,房地产开发
'80,002658.雪迪龙,'7.99,'+0.12%,3.13%,4.71%,'30.57,'1.96,7.12%,'50.73,'+29.66%,仪器仪表
'81,600162.香江控股,'1.68,0.00%,0.65%,4.70%,亏损,'0.94,0.23%,'54.91,'-11.93%,房地产开发
'82,600039.四川路桥,'8.34,'-0.95%,4.96%,4.69%,'11.39,'1.46,14.95%,'726.42,'+19.54%,工程建设
'83,601229.上海银行,'10.50,'+0.10%,4.76%,4.68%,'6.28,'0.58,9.41%,'1491.94,'+17.17%,银行
'84,601577.长沙银行,'10.21,'+0.20%,4.11%,4.67%,'5.19,'0.52,10.71%,'410.60,'+19.70%,银行
'85,000157.中联重科,'7.44,'+1.64%,4.10%,4.67%,'23.89,'1.08,6.95%,'519.43,'+6.90%,工程机械
'86,601169.北京银行,'6.52,'-0.46%,4.91%,4.66%,'5.36,'0.38,7.35%,'1378.52,'+11.25%,银行
'87,601006.大秦铁路,'6.52,'-0.31%,3.94%,4.64%,'15.35,'0.79,5.40%,'1313.60,'-1.78%,物流行业
'88,002774.快意电梯,'10.59,'+0.28%,3.41%,4.64%,'40.94,'2.78,8.90%,'35.55,'+59.84%,专用设备
'89,600210.紫江企业,'6.35,0.00%,4.72%,4.63%,'12.12,'1.52,13.40%,'96.31,'+0.49%,包装材料
'90,600066.宇通客车,'25.65,'-1.65%,5.85%,4.61%,'16.04,'4.01,29.34%,'567.88,'+1.02%,汽车整车
'91,688606.奥泰生物,'74.69,'+1.73%,4.02%,4.61%,'22.94,'1.50,8.19%,'59.21,'+20.59%,医疗器械
'92,601328.交通银行,'7.72,'-0.64%,3.61%,4.60%,'7.32,'0.59,8.24%,'4118.77,'+4.54%,银行
'93,002563.森马服饰,'5.55,'+2.02%,6.43%,4.60%,'15.60,'1.22,8.41%,'146.56,'-16.04%,纺织服装
'94,603889.新澳股份,'6.13,'+0.99%,4.89%,4.59%,'10.74,'1.27,12.77%,'44.78,'-8.05%,纺织服装
'95,002293.罗莱生活,'8.66,'+0.58%,6.96%,4.59%,'17.00,'1.67,10.57%,'71.82,'+15.84%,纺织服装
'96,603511.爱慕股份,'15.50,'+0.19%,2.60%,4.58%,'69.25,'1.40,3.11%,'62.63,'+22.59%,纺织服装
'97,600008.首创环保,'3.10,0.00%,5.48%,4.57%,'14.32,'0.77,12.06%,'227.56,'-0.27%,公用事业
'98,600585.海螺水泥,'23.37,'-0.04%,3.04%,4.57%,'16.17,'0.65,4.25%,'934.73,'+1.51%,水泥建材
'99,603788.宁波高发,'16.59,'+0.97%,4.22%,4.56%,'20.99,'1.75,9.41%,'37.01,'+25.17%,汽车零部件
'100,002228.合兴包装,'3.50,'-1.41%,5.07%,4.55%,'39.96,'1.33,3.41%,'42.44,'+22.45%,包装材料
'101,000906.浙商中拓,'6.51,'-0.15%,3.06%,4.54%,亏损,'0.78,5.25%,'46.27,'+1.73%,物流行业
'102,002404.嘉欣丝绸,'6.64,'+0.76%,4.55%,4.54%,'27.64,'1.81,7.90%,'36.91,'+12.70%,纺织服装
'103,600741.华域汽车,'18.02,'+0.50%,4.44%,4.53%,'9.75,'0.90,10.95%,'568.12,'+6.87%,汽车零部件
'104,002895.川恒股份,'25.03,'+1.01%,4.38%,4.50%,'15.16,'2.36,16.75%,'150.58,'+7.09%,化学原料
'105,603878.武进不锈,'5.78,'+1.05%,1.56%,4.47%,'48.86,'1.23,3.20%,'32.43,'+2.82%,钢铁行业
'106,605599.菜百股份,'15.45,'+1.18%,4.66%,4.43%,'16.95,'2.76,18.17%,'120.17,'+41.55%,珠宝首饰
'107,300390.天华新能,'20.08,'+0.55%,3.00%,4.43%,'107.54,'1.46,2.93%,'165.90,'-9.88%,能源金属
'108,603096.新经典,'19.15,'-0.21%,4.18%,4.42%,'34.29,'1.52,5.21%,'29.54,'+5.53%,文化传媒
'109,600382.广东明珠,'5.52,'+0.91%,1.81%,4.41%,'85.43,'1.39,0.86%,'38.33,'+27.56%,钢铁行业
'110,600729.重庆百货,'28.86,'-0.21%,4.72%,4.41%,'10.36,'1.60,17.90%,'127.12,'+3.50%,商业百货
'111,002737.葵花药业,'16.19,'-1.16%,3.05%,4.38%,'65.02,'2.16,6.22%,'95.66,'-18.47%,中药
'112,600582.天地科技,'6.32,'+0.48%,5.02%,4.37%,'11.60,'1.01,13.59%,'261.56,'+7.70%,专用设备
'113,300616.尚品宅配,'13.91,0.00%,6.47%,4.37%,亏损,'0.93,'-1.00%,'31.23,'+21.05%,装修建材
'114,603299.苏盐井神,'10.79,'+0.94%,4.11%,4.36%,'13.54,'1.35,11.71%,'84.34,'+1.43%,化学原料
'115,600863.内蒙华电,'4.06,'+0.25%,5.42%,4.34%,'12.39,'1.41,11.46%,'264.99,'-1.28%,电力行业
'116,600015.华夏银行,'8.08,0.00%,5.01%,4.33%,'4.81,'0.35,7.77%,'1285.93,'+6.13%,银行
'117,601126.四方股份,'17.24,'+0.88%,4.18%,4.33%,'19.09,'2.97,16.76%,'143.66,'+6.11%,电网设备
'118,002545.东方铁塔,'9.87,'+0.10%,3.04%,4.33%,'20.70,'1.34,6.73%,'122.66,'+44.88%,化肥行业
'119,603855.华荣股份,'21.64,'+1.12%,4.62%,4.32%,'15.68,'3.26,23.11%,'73.04,'+11.95%,专用设备
'120,000719.中原传媒,'13.16,'-0.08%,4.56%,4.31%,'10.18,'1.16,9.81%,'134.76,'+21.42%,文化传媒
'121,600377.宁沪高速,'14.22,'-0.21%,3.45%,4.29%,'14.66,'1.81,13.00%,'542.60,'-3.96%,铁路公路
'122,600639.浦东金桥,'10.42,'-0.86%,3.10%,4.27%,'51.95,'0.81,6.11%,'88.59,'-3.24%,房地产开发
'123,601019.山东出版,'9.12,'-0.44%,3.40%,4.26%,'12.55,'1.25,9.12%,'190.33,'-17.29%,文化传媒
'124,000785.居然智家,'2.94,'-0.34%,2.12%,4.25%,'25.15,'0.90,3.10%,'183.70,'-17.65%,商业百货
'125,601939.建设银行,'9.58,'-0.62%,1.91%,4.24%,'7.56,'0.74,10.02%,'2029.34,'+14.02%,银行
'126,600499.科达制造,'11.21,'+0.27%,1.78%,4.22%,'22.21,'1.82,8.85%,'214.99,'+46.52%,专用设备
'127,600141.兴发集团,'24.96,'+1.26%,4.01%,4.20%,'18.73,'1.25,7.10%,'275.37,'+20.68%,化肥行业
'128,600694.大商股份,'19.47,'-0.76%,4.67%,4.18%,'12.18,'0.76,6.67%,'67.71,'-15.22%,商业百货
'129,601568.北元集团,'4.20,0.00%,2.38%,4.18%,'62.35,'1.42,2.57%,'166.83,'+2.42%,化学原料
'130,002303.美盈森,'3.87,'+1.31%,14.95%,4.17%,'18.99,'1.28,6.02%,'58.50,'+11.93%,包装材料
'131,600261.阳光照明,'3.40,0.00%,4.12%,4.15%,'38.38,'1.27,5.87%,'45.39,'+8.37%,家电行业
'132,601288.农业银行,'6.62,'+1.22%,3.65%,4.15%,'8.18,'0.74,9.26%,'21133.97,'+29.36%,银行
'133,601988.中国银行,'5.66,'+0.18%,3.78%,4.15%,'7.74,'0.65,8.62%,'13504.20,'+7.35%,银行
'134,600642.申能股份,'8.15,'+0.12%,5.52%,4.14%,'11.53,'1.00,10.02%,'398.87,'-9.65%,电力行业
'135,000932.华菱钢铁,'5.87,'+0.34%,1.71%,4.14%,'28.18,'0.74,4.08%,'404.16,'+43.68%,钢铁行业
'136,001965.招商公路,'11.31,'+0.09%,3.69%,4.14%,'15.77,'1.06,7.48%,'770.70,'-15.91%,铁路公路
'137,002948.青岛银行,'5.11,'+0.99%,3.16%,4.14%,'6.79,'0.66,10.37%,'178.54,'+35.89%,银行
'138,603968.醋化股份,'12.79,'+1.03%,2.22%,4.13%,亏损,'1.44,'-1.00%,'26.15,'+37.97%,化学制品
'139,002697.红旗连锁,'5.69,'-0.87%,2.00%,4.12%,'16.34,'1.69,11.57%,'78.06,'-1.70%,商业百货
'140,600502.安徽建工,'4.83,'-0.41%,5.59%,4.11%,'6.66,'0.50,9.14%,'82.91,'+6.93%,工程建设
'141,600655.豫园股份,'5.73,'-0.87%,3.32%,4.11%,亏损,'0.63,'-1.00%,'223.29,'-7.88%,珠宝首饰
'142,601398.工商银行,'7.76,0.00%,3.97%,4.11%,'7.66,'0.69,9.18%,'20921.91,'+16.98%,银行
'143,000915.华特达因,'34.74,'-0.26%,7.18%,4.10%,'16.05,'2.64,16.95%,'81.62,'+31.39%,化学制药
'144,300625.三雄极光,'12.53,'-1.57%,2.36%,4.10%,亏损,'1.72,0.87%,'35.56,'+10.22%,家电行业
'145,600987.航民股份,'7.25,'+0.42%,4.14%,4.08%,'10.76,'1.14,11.36%,'74.01,'+8.95%,纺织服装
'146,601107.四川成渝,'5.64,'-1.23%,5.14%,4.08%,'11.87,'0.86,8.44%,'121.98,'+12.90%,铁路公路
'147,002367.康力电梯,'7.44,'+0.14%,4.04%,4.08%,'18.92,'1.64,10.48%,'59.27,'+13.01%,专用设备
'148,600887.伊利股份,'27.57,'+0.07%,4.43%,4.07%,'25.23,'2.99,12.61%,'1743.90,'-4.80%,食品饮料
'149,000030.富奥股份,'6.22,'+2.13%,2.46%,4.07%,'16.62,'1.29,8.48%,'101.82,'+24.33%,汽车零部件
'150,300564.筑博设计,'17.17,'-2.28%,2.85%,4.07%,亏损,'2.22,4.40%,'28.34,'+43.99%,工程咨询服务
'151,600710.苏美达,'10.85,'-1.27%,3.40%,4.06%,'13.06,'1.81,15.76%,'141.78,'+21.28%,贸易行业
'152,002274.华昌化工,'6.87,'+0.15%,4.37%,4.06%,'23.85,'1.14,5.35%,'65.33,'-7.83%,化肥行业
'153,002818.富森美,'12.03,'-0.17%,8.96%,4.06%,'13.75,'1.65,11.25%,'90.19,'-15.42%,商业百货
'154,601825.沪农商行,'9.33,'-0.53%,4.63%,4.05%,'7.35,'0.72,10.16%,'899.83,'+11.75%,银行
'155,603515.欧普照明,'18.89,'-0.21%,4.77%,4.05%,'19.22,'2.05,13.69%,'140.51,'+20.75%,家电行业
'156,600801.华新水泥,'15.40,'+0.79%,2.99%,4.04%,'17.14,'1.05,8.29%,'207.02,'+32.38%,水泥建材
'157,601658.邮储银行,'5.90,'+0.85%,3.51%,4.04%,'8.33,'0.71,8.57%,'5914.09,'+9.02%,银行
'158,601098.中南传媒,'12.99,'+0.08%,4.23%,4.03%,'13.88,'1.46,9.21%,'233.30,'-10.52%,文化传媒
'159,000708.中信特钢,'12.97,'-0.15%,3.90%,4.03%,'13.08,'1.55,12.49%,'655.63,'+18.72%,钢铁行业
'160,600919.江苏银行,'11.69,'-0.60%,4.45%,4.01%,'6.67,'0.69,11.42%,'2145.27,'+25.03%,银行
'161,601009.南京银行,'11.98,'+0.17%,4.09%,4.01%,'7.29,'0.77,11.17%,'1481.16,'+14.38%,银行
'162,601921.浙版传媒,'8.27,'-0.48%,3.63%,4.01%,'16.11,'1.33,8.29%,'183.78,'+8.94%,文化传媒
'163,600035.楚天高速,'4.32,'-0.23%,3.94%,4.00%,'9.79,'0.78,8.79%,'69.56,'-2.38%,铁路公路
'164,605336.帅丰电器,'16.28,'+1.06%,2.00%,3.99%,'128.46,'1.55,1.88%,'29.86,'+28.86%,家电行业
'165,002043.兔宝宝,'10.08,0.00%,5.95%,3.99%,'16.90,'2.66,18.81%,'83.87,'-12.46%,装修建材
'166,601077.渝农商行,'6.91,0.00%,4.41%,3.98%,'6.89,'0.59,9.04%,'611.10,'+19.81%,银行
'167,000683.博源化工,'5.73,0.00%,5.24%,3.98%,'11.59,'1.43,10.88%,'213.08,'+8.83%,化学原料
'168,600000.浦发银行,'13.79,'+0.29%,2.97%,3.97%,'9.36,'0.56,6.10%,'4173.91,'+38.08%,银行
'169,601998.中信银行,'8.38,'-0.59%,4.15%,3.97%,'6.83,'0.58,8.75%,'3415.94,'+22.41%,银行
'170,600048.保利发展,'8.01,'-0.37%,5.12%,3.96%,'23.79,'0.48,2.37%,'958.83,'-9.59%,房地产开发
'171,603801.志邦家居,'10.04,'+0.20%,6.01%,3.96%,'12.97,'1.23,11.05%,'43.61,'-16.80%,装修建材
'172,600282.南钢股份,'4.58,'-0.43%,4.04%,3.93%,'12.53,'1.06,8.58%,'282.36,'-0.41%,钢铁行业
'173,603897.长城科技,'25.00,'+0.08%,8.80%,3.93%,'22.15,'1.97,8.62%,'51.61,'+12.64%,电网设备
'174,601187.厦门银行,'7.10,0.00%,4.37%,3.92%,'7.50,'0.59,7.96%,'187.38,'+28.87%,银行
'175,000404.长虹华意,'7.35,'-0.54%,4.06%,3.92%,'12.22,'1.23,11.99%,'51.43,'+3.59%,家电行业
'176,603839.安正时尚,'7.67,0.00%,1.30%,3.90%,亏损,'1.58,'-1.00%,'29.84,'+40.84%,纺织服装
'177,002478.常宝股份,'5.57,'+0.36%,3.96%,3.90%,'10.47,'0.87,10.39%,'50.00,'+9.76%,钢铁行业
'178,603357.设计总院,'8.72,'-0.23%,3.21%,3.89%,'10.24,'1.27,13.17%,'48.88,'-0.54%,工程咨询服务
'179,603279.景津装备,'15.80,'-0.44%,6.71%,3.87%,'11.66,'1.97,17.88%,'91.08,'-9.41%,通用设备
'180,600098.广州发展,'6.49,'+0.31%,4.16%,3.86%,'13.99,'0.85,6.59%,'227.56,'+5.41%,电力行业
'181,000567.海德股份,'6.53,'+0.15%,4.50%,3.85%,'81.46,'2.40,3.52%,'127.44,'-4.39%,多元金融
'182,600737.中粮糖业,'10.04,'+0.30%,1.99%,3.84%,'14.75,'1.84,12.44%,'214.74,'-1.67%,食品饮料
'183,603648.畅联股份,'11.26,'-5.46%,3.11%,3.82%,'34.02,'2.17,6.49%,'40.81,'+9.75%,物流行业
'184,002556.辉隆股份,'5.87,'-0.17%,3.40%,3.82%,'91.04,'1.50,3.75%,'55.66,'+8.88%,化肥行业
'185,002932.明德生物,'22.31,'-2.41%,5.38%,3.82%,亏损,'0.92,0.65%,'53.15,'+28.17%,医疗器械
'186,601158.重庆水务,'4.70,'-0.42%,2.79%,3.81%,'32.73,'1.30,4.85%,'225.60,'-1.46%,公用事业
'187,000989.九芝堂,'11.43,'-1.80%,2.58%,3.80%,'62.94,'2.57,4.72%,'99.63,'+48.76%,中药
'188,002674.兴业科技,'10.45,'-0.29%,1.43%,3.79%,'26.32,'1.27,5.18%,'30.97,'+11.73%,纺织服装
'189,603165.荣晟环保,'12.41,'+0.89%,4.03%,3.78%,'15.86,'1.41,11.27%,'33.83,'+5.58%,造纸印刷
'190,603816.顾家家居,'25.92,'-0.04%,5.32%,3.78%,'15.38,'2.05,14.88%,'213.00,'-0.83%,装修建材
'191,605377.华旺科技,'9.18,'+0.44%,7.90%,3.78%,'13.93,'1.26,9.82%,'51.10,'-13.96%,造纸印刷
'192,002788.鹭燕医药,'8.60,'-1.26%,4.02%,3.78%,'10.09,'1.05,10.66%,'33.84,'+9.14%,医药商业
'193,601963.重庆银行,'10.33,'-0.48%,4.01%,3.77%,'7.01,'0.58,8.62%,'195.81,'+15.95%,银行
'194,600016.民生银行,'4.98,'-1.39%,3.86%,3.75%,'6.87,'0.33,4.89%,'1766.01,'+21.98%,银行
'195,600704.物产中大,'5.44,'-0.73%,3.88%,3.74%,'10.68,'0.65,7.96%,'281.31,'+11.53%,物流行业
'196,600908.无锡银行,'6.15,'-0.49%,3.58%,3.74%,'6.10,'0.57,9.97%,'134.97,'+7.69%,银行
'197,002469.三维化学,'8.66,'+1.88%,4.71%,3.73%,'21.06,'1.98,9.24%,'55.15,'+22.41%,化学原料
'198,000933.神火股份,'18.31,'+3.04%,4.50%,3.72%,'10.47,'1.78,18.07%,'399.71,'+11.54%,有色金属
'199,002949.华阳国际,'14.47,'+0.28%,2.43%,3.71%,'25.31,'1.81,7.92%,'28.29,'-16.76%,工程咨询服务
'200,600285.羚锐制药,'23.10,'-0.52%,3.90%,3.69%,'19.71,'3.96,23.98%,'131.00,'+8.34%,中药
'201,000513.丽珠集团,'40.66,'-2.14%,2.65%,3.68%,'18.71,'2.65,14.53%,'251.08,'+10.04%,化学制药
'202,601601.中国太保,'37.40,'-0.40%,2.89%,3.66%,'8.41,'1.36,16.43%,'2560.05,'+12.97%,保险
'203,002479.富春环保,'5.27,'-0.75%,2.82%,3.65%,'21.81,'1.09,7.75%,'45.93,'+14.52%,环保行业
'204,603167.渤海轮渡,'10.53,'-0.19%,8.45%,3.64%,'24.08,'1.35,7.14%,'49.40,'+26.73%,航运港口
'205,603303.得邦照明,'12.90,'-0.31%,5.74%,3.64%,'21.46,'1.70,9.31%,'61.53,'+16.34%,家电行业
'206,301042.安联锐视,'41.28,'+2.51%,2.48%,3.64%,'45.59,'2.69,6.09%,'28.08,'+14.70%,计算机设备
'207,600724.宁波富达,'4.68,'+0.21%,2.99%,3.63%,'42.80,'2.30,6.78%,'67.64,'-24.01%,房地产开发
'208,600998.九州通,'5.33,'-1.48%,3.75%,3.62%,'14.94,'0.95,11.14%,'268.76,'+8.12%,医药商业
'209,601222.林洋能源,'5.82,0.00%,4.60%,3.60%,'17.48,'0.78,4.25%,'119.90,'-14.47%,仪器仪表
'210,002304.洋河股份,'68.80,'+0.06%,6.76%,3.60%,'23.53,'2.00,7.76%,'1035.83,'-12.15%,酿酒行业
