排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'268,SZ002140.东华科技,'10.24,'-0.39%,'0.60,'17.79,29.87%,0.42%,'1.63,1.46%,9.50%,'73,'+5.37%,工程建设
'269,SZ300476.胜宏科技,'197.65,'+4.32%,'0.60,'87.62,146.34%,3.21%,'16.46,0.16%,21.07%,'1635,'+371.51%,电子元件
'270,SZ300509.新美星,'9.35,'+0.75%,'0.60,'48.49,85.49%,'-,'4.54,1.62%,9.27%,'28,'+37.34%,专用设备
'271,SZ300813.泰林生物,'24.01,'-0.95%,'0.60,'274.42,501.31%,'-,'3.57,0.41%,1.45%,'29,'+39.77%,医疗器械
'272,SH601766.中国中车,'7.42,'+0.54%,'0.61,'14.75,28.32%,3.46%,'1.24,2.70%,8.66%,'1805,'-11.46%,交运设备
'273,SH603568.伟明环保,'19.20,'-0.05%,'0.61,'12.09,20.46%,1.31%,'2.33,2.50%,21.09%,'327,'-9.03%,环保行业
'274,SZ001206.依依股份,'25.48,'+0.04%,'0.61,'20.75,37.75%,'-,'2.49,3.42%,12.26%,'47,'+56.82%,美容护理
'275,SZ300705.九典制药,'17.66,'-2.97%,'0.61,'17.76,30.57%,1.41%,'3.44,1.71%,21.55%,'91,'+0.34%,化学制药
'276,SH600633.浙数文化,'14.22,'+0.49%,'0.62,'32.43,66.18%,0.78%,'1.78,1.76%,5.53%,'180,'+37.58%,游戏
'277,SH601077.渝农商行,'6.91,0.00%,'0.62,'6.69,11.09%,4.28%,'0.59,4.41%,9.04%,'611,'+19.81%,银行
'278,SZ000498.山东路桥,'5.88,'-0.34%,'0.62,'3.94,6.88%,1.48%,'0.38,3.39%,9.86%,'92,'+1.70%,工程建设
'279,SZ002444.巨星科技,'32.40,'+0.68%,'0.62,'16.35,26.64%,1.65%,'2.27,1.56%,14.61%,'384,'+0.15%,通用设备
'280,SZ002588.史丹利,'9.22,'-0.11%,'0.62,'12.14,22.12%,1.94%,'1.49,2.82%,13.00%,'106,'+28.64%,化肥行业
'281,SH600919.江苏银行,'11.69,'-0.60%,'0.63,'6.58,10.63%,5.33%,'0.69,4.45%,11.42%,'2145,'+25.03%,银行
'282,SZ000951.中国重汽,'18.29,'+0.44%,'0.63,'14.11,25.09%,1.12%,'1.37,3.82%,9.90%,'214,'+10.22%,汽车整车
'283,SH600489.中金黄金,'14.83,'+0.34%,'0.64,'19.74,27.46%,3.20%,'2.53,2.62%,13.22%,'719,'+26.58%,贵金属
'284,SH603733.仙鹤股份,'23.65,'+5.96%,'0.64,'17.19,28.39%,0.47%,'2.00,2.11%,12.20%,'167,'+17.43%,造纸印刷
'285,SH603809.豪能股份,'16.12,'+1.45%,'0.64,'40.05,63.93%,0.48%,'4.43,0.93%,12.68%,'139,'+82.32%,汽车零部件
'286,SH600660.福耀玻璃,'55.56,'-0.41%,'0.65,'17.81,28.34%,18.64%,'3.84,3.24%,23.06%,'1113,'-8.12%,玻璃玻纤
'287,SZ002003.伟星股份,'10.95,'-0.09%,'0.65,'17.73,27.59%,2.41%,'2.87,4.56%,16.23%,'128,'-20.69%,纺织服装
'288,SZ300415.伊之密,'21.70,'+2.17%,'0.65,'15.94,25.19%,2.80%,'3.21,2.35%,21.67%,'100,'+10.82%,专用设备
'289,SZ300529.健帆生物,'23.33,'-0.85%,'0.66,'25.95,41.18%,0.65%,'5.32,3.40%,21.42%,'188,'-17.62%,医疗器械
'290,SH600109.国金证券,'9.34,'-0.11%,'0.67,'18.39,28.26%,3.80%,'1.01,1.28%,5.61%,'347,'+8.39%,证券
'291,SH605169.洪通燃气,'13.96,'+10.01%,'0.67,'20.41,31.54%,'-,'2.03,1.79%,10.32%,'39,'+40.43%,燃气
'292,SZ002958.青农商行,'3.55,'-0.56%,'0.67,'6.74,10.95%,2.77%,'0.48,3.36%,7.32%,'198,'+20.50%,银行
'293,SZ002409.雅克科技,'55.98,'+1.14%,'0.68,'29.73,42.22%,3.46%,'3.55,1.05%,12.24%,'263,'-2.93%,电子化学品
