排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'1,SZ300641.正丹股份,'23.38,'-0.21%,'0.29,'8.14,28.13%,0.39%,'3.81,2.99%,57.04%,'125,'-4.68%,化学制品
'2,SH600866.星湖科技,'8.02,'-0.74%,'0.39,'11.43,25.53%,2.18%,'1.59,4.74%,14.36%,'133,'+30.73%,化学制品
'3,SZ300724.捷佳伟创,'66.80,'-1.66%,'0.43,'8.16,20.67%,2.41%,'2.00,1.77%,27.39%,'236,'+8.09%,光伏设备
'4,SH601336.新华保险,'68.00,'+0.59%,'0.46,'7.81,16.92%,2.90%,'2.66,2.04%,31.26%,'1418,'+36.82%,保险
'5,SH601628.中国人寿,'41.52,'+0.65%,'0.50,'10.20,20.45%,0.38%,'2.20,1.57%,22.73%,'8646,'+0.17%,保险
'6,SH601319.中国人保,'8.44,'+0.48%,'0.51,'7.98,15.58%,0.99%,'1.34,0.75%,17.81%,'2996,'+11.79%,保险
'7,SH603323.苏农银行,'5.42,'-0.73%,'0.51,'5.55,11.27%,5.62%,'0.60,3.02%,11.43%,'109,'+16.06%,银行
'8,SH600926.杭州银行,'16.36,'-0.43%,'0.52,'6.64,12.82%,4.28%,'0.81,3.58%,13.61%,'1186,'+13.83%,银行
'9,SH601137.博威合金,'18.89,'+1.78%,'0.52,'10.89,21.37%,0.61%,'1.75,2.65%,17.54%,'153,'-4.21%,有色金属
'10,SH601058.赛轮轮胎,'13.29,'+0.45%,'0.53,'10.74,20.72%,4.31%,'2.13,2.86%,21.55%,'437,'-5.49%,橡胶制品
'11,SZ000690.宝新能源,'4.67,'-0.64%,'0.53,'12.85,24.22%,0.99%,'0.82,3.19%,6.41%,'102,'+7.93%,电力行业
'12,SZ002984.森麒麟,'19.40,0.00%,'0.53,'9.83,19.01%,0.67%,'1.45,2.57%,15.67%,'201,'-20.11%,橡胶制品
'13,SH601128.常熟银行,'7.68,'+0.26%,'0.54,'6.46,12.06%,3.17%,'0.86,2.96%,14.12%,'255,'+15.20%,银行
'14,SZ300274.阳光电源,'76.90,'+1.98%,'0.55,'12.25,23.12%,4.20%,'3.83,1.43%,36.17%,'1563,'+5.92%,光伏设备
'15,SH600968.海油发展,'4.07,'+0.25%,'0.56,'11.04,18.75%,1.57%,'1.49,3.32%,14.17%,'414,'-1.55%,采掘行业
'16,SH601717.中创智领,'17.39,0.00%,'0.57,'7.80,14.93%,5.04%,'1.38,6.44%,18.16%,'268,'+42.96%,汽车零部件
'17,SH601838.成都银行,'18.93,'-0.37%,'0.58,'6.16,10.58%,5.83%,'0.91,4.71%,15.96%,'802,'+15.94%,银行
'18,SZ000544.中原环保,'8.60,'+0.12%,'0.58,'8.60,16.12%,0.53%,'0.82,3.03%,10.47%,'84,'+1.67%,公用事业
'19,SZ002807.江阴银行,'4.76,'-0.83%,'0.59,'5.78,10.06%,3.35%,'0.63,4.17%,11.30%,'118,'+14.61%,银行
