序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
39	11891	易方达先锋成	8月5日	1.694	1.694	0.95%	3.30%	30.83%	80.25%	61.75%	106.11%	35.88%	55.84%	62.73%	69.40%	105.38%
40	11144	华安汇宏精选	8月5日	1.5649	1.5649	3.14%	0.50%	19.06%	47.66%	47.44%	105.66%	74.56%	65.20%	51.80%	56.49%	102.50%
41	5551	汇安成长优选	8月5日	1.5596	1.5596	0.24%	-1.92%	22.67%	35.18%	43.27%	105.54%	53.25%	18.91%	59.98%	55.96%	102.76%
42	11892	易方达先锋成	8月5日	1.6678	1.6678	0.95%	3.29%	30.79%	80.07%	61.44%	105.27%	34.78%	53.96%	62.35%	66.78%	104.54%
43	3598	华商润丰灵活	8月5日	3.604	3.604	0.75%	0.73%	14.96%	38.62%	34.73%	104.89%	75.89%	93.87%	42.06%	260.40%	100.00%
44	7509	华商润丰灵活	8月5日	3.583	3.583	0.73%	0.73%	14.91%	38.61%	34.65%	104.63%	75.55%	93.26%	41.96%	258.30%	99.72%
45	11145	华安汇宏精选	8月5日	1.5246	1.5246	3.14%	0.49%	19.00%	47.46%	47.02%	104.45%	72.49%	62.28%	51.25%	52.46%	101.29%
46	1437	易方达瑞享混	8月5日	4.9278	4.9278	1.71%	4.53%	31.43%	82.68%	62.98%	104.22%	45.62%	66.09%	63.65%	392.78%	103.80%
47	1438	易方达瑞享混	8月5日	3.992	3.992	1.71%	4.53%	31.41%	82.58%	62.82%	103.78%	45.06%	65.16%	63.47%	299.20%	103.47%
48	290011	泰信中小盘精	8月5日	4.032	4.292	-0.57%	1.49%	8.21%	-1.49%	5.08%	103.12%	29.98%	-5.04%	22.40%	371.70%	98.23%
49	1148	申万菱信多策	8月5日	2.237	2.44	0.72%	0.77%	6.37%	11.13%	24.42%	101.90%	50.54%	40.96%	31.67%	171.02%	100.81%
50	1724	申万菱信多策	8月5日	2.164	2.27	0.74%	0.79%	6.39%	11.15%	24.30%	101.49%	49.97%	40.06%	31.55%	133.28%	100.37%
